source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Furofuran lignans
1036	527	0.62	162.053	source:8327	target:31,110,117,335,336,337,451,493,875,895,1138,1189,1695,1902,4568,4835,4836,5120,5135,5423,6225,6677,6869,6972,7089,7303,7350,7413,7572,7639,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Furofuran lignans
1083	1072	0.49	-30.011	source:	target:	Furofuran lignans
1295	274	0.94	-0.000	source:	target:	Furofuran lignans
1388	317	0.48	-46.006	source:8230	target:1263,1352,4168,4999,7350,8252	Furofuran lignans
1483	1072	0.67	-0.000	source:	target:	Furofuran lignans
1483	1083	0.44	30.010	source:7290	target:487,502	Furofuran lignans
1489	323	0.43	-0.000	source:5124	target:486	Furofuran lignans
1494	323	0.43	-162.068	source:490,1151	target:1433,6869,7089,7569,8568	Furofuran lignans
1955	1388	0.44	0.001	source:4768,4807,8447	target:8202	Furofuran lignans
2081	1746	0.49	0.000	source:	target:	Furofuran lignans
238	238	1.00	0.000	source:	target:	Furofuran lignans
2405	2405	1.00	0.000	source:	target:	Furofuran lignans
2414	444	0.41	0.000	source:484,948	target:7380,7932,8202	Furofuran lignans
2414	800	0.43	0.000	source:948	target:7380,8407	Furofuran lignans
2470	847	0.45	0.000	source:5062,5079,5105,5109	target:1190,1227,8202,8311	Furofuran lignans
256	256	1.00	0.000	source:	target:	Furofuran lignans
261	261	1.00	0.000	source:	target:	Furofuran lignans
317	243	0.72	162.052	source:	target:716,1148,2055,3972,8407	Furofuran lignans
3237	3237	1.00	0.000	source:	target:	Furofuran lignans
3544	349	0.44	0.036	source:948,971,1109,1304,1346,2055,6587,8273,8327,8428	target:484,502,4967,6161,6318,7637,8202	Furofuran lignans
3544	419	0.58	198.065	source:31,49,948,971,6587,8273	target:502,6318	Furofuran lignans
3544	618	0.51	2.016	source:49	target:	Furofuran lignans
386	355	0.70	0.000	source:55	target:	Furofuran lignans
389	389	1.00	0.000	source:	target:	Furofuran lignans
3906	2470	0.45	162.053	source:974,1018,1127,1168,8400	target:49,1698,7639,8295	Furofuran lignans
3938	377	0.52	0.000	source:7780,8871	target:2055,6171	Furofuran lignans
3949	2414	0.41	-162.053	source:716,727,3341	target:899,6333	Furofuran lignans
419	349	0.42	-198.029	source:721,727,1109,2055	target:31,110,484,895,4967,6161,6869,7640	Furofuran lignans
4219	317	0.59	-0.000	source:1101,1147	target:1352	Furofuran lignans
444	377	0.56	162.052	source:	target:55,716,727	Furofuran lignans
4797	349	0.43	0.000	source:1109	target:6161,7640,8020	Furofuran lignans
4797	621	0.46	162.053	source:56,1109,1195,4801,4807,6731	target:716,1148,2055,7640	Furofuran lignans
527	355	0.44	0.000	source:6972	target:	Furofuran lignans
566	566	1.00	0.000	source:	target:	Furofuran lignans
618	349	0.41	-1.979	source:2,128,948,971,1063,1109,6538,6587,6962,7569,7780,8273,8400,8871	target:502,1268,3340,6161,6318,7637	Furofuran lignans
618	419	0.43	196.049	source:2,948,971,1063,6587,8273,8400,8871	target:502,681,721,727,1268,6318	Furofuran lignans
800	444	0.41	-0.000	source:7637,8407	target:	Furofuran lignans
811	527	0.43	-196.074	source:354,2055,4838,5014,8202,8295,8310,8327	target:6318,6972,7350,7639,7968,8083,8252	Furofuran lignans
831	831	1.00	0.000	source:	target:	Furofuran lignans
4767	4767	1	0	null	null	Furofuran lignans
3947	3947	1	0	null	null	Furofuran lignans
690	690	1	0	null	null	Furofuran lignans
2322	2322	1	0	null	null	Furofuran lignans
1007	1007	1	0	null	null	Furofuran lignans
300	300	1	0	null	null	Furofuran lignans
851	851	1	0	null	null	Furofuran lignans
1445	1445	1	0	null	null	Furofuran lignans
4015	4015	1	0	null	null	Furofuran lignans
497	497	1	0	null	null	Furofuran lignans
