source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1111	1111	1.00	0.000	source:	target:	Iridoid O-glycosides
1203	589	0.71	0.000	source:	target:	Iridoid O-glycosides
1446	1250	0.45	0.000	source:	target:	Iridoid O-glycosides
1836	1108	0.52	0.000	source:30,484	target:1268,1284	Iridoid O-glycosides
1836	241	0.46	-58.005	source:1240	target:6677	Iridoid O-glycosides
1836	710	0.41	0.000	source:30,484,865,2565,3181,8126	target:505,1284,2932,5014,6171,6221	Iridoid O-glycosides
2039	2039	1.00	0.000	source:	target:	Iridoid O-glycosides
2729	1607	0.42	-0.000	source:2,948,971,6993,7257,8273	target:427,473,865,4768,5127,8447	Iridoid O-glycosides
2729	239	0.58	-0.001	source:	target:	Iridoid O-glycosides
2729	597	0.45	-0.000	source:	target:	Iridoid O-glycosides
2780	2047	0.53	0.000	source:	target:	Iridoid O-glycosides
2890	347	0.46	-162.053	source:59,716,5124,6218	target:1236,1240,6677,7572,7639,7640	Iridoid O-glycosides
2890	577	0.48	46.006	source:	target:6677,7257,7572,7640,8273	Iridoid O-glycosides
3001	241	0.52	-30.011	source:1240,1373,1394,6162,6731	target:443	Iridoid O-glycosides
3001	2780	0.41	-46.005	source:139,510,1373,1394,2564,4798,5105,6162,6731,8758	target:	Iridoid O-glycosides
3020	2047	0.46	-46.005	source:25,139,484,510,865,2562,2565,4797,6162,6580,6587,7120,7569	target:8248	Iridoid O-glycosides
311	241	0.44	2.015	source:1200	target:1708,2565,8329	Iridoid O-glycosides
3385	3385	1.00	0.000	source:	target:	Iridoid O-glycosides
347	311	0.52	1.980	source:6993,8329,8400	target:59,1200,1433,5124	Iridoid O-glycosides
3602	3602	1.00	0.000	source:	target:	Iridoid O-glycosides
3747	3747	1.00	0.000	source:	target:	Iridoid O-glycosides
4070	1607	0.45	-0.000	source:2,948,6993	target:427,460,473,476,865,4768,4800,5124,5127	Iridoid O-glycosides
4070	239	0.41	-0.001	source:50,4081,5379	target:411,437,460,476,1195,4800,4848,4863,5124,7257	Iridoid O-glycosides
4113	1203	0.79	-0.000	source:	target:	Iridoid O-glycosides
4113	589	0.84	-0.000	source:	target:	Iridoid O-glycosides
4286	311	0.43	-202.084	source:499,8251	target:1004,4800	Iridoid O-glycosides
4757	577	0.57	0.000	source:	target:	Iridoid O-glycosides
4786	241	0.66	-0.000	source:7144	target:6218	Iridoid O-glycosides
4786	3001	0.48	30.010	source:6509,7144	target:139,1373	Iridoid O-glycosides
4786	3806	0.52	0.000	source:6509	target:457,944	Iridoid O-glycosides
495	239	0.45	46.005	source:454,1698,5063,6677,7639	target:1107	Iridoid O-glycosides
577	311	0.48	-206.079	source:139,1708,6587,6993,7569,8273,8329,8400,8457	target:1004	Iridoid O-glycosides
577	347	0.56	-208.058	source:59,139,1708,5124	target:	Iridoid O-glycosides
991	991	1	0	null	null	Iridoid O-glycosides
2220	2220	1	0	null	null	Iridoid O-glycosides
2252	2252	1	0	null	null	Iridoid O-glycosides
2758	2758	1	0	null	null	Iridoid O-glycosides
4505	4505	1	0	null	null	Iridoid O-glycosides
2415	2415	1	0	null	null	Iridoid O-glycosides
4249	4249	1	0	null	null	Iridoid O-glycosides
1321	1321	1	0	null	null	Iridoid O-glycosides
2664	2664	1	0	null	null	Iridoid O-glycosides
552	552	1	0	null	null	Iridoid O-glycosides
2824	2824	1	0	null	null	Iridoid O-glycosides
1071	1071	1	0	null	null	Iridoid O-glycosides
749	749	1	0	null	null	Iridoid O-glycosides
292	292	1	0	null	null	Iridoid O-glycosides
3308	3308	1	0	null	null	Iridoid O-glycosides
4180	4180	1	0	null	null	Iridoid O-glycosides
3389	3389	1	0	null	null	Iridoid O-glycosides
3875	3875	1	0	null	null	Iridoid O-glycosides
1722	1722	1	0	null	null	Iridoid O-glycosides
