source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
121	39	0.55	0.000	source:1762,1770	target:1225,7918	Long-chain fatty acids
1394	154	0.66	-0.000	source:	target:1762	Long-chain fatty acids
1394	201	0.63	0.000	source:55,1069	target:	Long-chain fatty acids
145	145	1.00	0.000	source:	target:	Long-chain fatty acids
1582	229	0.62	-0.000	source:1240	target:1760,1766,8001,8211	Long-chain fatty acids
1582	336	0.44	0.000	source:1240,1757,4800	target:1760,1766,1776,1778,6314,6351,7093,8001,8211	Long-chain fatty acids
1727	121	0.47	0.000	source:	target:4736	Long-chain fatty acids
1727	356	0.43	-2.015	source:	target:1817,4736	Long-chain fatty acids
1727	510	0.45	0.000	source:	target:4736	Long-chain fatty acids
1818	1394	0.81	-0.000	source:7900	target:55,469,521	Long-chain fatty acids
1818	154	0.82	-0.000	source:7900	target:469,476,477,1766	Long-chain fatty acids
1818	201	0.93	0.000	source:	target:469	Long-chain fatty acids
201	154	0.64	-0.000	source:	target:1760,1766	Long-chain fatty acids
207	201	0.43	2.016	source:	target:5138	Long-chain fatty acids
2116	2116	1.00	0.000	source:	target:	Long-chain fatty acids
2154	2154	1.00	0.000	source:	target:	Long-chain fatty acids
2297	2297	1.00	0.000	source:	target:	Long-chain fatty acids
258	258	1.00	0.000	source:	target:	Long-chain fatty acids
2657	174	0.50	0.000	source:	target:	Long-chain fatty acids
2698	2698	1.00	0.000	source:	target:	Long-chain fatty acids
3059	181	0.86	0.000	source:475,490,1790	target:6071	Long-chain fatty acids
3105	3105	1.00	0.000	source:	target:	Long-chain fatty acids
3259	181	0.56	-2.016	source:469,475,706,1095,1218,1757,1790,4844,5107,6237,7882	target:497,1107,1956,5079,5109,6071	Long-chain fatty acids
328	124	0.61	-0.000	source:55,477,521	target:706	Long-chain fatty acids
3419	1320	0.47	2.016	source:1109,1410,4816	target:1226,8399	Long-chain fatty acids
3419	181	0.51	-0.000	source:55,361,469,475,490,521,1095,1109,1191,1409,1410,1706,1770,1776,1778,1790,4816,4844,6237	target:497,1956,6071,6565,8399	Long-chain fatty acids
3464	3464	1.00	0.000	source:	target:	Long-chain fatty acids
3599	2036	0.50	0.000	source:	target:477,1790	Long-chain fatty acids
3752	3752	1.00	0.000	source:	target:	Long-chain fatty acids
4045	4045	1.00	0.000	source:	target:	Long-chain fatty acids
405	356	0.62	2.015	source:	target:	Long-chain fatty acids
4101	168	0.47	2.016	source:1167	target:477,1790,6351,7093	Long-chain fatty acids
4101	325	0.47	0.000	source:	target:4783	Long-chain fatty acids
4103	4099	0.47	-0.000	source:	target:	Long-chain fatty acids
412	107	0.45	-17.974	source:4844,5107,6237,8264	target:476,521,1026,1790	Long-chain fatty acids
4297	2657	0.41	-72.057	source:66,1099,1425	target:490,980	Long-chain fatty acids
4458	4458	1.00	0.000	source:	target:	Long-chain fatty acids
4559	4559	1.00	0.000	source:	target:	Long-chain fatty acids
4750	251	0.45	-0.000	source:	target:1191	Long-chain fatty acids
4750	405	0.48	-0.000	source:	target:	Long-chain fatty acids
4750	4103	0.59	-2.016	source:	target:	Long-chain fatty acids
6	6	1.00	0.000	source:	target:	Long-chain fatty acids
900	900	1.00	0.000	source:	target:	Long-chain fatty acids
964	964	1	0	null	null	Long-chain fatty acids
966	966	1	0	null	null	Long-chain fatty acids
3506	3506	1	0	null	null	Long-chain fatty acids
3062	3062	1	0	null	null	Long-chain fatty acids
122	122	1	0	null	null	Long-chain fatty acids
4881	4881	1	0	null	null	Long-chain fatty acids
141	141	1	0	null	null	Long-chain fatty acids
645	645	1	0	null	null	Long-chain fatty acids
1443	1443	1	0	null	null	Long-chain fatty acids
2770	2770	1	0	null	null	Long-chain fatty acids
4535	4535	1	0	null	null	Long-chain fatty acids
4081	4081	1	0	null	null	Long-chain fatty acids
324	324	1	0	null	null	Long-chain fatty acids
329	329	1	0	null	null	Long-chain fatty acids
342	342	1	0	null	null	Long-chain fatty acids
366	366	1	0	null	null	Long-chain fatty acids
2926	2926	1	0	null	null	Long-chain fatty acids
3935	3935	1	0	null	null	Long-chain fatty acids
516	516	1	0	null	null	Long-chain fatty acids
570	570	1	0	null	null	Long-chain fatty acids
3104	3104	1	0	null	null	Long-chain fatty acids
4451	4451	1	0	null	null	Long-chain fatty acids
2847	2847	1	0	null	null	Long-chain fatty acids
433	433	1	0	null	null	Long-chain fatty acids
