source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1024	861	0.50	-0.000	source:	target:	Phenoxy compounds
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Phenoxy compounds
1036	527	0.62	162.053	source:8327	target:31,110,117,335,336,337,451,493,875,895,1138,1189,1695,1902,4568,4835,4836,5120,5135,5423,6225,6677,6869,6972,7089,7303,7350,7413,7572,7639,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Phenoxy compounds
1041	1041	1.00	0.000	source:	target:	Phenoxy compounds
1072	449	0.43	-18.011	source:1109,1433,8428,8447	target:734,1004,3053,4999,5088,6318,7969,8311	Phenoxy compounds
1072	707	0.42	-180.064	source:716,1433,8447	target:4801	Phenoxy compounds
1072	714	0.44	-162.053	source:443,716,895,7640	target:899	Phenoxy compounds
1079	680	0.41	212.053	source:427,1004,1147,1169,2835,5067,7760,8252	target:2,497,515,1224,1227,2601,5089,5112,5118,6419,8254,8421	Phenoxy compounds
1083	1072	0.49	-30.011	source:	target:	Phenoxy compounds
1083	247	0.43	-2.016	source:502,674,1109,1268,1305,1433,1698,6962,7639	target:34,49,56,734,6674,8311	Phenoxy compounds
1083	449	0.41	-48.022	source:487,502,1109,1268,1433,1698	target:56,734,3053,4168,4999,5088,6318,7290,7380,7969,8311	Phenoxy compounds
1083	714	0.45	-192.064	source:443,484,502,716,895,1190,1698,7640	target:56,1169,2562,4768	Phenoxy compounds
1097	461	0.45	-204.063	source:354,489,5111,5112,5118	target:341,427,898,899,1021,1101,1151,1169,1188,1426,2835,3181,5379,7907,8126,8254	Phenoxy compounds
1169	315	0.41	2.016	source:27,333,354,451,466,1224,1283,1304,1346,5004,5107,5364,5931,8259	target:70,894,1142,1181,1268,1331,2835,3181,3340,4928	Phenoxy compounds
1197	247	0.45	-1.982	source:5109	target:423,1902,7572,7968	Phenoxy compounds
1197	449	0.43	-47.988	source:354,1368,4800,5109,5116,5117,6162,8333,8540	target:423,443,486,785,1102,1148,1183,1902,4168,5088,5089,5090,5111,6318,7290,7380,7572,7743,7968,7969,8252,8297,8341	Phenoxy compounds
1219	1169	0.48	-0.000	source:	target:1109	Phenoxy compounds
1255	493	0.42	-27.995	source:476	target:	Phenoxy compounds
1255	637	0.41	0.052	source:50,110,481,895,1902,4081,5379,6677,6965,7120,7350,7572,7640	target:423,721,1240,5089,5111,5112,8297,8341	Phenoxy compounds
1295	274	0.94	-0.000	source:	target:	Phenoxy compounds
1353	1353	1.00	0.000	source:	target:	Phenoxy compounds
1388	317	0.48	-46.006	source:8230	target:1263,1352,4168,4999,7350,8252	Phenoxy compounds
1404	1083	0.57	162.052	source:56,7290,8295	target:484,487,716,1433,7639	Phenoxy compounds
