source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1016	1016	1.00	0.000	source:	target:	Terpene glycosides
1064	281	0.51	-2.013	source:56	target:59,457,1101,1200,1433,4848,6218	Terpene glycosides
1064	311	0.50	-2.013	source:	target:59,457,1101,1200,1433,4848,5124	Terpene glycosides
1064	347	0.54	-3.993	source:	target:6993,8400	Terpene glycosides
1064	577	0.51	204.065	source:	target:59,139,457,473,962,4848,5124,6993,8400,8457	Terpene glycosides
1064	659	0.45	0.002	source:	target:30,473,1433,2562,4848	Terpene glycosides
1064	766	0.48	-43.988	source:4800,6160	target:6350	Terpene glycosides
1130	1064	0.45	-0.003	source:30,473,861,1433,2562,2564,4797,4803,4848,5124	target:	Terpene glycosides
1130	241	0.45	-0.000	source:1240,7144	target:	Terpene glycosides
1130	659	0.49	-0.000	source:	target:	Terpene glycosides
1203	589	0.71	0.000	source:	target:	Terpene glycosides
1203	711	0.43	-15.995	source:7312	target:	Terpene glycosides
1204	1204	1.00	0.000	source:	target:	Terpene glycosides
1220	1064	0.50	-190.050	source:1101,1433,5124	target:4800	Terpene glycosides
1220	233	0.43	-208.058	source:499,1331,7569	target:49,4800	Terpene glycosides
1220	347	0.44	-194.042	source:499,1433,5124	target:	Terpene glycosides
1220	766	0.44	-234.037	source:720,1331,6160,6509,6580,6965,7120,7144,7491,7569	target:6350	Terpene glycosides
1250	715	0.42	30.011	source:	target:6731	Terpene glycosides
1266	552	0.42	60.021	source:56,499,1151,1698,7283,8254,8421	target:6587,8406	Terpene glycosides
1305	1064	0.48	6.008	source:59,861,1101,1238,1284,4848,5014,6993,8327,8400	target:4768	Terpene glycosides
1305	1220	0.43	196.058	source:1284,5014,8327	target:55,499,1433	Terpene glycosides
1305	311	0.47	3.995	source:5014,6993,7569,8327,8329,8400	target:55,427,1433,4768	Terpene glycosides
1305	347	0.62	2.016	source:59,515,948,971	target:	Terpene glycosides
1305	577	0.48	210.074	source:1238,1284,5014,8327	target:55,139,473,1708	Terpene glycosides
1305	766	0.45	-37.979	source:59,1284,4801,5014,6160,6509,6580,6965,6993,7120,7144,7569,8327,8329,8400	target:55,427,6350	Terpene glycosides
1308	241	0.53	-134.037	source:2,33,44,50,341,497,515,707,898,912,958,962,971,1052,1098,1112,1123,1146,1169,1188,1192,1216,1226,1237,1238,2055,2062,4081,4968,5136,5139,5214,5379,6053,6221,6538,7755,8243,8251,8349,8469	target:443,1708,2565,6677,6988,7639	Terpene glycosides
1321	835	0.43	0.000	source:	target:6509,7144,7572,7640	Terpene glycosides
1416	1416	1.00	0.000	source:	target:	Terpene glycosides
1446	1250	0.45	0.000	source:	target:	Terpene glycosides
1446	659	0.44	-158.057	source:489,499,720,962,6993,8400	target:30,2565,7491	Terpene glycosides
1656	1656	1.00	0.000	source:	target:	Terpene glycosides
1698	1220	0.43	-138.068	source:502,1534,2562	target:	Terpene glycosides
1836	1108	0.52	0.000	source:30,484	target:1268,1284	Terpene glycosides
1836	241	0.46	-58.005	source:1240	target:6677	Terpene glycosides
1836	710	0.41	0.000	source:30,484,865,2565,3181,8126	target:505,1284,2932,5014,6171,6221	Terpene glycosides
1944	1064	0.47	46.003	source:962,1237,1433	target:4800,5116	Terpene glycosides
1944	711	0.51	2.016	source:962,1237,1268,6160,6580,7312,7840	target:	Terpene glycosides
1944	766	0.45	2.016	source:1268,1331,6160,6580	target:	Terpene glycosides
2039	2039	1.00	0.000	source:	target:	Terpene glycosides
2102	1321	0.68	0.000	source:	target:	Terpene glycosides
2227	311	0.44	-14.015	source:2932,6587,6993,7569,8329,8400	target:443,1195,1200,1698,6677	Terpene glycosides
2268	347	0.50	0.000	source:437	target:	Terpene glycosides
2370	1064	0.51	-160.039	source:59,473,861,1101,1169,1433,2055,2562,4848	target:56,4800,8772	Terpene glycosides
2370	1944	0.41	-206.043	source:499,2055,2562,5116	target:	Terpene glycosides
2370	241	0.42	-160.037	source:1169,2055	target:	Terpene glycosides
2370	281	0.68	-162.052	source:2055,2562	target:4800,4801	Terpene glycosides
2370	311	0.72	-162.052	source:499,2055,2562	target:1004,4800,4801,8772	Terpene glycosides
2370	347	0.46	-164.032	source:59,499,1433,2055,2562	target:56,4801,6993,8400,8772	Terpene glycosides
2370	577	0.46	44.026	source:1169	target:139,4801,6587,6993,8273,8400,8457,8772	Terpene glycosides
2370	766	0.48	-204.027	source:59,720,1169,2055,2562,6160,6580,7120,7491	target:6350	Terpene glycosides
2451	241	0.58	-152.024	source:962,1052,1188,1192,5379	target:	Terpene glycosides
2533	744	0.42	-15.995	source:4801,5105	target:	Terpene glycosides
2590	1446	0.43	164.104	source:	target:489,499,895,4801,6580,6993,8329,8457,8657,8684	Terpene glycosides
2590	2102	0.42	170.094	source:6677	target:30,44,476,505,707,912,1021,1052,1081,1098,1112,1123,1146,1151,1183,1226,2564,2565,5014,6053,6171,6221,8280,8285,8299,8349,8421,8469,8657,8684	Terpene glycosides
2590	233	0.42	-11.964	source:33,427,1426,4768	target:25,49,411,443,484,895,1004,4800,4801,6580,6965,7120,7491,8657,8684	Terpene glycosides
2590	695	0.46	46.041	source:33	target:443,499,895,8657,8684	Terpene glycosides
2590	865	0.62	2.016	source:1426	target:895,8657,8684	Terpene glycosides
2729	1008	0.43	2.015	source:2,437,948,971,1063,1212,4848,7257	target:499,4968	Terpene glycosides
2729	1607	0.42	-0.000	source:2,948,971,6993,7257,8273	target:427,473,865,4768,5127,8447	Terpene glycosides
2729	239	0.58	-0.001	source:	target:	Terpene glycosides
2729	597	0.45	-0.000	source:	target:	Terpene glycosides
2780	2047	0.53	0.000	source:	target:	Terpene glycosides
281	241	0.44	2.015	source:1200,1428	target:1708,8329	Terpene glycosides
2890	1305	0.45	-164.068	source:473,716,4768	target:1236,1238,1284,5014,7257,7640,8327	Terpene glycosides
2890	347	0.46	-162.053	source:59,716,5124,6218	target:1236,1240,6677,7572,7639,7640	Terpene glycosides
