source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1150	1150	1.00	0.000	source:	target:	Azacyclic compounds
1210	1210	1.00	0.000	source:	target:	Azacyclic compounds
1225	1225	1.00	0.000	source:	target:	Azacyclic compounds
1230	1230	1.00	0.000	source:	target:	Azacyclic compounds
1242	409	0.41	-72.040	source:117,336,337,720,861,875,895,898,1068,1120,1138,1141,1189,1190,1192,1207,1211,1217,1228,1236,1268,1284,1428,1695,4568,4835,5135,6225,7089,7569,7572,7640,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:235,354,399,430,438,463,467,473,491,887,903,939,966,978,1015,1032,1047,1182,1202,2055	Azacyclic compounds
1276	1276	1.00	0.000	source:	target:	Azacyclic compounds
1496	1496	1.00	0.000	source:	target:	Azacyclic compounds
1640	1640	1.00	0.000	source:	target:	Azacyclic compounds
1658	1658	1.00	0.000	source:	target:	Azacyclic compounds
1705	1705	1.00	0.000	source:	target:	Azacyclic compounds
1753	1753	1.00	0.000	source:	target:	Azacyclic compounds
1847	1847	1.00	0.000	source:	target:	Azacyclic compounds
1978	1978	1.00	0.000	source:	target:	Azacyclic compounds
2080	2080	1.00	0.000	source:	target:	Azacyclic compounds
2143	2143	1.00	0.000	source:	target:	Azacyclic compounds
2155	2155	1.00	0.000	source:	target:	Azacyclic compounds
2214	2214	1.00	0.000	source:	target:	Azacyclic compounds
2348	2348	1.00	0.000	source:	target:	Azacyclic compounds
2450	2450	1.00	0.000	source:	target:	Azacyclic compounds
2670	2670	1.00	0.000	source:	target:	Azacyclic compounds
2686	2686	1.00	0.000	source:	target:	Azacyclic compounds
2719	2719	1.00	0.000	source:	target:	Azacyclic compounds
2850	2850	1.00	0.000	source:	target:	Azacyclic compounds
29	29	1.00	0.000	source:	target:	Azacyclic compounds
3156	3156	1.00	0.000	source:	target:	Azacyclic compounds
3165	3165	1.00	0.000	source:	target:	Azacyclic compounds
326	326	1.00	0.000	source:	target:	Azacyclic compounds
3282	3282	1.00	0.000	source:	target:	Azacyclic compounds
3	3	1.00	0.000	source:	target:	Azacyclic compounds
3517	3517	1.00	0.000	source:	target:	Azacyclic compounds
3694	3694	1.00	0.000	source:	target:	Azacyclic compounds
3729	3729	1.00	0.000	source:	target:	Azacyclic compounds
382	382	1.00	0.000	source:	target:	Azacyclic compounds
3925	3925	1.00	0.000	source:	target:	Azacyclic compounds
3973	3973	1.00	0.000	source:	target:	Azacyclic compounds
4376	4376	1.00	0.000	source:	target:	Azacyclic compounds
4409	4409	1.00	0.000	source:	target:	Azacyclic compounds
4716	4716	1.00	0.000	source:	target:	Azacyclic compounds
600	600	1.00	0.000	source:	target:	Azacyclic compounds
652	652	1.00	0.000	source:	target:	Azacyclic compounds
747	747	1.00	0.000	source:	target:	Azacyclic compounds
795	795	1.00	0.000	source:	target:	Azacyclic compounds
883	883	1.00	0.000	source:	target:	Azacyclic compounds
91	91	1.00	0.000	source:	target:	Azacyclic compounds
947	947	1.00	0.000	source:	target:	Azacyclic compounds
1775	1775	1	0	null	null	Azacyclic compounds
3934	3934	1	0	null	null	Azacyclic compounds
1471	1471	1	0	null	null	Azacyclic compounds
894	894	1	0	null	null	Azacyclic compounds
3286	3286	1	0	null	null	Azacyclic compounds
2050	2050	1	0	null	null	Azacyclic compounds
1796	1796	1	0	null	null	Azacyclic compounds
