source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1024	861	0.50	-0.000	source:	target:	Benzene and substituted derivatives
1029	1029	1.00	0.000	source:	target:	Benzene and substituted derivatives
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Benzene and substituted derivatives
1036	527	0.62	162.053	source:8327	target:31,110,117,335,336,337,451,493,875,895,1138,1189,1695,1902,4568,4835,4836,5120,5135,5423,6225,6677,6869,6972,7089,7303,7350,7413,7572,7639,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Benzene and substituted derivatives
1041	1041	1.00	0.000	source:	target:	Benzene and substituted derivatives
1058	240	0.45	-162.053	source:55,57,117,329,335,336,337,418,459,470,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:714,1107,1159,1310,2601,3061,4083,4558,4882,5001,5903,6165,6211,6595,7105,7737,8648,8723	Benzene and substituted derivatives
1058	416	0.47	-0.021	source:57,117,329,335,336,337,418,459,470,484,514,709,875,1138,1189,1190,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	target:139,341,486,714,721,785,884,1169,1305,2816,3061,4083,4558,4882,5001,5379,6165,6211,6219,6281,6393,6595,6875,6916,7105,7737,8316,8406,8434,8648,8723	Benzene and substituted derivatives
1058	598	0.43	21.961	source:117,335,336,337,427,470,473,484,514,521,865,875,1138,1189,1695,2562,4568,4768,4777,4807,4835,5067,5068,5423,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:486,714,721,785,884,1227,3061,7105,8280,8295,8327,8406	Benzene and substituted derivatives
1058	809	0.44	40.031	source:49,333,466,515,948,971	target:139,502,958,6731	Benzene and substituted derivatives
1072	449	0.43	-18.011	source:1109,1433,8428,8447	target:734,1004,3053,4999,5088,6318,7969,8311	Benzene and substituted derivatives
1072	707	0.42	-180.064	source:716,1433,8447	target:4801	Benzene and substituted derivatives
1072	714	0.44	-162.053	source:443,716,895,7640	target:899	Benzene and substituted derivatives
