source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1073	526	0.65	0.000	source:1762	target:	Carboxylic acids
1073	636	0.48	0.000	source:1762,1790	target:	Carboxylic acids
1073	683	0.46	18.011	source:1754,1762,1790	target:1167,1409,4816	Carboxylic acids
110	110	1.00	0.000	source:	target:	Carboxylic acids
1117	40	0.53	0.000	source:55,361,476,1103,1284,1425	target:451,8001,8211	Carboxylic acids
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Carboxylic acids
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Carboxylic acids
1196	869	0.46	0.000	source:	target:	Carboxylic acids
1303	526	0.41	-15.995	source:359,450,1409,1760,6510	target:4736,6574	Carboxylic acids
134	134	1.00	0.000	source:	target:	Carboxylic acids
1378	60	0.83	-0.000	source:	target:1817	Carboxylic acids
145	145	1.00	0.000	source:	target:	Carboxylic acids
1468	1023	0.45	-0.000	source:	target:6221	Carboxylic acids
1485	1485	1.00	0.000	source:	target:	Carboxylic acids
1524	263	0.57	-0.000	source:477	target:	Carboxylic acids
1582	229	0.62	-0.000	source:1240	target:1760,1766,8001,8211	Carboxylic acids
1582	336	0.44	0.000	source:1240,1757,4800	target:1760,1766,1776,1778,6314,6351,7093,8001,8211	Carboxylic acids
1614	1117	0.64	-0.000	source:	target:450,1425	Carboxylic acids
1614	40	0.53	-0.000	source:55,361,475,1790	target:1217,1760,1766,7356,8001,8211	Carboxylic acids
1727	121	0.47	0.000	source:	target:4736	Carboxylic acids
1727	356	0.43	-2.015	source:	target:1817,4736	Carboxylic acids
1727	510	0.45	0.000	source:	target:4736	Carboxylic acids
186	186	1.00	0.000	source:	target:	Carboxylic acids
1899	1117	0.52	-0.000	source:	target:1103	Carboxylic acids
1899	1614	0.55	0.000	source:1217,1766	target:	Carboxylic acids
1899	40	0.76	-0.000	source:361,6237	target:497,8211	Carboxylic acids
193	172	0.74	-0.000	source:	target:5137	Carboxylic acids
193	40	0.42	0.984	source:55,77,78,361,445,469,517,519,521,813,866,868,1120,4810,5069,5148,5158,5290,7043	target:479,1760,1766,1776,1778,1809,1817,8001,8211	Carboxylic acids
197	136	0.45	-28.031	source:	target:	Carboxylic acids
201	154	0.64	-0.000	source:	target:1760,1766	Carboxylic acids
