source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1019	415	0.63	30.011	source:359	target:6965	Disaccharides
1019	427	0.51	32.027	source:59,359,411,460,1101,4848,6218	target:490,1225,1240,1707,5130,6432	Disaccharides
1019	462	0.50	-92.062	source:59,359,411,460,502,944,962,1018,1101,1109,1168,1216,1238,1534,2564,3972,4801,4848,5068,5117,5126,6218,7549	target:1433,1710	Disaccharides
1019	465	0.43	-116.083	source:30,59,359,411,427,435,460,473,502,510,865,948,1331,1426,1534,2562,2564,2565,4768,4801,4807,4848,5067,5068,5079,5109,5117,5126,5127,6218,6350,6885,7549	target:44,333,707,912,1098,1112,1123,1146,1192,1240,6962,7928,7945,8469	Disaccharides
1019	469	0.63	46.006	source:359,6506,6917,6966	target:49,5062	Disaccharides
1019	640	0.55	-116.083	source:30,59,359,411,435,460,502,510,865,948,1109,1331,1426,1534,2564,4801,4807,4848,5068,5079,5109,5126,6218,6350,6885,7549	target:333,707,1112,1192,8469	Disaccharides
1019	653	0.49	-56.062	source:59,359,411,460,469,476,948,1109,1534,2564,4801,4848,5079,5109,5117,5126,5127,6218,7549	target:474,707,909,1069,1192,1852,6674,6720,7822,7928,7945,8178	Disaccharides
1019	658	0.44	-54.083	source:56,59,359,411,435,460,469,476,502,948,1216,1238,1534,2564,4848,5068,5079,5109,5126,5127,6218,6930,7549	target:454,474,505,909,1004,1069,1112,1146,1148,1181,1192,1268,3340,4075,6962,6972,8376,8469,8491	Disaccharides
1019	756	0.50	-138.067	source:59,359,411,460,489,502,948,1101,1216,1238,1534,2564,3972,4801,4848,5068,5079,5109,5117,5126,5127,6218,6326,6380,6885,6917,6930,6966,7160,7549,7761,8407	target:1433,1710,6962	Disaccharides
1019	806	0.66	-102.068	source:59,359,411,435,460,502,510,948,1101,1109,1331,1534,2564,4801,4848,5079,5126,6218,6380,6885,6917,6930,6966,7160,7549,8407	target:707,1192,1852,6674,6720,7822,8469	Disaccharides
1019	904	0.49	48.022	source:411,1238,6218,6326,6380,6506,6917,6930,6966,7160,7761	target:	Disaccharides
1063	1019	0.47	136.052	source:1699,6226,7928,7945,8789	target:30,59,359,411,427,435,460,469,473,502,865,944,948,962,974,1018,1101,1109,1168,1216,1238,1331,1426,1534,2562,2564,2565,4768,4801,4807,4848,5068,5079,5109,5117,5126,5127,6218,6885,7549	Disaccharides
1063	415	0.50	166.063	source:1699,6226,7928,7945,8563,8637,8789	target:30,427,435,460,469,473,502,720,865,944,948,962,971,974,1018,1168,1216,1331,1426,1708,2562,2564,2565,2568,4768,4807,4848,5068,5109,5117,5126,5127,6965,7549	Disaccharides
