source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1023	724	0.41	260.126	source:1044,1754,1755,1756,6221,7073	target:37,55,66,414,415,433,450,469,521,720,874,933,1095,1099,1142,1191,1228,1410,1425,1965,3955,4844,5107,5197,5423,6237,6538,7755,8325	Fatty Acyls
1074	240	0.46	-162.053	source:31,57,110,117,329,335,336,337,418,457,459,470,514,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,7413,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:180,465,714,1107,1159,1226,1310,4558,4833,4882,5001,5903,6165,6431,8648,8723	Fatty Acyls
1074	416	0.42	-0.021	source:31,57,110,117,329,335,336,337,418,459,470,484,514,709,875,895,1138,1189,1190,1388,1695,4568,4835,4836,7089,7303,7413,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:30,180,486,714,721,785,884,1103,1169,1237,1238,2565,2816,4558,4833,4882,5001,6165,6219,6875,6916,8434,8648,8723	Fatty Acyls
1074	846	0.41	-162.052	source:2,31,57,110,117,329,335,336,337,418,457,459,470,514,516,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,7413,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:50,180,714,1070,1103,1122,1169,1310,1480,2816,4081,4558,4818,4833,4882,5001,5146,5214,5367,5903,6165,6219,6238,6875,6916,7006,7044,7659,8206,8412,8434,8448,8648,8723	Fatty Acyls
110	110	1.00	0.000	source:	target:	Fatty Acyls
1145	1145	1.00	0.000	source:	target:	Fatty Acyls
1151	504	0.56	-0.000	source:	target:	Fatty Acyls
1160	994	0.62	0.000	source:49	target:	Fatty Acyls
1174	731	0.45	-14.016	source:	target:	Fatty Acyls
1185	314	0.43	-0.000	source:	target:	Fatty Acyls
1185	583	0.43	30.011	source:	target:	Fatty Acyls
121	39	0.55	0.000	source:1762,1770	target:1225,7918	Fatty Acyls
1260	1185	0.55	46.006	source:1710	target:	Fatty Acyls
1260	314	0.67	46.005	source:1710,7760	target:5109,5117,5126,6350	Fatty Acyls
1260	583	0.50	76.016	source:	target:	Fatty Acyls
1260	622	0.41	-100.088	source:56,477,481,1852,6674	target:443,1698,1708,7572,7639,7640	Fatty Acyls
1263	191	0.41	-208.110	source:55,469,720,1044,1228,1410	target:499,514,1752,1754,1756,1902,6510,7552,8355	Fatty Acyls
1263	370	0.41	-226.120	source:37,55,139,433,469,720,1095,1142,1191,1228,1425,5197,6538	target:	Fatty Acyls
1263	724	0.52	18.011	source:1044	target:66	Fatty Acyls
1269	1185	0.43	-56.027	source:1965,6538	target:	Fatty Acyls
1269	1260	0.41	-102.032	source:1965,5109,5117,5126,6538,6580,6965,7120	target:1428,1710,1852,6720,8447	Fatty Acyls
1269	583	0.42	-26.016	source:1965	target:1103,1109,2835	Fatty Acyls
127	127	1.00	0.000	source:	target:	Fatty Acyls
1394	154	0.66	-0.000	source:	target:1762	Fatty Acyls
1394	201	0.63	0.000	source:55,1069	target:	Fatty Acyls
1408	526	0.42	-242.189	source:37,57,359,414,415,450,476,477,513,521,867,874,1095,1099,1167,1191,1207,1217,1218,1228,1229,1409,1410,1422,1425,1706,1707,1965,4816,4844,5107,5124,5126,5129,5135,5197,5423,6237,6538,8211	target:	Fatty Acyls
1411	1023	0.42	-244.131	source:37,55,139,415,433,450,469,521,720,1095,1142,1191,1228,1410,1425,1965,4844,5107,5197,5423,6237,6538,8405	target:1752,1754,1755	Fatty Acyls
1411	370	0.42	-228.136	source:37,55,139,433,469,521,720,1095,1142,1191,1228,1229,1425,3956,5197,5423,6538,8405	target:	Fatty Acyls
1415	1185	0.45	-30.011	source:	target:	Fatty Acyls
1415	1260	0.56	-76.016	source:5117	target:	Fatty Acyls
1415	1269	0.41	26.016	source:	target:6538	Fatty Acyls
1415	314	0.44	-30.011	source:	target:	Fatty Acyls
1415	583	0.76	-0.000	source:	target:	Fatty Acyls
1426	240	0.46	18.011	source:1103,1433,2835,6962,8447	target:49,180,465,508,1159,2601,4083,4558,5903,6431,6565,6595,7737,8723	Fatty Acyls
1426	293	0.46	180.042	source:6962	target:49,341,357,476,721,1480,1541,4083,4418,4558,4818,5379,5903,6218,6219,6281,6565,6595,6875,7008,7044,7480,7659,7737,8206,8303,8412,8448,8723	Fatty Acyls
1426	316	0.64	18.011	source:	target:50,180,4081,4083,4818,5379,5903,6219,6565,8434,8723	Fatty Acyls
1426	416	0.62	180.042	source:	target:30,180,341,721,1237,1238,1541,2565,2816,4083,4558,5379,6160,6218,6219,6281,6393,6565,6595,6875,7737,8434,8723	Fatty Acyls
1426	846	0.51	18.011	source:	target:50,180,487,1480,1541,2816,4081,4083,4558,4818,5136,5139,5146,5214,5367,5379,5903,6219,6238,6565,6595,6875,7006,7044,7659,7737,8206,8412,8434,8448,8723	Fatty Acyls
1443	1023	0.41	-98.073	source:55,469	target:	Fatty Acyls
145	145	1.00	0.000	source:	target:	Fatty Acyls
1462	1074	0.71	0.000	source:1103,1169,6981,7569	target:	Fatty Acyls
1462	1426	0.45	-180.063	source:31,336,337,476,487,508,875,4835,4836,6160,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	target:333,466,6211	Fatty Acyls
1462	240	0.48	-162.052	source:31,329,336,337,418,459,470,487,514,709,875,1103,1433,2835,4835,4836,6160,6981,7089,7303,7413,7569,7755,8083,8447,8568,8605,8609,8657,8684	target:180,333,466,714,1107,1159,1226,1310,2601,3053,4803,4833,4882,5001,5903,6165,6211,6431,6565,8723	Fatty Acyls
1462	293	0.41	-0.021	source:31,329,336,337,418,459,470,487,514,709,875,4835,4836,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	target:357,486,714,721,785,990,1428,1480,4418,4818,4833,4882,5001,5903,6165,6211,6219,6565,6916,7044,7480,7659,8206,8303,8316,8412,8448,8723	Fatty Acyls
1462	416	0.56	-0.021	source:31,329,336,337,418,459,470,514,709,875,4835,4836,6981,7089,7303,7413,7755,8083,8104,8568,8605,8609,8657,8684	target:180,486,714,721,785,990,2816,4833,4882,5001,6165,6211,6219,6393,6565,6916,8316,8434,8723	Fatty Acyls
1462	846	0.41	-162.052	source:31,329,336,337,418,459,470,508,514,516,709,875,4835,4836,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	target:180,466,714,990,1310,1480,2816,4818,4833,4882,5001,5146,5214,5367,5903,6165,6211,6219,6238,6565,6916,7006,7044,7659,8206,8316,8412,8434,8448,8723	Fatty Acyls
1466	516	0.42	2.016	source:944,8399	target:	Fatty Acyls
1466	966	0.56	-0.002	source:944,974	target:	Fatty Acyls
1468	1023	0.45	-0.000	source:	target:6221	Fatty Acyls
1475	1074	0.45	162.052	source:714,1107,1226,4833,4882,8723	target:31,57,110,117,139,329,335,336,337,418,457,459,470,476,514,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	Fatty Acyls
1475	1426	0.41	-18.011	source:49,6565,7737,8723	target:1122,1433,8447	Fatty Acyls
1475	1462	0.42	162.052	source:466,714,1107,1226,4833,4882,6211,6565,8723	target:31,139,329,336,337,418,459,470,476,487,514,709,875,1433,4835,4836,6160,7089,7303,7569,7755,8083,8447,8568,8605,8609,8657,8684	Fatty Acyls
1475	240	0.66	-0.000	source:	target:1159,4803	Fatty Acyls
1475	257	0.58	0.000	source:	target:50,139,1433,4081,4818,8412,8447	Fatty Acyls
1475	293	0.58	162.031	source:	target:139,357,476,486,721,785,1428,1433,1480,4418,4818,6218,6281,6875,7008,7044,7480,7659,8206,8303,8412,8447,8448	Fatty Acyls
1475	298	0.55	162.031	source:	target:486,721,785,1199,1433,2816,4818,6218,6875,8412,8447	Fatty Acyls
1475	316	0.50	0.000	source:	target:50,139,1428,1433,4081,4818,8447	Fatty Acyls
1475	416	0.77	162.031	source:	target:30,139,486,721,785,1305,1433,2565,2816,6160,6218,6281,6393,6875,8447	Fatty Acyls
1475	598	0.54	184.014	source:865,4768,4777,4833,4882,5067,5129,6211,8607,8723	target:418,459,476,486,721,785,1240,1422,6160,8280,8295,8327	Fatty Acyls
1475	846	0.61	0.000	source:2	target:50,139,487,1070,1122,1433,1480,2816,4081,4818,5136,5139,5146,5214,5367,6238,6875,7006,7044,7659,8206,8412,8447,8448	Fatty Acyls
1475	939	0.47	0.000	source:44,707,898,899,912,1044,1098,1102,1112,1123,1146,1183,1226,8469	target:30,50,139,521,1428,1433,2565,2816,4081,4803,4818,5198,5367,6218,6885,7480,8433,8447	Fatty Acyls
