source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1203	589	0.71	0.000	source:	target:	Iridoids and derivatives
1416	1416	1.00	0.000	source:	target:	Iridoids and derivatives
1446	1250	0.45	0.000	source:	target:	Iridoids and derivatives
2268	347	0.50	0.000	source:437	target:	Iridoids and derivatives
2729	1008	0.43	2.015	source:2,437,948,971,1063,1212,4848,7257	target:499,4968	Iridoids and derivatives
2729	239	0.58	-0.001	source:	target:	Iridoids and derivatives
2729	597	0.45	-0.000	source:	target:	Iridoids and derivatives
2890	347	0.46	-162.053	source:59,716,5124,6218	target:1236,1240,6677,7572,7639,7640	Iridoids and derivatives
2890	577	0.48	46.006	source:	target:6677,7257,7572,7640,8273	Iridoids and derivatives
3001	241	0.52	-30.011	source:1240,1373,1394,6162,6731	target:443	Iridoids and derivatives
311	241	0.44	2.015	source:1200	target:1708,2565,8329	Iridoids and derivatives
3202	3202	1.00	0.000	source:	target:	Iridoids and derivatives
3349	3349	1.00	0.000	source:	target:	Iridoids and derivatives
3385	3385	1.00	0.000	source:	target:	Iridoids and derivatives
347	311	0.52	1.980	source:6993,8329,8400	target:59,1200,1433,5124	Iridoids and derivatives
3602	3602	1.00	0.000	source:	target:	Iridoids and derivatives
3747	3747	1.00	0.000	source:	target:	Iridoids and derivatives
4757	577	0.57	0.000	source:	target:	Iridoids and derivatives
4786	241	0.66	-0.000	source:7144	target:6218	Iridoids and derivatives
4786	3001	0.48	30.010	source:6509,7144	target:139,1373	Iridoids and derivatives
495	239	0.45	46.005	source:454,1698,5063,6677,7639	target:1107	Iridoids and derivatives
495	458	0.42	-162.053	source:31,36,110,117,329,335,336,337,411,418,437,454,481,484,487,709,875,895,1004,1138,1189,1190,1229,1695,1698,1902,4568,4835,4836,5107,5423,6225,6580,6677,6869,6965,6988,7089,7120,7303,7312,7350,7413,7491,7572,7639,7640,7760,7840,7968,8083,8104,8252,8270,8273,8422,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:59,427,1147	Iridoids and derivatives
577	311	0.48	-206.079	source:139,1708,6587,6993,7569,8273,8329,8400,8457	target:1004	Iridoids and derivatives
577	347	0.56	-208.058	source:59,139,1708,5124	target:	Iridoids and derivatives
835	552	0.64	-0.000	source:50,4848	target:	Iridoids and derivatives
1071	1071	1	0	null	null	Iridoids and derivatives
710	710	1	0	null	null	Iridoids and derivatives
3389	3389	1	0	null	null	Iridoids and derivatives
2664	2664	1	0	null	null	Iridoids and derivatives
4249	4249	1	0	null	null	Iridoids and derivatives
2824	2824	1	0	null	null	Iridoids and derivatives
2758	2758	1	0	null	null	Iridoids and derivatives
2608	2608	1	0	null	null	Iridoids and derivatives
1107	1107	1	0	null	null	Iridoids and derivatives
1108	1108	1	0	null	null	Iridoids and derivatives
2415	2415	1	0	null	null	Iridoids and derivatives
2100	2100	1	0	null	null	Iridoids and derivatives
