source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1072	449	0.43	-18.011	source:1109,1433,8428,8447	target:734,1004,3053,4999,5088,6318,7969,8311	Lignan glycosides
1072	707	0.42	-180.064	source:716,1433,8447	target:4801	Lignan glycosides
1083	1072	0.49	-30.011	source:	target:	Lignan glycosides
1083	247	0.43	-2.016	source:502,674,1109,1268,1305,1433,1698,6962,7639	target:34,49,56,734,6674,8311	Lignan glycosides
1083	449	0.41	-48.022	source:487,502,1109,1268,1433,1698	target:56,734,3053,4168,4999,5088,6318,7290,7380,7969,8311	Lignan glycosides
1295	274	0.94	-0.000	source:	target:	Lignan glycosides
1404	1083	0.57	162.052	source:56,7290,8295	target:484,487,716,1433,7639	Lignan glycosides
1404	847	0.53	160.037	source:944,1018,1109,4801,8327,8428	target:484,716,1346,7639,8311	Lignan glycosides
1483	1072	0.67	-0.000	source:	target:	Lignan glycosides
1483	1083	0.44	30.010	source:7290	target:487,502	Lignan glycosides
1483	1404	0.42	-132.042	source:716,7639	target:4801,6731	Lignan glycosides
1715	1715	1.00	0.000	source:	target:	Lignan glycosides
2081	1746	0.49	0.000	source:	target:	Lignan glycosides
238	238	1.00	0.000	source:	target:	Lignan glycosides
2405	2405	1.00	0.000	source:	target:	Lignan glycosides
2427	1083	0.47	48.060	source:34,56,5088,8311	target:487,502,1103,1268,1698,6677,7350,7572,7639,7640	Lignan glycosides
2427	243	0.42	0.038	source:34,56,1422,6731	target:70,681,1148,4168,6677,6972,7572,7640,7932,8407	Lignan glycosides
2427	244	0.53	-162.015	source:	target:1367,4168,7572,7640	Lignan glycosides
2427	247	0.72	46.044	source:44	target:7572	Lignan glycosides
2427	317	0.47	-162.015	source:	target:4168,7350,7572	Lignan glycosides
2427	449	0.67	0.038	source:	target:1148,4168,7572	Lignan glycosides
2427	707	0.49	-162.015	source:34,6731,8311	target:1698,6677,7350,7572,7639,7640	Lignan glycosides
244	243	0.48	162.052	source:34,56,1367,3179,4801,6333	target:681,716,2055,3972,6972,8407	Lignan glycosides
247	244	0.54	-208.058	source:49,716	target:44,898,899,912,1098,1146,1305,7969	Lignan glycosides
2485	2485	1.00	0.000	source:	target:	Lignan glycosides
2526	2526	1.00	0.000	source:	target:	Lignan glycosides
261	261	1.00	0.000	source:	target:	Lignan glycosides
317	243	0.72	162.052	source:	target:716,1148,2055,3972,8407	Lignan glycosides
317	244	0.63	0.000	source:1109	target:1367	Lignan glycosides
317	247	0.41	208.059	source:44,898,899,910,912,1098,1109,1146,1263,1352,6318	target:49,716,734,6580,6674	Lignan glycosides
3623	1083	0.52	-0.000	source:49,56,8311	target:487,502,944,1103,1109,1168,1268,1422,1433,1698	Lignan glycosides
386	355	0.70	0.000	source:55	target:	Lignan glycosides
3938	377	0.52	0.000	source:7780,8871	target:2055,6171	Lignan glycosides
4219	244	0.42	-0.000	source:1101,1103,1109,1147,2835	target:1304,8311	Lignan glycosides
4219	317	0.59	-0.000	source:1101,1147	target:1352	Lignan glycosides
4294	4294	1.00	0.000	source:	target:	Lignan glycosides
449	243	0.61	-0.000	source:56	target:681,2055,3972,6972,8407	Lignan glycosides
449	244	0.78	-162.053	source:716	target:6333	Lignan glycosides
449	247	0.71	46.006	source:6318,7380,7969	target:	Lignan glycosides
449	317	0.50	-162.053	source:716,734,1148,7380	target:1109	Lignan glycosides
4797	349	0.43	0.000	source:1109	target:6161,7640,8020	Lignan glycosides
4797	621	0.46	162.053	source:56,1109,1195,4801,4807,6731	target:716,1148,2055,7640	Lignan glycosides
4893	1072	0.49	-0.000	source:49,354,5088,8311	target:55,70,510,674,894,944,958,1018,1103,1109,1168,1305,1331,1433,4777,6160,6962,8428,8447	Lignan glycosides
4893	3947	0.50	-0.000	source:	target:	Lignan glycosides
527	355	0.44	0.000	source:6972	target:	Lignan glycosides
707	243	0.47	162.052	source:958,4801	target:681,716,1263,1352,2055,3341,3972,4967,4999,6972,7637,7932,8407	Lignan glycosides
707	244	0.55	-0.000	source:	target:34,3179,4999,8311	Lignan glycosides
707	247	0.48	208.058	source:1305,1698,7639	target:34,49,716,734,6580,6674,6731,8311	Lignan glycosides
707	317	0.62	-0.000	source:	target:1263,1352,4999	Lignan glycosides
707	449	0.58	162.053	source:1698	target:716,734,4999,8311	Lignan glycosides
800	800	1	0	null	null	Lignan glycosides
4015	4015	1	0	null	null	Lignan glycosides
1449	1449	1	0	null	null	Lignan glycosides
4767	4767	1	0	null	null	Lignan glycosides
1968	1968	1	0	null	null	Lignan glycosides
716	716	1	0	null	null	Lignan glycosides
1893	1893	1	0	null	null	Lignan glycosides
1935	1935	1	0	null	null	Lignan glycosides
1007	1007	1	0	null	null	Lignan glycosides
