source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1014	1014	1.00	0.000	source:	target:	Lipids and lipid-like molecules
1019	314	0.45	-76.031	source:30,59,411,460,502,865,944,962,974,1018,1101,1168,1216,1236,1238,1331,1426,1534,2055,2562,2564,2565,3972,4801,4848,6218,6326,6380,6506,6885,6917,6930,6966,7160,7549,7743,7760,7761,8274,8407	target:5062	Lipids and lipid-like molecules
1019	415	0.63	30.011	source:359	target:6965	Lipids and lipid-like molecules
1019	904	0.49	48.022	source:411,1238,6218,6326,6380,6506,6917,6930,6966,7160,7761	target:	Lipids and lipid-like molecules
1023	724	0.41	260.126	source:1044,1754,1755,1756,6221,7073	target:37,55,66,414,415,433,450,469,521,720,874,933,1095,1099,1142,1191,1228,1410,1425,1965,3955,4844,5107,5197,5423,6237,6538,7755,8325	Lipids and lipid-like molecules
1058	240	0.45	-162.053	source:55,57,117,329,335,336,337,418,459,470,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:714,1107,1159,1310,2601,3061,4083,4558,4882,5001,5903,6165,6211,6595,7105,7737,8648,8723	Lipids and lipid-like molecules
1058	416	0.47	-0.021	source:57,117,329,335,336,337,418,459,470,484,514,709,875,1138,1189,1190,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	target:139,341,486,714,721,785,884,1169,1305,2816,3061,4083,4558,4882,5001,5379,6165,6211,6219,6281,6393,6595,6875,6916,7105,7737,8316,8406,8434,8648,8723	Lipids and lipid-like molecules
1058	598	0.43	21.961	source:117,335,336,337,427,470,473,484,514,521,865,875,1138,1189,1695,2562,4568,4768,4777,4807,4835,5067,5068,5423,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:486,714,721,785,884,1227,3061,7105,8280,8295,8327,8406	Lipids and lipid-like molecules
1073	526	0.65	0.000	source:1762	target:	Lipids and lipid-like molecules
1073	636	0.48	0.000	source:1762,1790	target:	Lipids and lipid-like molecules
1073	683	0.46	18.011	source:1754,1762,1790	target:1167,1409,4816	Lipids and lipid-like molecules
1074	1058	0.61	0.000	source:139,3061,4083	target:	Lipids and lipid-like molecules
1074	240	0.46	-162.053	source:31,57,110,117,329,335,336,337,418,457,459,470,514,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,7413,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:180,465,714,1107,1159,1226,1310,4558,4833,4882,5001,5903,6165,6431,8648,8723	Lipids and lipid-like molecules
1074	416	0.42	-0.021	source:31,57,110,117,329,335,336,337,418,459,470,484,514,709,875,895,1138,1189,1190,1388,1695,4568,4835,4836,7089,7303,7413,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:30,180,486,714,721,785,884,1103,1169,1237,1238,2565,2816,4558,4833,4882,5001,6165,6219,6875,6916,8434,8648,8723	Lipids and lipid-like molecules
1074	846	0.41	-162.052	source:2,31,57,110,117,329,335,336,337,418,457,459,470,514,516,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,7413,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:50,180,714,1070,1103,1122,1169,1310,1480,2816,4081,4558,4818,4833,4882,5001,5146,5214,5367,5903,6165,6219,6238,6875,6916,7006,7044,7659,8206,8412,8434,8448,8648,8723	Lipids and lipid-like molecules
110	110	1.00	0.000	source:	target:	Lipids and lipid-like molecules
1117	203	0.43	244.131	source:1103,1284	target:37,359,490,1142,1191,1734,1965,5127,5197,6538,6886,7073,7755,8001,8211,8325,8355	Lipids and lipid-like molecules
1117	40	0.53	0.000	source:55,361,476,1103,1284,1425	target:451,8001,8211	Lipids and lipid-like molecules
1124	1124	1.00	0.000	source:	target:	Lipids and lipid-like molecules
1145	1145	1.00	0.000	source:	target:	Lipids and lipid-like molecules
1151	504	0.56	-0.000	source:	target:	Lipids and lipid-like molecules
1160	994	0.62	0.000	source:49	target:	Lipids and lipid-like molecules
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Lipids and lipid-like molecules
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Lipids and lipid-like molecules
1170	40	0.44	-188.097	source:37,55,300,361,409,430,463,467,469,473,475,476,477,485,491,509,521,874,935,939,1755,1790,3955,6244,6499	target:27,1109,1212,1760,1778,1817	Lipids and lipid-like molecules
1172	181	0.41	-74.037	source:36,37,361,450,475,521,706,713,933,1225,3955,5197	target:1956,6071	Lipids and lipid-like molecules
1174	731	0.45	-14.016	source:	target:	Lipids and lipid-like molecules
1185	314	0.43	-0.000	source:	target:	Lipids and lipid-like molecules
1185	415	0.43	106.042	source:	target:30,435,460,502,720,944,948,962,971,974,1018,1168,1216,1708,2055,2564,2565,2568,3972,4848,7549,7743,8274	Lipids and lipid-like molecules
1185	583	0.43	30.011	source:	target:	Lipids and lipid-like molecules
