source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1016	1016	1.00	0.000	source:	target:	Monosaccharides
1029	1029	1.00	0.000	source:	target:	Monosaccharides
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Monosaccharides
1032	662	0.47	162.053	source:1195	target:487,716,1698	Monosaccharides
1041	1041	1.00	0.000	source:	target:	Monosaccharides
1064	247	0.42	336.123	source:25,128,1109,4768,5079,6988,7257,7780,8447,8494,8772,8871	target:34,49,423,505,707,714,716,727,734,861,962,1216,1224,5112,5118,6674,8202,8248,8254,8311,8406	Monosaccharides
1064	286	0.44	174.070	source:487,5079,6988,7257,8447,8494,8772	target:70,423,457,489,505,707,714,861,909,962,1069,1192,1216,1224,1226,1227,1237,1238,1304,4968,5089,5090,5112,5118,6221,7290,7743,8202,8248,8280,8297,8341,8406	Monosaccharides
1064	311	0.50	-2.013	source:	target:59,457,1101,1200,1433,4848,5124	Monosaccharides
1064	347	0.54	-3.993	source:	target:6993,8400	Monosaccharides
1064	494	0.44	-18.009	source:	target:958,1101,1433	Monosaccharides
1064	659	0.45	0.002	source:	target:30,473,1433,2562,4848	Monosaccharides
1064	662	0.44	366.133	source:25,4768,4800,5079,6988,7257,8447,8494,8772	target:486,489,505,707,714,716,727,909,962,1069,5089,5118,7290,8202,8248,8254,8341	Monosaccharides
1064	666	0.43	384.144	source:4768,6988,7257,8447,8772	target:489,502,707,714,716,727,861,909,1069,1216,4968,5089,5111,5112,5118,6221,8248,8341	Monosaccharides
1064	673	0.42	-18.044	source:25,56,128,7257	target:861,1101,1107,1433,4833,6211	Monosaccharides
1064	707	0.43	128.064	source:25,128,189,712,4768,4800,5079,5116,5117,6988,7257,7780,8447,8494,8772,8871	target:423,457,474,486,505,707,714,785,861,909,958,962,1052,1069,1188,1216,1224,1237,1238,1242,1305,4968,5089,5111,5118,6221,7290,8248,8297,8341,8406,8491	Monosaccharides
1064	766	0.48	-43.988	source:4800,6160	target:6350	Monosaccharides
1064	838	0.51	354.133	source:487,4800,6988,8772	target:70,489,707,714,716,727,861,909,958,1069,1192,1216,4968,5089,5111,5112,5118,6221,8248,8254,8327,8406	Monosaccharides
1074	1058	0.61	0.000	source:139,3061,4083	target:	Monosaccharides
1077	1064	0.42	50.035	source:474,909,910,962,1069,1101,1192,1433,3181,4968	target:25,56,128,521,712,1240,4800,6988,7257,7780,8494,8772,8871	Monosaccharides
1079	680	0.41	212.053	source:427,1004,1147,1169,2835,5067,7760,8252	target:2,497,515,1224,1227,2601,5089,5112,5118,6419,8254,8421	Monosaccharides
1097	461	0.45	-204.063	source:354,489,5111,5112,5118	target:341,427,898,899,1021,1101,1151,1169,1188,1426,2835,3181,5379,7907,8126,8254	Monosaccharides
1130	1064	0.45	-0.003	source:30,473,861,1433,2562,2564,4797,4803,4848,5124	target:	Monosaccharides
1130	241	0.45	-0.000	source:1240,7144	target:	Monosaccharides
1130	659	0.49	-0.000	source:	target:	Monosaccharides
1135	323	0.46	-0.000	source:	target:	Monosaccharides
1136	1136	1.00	0.000	source:	target:	Monosaccharides
1183	233	0.41	-27.995	source:1122,1284,1331,2932,5014,6587,7569,7755,8329	target:49,4800,7312,7840	Monosaccharides
1203	494	0.41	9.984	source:476	target:958,6509,6988,7144,7257,8772	Monosaccharides
1203	589	0.71	0.000	source:	target:	Monosaccharides
1203	711	0.43	-15.995	source:7312	target:	Monosaccharides
1255	637	0.41	0.052	source:50,110,481,895,1902,4081,5379,6677,6965,7120,7350,7572,7640	target:423,721,1240,5089,5111,5112,8297,8341	Monosaccharides
1264	1064	0.45	-212.032	source:34,44,486,707,714,721,734,785,861,898,909,912,958,962,1052,1069,1098,1112,1123,1146,1188,1192,1216,1237,1238,1284,6221,8248,8280,8469	target:31,487,1190,1902,6677,6869,7257,7350,7572,7640,7760,7968,8252	Monosaccharides
1266	552	0.42	60.021	source:56,499,1151,1698,7283,8254,8421	target:6587,8406	Monosaccharides
1276	1276	1.00	0.000	source:	target:	Monosaccharides
1292	1292	1.00	0.000	source:	target:	Monosaccharides
1308	241	0.53	-134.037	source:2,33,44,50,341,497,515,707,898,912,958,962,971,1052,1098,1112,1123,1146,1169,1188,1192,1216,1226,1237,1238,2055,2062,4081,4968,5136,5139,5214,5379,6053,6221,6538,7755,8243,8251,8349,8469	target:443,1708,2565,6677,6988,7639	Monosaccharides
1308	514	0.41	146.021	source:25,128,712,2835,5136,5139,6580,6965,7120,7780,7968,8251,8494,8871	target:486,714,785,1268	Monosaccharides
1308	784	0.47	-16.032	source:25,128,5068,6580,6965,7120,7780,8251,8494,8871	target:486,714,1305	Monosaccharides
1310	906	0.42	-18.047	source:56,508	target:50,487,502,1151,1237,1238,2055,4081,5126,5379,6053,6126,8285,8421	Monosaccharides
1321	1114	0.45	-0.000	source:341,865,1200,2835	target:1852,7572,7640,8297	Monosaccharides
1321	835	0.43	0.000	source:	target:6509,7144,7572,7640	Monosaccharides
1321	906	0.53	-16.031	source:476,477,1426,8494	target:487,6126	Monosaccharides
