source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1295	274	0.94	-0.000	source:	target:	Phenol ethers
1449	315	0.47	-326.048	source:27,31,117,335,336,337,354,451,459,499,709,875,1138,1189,1209,1695,4568,4835,4836,5107,5120,5135,5364,5423,6225,6869,7089,7303,7413,7572,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1169,1181,2835,3340	Phenol ethers
1636	1636	1.00	0.000	source:	target:	Phenol ethers
1715	1715	1.00	0.000	source:	target:	Phenol ethers
261	261	1.00	0.000	source:	target:	Phenol ethers
2693	2693	1.00	0.000	source:	target:	Phenol ethers
3360	3360	1.00	0.000	source:	target:	Phenol ethers
3499	1449	0.41	326.048	source:1132,1169,1181,2835,3340,5090	target:27,31,117,335,336,337,354,451,459,475,499,709,720,875,1138,1189,1695,4568,4835,4836,5107,5114,5120,5135,5138,5364,5423,6225,6869,7089,7303,7413,7572,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Phenol ethers
3499	315	0.80	0.000	source:	target:	Phenol ethers
3775	315	0.61	0.000	source:7687	target:476	Phenol ethers
3775	3499	0.56	-0.000	source:720	target:	Phenol ethers
3775	752	0.43	0.000	source:	target:333,466,7969	Phenol ethers
386	355	0.70	0.000	source:55	target:	Phenol ethers
3877	419	0.42	180.039	source:2062	target:329,681,4807,6318,7303,7932	Phenol ethers
419	349	0.42	-198.029	source:721,727,1109,2055	target:31,110,484,895,4967,6161,6869,7640	Phenol ethers
441	354	0.60	-162.053	source:335,709,4568,4835,4836,7303,8104	target:	Phenol ethers
449	317	0.50	-162.053	source:716,734,1148,7380	target:1109	Phenol ethers
4797	349	0.43	0.000	source:1109	target:6161,7640,8020	Phenol ethers
4797	621	0.46	162.053	source:56,1109,1195,4801,4807,6731	target:716,1148,2055,7640	Phenol ethers
519	519	1.00	0.000	source:	target:	Phenol ethers
527	355	0.44	0.000	source:6972	target:	Phenol ethers
566	566	1.00	0.000	source:	target:	Phenol ethers
811	527	0.43	-196.074	source:354,2055,4838,5014,8202,8295,8310,8327	target:6318,6972,7350,7639,7968,8083,8252	Phenol ethers
831	831	1.00	0.000	source:	target:	Phenol ethers
2323	2323	1	0	null	null	Phenol ethers
3980	3980	1	0	null	null	Phenol ethers
3366	3366	1	0	null	null	Phenol ethers
1445	1445	1	0	null	null	Phenol ethers
4015	4015	1	0	null	null	Phenol ethers
828	828	1	0	null	null	Phenol ethers
906	906	1	0	null	null	Phenol ethers
637	637	1	0	null	null	Phenol ethers
682	682	1	0	null	null	Phenol ethers
999	999	1	0	null	null	Phenol ethers
1112	1112	1	0	null	null	Phenol ethers
493	493	1	0	null	null	Phenol ethers
454	454	1	0	null	null	Phenol ethers
967	967	1	0	null	null	Phenol ethers
1007	1007	1	0	null	null	Phenol ethers
