source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1014	1014	1.00	0.000	source:	target:	Prenol lipids
1107	953	0.41	-17.937	source:139,189,712,2835,5062,5105,6509,6587,6988,6993,7144,7569,7780,8329,8400,8457,8494,8871	target:435,865,2564,2565,2568,3972,6902,7210,7459,7549,7930,8210,8274	Prenol lipids
1196	869	0.46	0.000	source:	target:	Prenol lipids
1203	589	0.71	0.000	source:	target:	Prenol lipids
1266	552	0.42	60.021	source:56,499,1151,1698,7283,8254,8421	target:6587,8406	Prenol lipids
1446	1250	0.45	0.000	source:	target:	Prenol lipids
1485	1485	1.00	0.000	source:	target:	Prenol lipids
2268	347	0.50	0.000	source:437	target:	Prenol lipids
2456	2456	1.00	0.000	source:	target:	Prenol lipids
2672	1725	0.45	0.000	source:	target:	Prenol lipids
2729	1008	0.43	2.015	source:2,437,948,971,1063,1212,4848,7257	target:499,4968	Prenol lipids
2729	1607	0.42	-0.000	source:2,948,971,6993,7257,8273	target:427,473,865,4768,5127,8447	Prenol lipids
2729	239	0.58	-0.001	source:	target:	Prenol lipids
2729	597	0.45	-0.000	source:	target:	Prenol lipids
2890	347	0.46	-162.053	source:59,716,5124,6218	target:1236,1240,6677,7572,7639,7640	Prenol lipids
2890	577	0.48	46.006	source:	target:6677,7257,7572,7640,8273	Prenol lipids
3001	241	0.52	-30.011	source:1240,1373,1394,6162,6731	target:443	Prenol lipids
3202	3202	1.00	0.000	source:	target:	Prenol lipids
3385	3385	1.00	0.000	source:	target:	Prenol lipids
3389	415	0.43	114.104	source:25,128,139,189,333,466,712,1026,1367,4800,5062,5105,6509,6677,6988,7144,7257,7312,7491,7569,7572,7639,7640,7780,7840,8329,8494,8540,8772,8871	target:435,489,499,502,962,1216,1708,2055,2564,2568,3972,7549,7743,8274	Prenol lipids
3546	2220	0.44	-0.000	source:1433	target:484	Prenol lipids
3602	3602	1.00	0.000	source:	target:	Prenol lipids
3715	2608	0.42	-0.000	source:2932,8457	target:971	Prenol lipids
3747	3747	1.00	0.000	source:	target:	Prenol lipids
383	383	1.00	0.000	source:	target:	Prenol lipids
3875	1266	0.53	0.000	source:50,427,460,473,2062,4768,5127,5379,7259	target:443,1698	Prenol lipids
4113	1203	0.79	-0.000	source:	target:	Prenol lipids
4113	589	0.84	-0.000	source:	target:	Prenol lipids
4757	577	0.57	0.000	source:	target:	Prenol lipids
4786	241	0.66	-0.000	source:7144	target:6218	Prenol lipids
4786	3001	0.48	30.010	source:6509,7144	target:139,1373	Prenol lipids
4786	3715	0.44	14.016	source:5127,8758	target:139,2932,6587,6993,8273,8400,8457	Prenol lipids
495	239	0.45	46.005	source:454,1698,5063,6677,7639	target:1107	Prenol lipids
495	458	0.42	-162.053	source:31,36,110,117,329,335,336,337,411,418,437,454,481,484,487,709,875,895,1004,1138,1189,1190,1229,1695,1698,1902,4568,4835,4836,5107,5423,6225,6580,6677,6869,6965,6988,7089,7120,7303,7312,7350,7413,7491,7572,7639,7640,7760,7840,7968,8083,8104,8252,8270,8273,8422,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:59,427,1147	Prenol lipids
577	347	0.56	-208.058	source:59,139,1708,5124	target:	Prenol lipids
953	415	0.57	-0.000	source:	target:	Prenol lipids
2824	2824	1	0	null	null	Prenol lipids
4286	4286	1	0	null	null	Prenol lipids
4249	4249	1	0	null	null	Prenol lipids
2758	2758	1	0	null	null	Prenol lipids
1722	1722	1	0	null	null	Prenol lipids
1108	1108	1	0	null	null	Prenol lipids
2415	2415	1	0	null	null	Prenol lipids
2100	2100	1	0	null	null	Prenol lipids
1071	1071	1	0	null	null	Prenol lipids
2810	2810	1	0	null	null	Prenol lipids
4505	4505	1	0	null	null	Prenol lipids
710	710	1	0	null	null	Prenol lipids
2664	2664	1	0	null	null	Prenol lipids
