source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1016	1016	1.00	0.000	source:	target:	Primary alcohols
1017	1017	1.00	0.000	source:	target:	Primary alcohols
1029	1029	1.00	0.000	source:	target:	Primary alcohols
1041	1041	1.00	0.000	source:	target:	Primary alcohols
1052	1052	1.00	0.000	source:	target:	Primary alcohols
1064	247	0.42	336.123	source:25,128,1109,4768,5079,6988,7257,7780,8447,8494,8772,8871	target:34,49,423,505,707,714,716,727,734,861,962,1216,1224,5112,5118,6674,8202,8248,8254,8311,8406	Primary alcohols
1064	281	0.51	-2.013	source:56	target:59,457,1101,1200,1433,4848,6218	Primary alcohols
1064	284	0.45	4.033	source:25,1026,1168,4800,7257,7780,8494,8772	target:	Primary alcohols
1064	311	0.50	-2.013	source:	target:59,457,1101,1200,1433,4848,5124	Primary alcohols
1064	347	0.54	-3.993	source:	target:6993,8400	Primary alcohols
1064	392	0.46	4.033	source:25,128,1168,4800,6988,7257,7780,8494,8772,8871	target:6350	Primary alcohols
1064	485	0.46	370.128	source:487,712,1103,1109,1168,1428,4768,4800,5116,7257,8447,8772	target:2,354,456,489,512,517,519,727,813,873,893,1120,1171,1211,1219,2601,4968,5089,5090,5111,5112,5118	Primary alcohols
1064	494	0.44	-18.009	source:	target:958,1101,1433	Primary alcohols
1064	659	0.45	0.002	source:	target:30,473,1433,2562,4848	Primary alcohols
1064	662	0.44	366.133	source:25,4768,4800,5079,6988,7257,8447,8494,8772	target:486,489,505,707,714,716,727,909,962,1069,5089,5118,7290,8202,8248,8254,8341	Primary alcohols
1064	666	0.43	384.144	source:4768,6988,7257,8447,8772	target:489,502,707,714,716,727,861,909,1069,1216,4968,5089,5111,5112,5118,6221,8248,8341	Primary alcohols
1064	707	0.43	128.064	source:25,128,189,712,4768,4800,5079,5116,5117,6988,7257,7780,8447,8494,8772,8871	target:423,457,474,486,505,707,714,785,861,909,958,962,1052,1069,1188,1216,1224,1237,1238,1242,1305,4968,5089,5111,5118,6221,7290,8248,8297,8341,8406,8491	Primary alcohols
1064	766	0.48	-43.988	source:4800,6160	target:6350	Primary alcohols
1064	893	0.46	162.055	source:25,56,1240,4800,6988,7257,8772	target:59,457,473,1433,2562	Primary alcohols
1130	1064	0.45	-0.003	source:30,473,861,1433,2562,2564,4797,4803,4848,5124	target:	Primary alcohols
1130	241	0.45	-0.000	source:1240,7144	target:	Primary alcohols
1130	659	0.49	-0.000	source:	target:	Primary alcohols
1183	233	0.41	-27.995	source:1122,1284,1331,2932,5014,6587,7569,7755,8329	target:49,4800,7312,7840	Primary alcohols
1192	485	0.50	46.005	source:49,1325,4982,8311	target:25,456,512,517,519,813,873,893,1120,1171,1211,1219,8871	Primary alcohols
1197	247	0.45	-1.982	source:5109	target:423,1902,7572,7968	Primary alcohols
1203	494	0.41	9.984	source:476	target:958,6509,6988,7144,7257,8772	Primary alcohols
1203	589	0.71	0.000	source:	target:	Primary alcohols
1203	711	0.43	-15.995	source:7312	target:	Primary alcohols
1220	1064	0.50	-190.050	source:1101,1433,5124	target:4800	Primary alcohols
1220	233	0.43	-208.058	source:499,1331,7569	target:49,4800	Primary alcohols
1220	347	0.44	-194.042	source:499,1433,5124	target:	Primary alcohols
1220	494	0.42	-208.058	source:499,5124,7569	target:	Primary alcohols
1220	766	0.44	-234.037	source:720,1331,6160,6509,6580,6965,7120,7144,7491,7569	target:6350	Primary alcohols
1292	1292	1.00	0.000	source:	target:	Primary alcohols
1305	1064	0.48	6.008	source:59,861,1101,1238,1284,4848,5014,6993,8327,8400	target:4768	Primary alcohols
1305	1220	0.43	196.058	source:1284,5014,8327	target:55,499,1433	Primary alcohols
1305	311	0.47	3.995	source:5014,6993,7569,8327,8329,8400	target:55,427,1433,4768	Primary alcohols
1305	347	0.62	2.016	source:59,515,948,971	target:	Primary alcohols
1305	766	0.45	-37.979	source:59,1284,4801,5014,6160,6509,6580,6965,6993,7120,7144,7569,8327,8329,8400	target:55,427,6350	Primary alcohols
1335	624	0.43	-134.058	source:473,2562,8251	target:515,948,971,1428	Primary alcohols
1335	766	0.42	-176.032	source:2562,6160,6580,6965,7120,7491,8251	target:1428,5079	Primary alcohols
1404	1064	0.41	-176.086	source:44,70,423,457,474,486,489,505,707,714,785,861,884,898,899,909,910,912,962,1069,1098,1102,1112,1123,1146,1183,1192,1216,1224,1226,1227,1237,1238,1242,1305,4968,5089,5090,5111,5112,5118,6221,7290,7743,8202,8248,8254,8280,8295,8297,8327,8341,8406,8469,8491	target:25,128,487,4768,4800,5116,6988,7257,8494,8772	Primary alcohols
