source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1007	255	0.12	16.016	NA	NA	Alkyl glycosides
1007	256	0.17	28.015	NA	NA	Alkyl glycosides
1007	261	0.14	-150.032	NA	NA	Alkyl glycosides
1007	274	0.27	58.026	NA	NA	Alkyl glycosides
1007	290	0.14	-406.105	NA	NA	Alkyl glycosides
1007	302	0.18	-146.037	NA	NA	Alkyl glycosides
1007	314	0.12	-288.043	NA	NA	Alkyl glycosides
1007	317	0.15	-210.053	NA	NA	Alkyl glycosides
1007	323	0.25	-116.027	NA	NA	Alkyl glycosides
1007	349	0.20	-150.032	NA	NA	Alkyl glycosides
1007	355	0.11	-180.042	NA	NA	Alkyl glycosides
1007	376	0.19	-164.048	NA	NA	Alkyl glycosides
1007	377	0.19	-32.006	NA	NA	Alkyl glycosides
1007	386	0.17	-180.042	NA	NA	Alkyl glycosides
1007	415	0.13	-182.001	NA	NA	Alkyl glycosides
1007	419	0.39	47.997	NA	NA	Alkyl glycosides
1007	427	0.11	-179.985	NA	NA	Alkyl glycosides
1007	441	0.17	16.031	NA	NA	Alkyl glycosides
1007	444	0.16	-194.058	NA	NA	Alkyl glycosides
1007	524	0.11	-29.990	NA	NA	Alkyl glycosides
1007	527	0.38	-180.042	NA	NA	Alkyl glycosides
1007	536	0.14	-192.042	NA	NA	Alkyl glycosides
1007	621	0.19	12.021	NA	NA	Alkyl glycosides
1007	622	0.11	-434.136	NA	NA	Alkyl glycosides
1007	637	0.33	-60.021	NA	NA	Alkyl glycosides
1007	660	0.12	16.016	NA	NA	Alkyl glycosides
1007	690	0.26	-178.063	NA	NA	Alkyl glycosides
1007	713	0.11	-434.136	NA	NA	Alkyl glycosides
1007	714	0.15	-192.043	NA	NA	Alkyl glycosides
1007	716	0.18	16.031	NA	NA	Alkyl glycosides
1007	726	0.23	-134.037	NA	NA	Alkyl glycosides
1007	77	0.16	-59.893	NA	NA	Alkyl glycosides
1007	800	0.13	-194.058	NA	NA	Alkyl glycosides
1007	811	0.33	16.031	NA	NA	Alkyl glycosides
1007	847	0.16	-1.995	NA	NA	Alkyl glycosides
1007	953	0.14	-182.000	NA	NA	Alkyl glycosides
1007	981	0.11	-192.042	NA	NA	Alkyl glycosides
1019	244	0.38	1.958	NA	NA	Alkyl glycosides
1019	247	0.28	210.017	NA	NA	Alkyl glycosides
1019	256	0.13	240.027	NA	NA	Alkyl glycosides
1019	290	0.42	-194.093	NA	NA	Alkyl glycosides
1019	314	0.45	-76.031	NA	NA	Alkyl glycosides
1019	317	0.18	1.958	NA	NA	Alkyl glycosides
1019	334	0.26	38.000	NA	NA	Alkyl glycosides
1019	355	0.33	31.969	NA	NA	Alkyl glycosides
1019	365	0.32	-60.036	NA	NA	Alkyl glycosides
1019	377	0.11	180.006	NA	NA	Alkyl glycosides
1019	380	0.37	66.032	NA	NA	Alkyl glycosides
1019	386	0.26	31.969	NA	NA	Alkyl glycosides
1019	415	0.63	30.011	NA	NA	Alkyl glycosides
1019	427	0.51	32.027	NA	NA	Alkyl glycosides
1019	449	0.29	164.011	NA	NA	Alkyl glycosides
1019	469	0.63	46.006	NA	NA	Alkyl glycosides
1019	527	0.11	31.969	NA	NA	Alkyl glycosides
1019	583	0.31	-46.020	NA	NA	Alkyl glycosides
1019	621	0.11	224.032	NA	NA	Alkyl glycosides
1019	622	0.41	-222.125	NA	NA	Alkyl glycosides
1019	660	0.13	228.027	NA	NA	Alkyl glycosides
1019	713	0.36	-222.125	NA	NA	Alkyl glycosides
1019	714	0.33	19.969	NA	NA	Alkyl glycosides
1019	716	0.19	228.043	NA	NA	Alkyl glycosides
1019	77	0.17	152.119	NA	NA	Alkyl glycosides
1019	800	0.21	17.954	NA	NA	Alkyl glycosides
1019	803	0.19	228.043	NA	NA	Alkyl glycosides
1019	847	0.22	210.017	NA	NA	Alkyl glycosides
1019	904	0.49	48.022	NA	NA	Alkyl glycosides
1019	953	0.35	30.011	NA	NA	Alkyl glycosides
1019	981	0.36	19.969	NA	NA	Alkyl glycosides
1032	1007	0.18	134.037	NA	NA	Alkyl glycosides
1032	1019	0.21	-77.974	NA	NA	Alkyl glycosides
1032	238	0.11	132.042	NA	NA	Alkyl glycosides
1032	243	0.20	86.036	NA	NA	Alkyl glycosides
1032	244	0.27	-76.016	NA	NA	Alkyl glycosides
1032	247	0.29	132.043	NA	NA	Alkyl glycosides
1032	255	0.21	150.053	NA	NA	Alkyl glycosides
1032	256	0.31	162.053	NA	NA	Alkyl glycosides
1032	274	0.13	192.064	NA	NA	Alkyl glycosides
1032	290	0.29	-272.068	NA	NA	Alkyl glycosides
1032	302	0.21	-12.000	NA	NA	Alkyl glycosides
1032	314	0.22	-154.005	NA	NA	Alkyl glycosides
1032	317	0.26	-76.016	NA	NA	Alkyl glycosides
1032	323	0.21	18.011	NA	NA	Alkyl glycosides
1032	334	0.15	-39.974	NA	NA	Alkyl glycosides
1032	349	0.16	-15.995	NA	NA	Alkyl glycosides
1032	355	0.26	-46.005	NA	NA	Alkyl glycosides
1032	365	0.13	-138.010	NA	NA	Alkyl glycosides
1032	376	0.27	-30.010	NA	NA	Alkyl glycosides
1032	377	0.14	102.032	NA	NA	Alkyl glycosides
1032	380	0.20	-11.942	NA	NA	Alkyl glycosides
1032	386	0.43	-46.005	NA	NA	Alkyl glycosides
1032	415	0.30	-47.963	NA	NA	Alkyl glycosides
1032	419	0.26	182.034	NA	NA	Alkyl glycosides
1032	427	0.27	-45.947	NA	NA	Alkyl glycosides
1032	441	0.25	150.069	NA	NA	Alkyl glycosides
1032	444	0.15	-60.021	NA	NA	Alkyl glycosides
1032	449	0.28	86.037	NA	NA	Alkyl glycosides
1032	469	0.24	-31.969	NA	NA	Alkyl glycosides
1032	524	0.19	104.047	NA	NA	Alkyl glycosides
1032	527	0.30	-46.005	NA	NA	Alkyl glycosides
1032	583	0.22	-123.994	NA	NA	Alkyl glycosides
1032	621	0.19	146.058	NA	NA	Alkyl glycosides
1032	622	0.25	-300.099	NA	NA	Alkyl glycosides
1032	629	0.14	-58.005	NA	NA	Alkyl glycosides
1032	637	0.13	74.016	NA	NA	Alkyl glycosides
1032	660	0.14	150.053	NA	NA	Alkyl glycosides
1032	690	0.18	-44.026	NA	NA	Alkyl glycosides
1032	713	0.20	-300.099	NA	NA	Alkyl glycosides
1032	714	0.25	-58.005	NA	NA	Alkyl glycosides
1032	716	0.37	150.069	NA	NA	Alkyl glycosides
1032	726	0.30	0.000	NA	NA	Alkyl glycosides
1032	77	0.12	74.144	NA	NA	Alkyl glycosides
1032	800	0.25	-60.021	NA	NA	Alkyl glycosides
1032	803	0.25	150.069	NA	NA	Alkyl glycosides
