source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1010	236	0.13	-142.042	NA	NA	Alpha hydroxy acids and derivatives
1010	237	0.11	-146.074	NA	NA	Alpha hydroxy acids and derivatives
1010	240	0.29	15.995	NA	NA	Alpha hydroxy acids and derivatives
1010	246	0.19	-146.037	NA	NA	Alpha hydroxy acids and derivatives
1010	257	0.29	15.995	NA	NA	Alpha hydroxy acids and derivatives
1010	272	0.17	-202.064	NA	NA	Alpha hydroxy acids and derivatives
1010	293	0.25	178.026	NA	NA	Alpha hydroxy acids and derivatives
1010	298	0.27	178.026	NA	NA	Alpha hydroxy acids and derivatives
1010	316	0.28	15.995	NA	NA	Alpha hydroxy acids and derivatives
1010	361	0.12	-172.053	NA	NA	Alpha hydroxy acids and derivatives
1010	416	0.32	178.026	NA	NA	Alpha hydroxy acids and derivatives
1010	537	0.15	-162.033	NA	NA	Alpha hydroxy acids and derivatives
1010	541	0.19	37.977	NA	NA	Alpha hydroxy acids and derivatives
1010	542	0.16	-204.043	NA	NA	Alpha hydroxy acids and derivatives
1010	594	0.13	-114.047	NA	NA	Alpha hydroxy acids and derivatives
1010	684	0.13	20.011	NA	NA	Alpha hydroxy acids and derivatives
1010	757	0.13	-190.064	NA	NA	Alpha hydroxy acids and derivatives
1010	801	0.14	-190.064	NA	NA	Alpha hydroxy acids and derivatives
1010	802	0.11	-128.063	NA	NA	Alpha hydroxy acids and derivatives
1010	810	0.15	34.026	NA	NA	Alpha hydroxy acids and derivatives
1010	846	0.32	15.995	NA	NA	Alpha hydroxy acids and derivatives
1010	920	0.12	-174.069	NA	NA	Alpha hydroxy acids and derivatives
1010	939	0.19	15.995	NA	NA	Alpha hydroxy acids and derivatives
1010	986	0.37	182.057	NA	NA	Alpha hydroxy acids and derivatives
1010	994	0.15	-190.027	NA	NA	Alpha hydroxy acids and derivatives
1015	1010	0.31	-13.979	NA	NA	Alpha hydroxy acids and derivatives
1015	240	0.63	2.016	NA	NA	Alpha hydroxy acids and derivatives
1015	246	0.20	-160.017	NA	NA	Alpha hydroxy acids and derivatives
1015	257	0.53	2.016	NA	NA	Alpha hydroxy acids and derivatives
1015	293	0.42	164.047	NA	NA	Alpha hydroxy acids and derivatives
1015	298	0.32	164.047	NA	NA	Alpha hydroxy acids and derivatives
1015	316	0.41	2.016	NA	NA	Alpha hydroxy acids and derivatives
1015	416	0.42	164.047	NA	NA	Alpha hydroxy acids and derivatives
1015	541	0.37	23.998	NA	NA	Alpha hydroxy acids and derivatives
1015	810	0.16	20.047	NA	NA	Alpha hydroxy acids and derivatives
1015	846	0.44	2.016	NA	NA	Alpha hydroxy acids and derivatives
1015	939	0.31	2.016	NA	NA	Alpha hydroxy acids and derivatives
1015	986	0.38	168.078	NA	NA	Alpha hydroxy acids and derivatives
1045	1010	0.14	161.996	NA	NA	Alpha hydroxy acids and derivatives
1045	269	0.27	0.000	NA	NA	Alpha hydroxy acids and derivatives
1045	316	0.11	177.991	NA	NA	Alpha hydroxy acids and derivatives
1045	537	0.20	-0.036	NA	NA	Alpha hydroxy acids and derivatives
1045	542	0.11	-42.047	NA	NA	Alpha hydroxy acids and derivatives
1045	735	0.18	-0.036	NA	NA	Alpha hydroxy acids and derivatives
1045	844	0.13	-2.016	NA	NA	Alpha hydroxy acids and derivatives
1045	867	0.17	-44.026	NA	NA	Alpha hydroxy acids and derivatives
1058	1010	0.21	-178.047	NA	NA	Alpha hydroxy acids and derivatives
1058	1015	0.41	-164.068	NA	NA	Alpha hydroxy acids and derivatives
1058	236	0.14	-320.090	NA	NA	Alpha hydroxy acids and derivatives
1058	237	0.13	-324.121	NA	NA	Alpha hydroxy acids and derivatives
1058	240	0.45	-162.053	NA	NA	Alpha hydroxy acids and derivatives
1058	246	0.35	-324.085	NA	NA	Alpha hydroxy acids and derivatives
1058	257	0.25	-162.052	NA	NA	Alpha hydroxy acids and derivatives
1058	269	0.11	-340.043	NA	NA	Alpha hydroxy acids and derivatives
1058	272	0.27	-380.111	NA	NA	Alpha hydroxy acids and derivatives
1058	293	0.34	-0.021	NA	NA	Alpha hydroxy acids and derivatives
1058	298	0.28	-0.021	NA	NA	Alpha hydroxy acids and derivatives
1058	316	0.34	-162.052	NA	NA	Alpha hydroxy acids and derivatives
1058	361	0.18	-350.101	NA	NA	Alpha hydroxy acids and derivatives
1058	416	0.47	-0.021	NA	NA	Alpha hydroxy acids and derivatives
1058	537	0.16	-340.080	NA	NA	Alpha hydroxy acids and derivatives
1058	541	0.35	-140.071	NA	NA	Alpha hydroxy acids and derivatives
1058	542	0.19	-382.090	NA	NA	Alpha hydroxy acids and derivatives
1058	684	0.13	-158.037	NA	NA	Alpha hydroxy acids and derivatives
1058	757	0.17	-368.111	NA	NA	Alpha hydroxy acids and derivatives
1058	801	0.15	-368.111	NA	NA	Alpha hydroxy acids and derivatives
1058	802	0.14	-306.111	NA	NA	Alpha hydroxy acids and derivatives
1058	810	0.11	-144.021	NA	NA	Alpha hydroxy acids and derivatives
1058	846	0.37	-162.052	NA	NA	Alpha hydroxy acids and derivatives
1058	920	0.15	-352.116	NA	NA	Alpha hydroxy acids and derivatives
1058	939	0.25	-162.053	NA	NA	Alpha hydroxy acids and derivatives
1058	986	0.26	4.010	NA	NA	Alpha hydroxy acids and derivatives
1058	994	0.17	-368.075	NA	NA	Alpha hydroxy acids and derivatives
