source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
104	8	0.19	14.016	NA	NA	Amines
1092	146	0.15	240.193	NA	NA	Amines
1092	3	0.14	223.203	NA	NA	Amines
1092	326	0.16	170.036	NA	NA	Amines
1092	34	0.12	213.174	NA	NA	Amines
1092	38	0.11	73.036	NA	NA	Amines
1092	409	0.14	-1.059	NA	NA	Amines
1092	54	0.11	101.989	NA	NA	Amines
1092	55	0.11	146.015	NA	NA	Amines
1092	600	0.11	44.989	NA	NA	Amines
1092	67	0.12	57.963	NA	NA	Amines
1092	742	0.16	141.002	NA	NA	Amines
1092	747	0.11	46.041	NA	NA	Amines
1092	795	0.16	218.057	NA	NA	Amines
1092	91	0.13	355.282	NA	NA	Amines
1092	947	0.14	19.022	NA	NA	Amines
1129	146	0.11	49.154	NA	NA	Amines
1129	326	0.11	-21.003	NA	NA	Amines
1136	418	0.12	-104.946	NA	NA	Amines
1136	883	0.24	-290.998	NA	NA	Amines
1150	1092	0.11	-36.036	NA	NA	Amines
1150	34	0.13	177.138	NA	NA	Amines
1150	418	0.13	1.943	NA	NA	Amines
1150	795	0.15	182.021	NA	NA	Amines
1210	3	0.11	23.156	NA	NA	Amines
1210	54	0.13	-98.058	NA	NA	Amines
1210	600	0.12	-155.058	NA	NA	Amines
1210	742	0.11	-59.045	NA	NA	Amines
1210	91	0.17	155.235	NA	NA	Amines
1225	1092	0.12	-232.052	NA	NA	Amines
1225	146	0.15	8.141	NA	NA	Amines
1225	3	0.11	-8.849	NA	NA	Amines
1225	409	0.11	-233.111	NA	NA	Amines
1225	67	0.18	-174.089	NA	NA	Amines
1225	742	0.15	-91.050	NA	NA	Amines
1225	91	0.13	123.229	NA	NA	Amines
1225	947	0.11	-213.030	NA	NA	Amines
1286	172	0.12	-78.993	NA	NA	Amines
1286	193	0.12	-78.993	NA	NA	Amines
1286	34	0.11	360.215	NA	NA	Amines
1298	1092	0.13	14.962	NA	NA	Amines
1298	1225	0.11	247.014	NA	NA	Amines
1298	38	0.11	87.998	NA	NA	Amines
1298	947	0.12	33.984	NA	NA	Amines
1347	1092	0.15	-154.098	NA	NA	Amines
1347	1298	0.11	-169.061	NA	NA	Amines
1347	146	0.16	86.095	NA	NA	Amines
1347	38	0.16	-81.063	NA	NA	Amines
1347	409	0.21	-155.158	NA	NA	Amines
1347	600	0.12	-109.110	NA	NA	Amines
1347	747	0.16	-108.057	NA	NA	Amines
1347	77	0.13	103.102	NA	NA	Amines
1347	947	0.16	-135.076	NA	NA	Amines
1358	1092	0.14	-133.054	NA	NA	Amines
1358	1210	0.15	66.992	NA	NA	Amines
1358	146	0.11	107.139	NA	NA	Amines
1358	409	0.13	-134.114	NA	NA	Amines
1358	600	0.14	-88.065	NA	NA	Amines
1358	747	0.15	-87.013	NA	NA	Amines
140	8	0.11	-28.032	NA	NA	Amines
1432	1136	0.12	90.930	NA	NA	Amines
1432	1150	0.11	-15.958	NA	NA	Amines
1432	1286	0.11	-199.035	NA	NA	Amines
1432	34	0.11	161.180	NA	NA	Amines
1432	418	0.20	-14.016	NA	NA	Amines
1432	883	0.18	-200.068	NA	NA	Amines
146	28	0.15	-211.184	NA	NA	Amines
146	3	0.23	-16.990	NA	NA	Amines
146	34	0.15	-27.019	NA	NA	Amines
146	38	0.14	-167.157	NA	NA	Amines
146	55	0.11	-94.178	NA	NA	Amines
146	67	0.21	-182.230	NA	NA	Amines
146	77	0.37	17.008	NA	NA	Amines
146	91	0.12	115.088	NA	NA	Amines
1471	1092	0.11	-191.008	NA	NA	Amines
1471	1347	0.20	-36.909	NA	NA	Amines
1471	146	0.13	49.185	NA	NA	Amines
1471	326	0.11	-20.972	NA	NA	Amines
1471	38	0.11	-117.972	NA	NA	Amines
1471	409	0.40	-192.067	NA	NA	Amines
1471	54	0.12	-89.019	NA	NA	Amines
1471	600	0.12	-146.019	NA	NA	Amines
1471	67	0.13	-133.045	NA	NA	Amines
1471	747	0.15	-144.967	NA	NA	Amines
1471	77	0.11	66.193	NA	NA	Amines
1471	947	0.19	-171.986	NA	NA	Amines
1586	1092	0.16	133.107	NA	NA	Amines
1586	1225	0.11	365.159	NA	NA	Amines
1586	1298	0.11	118.145	NA	NA	Amines
1586	1347	0.16	287.206	NA	NA	Amines
1586	146	0.19	373.300	NA	NA	Amines
1586	326	0.11	303.143	NA	NA	Amines
1586	34	0.13	346.281	NA	NA	Amines
1586	38	0.12	206.143	NA	NA	Amines
1586	409	0.11	132.048	NA	NA	Amines
1586	742	0.16	274.109	NA	NA	Amines
1586	747	0.20	179.148	NA	NA	Amines
1586	77	0.13	390.308	NA	NA	Amines
1586	947	0.14	152.129	NA	NA	Amines
1609	1092	0.11	-20.077	NA	NA	Amines
1609	1298	0.14	-35.039	NA	NA	Amines
1609	146	0.13	220.116	NA	NA	Amines
1609	1471	0.11	170.931	NA	NA	Amines
1609	1586	0.12	-153.184	NA	NA	Amines
1609	38	0.12	52.958	NA	NA	Amines
1609	409	0.16	-21.136	NA	NA	Amines
1609	54	0.11	81.912	NA	NA	Amines
1609	55	0.11	125.938	NA	NA	Amines
1609	747	0.19	25.964	NA	NA	Amines
1609	77	0.12	237.124	NA	NA	Amines
1624	1092	0.12	37.061	NA	NA	Amines
1624	1225	0.12	269.113	NA	NA	Amines
1624	1347	0.12	191.160	NA	NA	Amines
1624	1358	0.13	170.115	NA	NA	Amines
1624	146	0.13	277.254	NA	NA	Amines
1624	1471	0.18	228.069	NA	NA	Amines
1624	1586	0.12	-96.046	NA	NA	Amines
1624	1609	0.12	57.138	NA	NA	Amines
1624	3	0.12	260.264	NA	NA	Amines
1624	326	0.17	207.097	NA	NA	Amines
1624	409	0.23	36.002	NA	NA	Amines
1624	54	0.12	139.050	NA	NA	Amines
1624	600	0.12	82.050	NA	NA	Amines
1624	67	0.16	95.024	NA	NA	Amines
1624	742	0.13	178.063	NA	NA	Amines
1624	747	0.21	83.102	NA	NA	Amines
1624	77	0.14	294.262	NA	NA	Amines
1624	947	0.22	56.083	NA	NA	Amines
1640	1092	0.15	-60.000	NA	NA	Amines
1640	1150	0.20	-23.964	NA	NA	Amines
1640	1432	0.13	-8.006	NA	NA	Amines
1640	34	0.14	153.174	NA	NA	Amines
1640	418	0.13	-22.021	NA	NA	Amines
1640	795	0.16	158.057	NA	NA	Amines
1640	883	0.11	-208.074	NA	NA	Amines
1658	1092	0.13	-222.053	NA	NA	Amines
1658	1150	0.16	-186.017	NA	NA	Amines
1658	1640	0.16	-162.053	NA	NA	Amines
1658	795	0.17	-3.995	NA	NA	Amines
1679	1136	0.12	-11.174	NA	NA	Amines
1679	1347	0.19	-0.000	NA	NA	Amines
1679	1432	0.21	-102.104	NA	NA	Amines
1679	1640	0.13	-94.099	NA	NA	Amines
1679	34	0.12	59.076	NA	NA	Amines
1679	418	0.17	-116.120	NA	NA	Amines
1679	883	0.19	-302.172	NA	NA	Amines
1705	1092	0.15	-199.052	NA	NA	Amines
1705	1129	0.11	-8.013	NA	NA	Amines
1705	1210	0.14	0.995	NA	NA	Amines
1705	1225	0.18	33.001	NA	NA	Amines
1705	146	0.21	41.142	NA	NA	Amines
1705	1586	0.12	-332.159	NA	NA	Amines
1705	1624	0.11	-236.113	NA	NA	Amines
1705	3	0.13	24.151	NA	NA	Amines
1705	409	0.14	-200.111	NA	NA	Amines
1705	54	0.14	-97.063	NA	NA	Amines
1705	600	0.21	-154.063	NA	NA	Amines
1705	67	0.12	-141.089	NA	NA	Amines
1705	742	0.13	-58.050	NA	NA	Amines
1705	77	0.12	58.149	NA	NA	Amines
1705	91	0.14	156.230	NA	NA	Amines
1705	947	0.11	-180.029	NA	NA	Amines
172	8	0.12	56.063	NA	NA	Amines
1747	1210	0.11	140.047	NA	NA	Amines
1747	1705	0.14	139.052	NA	NA	Amines
1747	54	0.13	41.989	NA	NA	Amines
1747	600	0.13	-15.011	NA	NA	Amines
1747	747	0.11	-13.958	NA	NA	Amines
1757	1092	0.15	-37.979	NA	NA	Amines
1757	1210	0.12	162.068	NA	NA	Amines
1757	1225	0.14	194.073	NA	NA	Amines
1757	1347	0.14	116.119	NA	NA	Amines
1757	1358	0.16	95.075	NA	NA	Amines
1757	146	0.19	202.214	NA	NA	Amines
1757	1471	0.22	153.029	NA	NA	Amines
1757	1586	0.14	-171.086	NA	NA	Amines
1757	1609	0.12	-17.902	NA	NA	Amines
1757	1624	0.14	-75.040	NA	NA	Amines
1757	1705	0.15	161.073	NA	NA	Amines
1757	1747	0.11	22.021	NA	NA	Amines
1757	3	0.18	185.224	NA	NA	Amines
1757	326	0.18	132.057	NA	NA	Amines
1757	38	0.19	35.057	NA	NA	Amines
1757	409	0.25	-39.038	NA	NA	Amines
1757	54	0.14	64.010	NA	NA	Amines
1757	600	0.12	7.010	NA	NA	Amines
1757	67	0.21	19.984	NA	NA	Amines
1757	742	0.14	103.023	NA	NA	Amines
1757	747	0.18	8.062	NA	NA	Amines
1757	77	0.13	219.222	NA	NA	Amines
1757	91	0.18	317.303	NA	NA	Amines
1757	947	0.18	-18.957	NA	NA	Amines
1808	418	0.11	-201.123	NA	NA	Amines
1847	1092	0.22	-28.970	NA	NA	Amines
1847	1210	0.11	171.076	NA	NA	Amines
1847	1347	0.11	125.128	NA	NA	Amines
1847	146	0.12	211.223	NA	NA	Amines
1847	1586	0.14	-162.077	NA	NA	Amines
1847	1757	0.19	9.009	NA	NA	Amines
1847	38	0.12	44.065	NA	NA	Amines
1847	747	0.11	17.071	NA	NA	Amines
1847	77	0.13	228.231	NA	NA	Amines
1884	1092	0.21	-110.015	NA	NA	Amines
1884	1225	0.15	122.037	NA	NA	Amines
