source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1092	1038	0.19	51.994	NA	NA	Amino acids, peptides, and analogues
1092	146	0.15	240.193	NA	NA	Amino acids, peptides, and analogues
1092	295	0.11	23.963	NA	NA	Amino acids, peptides, and analogues
1092	3	0.14	223.203	NA	NA	Amino acids, peptides, and analogues
1092	326	0.16	170.036	NA	NA	Amino acids, peptides, and analogues
1092	34	0.12	213.174	NA	NA	Amino acids, peptides, and analogues
1092	55	0.11	146.015	NA	NA	Amino acids, peptides, and analogues
1092	67	0.12	57.963	NA	NA	Amino acids, peptides, and analogues
1092	747	0.11	46.041	NA	NA	Amino acids, peptides, and analogues
1092	795	0.16	218.057	NA	NA	Amino acids, peptides, and analogues
1092	91	0.13	355.282	NA	NA	Amino acids, peptides, and analogues
1136	418	0.12	-104.946	NA	NA	Amino acids, peptides, and analogues
1150	1092	0.11	-36.036	NA	NA	Amino acids, peptides, and analogues
1150	34	0.13	177.138	NA	NA	Amino acids, peptides, and analogues
1150	418	0.13	1.943	NA	NA	Amino acids, peptides, and analogues
1150	795	0.15	182.021	NA	NA	Amino acids, peptides, and analogues
1210	3	0.11	23.156	NA	NA	Amino acids, peptides, and analogues
1210	91	0.17	155.235	NA	NA	Amino acids, peptides, and analogues
1225	1092	0.12	-232.052	NA	NA	Amino acids, peptides, and analogues
1225	146	0.15	8.141	NA	NA	Amino acids, peptides, and analogues
1225	3	0.11	-8.849	NA	NA	Amino acids, peptides, and analogues
1225	67	0.18	-174.089	NA	NA	Amino acids, peptides, and analogues
1225	91	0.13	123.229	NA	NA	Amino acids, peptides, and analogues
1230	1225	0.17	-105.029	NA	NA	Amino acids, peptides, and analogues
1230	146	0.17	-96.888	NA	NA	Amino acids, peptides, and analogues
1230	28	0.14	-308.071	NA	NA	Amino acids, peptides, and analogues
1230	34	0.12	-123.907	NA	NA	Amino acids, peptides, and analogues
1230	418	0.12	-299.102	NA	NA	Amino acids, peptides, and analogues
1230	67	0.12	-279.118	NA	NA	Amino acids, peptides, and analogues
1230	747	0.12	-291.040	NA	NA	Amino acids, peptides, and analogues
1286	172	0.12	-78.993	NA	NA	Amino acids, peptides, and analogues
1286	193	0.12	-78.993	NA	NA	Amino acids, peptides, and analogues
1286	34	0.11	360.215	NA	NA	Amino acids, peptides, and analogues
1430	1136	0.19	-15.097	NA	NA	Amino acids, peptides, and analogues
1430	1230	0.12	179.060	NA	NA	Amino acids, peptides, and analogues
1430	418	0.22	-120.043	NA	NA	Amino acids, peptides, and analogues
1432	1136	0.12	90.930	NA	NA	Amino acids, peptides, and analogues
1432	1150	0.11	-15.958	NA	NA	Amino acids, peptides, and analogues
1432	1286	0.11	-199.035	NA	NA	Amino acids, peptides, and analogues
1432	1430	0.19	106.027	NA	NA	Amino acids, peptides, and analogues
1432	34	0.11	161.180	NA	NA	Amino acids, peptides, and analogues
1432	418	0.20	-14.016	NA	NA	Amino acids, peptides, and analogues
146	28	0.15	-211.184	NA	NA	Amino acids, peptides, and analogues
146	3	0.23	-16.990	NA	NA	Amino acids, peptides, and analogues
146	34	0.15	-27.019	NA	NA	Amino acids, peptides, and analogues
146	55	0.11	-94.178	NA	NA	Amino acids, peptides, and analogues
146	67	0.21	-182.230	NA	NA	Amino acids, peptides, and analogues
146	78	0.19	-6.126	NA	NA	Amino acids, peptides, and analogues
146	91	0.12	115.088	NA	NA	Amino acids, peptides, and analogues
1471	1092	0.11	-191.008	NA	NA	Amino acids, peptides, and analogues
1471	146	0.13	49.185	NA	NA	Amino acids, peptides, and analogues
1471	295	0.13	-167.045	NA	NA	Amino acids, peptides, and analogues
1471	326	0.11	-20.972	NA	NA	Amino acids, peptides, and analogues
1471	67	0.13	-133.045	NA	NA	Amino acids, peptides, and analogues
1471	747	0.15	-144.967	NA	NA	Amino acids, peptides, and analogues
1609	1092	0.11	-20.077	NA	NA	Amino acids, peptides, and analogues
1609	146	0.13	220.116	NA	NA	Amino acids, peptides, and analogues
1609	1471	0.11	170.931	NA	NA	Amino acids, peptides, and analogues
1609	295	0.20	3.886	NA	NA	Amino acids, peptides, and analogues
1609	55	0.11	125.938	NA	NA	Amino acids, peptides, and analogues
1609	747	0.19	25.964	NA	NA	Amino acids, peptides, and analogues
1640	1092	0.15	-60.000	NA	NA	Amino acids, peptides, and analogues
1640	1150	0.20	-23.964	NA	NA	Amino acids, peptides, and analogues
1640	1430	0.11	98.021	NA	NA	Amino acids, peptides, and analogues
1640	1432	0.13	-8.006	NA	NA	Amino acids, peptides, and analogues
1640	34	0.14	153.174	NA	NA	Amino acids, peptides, and analogues
1640	418	0.13	-22.021	NA	NA	Amino acids, peptides, and analogues
1640	795	0.16	158.057	NA	NA	Amino acids, peptides, and analogues
1658	1092	0.13	-222.053	NA	NA	Amino acids, peptides, and analogues
1658	1150	0.16	-186.017	NA	NA	Amino acids, peptides, and analogues
1658	1640	0.16	-162.053	NA	NA	Amino acids, peptides, and analogues
1658	795	0.17	-3.995	NA	NA	Amino acids, peptides, and analogues
1705	1092	0.15	-199.052	NA	NA	Amino acids, peptides, and analogues
1705	1210	0.14	0.995	NA	NA	Amino acids, peptides, and analogues
1705	1225	0.18	33.001	NA	NA	Amino acids, peptides, and analogues
1705	1230	0.13	138.029	NA	NA	Amino acids, peptides, and analogues
1705	146	0.21	41.142	NA	NA	Amino acids, peptides, and analogues
1705	16	0.16	112.305	NA	NA	Amino acids, peptides, and analogues
1705	3	0.13	24.151	NA	NA	Amino acids, peptides, and analogues
1705	67	0.12	-141.089	NA	NA	Amino acids, peptides, and analogues
1705	78	0.12	35.016	NA	NA	Amino acids, peptides, and analogues
1705	91	0.14	156.230	NA	NA	Amino acids, peptides, and analogues
1808	418	0.11	-201.123	NA	NA	Amino acids, peptides, and analogues
186	12	0.11	-58.005	NA	NA	Amino acids, peptides, and analogues
1879	1225	0.12	-6.992	NA	NA	Amino acids, peptides, and analogues
1879	1230	0.11	98.037	NA	NA	Amino acids, peptides, and analogues
1879	146	0.29	1.149	NA	NA	Amino acids, peptides, and analogues
1879	1471	0.11	-48.037	NA	NA	Amino acids, peptides, and analogues
1879	1705	0.15	-39.993	NA	NA	Amino acids, peptides, and analogues
1879	28	0.21	-210.035	NA	NA	Amino acids, peptides, and analogues
1879	3	0.17	-15.842	NA	NA	Amino acids, peptides, and analogues
1879	326	0.11	-69.008	NA	NA	Amino acids, peptides, and analogues
1879	67	0.20	-181.082	NA	NA	Amino acids, peptides, and analogues
1879	78	0.12	-4.977	NA	NA	Amino acids, peptides, and analogues
1879	91	0.12	116.237	NA	NA	Amino acids, peptides, and analogues
1884	1038	0.17	-58.021	NA	NA	Amino acids, peptides, and analogues
1884	1092	0.21	-110.015	NA	NA	Amino acids, peptides, and analogues
1884	1225	0.15	122.037	NA	NA	Amino acids, peptides, and analogues
1884	146	0.12	130.178	NA	NA	Amino acids, peptides, and analogues
1884	1705	0.12	89.036	NA	NA	Amino acids, peptides, and analogues
1884	295	0.12	-86.052	NA	NA	Amino acids, peptides, and analogues
1884	3	0.11	113.187	NA	NA	Amino acids, peptides, and analogues
1884	34	0.11	103.159	NA	NA	Amino acids, peptides, and analogues
