source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1136	883	0.24	-290.998	NA	NA	Aminopyrimidines and derivatives
1150	795	0.15	182.021	NA	NA	Aminopyrimidines and derivatives
1210	3	0.11	23.156	NA	NA	Aminopyrimidines and derivatives
1210	54	0.13	-98.058	NA	NA	Aminopyrimidines and derivatives
1210	600	0.12	-155.058	NA	NA	Aminopyrimidines and derivatives
1358	1210	0.15	66.992	NA	NA	Aminopyrimidines and derivatives
1358	409	0.13	-134.114	NA	NA	Aminopyrimidines and derivatives
1358	600	0.14	-88.065	NA	NA	Aminopyrimidines and derivatives
1358	747	0.15	-87.013	NA	NA	Aminopyrimidines and derivatives
1432	1136	0.12	90.930	NA	NA	Aminopyrimidines and derivatives
1432	1150	0.11	-15.958	NA	NA	Aminopyrimidines and derivatives
1432	1286	0.11	-199.035	NA	NA	Aminopyrimidines and derivatives
1432	883	0.18	-200.068	NA	NA	Aminopyrimidines and derivatives
1471	326	0.11	-20.972	NA	NA	Aminopyrimidines and derivatives
1471	409	0.40	-192.067	NA	NA	Aminopyrimidines and derivatives
1471	54	0.12	-89.019	NA	NA	Aminopyrimidines and derivatives
1471	600	0.12	-146.019	NA	NA	Aminopyrimidines and derivatives
1471	67	0.13	-133.045	NA	NA	Aminopyrimidines and derivatives
1471	747	0.15	-144.967	NA	NA	Aminopyrimidines and derivatives
1471	947	0.19	-171.986	NA	NA	Aminopyrimidines and derivatives
1640	1150	0.20	-23.964	NA	NA	Aminopyrimidines and derivatives
1640	1432	0.13	-8.006	NA	NA	Aminopyrimidines and derivatives
1640	795	0.16	158.057	NA	NA	Aminopyrimidines and derivatives
1640	883	0.11	-208.074	NA	NA	Aminopyrimidines and derivatives
1679	1136	0.12	-11.174	NA	NA	Aminopyrimidines and derivatives
1679	1432	0.21	-102.104	NA	NA	Aminopyrimidines and derivatives
1679	1640	0.13	-94.099	NA	NA	Aminopyrimidines and derivatives
1679	883	0.19	-302.172	NA	NA	Aminopyrimidines and derivatives
1705	1210	0.14	0.995	NA	NA	Aminopyrimidines and derivatives
1705	3	0.13	24.151	NA	NA	Aminopyrimidines and derivatives
1705	409	0.14	-200.111	NA	NA	Aminopyrimidines and derivatives
1705	54	0.14	-97.063	NA	NA	Aminopyrimidines and derivatives
1705	600	0.21	-154.063	NA	NA	Aminopyrimidines and derivatives
1705	67	0.12	-141.089	NA	NA	Aminopyrimidines and derivatives
1705	947	0.11	-180.029	NA	NA	Aminopyrimidines and derivatives
1747	1210	0.11	140.047	NA	NA	Aminopyrimidines and derivatives
1747	1705	0.14	139.052	NA	NA	Aminopyrimidines and derivatives
1747	54	0.13	41.989	NA	NA	Aminopyrimidines and derivatives
1747	600	0.13	-15.011	NA	NA	Aminopyrimidines and derivatives
1747	747	0.11	-13.958	NA	NA	Aminopyrimidines and derivatives
1757	1210	0.12	162.068	NA	NA	Aminopyrimidines and derivatives
1757	1358	0.16	95.075	NA	NA	Aminopyrimidines and derivatives
1757	1471	0.22	153.029	NA	NA	Aminopyrimidines and derivatives
1757	1705	0.15	161.073	NA	NA	Aminopyrimidines and derivatives
1757	1747	0.11	22.021	NA	NA	Aminopyrimidines and derivatives
1757	3	0.18	185.224	NA	NA	Aminopyrimidines and derivatives
1757	326	0.18	132.057	NA	NA	Aminopyrimidines and derivatives
1757	409	0.25	-39.038	NA	NA	Aminopyrimidines and derivatives
1757	54	0.14	64.010	NA	NA	Aminopyrimidines and derivatives
1757	600	0.12	7.010	NA	NA	Aminopyrimidines and derivatives
1757	67	0.21	19.984	NA	NA	Aminopyrimidines and derivatives
1757	747	0.18	8.062	NA	NA	Aminopyrimidines and derivatives
1757	947	0.18	-18.957	NA	NA	Aminopyrimidines and derivatives
1988	1432	0.14	44.047	NA	NA	Aminopyrimidines and derivatives
1988	1640	0.13	52.052	NA	NA	Aminopyrimidines and derivatives
1988	1679	0.11	146.151	NA	NA	Aminopyrimidines and derivatives
1988	326	0.12	162.089	NA	NA	Aminopyrimidines and derivatives
1988	600	0.11	37.041	NA	NA	Aminopyrimidines and derivatives
1988	652	0.16	214.105	NA	NA	Aminopyrimidines and derivatives
1988	883	0.13	-156.021	NA	NA	Aminopyrimidines and derivatives
2050	1471	0.29	-110.097	NA	NA	Aminopyrimidines and derivatives
2050	1757	0.15	-263.126	NA	NA	Aminopyrimidines and derivatives
2050	409	0.23	-302.164	NA	NA	Aminopyrimidines and derivatives
2050	54	0.12	-199.116	NA	NA	Aminopyrimidines and derivatives
2050	600	0.12	-256.116	NA	NA	Aminopyrimidines and derivatives
2050	747	0.12	-255.064	NA	NA	Aminopyrimidines and derivatives
2050	947	0.15	-282.083	NA	NA	Aminopyrimidines and derivatives
2156	3	0.18	199.224	NA	NA	Aminopyrimidines and derivatives
2156	326	0.22	146.058	NA	NA	Aminopyrimidines and derivatives
2156	409	0.13	-25.038	NA	NA	Aminopyrimidines and derivatives
2156	55	0.15	122.037	NA	NA	Aminopyrimidines and derivatives
2156	67	0.20	33.984	NA	NA	Aminopyrimidines and derivatives
2156	747	0.20	22.063	NA	NA	Aminopyrimidines and derivatives
2156	947	0.15	-4.956	NA	NA	Aminopyrimidines and derivatives
2348	1471	0.11	-4.026	NA	NA	Aminopyrimidines and derivatives
2348	1757	0.16	-157.055	NA	NA	Aminopyrimidines and derivatives
2348	326	0.12	-24.998	NA	NA	Aminopyrimidines and derivatives
2348	409	0.21	-196.093	NA	NA	Aminopyrimidines and derivatives
2348	54	0.12	-93.045	NA	NA	Aminopyrimidines and derivatives
2348	747	0.13	-148.992	NA	NA	Aminopyrimidines and derivatives
2361	1210	0.11	162.089	NA	NA	Aminopyrimidines and derivatives
2361	1471	0.11	153.050	NA	NA	Aminopyrimidines and derivatives
2361	1757	0.15	0.021	NA	NA	Aminopyrimidines and derivatives
2361	409	0.11	-39.017	NA	NA	Aminopyrimidines and derivatives
2361	600	0.11	7.031	NA	NA	Aminopyrimidines and derivatives
2361	67	0.11	20.005	NA	NA	Aminopyrimidines and derivatives
2361	947	0.11	-18.936	NA	NA	Aminopyrimidines and derivatives
2543	1210	0.11	-74.037	NA	NA	Aminopyrimidines and derivatives
2543	1358	0.12	-141.030	NA	NA	Aminopyrimidines and derivatives
2543	1471	0.14	-83.076	NA	NA	Aminopyrimidines and derivatives
2543	1705	0.26	-75.032	NA	NA	Aminopyrimidines and derivatives
2543	1747	0.17	-214.084	NA	NA	Aminopyrimidines and derivatives
2543	1757	0.18	-236.105	NA	NA	Aminopyrimidines and derivatives
2543	2348	0.12	-79.050	NA	NA	Aminopyrimidines and derivatives
2543	3	0.11	-50.881	NA	NA	Aminopyrimidines and derivatives
2543	409	0.21	-275.143	NA	NA	Aminopyrimidines and derivatives
2543	54	0.18	-172.095	NA	NA	Aminopyrimidines and derivatives
2543	600	0.18	-229.095	NA	NA	Aminopyrimidines and derivatives
2543	747	0.16	-228.042	NA	NA	Aminopyrimidines and derivatives
2669	1210	0.14	235.092	NA	NA	Aminopyrimidines and derivatives
2669	1358	0.20	168.100	NA	NA	Aminopyrimidines and derivatives
2669	1471	0.16	226.053	NA	NA	Aminopyrimidines and derivatives
2669	1757	0.26	73.024	NA	NA	Aminopyrimidines and derivatives
2669	2050	0.12	336.150	NA	NA	Aminopyrimidines and derivatives
2669	2156	0.13	59.024	NA	NA	Aminopyrimidines and derivatives
2669	2361	0.11	73.003	NA	NA	Aminopyrimidines and derivatives
2669	2543	0.13	309.129	NA	NA	Aminopyrimidines and derivatives
2669	326	0.17	205.081	NA	NA	Aminopyrimidines and derivatives
2669	409	0.17	33.986	NA	NA	Aminopyrimidines and derivatives
2669	54	0.14	137.034	NA	NA	Aminopyrimidines and derivatives
2669	600	0.13	80.034	NA	NA	Aminopyrimidines and derivatives
2669	747	0.17	81.087	NA	NA	Aminopyrimidines and derivatives
2669	947	0.15	54.068	NA	NA	Aminopyrimidines and derivatives
2719	1150	0.13	-298.033	NA	NA	Aminopyrimidines and derivatives
2719	1471	0.11	-143.061	NA	NA	Aminopyrimidines and derivatives
2719	1640	0.13	-274.069	NA	NA	Aminopyrimidines and derivatives
2719	1705	0.23	-135.017	NA	NA	Aminopyrimidines and derivatives
2719	1757	0.19	-296.090	NA	NA	Aminopyrimidines and derivatives
2719	2543	0.18	-59.985	NA	NA	Aminopyrimidines and derivatives
2719	28	0.13	-305.059	NA	NA	Aminopyrimidines and derivatives
2719	3	0.18	-110.866	NA	NA	Aminopyrimidines and derivatives
2719	409	0.12	-335.128	NA	NA	Aminopyrimidines and derivatives
2719	67	0.19	-276.106	NA	NA	Aminopyrimidines and derivatives
2719	795	0.17	-116.011	NA	NA	Aminopyrimidines and derivatives
2750	1210	0.11	236.104	NA	NA	Aminopyrimidines and derivatives
2750	1358	0.12	169.112	NA	NA	Aminopyrimidines and derivatives
2750	1471	0.15	227.066	NA	NA	Aminopyrimidines and derivatives
2750	1757	0.23	74.037	NA	NA	Aminopyrimidines and derivatives
2750	2050	0.16	337.163	NA	NA	Aminopyrimidines and derivatives
2750	2156	0.11	60.036	NA	NA	Aminopyrimidines and derivatives
2750	2348	0.18	231.092	NA	NA	Aminopyrimidines and derivatives
2750	2361	0.13	74.016	NA	NA	Aminopyrimidines and derivatives
2750	2543	0.12	310.142	NA	NA	Aminopyrimidines and derivatives
2750	2669	0.33	1.012	NA	NA	Aminopyrimidines and derivatives
2750	409	0.17	34.998	NA	NA	Aminopyrimidines and derivatives
2750	54	0.14	138.047	NA	NA	Aminopyrimidines and derivatives
2750	600	0.11	81.047	NA	NA	Aminopyrimidines and derivatives
2750	747	0.22	82.099	NA	NA	Aminopyrimidines and derivatives
2750	947	0.14	55.080	NA	NA	Aminopyrimidines and derivatives
2801	2156	0.16	-176.053	NA	NA	Aminopyrimidines and derivatives
2801	3	0.18	23.171	NA	NA	Aminopyrimidines and derivatives
2801	326	0.13	-29.996	NA	NA	Aminopyrimidines and derivatives
2801	55	0.11	-54.017	NA	NA	Aminopyrimidines and derivatives
2801	67	0.16	-142.069	NA	NA	Aminopyrimidines and derivatives
2801	747	0.21	-153.990	NA	NA	Aminopyrimidines and derivatives
