source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1052	754	0.11	-275.089	NA	NA	Azacyclic compounds
1052	931	0.16	-14.015	NA	NA	Azacyclic compounds
1129	146	0.11	49.154	NA	NA	Azacyclic compounds
1129	326	0.11	-21.003	NA	NA	Azacyclic compounds
1129	332	0.13	-19.982	NA	NA	Azacyclic compounds
1129	78	0.11	43.029	NA	NA	Azacyclic compounds
1129	894	0.15	12.000	NA	NA	Azacyclic compounds
1136	418	0.12	-104.946	NA	NA	Azacyclic compounds
1136	883	0.24	-290.998	NA	NA	Azacyclic compounds
1150	1003	0.12	-211.138	NA	NA	Azacyclic compounds
1150	34	0.13	177.138	NA	NA	Azacyclic compounds
1150	418	0.13	1.943	NA	NA	Azacyclic compounds
1150	52	0.11	-225.154	NA	NA	Azacyclic compounds
1150	795	0.15	182.021	NA	NA	Azacyclic compounds
1201	1129	0.12	22.961	NA	NA	Azacyclic compounds
1201	146	0.24	72.115	NA	NA	Azacyclic compounds
1201	264	0.14	-60.042	NA	NA	Azacyclic compounds
1201	28	0.16	-139.069	NA	NA	Azacyclic compounds
1201	3	0.27	55.125	NA	NA	Azacyclic compounds
1201	332	0.17	2.979	NA	NA	Azacyclic compounds
1201	34	0.11	45.096	NA	NA	Azacyclic compounds
1201	382	0.19	-161.105	NA	NA	Azacyclic compounds
1201	409	0.22	-169.137	NA	NA	Azacyclic compounds
1201	562	0.18	-94.026	NA	NA	Azacyclic compounds
1201	67	0.21	-110.115	NA	NA	Azacyclic compounds
1201	677	0.14	-337.162	NA	NA	Azacyclic compounds
1201	742	0.21	-27.076	NA	NA	Azacyclic compounds
1201	746	0.17	-108.042	NA	NA	Azacyclic compounds
1201	747	0.11	-122.037	NA	NA	Azacyclic compounds
1201	754	0.19	-80.047	NA	NA	Azacyclic compounds
1201	78	0.15	65.989	NA	NA	Azacyclic compounds
1201	894	0.35	34.960	NA	NA	Azacyclic compounds
1201	91	0.19	187.203	NA	NA	Azacyclic compounds
1201	931	0.14	181.026	NA	NA	Azacyclic compounds
1201	947	0.11	-149.056	NA	NA	Azacyclic compounds
1210	1201	0.15	-31.968	NA	NA	Azacyclic compounds
1210	3	0.11	23.156	NA	NA	Azacyclic compounds
1210	54	0.13	-98.058	NA	NA	Azacyclic compounds
1210	600	0.12	-155.058	NA	NA	Azacyclic compounds
1210	742	0.11	-59.045	NA	NA	Azacyclic compounds
1210	754	0.15	-112.015	NA	NA	Azacyclic compounds
1210	894	0.11	2.992	NA	NA	Azacyclic compounds
1210	91	0.17	155.235	NA	NA	Azacyclic compounds
1210	931	0.11	149.058	NA	NA	Azacyclic compounds
1225	1201	0.19	-63.974	NA	NA	Azacyclic compounds
1225	146	0.15	8.141	NA	NA	Azacyclic compounds
1225	3	0.11	-8.849	NA	NA	Azacyclic compounds
1225	332	0.13	-60.995	NA	NA	Azacyclic compounds
1225	409	0.11	-233.111	NA	NA	Azacyclic compounds
1225	67	0.18	-174.089	NA	NA	Azacyclic compounds
1225	742	0.15	-91.050	NA	NA	Azacyclic compounds
1225	894	0.19	-29.014	NA	NA	Azacyclic compounds
1225	91	0.13	123.229	NA	NA	Azacyclic compounds
1225	947	0.11	-213.030	NA	NA	Azacyclic compounds
1230	1201	0.15	-169.003	NA	NA	Azacyclic compounds
1230	1225	0.17	-105.029	NA	NA	Azacyclic compounds
1230	146	0.17	-96.888	NA	NA	Azacyclic compounds
1230	28	0.14	-308.071	NA	NA	Azacyclic compounds
1230	34	0.12	-123.907	NA	NA	Azacyclic compounds
1230	409	0.13	-338.140	NA	NA	Azacyclic compounds
1230	418	0.12	-299.102	NA	NA	Azacyclic compounds
1230	67	0.12	-279.118	NA	NA	Azacyclic compounds
1230	747	0.12	-291.040	NA	NA	Azacyclic compounds
1230	894	0.18	-134.043	NA	NA	Azacyclic compounds
1242	1201	0.12	97.097	NA	NA	Azacyclic compounds
1242	1230	0.12	266.100	NA	NA	Azacyclic compounds
1242	146	0.21	169.212	NA	NA	Azacyclic compounds
1242	264	0.13	37.055	NA	NA	Azacyclic compounds
1242	3	0.11	152.222	NA	NA	Azacyclic compounds
1242	38	0.13	2.054	NA	NA	Azacyclic compounds
1242	382	0.28	-64.008	NA	NA	Azacyclic compounds
1242	409	0.41	-72.040	NA	NA	Azacyclic compounds
1242	54	0.16	31.008	NA	NA	Azacyclic compounds
1242	562	0.25	3.071	NA	NA	Azacyclic compounds
1242	600	0.21	-25.992	NA	NA	Azacyclic compounds
1242	67	0.17	-13.019	NA	NA	Azacyclic compounds
1242	677	0.12	-240.065	NA	NA	Azacyclic compounds
1242	742	0.11	70.021	NA	NA	Azacyclic compounds
1242	746	0.30	-10.945	NA	NA	Azacyclic compounds
1242	747	0.14	-24.940	NA	NA	Azacyclic compounds
1242	894	0.17	132.057	NA	NA	Azacyclic compounds
1242	931	0.15	278.123	NA	NA	Azacyclic compounds
1242	947	0.22	-51.959	NA	NA	Azacyclic compounds
1276	1242	0.13	-1.979	NA	NA	Azacyclic compounds
1276	264	0.14	35.076	NA	NA	Azacyclic compounds
1276	38	0.14	0.076	NA	NA	Azacyclic compounds
1276	382	0.18	-65.987	NA	NA	Azacyclic compounds
1276	409	0.15	-74.019	NA	NA	Azacyclic compounds
1276	54	0.11	29.029	NA	NA	Azacyclic compounds
1276	562	0.16	1.092	NA	NA	Azacyclic compounds
1276	746	0.16	-12.924	NA	NA	Azacyclic compounds
1276	894	0.16	130.078	NA	NA	Azacyclic compounds
1276	947	0.14	-53.938	NA	NA	Azacyclic compounds
1284	108	0.12	-67.988	NA	NA	Azacyclic compounds
1286	34	0.11	360.215	NA	NA	Azacyclic compounds
1347	1052	0.22	209.021	NA	NA	Azacyclic compounds
1347	1201	0.15	13.980	NA	NA	Azacyclic compounds
1347	1230	0.13	182.983	NA	NA	Azacyclic compounds
1347	1242	0.13	-83.117	NA	NA	Azacyclic compounds
1347	1276	0.14	-81.138	NA	NA	Azacyclic compounds
1347	146	0.16	86.095	NA	NA	Azacyclic compounds
1347	264	0.17	-46.063	NA	NA	Azacyclic compounds
1347	38	0.16	-81.063	NA	NA	Azacyclic compounds
1347	409	0.21	-155.158	NA	NA	Azacyclic compounds
1347	562	0.18	-80.047	NA	NA	Azacyclic compounds
1347	600	0.12	-109.110	NA	NA	Azacyclic compounds
1347	746	0.20	-94.063	NA	NA	Azacyclic compounds
1347	747	0.16	-108.057	NA	NA	Azacyclic compounds
1347	894	0.13	48.940	NA	NA	Azacyclic compounds
1347	931	0.24	195.006	NA	NA	Azacyclic compounds
1347	947	0.16	-135.076	NA	NA	Azacyclic compounds
1358	1201	0.12	35.024	NA	NA	Azacyclic compounds
1358	1210	0.15	66.992	NA	NA	Azacyclic compounds
1358	146	0.11	107.139	NA	NA	Azacyclic compounds
1358	382	0.11	-126.081	NA	NA	Azacyclic compounds
1358	409	0.13	-134.114	NA	NA	Azacyclic compounds
1358	600	0.14	-88.065	NA	NA	Azacyclic compounds
1358	747	0.15	-87.013	NA	NA	Azacyclic compounds
1399	1003	0.13	26.016	NA	NA	Azacyclic compounds
