source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1071	112	0.12	-126.016	NA	NA	Benzoic acids and derivatives
1071	273	0.23	-208.073	NA	NA	Benzoic acids and derivatives
1071	372	0.17	-370.127	NA	NA	Benzoic acids and derivatives
1071	461	0.35	2.016	NA	NA	Benzoic acids and derivatives
1071	468	0.17	146.022	NA	NA	Benzoic acids and derivatives
1071	493	0.27	118.027	NA	NA	Benzoic acids and derivatives
1071	500	0.22	-386.122	NA	NA	Benzoic acids and derivatives
1071	514	0.28	148.037	NA	NA	Benzoic acids and derivatives
1071	515	0.19	-356.111	NA	NA	Benzoic acids and derivatives
1071	529	0.23	-356.111	NA	NA	Benzoic acids and derivatives
1071	539	0.29	2.016	NA	NA	Benzoic acids and derivatives
1071	554	0.32	-44.026	NA	NA	Benzoic acids and derivatives
1071	555	0.33	-126.070	NA	NA	Benzoic acids and derivatives
1071	611	0.15	-14.016	NA	NA	Benzoic acids and derivatives
1071	642	0.31	-34.020	NA	NA	Benzoic acids and derivatives
1071	67	0.12	-53.036	NA	NA	Benzoic acids and derivatives
1071	671	0.16	-326.100	NA	NA	Benzoic acids and derivatives
1071	680	0.23	210.074	NA	NA	Benzoic acids and derivatives
1071	718	0.11	142.136	NA	NA	Benzoic acids and derivatives
1071	739	0.22	-164.047	NA	NA	Benzoic acids and derivatives
1071	749	0.30	178.048	NA	NA	Benzoic acids and derivatives
1071	753	0.19	-370.127	NA	NA	Benzoic acids and derivatives
1071	784	0.27	-14.016	NA	NA	Benzoic acids and derivatives
1071	791	0.30	-98.075	NA	NA	Benzoic acids and derivatives
1071	793	0.29	-208.073	NA	NA	Benzoic acids and derivatives
1071	808	0.21	-342.095	NA	NA	Benzoic acids and derivatives
1071	840	0.28	-132.042	NA	NA	Benzoic acids and derivatives
1071	856	0.30	32.026	NA	NA	Benzoic acids and derivatives
1071	858	0.19	-160.037	NA	NA	Benzoic acids and derivatives
1071	880	0.25	-160.037	NA	NA	Benzoic acids and derivatives
1071	885	0.25	-140.086	NA	NA	Benzoic acids and derivatives
1071	890	0.27	62.036	NA	NA	Benzoic acids and derivatives
1071	898	0.12	178.048	NA	NA	Benzoic acids and derivatives
1071	901	0.18	-26.039	NA	NA	Benzoic acids and derivatives
1071	906	0.24	15.995	NA	NA	Benzoic acids and derivatives
1071	935	0.15	90.083	NA	NA	Benzoic acids and derivatives
1071	952	0.24	15.995	NA	NA	Benzoic acids and derivatives
1071	963	0.20	-132.042	NA	NA	Benzoic acids and derivatives
1071	965	0.34	-194.057	NA	NA	Benzoic acids and derivatives
1071	967	0.22	148.037	NA	NA	Benzoic acids and derivatives
1071	968	0.16	-104.011	NA	NA	Benzoic acids and derivatives
1071	977	0.27	-27.994	NA	NA	Benzoic acids and derivatives
1079	1071	0.32	1.979	NA	NA	Benzoic acids and derivatives
1079	273	0.17	-206.094	NA	NA	Benzoic acids and derivatives
1079	372	0.13	-368.148	NA	NA	Benzoic acids and derivatives
1079	461	0.25	3.995	NA	NA	Benzoic acids and derivatives
1079	468	0.27	148.001	NA	NA	Benzoic acids and derivatives
1079	493	0.31	120.006	NA	NA	Benzoic acids and derivatives
1079	500	0.21	-384.143	NA	NA	Benzoic acids and derivatives
1079	514	0.25	150.016	NA	NA	Benzoic acids and derivatives
1079	515	0.20	-354.132	NA	NA	Benzoic acids and derivatives
1079	529	0.21	-354.132	NA	NA	Benzoic acids and derivatives
1079	539	0.29	3.995	NA	NA	Benzoic acids and derivatives
1079	554	0.28	-42.047	NA	NA	Benzoic acids and derivatives
1079	555	0.26	-124.091	NA	NA	Benzoic acids and derivatives
1079	611	0.20	-12.037	NA	NA	Benzoic acids and derivatives
1079	642	0.23	-32.041	NA	NA	Benzoic acids and derivatives
1079	671	0.17	-324.121	NA	NA	Benzoic acids and derivatives
1079	680	0.41	212.053	NA	NA	Benzoic acids and derivatives
1079	739	0.24	-162.068	NA	NA	Benzoic acids and derivatives
1079	749	0.23	180.027	NA	NA	Benzoic acids and derivatives
1079	753	0.13	-368.148	NA	NA	Benzoic acids and derivatives
1079	784	0.23	-12.037	NA	NA	Benzoic acids and derivatives
1079	791	0.16	-96.096	NA	NA	Benzoic acids and derivatives
1079	793	0.19	-206.094	NA	NA	Benzoic acids and derivatives
1079	808	0.22	-340.116	NA	NA	Benzoic acids and derivatives
1079	840	0.23	-130.063	NA	NA	Benzoic acids and derivatives
1079	856	0.34	34.005	NA	NA	Benzoic acids and derivatives
1079	858	0.16	-158.058	NA	NA	Benzoic acids and derivatives
1079	880	0.19	-158.058	NA	NA	Benzoic acids and derivatives
1079	885	0.20	-138.107	NA	NA	Benzoic acids and derivatives
1079	890	0.15	64.015	NA	NA	Benzoic acids and derivatives
1079	898	0.11	180.027	NA	NA	Benzoic acids and derivatives
1079	901	0.21	-24.060	NA	NA	Benzoic acids and derivatives
1079	906	0.24	17.974	NA	NA	Benzoic acids and derivatives
1079	935	0.12	92.062	NA	NA	Benzoic acids and derivatives
1079	952	0.23	17.974	NA	NA	Benzoic acids and derivatives
1079	963	0.16	-130.063	NA	NA	Benzoic acids and derivatives
1079	965	0.26	-192.078	NA	NA	Benzoic acids and derivatives
1079	967	0.13	150.016	NA	NA	Benzoic acids and derivatives
1079	968	0.17	-102.032	NA	NA	Benzoic acids and derivatives
1079	977	0.31	-26.015	NA	NA	Benzoic acids and derivatives
1097	1071	0.28	-206.079	NA	NA	Benzoic acids and derivatives
1097	1079	0.24	-208.058	NA	NA	Benzoic acids and derivatives
1097	372	0.14	-576.206	NA	NA	Benzoic acids and derivatives
1097	454	0.11	-532.179	NA	NA	Benzoic acids and derivatives
1097	461	0.45	-204.063	NA	NA	Benzoic acids and derivatives
1097	468	0.31	-60.057	NA	NA	Benzoic acids and derivatives
1097	493	0.22	-88.053	NA	NA	Benzoic acids and derivatives
1097	514	0.24	-58.042	NA	NA	Benzoic acids and derivatives
1097	515	0.12	-562.190	NA	NA	Benzoic acids and derivatives
1097	529	0.15	-562.190	NA	NA	Benzoic acids and derivatives
1097	539	0.24	-204.064	NA	NA	Benzoic acids and derivatives
