source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1100	236	0.30	-100.017	NA	NA	Beta hydroxy acids and derivatives
1100	272	0.28	-160.038	NA	NA	Beta hydroxy acids and derivatives
1100	361	0.31	-130.027	NA	NA	Beta hydroxy acids and derivatives
1100	394	0.30	-162.054	NA	NA	Beta hydroxy acids and derivatives
1100	482	0.26	-190.049	NA	NA	Beta hydroxy acids and derivatives
1100	542	0.27	-162.017	NA	NA	Beta hydroxy acids and derivatives
1100	587	0.48	-132.043	NA	NA	Beta hydroxy acids and derivatives
1100	594	0.32	-72.022	NA	NA	Beta hydroxy acids and derivatives
1100	684	0.29	62.036	NA	NA	Beta hydroxy acids and derivatives
1100	703	0.23	-88.016	NA	NA	Beta hydroxy acids and derivatives
1100	757	0.25	-148.038	NA	NA	Beta hydroxy acids and derivatives
1100	769	0.35	-86.001	NA	NA	Beta hydroxy acids and derivatives
1100	801	0.30	-148.038	NA	NA	Beta hydroxy acids and derivatives
1100	802	0.38	-86.037	NA	NA	Beta hydroxy acids and derivatives
1100	810	0.44	76.052	NA	NA	Beta hydroxy acids and derivatives
1100	903	0.44	32.026	NA	NA	Beta hydroxy acids and derivatives
1100	920	0.35	-132.043	NA	NA	Beta hydroxy acids and derivatives
1106	1100	0.34	-55.988	NA	NA	Beta hydroxy acids and derivatives
1106	236	0.47	-156.004	NA	NA	Beta hydroxy acids and derivatives
1106	272	0.32	-216.026	NA	NA	Beta hydroxy acids and derivatives
1106	361	0.42	-186.015	NA	NA	Beta hydroxy acids and derivatives
1106	394	0.30	-218.041	NA	NA	Beta hydroxy acids and derivatives
1106	482	0.26	-246.036	NA	NA	Beta hydroxy acids and derivatives
1106	542	0.26	-218.005	NA	NA	Beta hydroxy acids and derivatives
1106	587	0.49	-188.031	NA	NA	Beta hydroxy acids and derivatives
1106	594	0.29	-128.009	NA	NA	Beta hydroxy acids and derivatives
1106	684	0.35	6.049	NA	NA	Beta hydroxy acids and derivatives
1106	703	0.40	-144.004	NA	NA	Beta hydroxy acids and derivatives
1106	724	0.11	136.200	NA	NA	Beta hydroxy acids and derivatives
1106	757	0.29	-204.026	NA	NA	Beta hydroxy acids and derivatives
1106	769	0.45	-141.989	NA	NA	Beta hydroxy acids and derivatives
1106	801	0.28	-204.026	NA	NA	Beta hydroxy acids and derivatives
1106	802	0.38	-142.025	NA	NA	Beta hydroxy acids and derivatives
1106	810	0.55	20.065	NA	NA	Beta hydroxy acids and derivatives
1106	903	0.36	-23.962	NA	NA	Beta hydroxy acids and derivatives
1106	920	0.43	-188.031	NA	NA	Beta hydroxy acids and derivatives
1138	1100	0.46	0.000	NA	NA	Beta hydroxy acids and derivatives
1138	1106	0.56	55.988	NA	NA	Beta hydroxy acids and derivatives
1138	236	0.46	-100.016	NA	NA	Beta hydroxy acids and derivatives
1138	272	0.32	-160.038	NA	NA	Beta hydroxy acids and derivatives
1138	361	0.39	-130.027	NA	NA	Beta hydroxy acids and derivatives
1138	394	0.30	-162.053	NA	NA	Beta hydroxy acids and derivatives
1138	482	0.26	-190.049	NA	NA	Beta hydroxy acids and derivatives
1138	542	0.27	-162.017	NA	NA	Beta hydroxy acids and derivatives
1138	587	0.59	-132.043	NA	NA	Beta hydroxy acids and derivatives
1138	594	0.33	-72.021	NA	NA	Beta hydroxy acids and derivatives
1138	684	0.40	62.037	NA	NA	Beta hydroxy acids and derivatives
1138	703	0.38	-88.016	NA	NA	Beta hydroxy acids and derivatives
1138	724	0.11	192.188	NA	NA	Beta hydroxy acids and derivatives
1138	757	0.31	-148.038	NA	NA	Beta hydroxy acids and derivatives
1138	769	0.50	-86.001	NA	NA	Beta hydroxy acids and derivatives
1138	801	0.28	-148.038	NA	NA	Beta hydroxy acids and derivatives
1138	802	0.38	-86.037	NA	NA	Beta hydroxy acids and derivatives
1138	810	0.55	76.052	NA	NA	Beta hydroxy acids and derivatives
1138	903	0.46	32.026	NA	NA	Beta hydroxy acids and derivatives
1138	920	0.48	-132.043	NA	NA	Beta hydroxy acids and derivatives
1158	236	0.12	-106.115	NA	NA	Beta hydroxy acids and derivatives
1158	361	0.13	-136.126	NA	NA	Beta hydroxy acids and derivatives
1158	394	0.15	-168.152	NA	NA	Beta hydroxy acids and derivatives
1158	542	0.14	-168.116	NA	NA	Beta hydroxy acids and derivatives
1158	587	0.11	-138.142	NA	NA	Beta hydroxy acids and derivatives
1158	683	0.11	-70.042	NA	NA	Beta hydroxy acids and derivatives
1158	703	0.11	-94.115	NA	NA	Beta hydroxy acids and derivatives
1158	724	0.14	186.089	NA	NA	Beta hydroxy acids and derivatives
1158	757	0.13	-154.136	NA	NA	Beta hydroxy acids and derivatives
1158	769	0.13	-92.100	NA	NA	Beta hydroxy acids and derivatives
1158	801	0.18	-154.136	NA	NA	Beta hydroxy acids and derivatives
1158	802	0.11	-92.136	NA	NA	Beta hydroxy acids and derivatives
1158	920	0.14	-138.141	NA	NA	Beta hydroxy acids and derivatives
1696	1158	0.11	-19.989	NA	NA	Beta hydroxy acids and derivatives
1696	482	0.19	-216.136	NA	NA	Beta hydroxy acids and derivatives
1696	683	0.18	-90.031	NA	NA	Beta hydroxy acids and derivatives
1696	724	0.13	166.100	NA	NA	Beta hydroxy acids and derivatives
1769	1100	0.18	-80.026	NA	NA	Beta hydroxy acids and derivatives
1769	1106	0.24	-24.038	NA	NA	Beta hydroxy acids and derivatives
1769	1138	0.23	-80.026	NA	NA	Beta hydroxy acids and derivatives
1769	236	0.30	-180.043	NA	NA	Beta hydroxy acids and derivatives
1769	272	0.27	-240.064	NA	NA	Beta hydroxy acids and derivatives
1769	361	0.27	-210.054	NA	NA	Beta hydroxy acids and derivatives
1769	394	0.31	-242.080	NA	NA	Beta hydroxy acids and derivatives
1769	482	0.11	-270.075	NA	NA	Beta hydroxy acids and derivatives
1769	542	0.35	-242.043	NA	NA	Beta hydroxy acids and derivatives
1769	587	0.24	-212.069	NA	NA	Beta hydroxy acids and derivatives
1769	594	0.23	-152.048	NA	NA	Beta hydroxy acids and derivatives
1769	684	0.28	-17.990	NA	NA	Beta hydroxy acids and derivatives
1769	703	0.16	-168.043	NA	NA	Beta hydroxy acids and derivatives
1769	724	0.12	112.161	NA	NA	Beta hydroxy acids and derivatives
1769	757	0.26	-228.064	NA	NA	Beta hydroxy acids and derivatives
1769	769	0.26	-166.027	NA	NA	Beta hydroxy acids and derivatives
1769	801	0.26	-228.064	NA	NA	Beta hydroxy acids and derivatives
1769	802	0.23	-166.063	NA	NA	Beta hydroxy acids and derivatives
1769	810	0.26	-3.974	NA	NA	Beta hydroxy acids and derivatives
1769	903	0.23	-48.000	NA	NA	Beta hydroxy acids and derivatives
1769	920	0.27	-212.069	NA	NA	Beta hydroxy acids and derivatives
1958	1100	0.11	148.038	NA	NA	Beta hydroxy acids and derivatives
1958	1769	0.11	228.064	NA	NA	Beta hydroxy acids and derivatives
