source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1158	136	0.14	14.015	NA	NA	Branched fatty acids
1158	197	0.14	42.047	NA	NA	Branched fatty acids
1158	526	0.19	-88.053	NA	NA	Branched fatty acids
1158	537	0.11	-126.105	NA	NA	Branched fatty acids
1158	636	0.14	-88.053	NA	NA	Branched fatty acids
1158	735	0.16	-126.105	NA	NA	Branched fatty acids
1158	859	0.18	-15.995	NA	NA	Branched fatty acids
1158	867	0.24	-170.095	NA	NA	Branched fatty acids
1158	994	0.23	-154.100	NA	NA	Branched fatty acids
1160	1158	0.13	154.100	NA	NA	Branched fatty acids
1160	136	0.13	168.116	NA	NA	Branched fatty acids
1160	193	0.16	39.048	NA	NA	Branched fatty acids
1160	197	0.13	196.147	NA	NA	Branched fatty acids
1160	537	0.11	27.995	NA	NA	Branched fatty acids
1160	735	0.11	27.995	NA	NA	Branched fatty acids
1160	859	0.20	138.105	NA	NA	Branched fatty acids
1160	867	0.18	-15.995	NA	NA	Branched fatty acids
1160	994	0.62	0.000	NA	NA	Branched fatty acids
1167	1158	0.12	126.105	NA	NA	Branched fatty acids
1167	537	0.62	-0.000	NA	NA	Branched fatty acids
1167	636	0.11	38.052	NA	NA	Branched fatty acids
1167	735	0.49	0.000	NA	NA	Branched fatty acids
1167	859	0.18	110.110	NA	NA	Branched fatty acids
1167	867	0.30	-43.990	NA	NA	Branched fatty acids
1167	994	0.12	-27.995	NA	NA	Branched fatty acids
1304	1158	0.22	142.100	NA	NA	Branched fatty acids
1304	1160	0.22	-12.000	NA	NA	Branched fatty acids
1304	1167	0.16	15.995	NA	NA	Branched fatty acids
1304	193	0.13	27.048	NA	NA	Branched fatty acids
1304	526	0.11	54.047	NA	NA	Branched fatty acids
1304	537	0.14	15.995	NA	NA	Branched fatty acids
1304	636	0.15	54.047	NA	NA	Branched fatty acids
1304	735	0.20	15.995	NA	NA	Branched fatty acids
1304	859	0.16	126.105	NA	NA	Branched fatty acids
1304	867	0.27	-27.995	NA	NA	Branched fatty acids
1304	994	0.23	-12.000	NA	NA	Branched fatty acids
1354	1158	0.20	15.995	NA	NA	Branched fatty acids
1354	1160	0.18	-138.105	NA	NA	Branched fatty acids
1354	1167	0.12	-110.110	NA	NA	Branched fatty acids
1354	1304	0.15	-126.105	NA	NA	Branched fatty acids
1354	136	0.14	30.010	NA	NA	Branched fatty acids
1354	193	0.15	-99.058	NA	NA	Branched fatty acids
1354	197	0.13	58.042	NA	NA	Branched fatty acids
1354	526	0.34	-72.058	NA	NA	Branched fatty acids
1354	537	0.17	-110.110	NA	NA	Branched fatty acids
1354	636	0.30	-72.058	NA	NA	Branched fatty acids
1354	735	0.13	-110.110	NA	NA	Branched fatty acids
1354	859	0.40	0.000	NA	NA	Branched fatty acids
1354	867	0.31	-154.100	NA	NA	Branched fatty acids
1354	934	0.16	-116.048	NA	NA	Branched fatty acids
1354	994	0.19	-138.105	NA	NA	Branched fatty acids
1410	1158	0.23	142.100	NA	NA	Branched fatty acids
1410	1160	0.22	-12.000	NA	NA	Branched fatty acids
1410	1167	0.13	15.995	NA	NA	Branched fatty acids
1410	1304	0.70	-0.000	NA	NA	Branched fatty acids
1410	1354	0.18	126.105	NA	NA	Branched fatty acids
1410	193	0.11	27.047	NA	NA	Branched fatty acids
1410	526	0.11	54.047	NA	NA	Branched fatty acids
1410	537	0.14	15.995	NA	NA	Branched fatty acids
1410	735	0.15	15.995	NA	NA	Branched fatty acids
1410	859	0.19	126.105	NA	NA	Branched fatty acids
1410	867	0.29	-27.995	NA	NA	Branched fatty acids
1410	994	0.23	-12.000	NA	NA	Branched fatty acids
1425	1158	0.13	140.084	NA	NA	Branched fatty acids
1425	1160	0.24	-14.016	NA	NA	Branched fatty acids
1425	1167	0.14	13.979	NA	NA	Branched fatty acids
1425	1304	0.47	-2.016	NA	NA	Branched fatty acids
1425	1354	0.15	124.090	NA	NA	Branched fatty acids
1425	1410	0.53	-2.016	NA	NA	Branched fatty acids
1425	537	0.13	13.979	NA	NA	Branched fatty acids
1425	859	0.13	124.090	NA	NA	Branched fatty acids
1425	867	0.21	-30.011	NA	NA	Branched fatty acids
1425	994	0.23	-14.016	NA	NA	Branched fatty acids
1568	1158	0.49	0.000	NA	NA	Branched fatty acids
1568	1160	0.20	-154.100	NA	NA	Branched fatty acids
1568	1167	0.14	-126.105	NA	NA	Branched fatty acids
1568	1304	0.17	-142.100	NA	NA	Branched fatty acids
1568	1354	0.19	-15.995	NA	NA	Branched fatty acids
1568	136	0.12	14.016	NA	NA	Branched fatty acids
1568	1410	0.19	-142.100	NA	NA	Branched fatty acids
1568	1425	0.17	-140.084	NA	NA	Branched fatty acids
1568	193	0.11	-115.052	NA	NA	Branched fatty acids
1568	197	0.12	42.047	NA	NA	Branched fatty acids
1568	537	0.17	-126.105	NA	NA	Branched fatty acids
1568	735	0.19	-126.105	NA	NA	Branched fatty acids
1568	859	0.22	-15.995	NA	NA	Branched fatty acids
1568	867	0.27	-170.095	NA	NA	Branched fatty acids
1568	994	0.20	-154.100	NA	NA	Branched fatty acids
1599	1158	0.17	112.089	NA	NA	Branched fatty acids
1599	1160	0.22	-42.011	NA	NA	Branched fatty acids
1599	1167	0.23	-14.016	NA	NA	Branched fatty acids
1599	1304	0.21	-30.011	NA	NA	Branched fatty acids
1599	1354	0.22	96.094	NA	NA	Branched fatty acids
1599	136	0.14	126.105	NA	NA	Branched fatty acids
1599	1410	0.21	-30.011	NA	NA	Branched fatty acids
1599	1425	0.13	-27.995	NA	NA	Branched fatty acids
1599	1568	0.22	112.089	NA	NA	Branched fatty acids
1599	193	0.12	-2.963	NA	NA	Branched fatty acids
1599	197	0.13	154.136	NA	NA	Branched fatty acids
1599	537	0.31	-14.016	NA	NA	Branched fatty acids
1599	735	0.20	-14.016	NA	NA	Branched fatty acids
1599	859	0.18	96.094	NA	NA	Branched fatty acids
1599	867	0.38	-58.006	NA	NA	Branched fatty acids
1599	994	0.36	-42.011	NA	NA	Branched fatty acids
1665	1158	0.21	156.116	NA	NA	Branched fatty acids
1665	1160	0.33	2.016	NA	NA	Branched fatty acids
1665	1167	0.12	30.011	NA	NA	Branched fatty acids
1665	1304	0.23	14.016	NA	NA	Branched fatty acids
1665	1354	0.20	140.121	NA	NA	Branched fatty acids
1665	136	0.38	170.131	NA	NA	Branched fatty acids
1665	1410	0.18	14.016	NA	NA	Branched fatty acids
1665	1425	0.15	16.031	NA	NA	Branched fatty acids
1665	1568	0.20	156.116	NA	NA	Branched fatty acids
1665	1599	0.43	44.026	NA	NA	Branched fatty acids
1665	193	0.21	41.063	NA	NA	Branched fatty acids
1665	197	0.38	198.163	NA	NA	Branched fatty acids
1665	526	0.12	68.063	NA	NA	Branched fatty acids
1665	537	0.19	30.010	NA	NA	Branched fatty acids
1665	859	0.13	140.121	NA	NA	Branched fatty acids
1665	934	0.11	24.073	NA	NA	Branched fatty acids
1665	994	0.49	2.016	NA	NA	Branched fatty acids
1752	1158	0.47	-0.000	NA	NA	Branched fatty acids
1752	1160	0.22	-154.100	NA	NA	Branched fatty acids
1752	1167	0.12	-126.105	NA	NA	Branched fatty acids
1752	1304	0.15	-142.100	NA	NA	Branched fatty acids
1752	1354	0.20	-15.995	NA	NA	Branched fatty acids
1752	136	0.14	14.015	NA	NA	Branched fatty acids
1752	1410	0.14	-142.100	NA	NA	Branched fatty acids
1752	1568	0.77	-0.000	NA	NA	Branched fatty acids
1752	1599	0.22	-112.089	NA	NA	Branched fatty acids
1752	1665	0.29	-156.116	NA	NA	Branched fatty acids
1752	197	0.14	42.047	NA	NA	Branched fatty acids
1752	537	0.26	-126.105	NA	NA	Branched fatty acids
1752	735	0.28	-126.105	NA	NA	Branched fatty acids
1752	859	0.19	-15.995	NA	NA	Branched fatty acids
1752	867	0.29	-170.095	NA	NA	Branched fatty acids
1752	934	0.17	-132.043	NA	NA	Branched fatty acids
1752	994	0.21	-154.100	NA	NA	Branched fatty acids
1802	1158	0.11	116.084	NA	NA	Branched fatty acids
1802	1167	0.13	-10.021	NA	NA	Branched fatty acids
1802	1304	0.11	-26.016	NA	NA	Branched fatty acids
1802	1354	0.20	100.089	NA	NA	Branched fatty acids
1802	1410	0.21	-26.016	NA	NA	Branched fatty acids
1802	1568	0.12	116.084	NA	NA	Branched fatty acids
1802	1599	0.20	3.995	NA	NA	Branched fatty acids
1802	1665	0.11	-40.031	NA	NA	Branched fatty acids
1802	193	0.34	1.032	NA	NA	Branched fatty acids
1802	537	0.12	-10.021	NA	NA	Branched fatty acids
1802	636	0.11	28.031	NA	NA	Branched fatty acids
1802	859	0.14	100.089	NA	NA	Branched fatty acids
1802	867	0.12	-54.011	NA	NA	Branched fatty acids
1802	994	0.11	-38.016	NA	NA	Branched fatty acids
1917	1160	0.14	-126.142	NA	NA	Branched fatty acids
1917	1167	0.12	-98.146	NA	NA	Branched fatty acids
1917	1354	0.24	11.964	NA	NA	Branched fatty acids
1917	1410	0.11	-114.142	NA	NA	Branched fatty acids
1917	1425	0.11	-112.126	NA	NA	Branched fatty acids
1917	1665	0.14	-128.157	NA	NA	Branched fatty acids
1917	859	0.13	11.964	NA	NA	Branched fatty acids
1917	867	0.15	-142.137	NA	NA	Branched fatty acids
1965	1160	0.11	2.016	NA	NA	Branched fatty acids
1965	1354	0.11	140.121	NA	NA	Branched fatty acids
1965	1599	0.12	44.027	NA	NA	Branched fatty acids
1965	1665	0.13	0.000	NA	NA	Branched fatty acids
1965	735	0.11	30.011	NA	NA	Branched fatty acids
1965	994	0.14	2.016	NA	NA	Branched fatty acids
197	136	0.45	-28.031	NA	NA	Branched fatty acids
1986	1158	0.12	28.031	NA	NA	Branched fatty acids
1986	1160	0.12	-126.069	NA	NA	Branched fatty acids
1986	1304	0.15	-114.069	NA	NA	Branched fatty acids
1986	1354	0.18	12.036	NA	NA	Branched fatty acids
1986	1410	0.19	-114.069	NA	NA	Branched fatty acids
1986	1425	0.14	-112.053	NA	NA	Branched fatty acids
1986	1568	0.18	28.031	NA	NA	Branched fatty acids
1986	1599	0.17	-84.058	NA	NA	Branched fatty acids
1986	1665	0.11	-128.084	NA	NA	Branched fatty acids
1986	1752	0.15	28.031	NA	NA	Branched fatty acids
