source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1052	296	0.17	-6.050	NA	NA	Carboxylic acid amides
1052	319	0.21	-46.006	NA	NA	Carboxylic acid amides
1052	485	0.20	-14.015	NA	NA	Carboxylic acid amides
1052	687	0.12	-363.120	NA	NA	Carboxylic acid amides
1052	754	0.11	-275.089	NA	NA	Carboxylic acid amides
1052	931	0.16	-14.015	NA	NA	Carboxylic acid amides
1052	975	0.14	-14.015	NA	NA	Carboxylic acid amides
1060	1052	0.12	409.125	NA	NA	Carboxylic acid amides
1060	264	0.14	154.041	NA	NA	Carboxylic acid amides
1060	296	0.21	403.075	NA	NA	Carboxylic acid amides
1060	319	0.21	363.119	NA	NA	Carboxylic acid amides
1060	485	0.18	395.110	NA	NA	Carboxylic acid amides
1060	562	0.13	120.057	NA	NA	Carboxylic acid amides
1060	687	0.20	46.006	NA	NA	Carboxylic acid amides
1060	746	0.16	106.041	NA	NA	Carboxylic acid amides
1060	747	0.16	92.047	NA	NA	Carboxylic acid amides
1060	77	0.17	303.206	NA	NA	Carboxylic acid amides
1060	931	0.16	395.110	NA	NA	Carboxylic acid amides
1060	975	0.18	395.110	NA	NA	Carboxylic acid amides
1129	332	0.13	-19.982	NA	NA	Carboxylic acid amides
1129	78	0.11	43.029	NA	NA	Carboxylic acid amides
1150	34	0.13	177.138	NA	NA	Carboxylic acid amides
1150	795	0.15	182.021	NA	NA	Carboxylic acid amides
1230	28	0.14	-308.071	NA	NA	Carboxylic acid amides
1230	34	0.12	-123.907	NA	NA	Carboxylic acid amides
1230	747	0.12	-291.040	NA	NA	Carboxylic acid amides
1252	1038	0.15	-145.077	NA	NA	Carboxylic acid amides
1252	1052	0.25	166.048	NA	NA	Carboxylic acid amides
1252	1060	0.12	-243.077	NA	NA	Carboxylic acid amides
1252	1129	0.13	-6.033	NA	NA	Carboxylic acid amides
1252	1230	0.14	140.009	NA	NA	Carboxylic acid amides
1252	28	0.11	-168.062	NA	NA	Carboxylic acid amides
1252	296	0.13	159.998	NA	NA	Carboxylic acid amides
1252	3	0.23	26.131	NA	NA	Carboxylic acid amides
1252	319	0.15	120.042	NA	NA	Carboxylic acid amides
1252	332	0.19	-26.015	NA	NA	Carboxylic acid amides
1252	34	0.13	16.102	NA	NA	Carboxylic acid amides
