source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1015	240	0.63	2.016	NA	NA	Catechols
1015	257	0.53	2.016	NA	NA	Catechols
1015	283	0.14	356.110	NA	NA	Catechols
1015	293	0.42	164.047	NA	NA	Catechols
1015	298	0.32	164.047	NA	NA	Catechols
1015	316	0.41	2.016	NA	NA	Catechols
1015	416	0.42	164.047	NA	NA	Catechols
1015	509	0.43	378.092	NA	NA	Catechols
1015	541	0.37	23.998	NA	NA	Catechols
1015	571	0.17	-170.022	NA	NA	Catechols
1015	598	0.42	186.029	NA	NA	Catechols
1015	599	0.20	354.095	NA	NA	Catechols
1015	846	0.44	2.016	NA	NA	Catechols
1015	879	0.17	-1.943	NA	NA	Catechols
1015	939	0.31	2.016	NA	NA	Catechols
1058	1015	0.41	-164.068	NA	NA	Catechols
1058	240	0.45	-162.053	NA	NA	Catechols
1058	257	0.25	-162.052	NA	NA	Catechols
1058	283	0.12	192.042	NA	NA	Catechols
1058	293	0.34	-0.021	NA	NA	Catechols
1058	298	0.28	-0.021	NA	NA	Catechols
1058	316	0.34	-162.052	NA	NA	Catechols
1058	416	0.47	-0.021	NA	NA	Catechols
1058	509	0.26	214.024	NA	NA	Catechols
1058	541	0.35	-140.071	NA	NA	Catechols
1058	571	0.14	-334.090	NA	NA	Catechols
1058	598	0.43	21.961	NA	NA	Catechols
1058	599	0.14	190.027	NA	NA	Catechols
1058	846	0.37	-162.052	NA	NA	Catechols
1058	879	0.19	-166.011	NA	NA	Catechols
1058	939	0.25	-162.053	NA	NA	Catechols
1058	970	0.11	-142.048	NA	NA	Catechols
1069	1015	0.36	-186.029	NA	NA	Catechols
1069	1058	0.23	-21.961	NA	NA	Catechols
1069	240	0.33	-184.014	NA	NA	Catechols
1069	257	0.33	-184.013	NA	NA	Catechols
1069	283	0.11	170.081	NA	NA	Catechols
1069	293	0.23	-21.982	NA	NA	Catechols
1069	298	0.21	-21.982	NA	NA	Catechols
1069	316	0.28	-184.013	NA	NA	Catechols
1069	416	0.34	-21.982	NA	NA	Catechols
1069	509	0.29	192.063	NA	NA	Catechols
1069	541	0.38	-162.032	NA	NA	Catechols
