source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1002	146	0.16	289.210	NA	NA	Cyclic alcohols and derivatives
1002	188	0.40	-184.074	NA	NA	Cyclic alcohols and derivatives
1002	235	0.27	-172.074	NA	NA	Cyclic alcohols and derivatives
1002	241	0.18	27.995	NA	NA	Cyclic alcohols and derivatives
1002	246	0.15	-172.074	NA	NA	Cyclic alcohols and derivatives
1002	257	0.11	-10.042	NA	NA	Cyclic alcohols and derivatives
1002	284	0.18	32.026	NA	NA	Cyclic alcohols and derivatives
1002	316	0.11	-10.042	NA	NA	Cyclic alcohols and derivatives
1002	320	0.23	84.021	NA	NA	Cyclic alcohols and derivatives
1002	352	0.15	-146.058	NA	NA	Cyclic alcohols and derivatives
1002	392	0.27	32.026	NA	NA	Cyclic alcohols and derivatives
1002	416	0.15	151.989	NA	NA	Cyclic alcohols and derivatives
1002	423	0.23	32.026	NA	NA	Cyclic alcohols and derivatives
1002	496	0.25	12.000	NA	NA	Cyclic alcohols and derivatives
1002	512	0.18	42.010	NA	NA	Cyclic alcohols and derivatives
1002	589	0.25	0.000	NA	NA	Cyclic alcohols and derivatives
1002	598	0.17	173.971	NA	NA	Cyclic alcohols and derivatives
1002	601	0.14	172.016	NA	NA	Cyclic alcohols and derivatives
1002	655	0.13	90.081	NA	NA	Cyclic alcohols and derivatives
1002	691	0.12	236.068	NA	NA	Cyclic alcohols and derivatives
1002	696	0.14	52.104	NA	NA	Cyclic alcohols and derivatives
1002	710	0.11	86.000	NA	NA	Cyclic alcohols and derivatives
1002	717	0.16	88.089	NA	NA	Cyclic alcohols and derivatives
1002	744	0.27	14.016	NA	NA	Cyclic alcohols and derivatives
1002	818	0.18	188.068	NA	NA	Cyclic alcohols and derivatives
1002	855	0.38	42.010	NA	NA	Cyclic alcohols and derivatives
1002	876	0.17	172.073	NA	NA	Cyclic alcohols and derivatives
1002	939	0.12	-10.042	NA	NA	Cyclic alcohols and derivatives
1002	958	0.21	172.016	NA	NA	Cyclic alcohols and derivatives
1002	986	0.13	156.021	NA	NA	Cyclic alcohols and derivatives
1002	991	0.19	42.010	NA	NA	Cyclic alcohols and derivatives
1010	1002	0.12	26.037	NA	NA	Cyclic alcohols and derivatives
1010	146	0.13	315.246	NA	NA	Cyclic alcohols and derivatives
1010	188	0.11	-158.037	NA	NA	Cyclic alcohols and derivatives
1010	235	0.17	-146.037	NA	NA	Cyclic alcohols and derivatives
1010	240	0.29	15.995	NA	NA	Cyclic alcohols and derivatives
1010	241	0.16	54.032	NA	NA	Cyclic alcohols and derivatives
1010	246	0.19	-146.037	NA	NA	Cyclic alcohols and derivatives
1010	257	0.29	15.995	NA	NA	Cyclic alcohols and derivatives
1010	283	0.12	370.089	NA	NA	Cyclic alcohols and derivatives
1010	284	0.13	58.063	NA	NA	Cyclic alcohols and derivatives
1010	293	0.25	178.026	NA	NA	Cyclic alcohols and derivatives
