source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1007	256	0.17	28.015	NA	NA	Dialkyl ethers
1007	261	0.14	-150.032	NA	NA	Dialkyl ethers
1007	274	0.27	58.026	NA	NA	Dialkyl ethers
1007	286	0.11	-164.048	NA	NA	Dialkyl ethers
1007	300	0.11	-372.106	NA	NA	Dialkyl ethers
1007	317	0.15	-210.053	NA	NA	Dialkyl ethers
1007	323	0.25	-116.027	NA	NA	Dialkyl ethers
1007	331	0.16	-146.037	NA	NA	Dialkyl ethers
1007	348	0.18	-148.052	NA	NA	Dialkyl ethers
1007	349	0.20	-150.032	NA	NA	Dialkyl ethers
1007	354	0.23	-146.022	NA	NA	Dialkyl ethers
1007	355	0.11	-180.042	NA	NA	Dialkyl ethers
1007	376	0.19	-164.048	NA	NA	Dialkyl ethers
1007	377	0.19	-32.006	NA	NA	Dialkyl ethers
1007	386	0.17	-180.042	NA	NA	Dialkyl ethers
1007	398	0.14	-308.090	NA	NA	Dialkyl ethers
1007	401	0.16	-148.037	NA	NA	Dialkyl ethers
1007	408	0.20	-118.042	NA	NA	Dialkyl ethers
1007	419	0.39	47.997	NA	NA	Dialkyl ethers
1007	425	0.13	-320.089	NA	NA	Dialkyl ethers
1007	438	0.12	-320.089	NA	NA	Dialkyl ethers
1007	441	0.17	16.031	NA	NA	Dialkyl ethers
1007	444	0.16	-194.058	NA	NA	Dialkyl ethers
1007	479	0.11	-179.985	NA	NA	Dialkyl ethers
1007	497	0.30	132.042	NA	NA	Dialkyl ethers
1007	521	0.17	-194.058	NA	NA	Dialkyl ethers
1007	524	0.11	-29.990	NA	NA	Dialkyl ethers
1007	527	0.38	-180.042	NA	NA	Dialkyl ethers
1007	536	0.14	-192.042	NA	NA	Dialkyl ethers
1007	548	0.18	3.971	NA	NA	Dialkyl ethers
1007	560	0.11	-372.142	NA	NA	Dialkyl ethers
1007	618	0.20	-148.052	NA	NA	Dialkyl ethers
1007	621	0.19	12.021	NA	NA	Dialkyl ethers
1007	637	0.33	-60.021	NA	NA	Dialkyl ethers
1007	660	0.12	16.016	NA	NA	Dialkyl ethers
1007	662	0.15	28.016	NA	NA	Dialkyl ethers
1007	666	0.13	46.026	NA	NA	Dialkyl ethers
1007	690	0.26	-178.063	NA	NA	Dialkyl ethers
1007	712	0.17	-320.089	NA	NA	Dialkyl ethers
1007	714	0.15	-192.043	NA	NA	Dialkyl ethers
1007	716	0.18	16.031	NA	NA	Dialkyl ethers
1007	726	0.23	-134.037	NA	NA	Dialkyl ethers
1007	728	0.27	-326.100	NA	NA	Dialkyl ethers
1007	761	0.18	-178.063	NA	NA	Dialkyl ethers
1007	768	0.14	-148.037	NA	NA	Dialkyl ethers
1007	800	0.13	-194.058	NA	NA	Dialkyl ethers
1007	811	0.33	16.031	NA	NA	Dialkyl ethers
1007	812	0.18	-320.089	NA	NA	Dialkyl ethers
1007	828	0.19	-176.032	NA	NA	Dialkyl ethers
1007	831	0.19	-312.085	NA	NA	Dialkyl ethers
1007	838	0.16	16.016	NA	NA	Dialkyl ethers
1007	847	0.16	-1.995	NA	NA	Dialkyl ethers
1007	851	0.21	-342.095	NA	NA	Dialkyl ethers
1007	861	0.16	-340.116	NA	NA	Dialkyl ethers
1007	871	0.11	-296.089	NA	NA	Dialkyl ethers
1007	91	0.15	38.188	NA	NA	Dialkyl ethers
1007	935	0.17	-116.011	NA	NA	Dialkyl ethers
1007	981	0.11	-192.042	NA	NA	Dialkyl ethers
1007	982	0.11	-356.110	NA	NA	Dialkyl ethers
1007	999	0.12	-146.022	NA	NA	Dialkyl ethers
1017	286	0.11	190.047	NA	NA	Dialkyl ethers
1017	300	0.12	-18.011	NA	NA	Dialkyl ethers
1017	315	0.25	-0.000	NA	NA	Dialkyl ethers
1017	317	0.11	144.041	NA	NA	Dialkyl ethers
1017	323	0.11	238.068	NA	NA	Dialkyl ethers
1017	331	0.21	208.058	NA	NA	Dialkyl ethers
1017	348	0.12	206.042	NA	NA	Dialkyl ethers
1017	376	0.13	190.047	NA	NA	Dialkyl ethers
1017	377	0.12	322.089	NA	NA	Dialkyl ethers
1017	389	0.11	-18.012	NA	NA	Dialkyl ethers
1017	398	0.21	46.005	NA	NA	Dialkyl ethers
1017	408	0.11	236.053	NA	NA	Dialkyl ethers
1017	425	0.13	34.005	NA	NA	Dialkyl ethers
1017	444	0.14	160.037	NA	NA	Dialkyl ethers
1017	449	0.11	306.094	NA	NA	Dialkyl ethers
1017	521	0.16	160.037	NA	NA	Dialkyl ethers
1017	524	0.17	324.105	NA	NA	Dialkyl ethers
1017	527	0.11	174.053	NA	NA	Dialkyl ethers
1017	536	0.25	162.052	NA	NA	Dialkyl ethers
1017	548	0.13	358.066	NA	NA	Dialkyl ethers
1017	560	0.12	-18.047	NA	NA	Dialkyl ethers
1017	637	0.13	294.074	NA	NA	Dialkyl ethers
1017	660	0.20	370.111	NA	NA	Dialkyl ethers
1017	690	0.13	176.032	NA	NA	Dialkyl ethers
1017	712	0.11	34.005	NA	NA	Dialkyl ethers
1017	714	0.14	162.052	NA	NA	Dialkyl ethers
1017	716	0.12	370.126	NA	NA	Dialkyl ethers
1017	726	0.13	220.058	NA	NA	Dialkyl ethers
1017	761	0.22	176.032	NA	NA	Dialkyl ethers
1017	800	0.23	160.037	NA	NA	Dialkyl ethers
1017	811	0.14	370.126	NA	NA	Dialkyl ethers
1017	812	0.12	34.005	NA	NA	Dialkyl ethers
1017	828	0.14	178.063	NA	NA	Dialkyl ethers
1017	838	0.14	370.111	NA	NA	Dialkyl ethers
1017	847	0.14	352.100	NA	NA	Dialkyl ethers
1017	851	0.16	12.000	NA	NA	Dialkyl ethers
1017	861	0.24	13.979	NA	NA	Dialkyl ethers
1017	91	0.14	392.283	NA	NA	Dialkyl ethers
1017	935	0.11	238.084	NA	NA	Dialkyl ethers
1017	981	0.11	162.052	NA	NA	Dialkyl ethers
1017	982	0.14	-2.016	NA	NA	Dialkyl ethers
1017	999	0.15	208.073	NA	NA	Dialkyl ethers
1032	1007	0.18	134.037	NA	NA	Dialkyl ethers
1032	238	0.11	132.042	NA	NA	Dialkyl ethers
1032	243	0.20	86.036	NA	NA	Dialkyl ethers
1032	256	0.31	162.053	NA	NA	Dialkyl ethers
1032	274	0.13	192.064	NA	NA	Dialkyl ethers
1032	286	0.18	-30.011	NA	NA	Dialkyl ethers
1032	300	0.13	-238.068	NA	NA	Dialkyl ethers
1032	315	0.11	-220.058	NA	NA	Dialkyl ethers
1032	317	0.26	-76.016	NA	NA	Dialkyl ethers
1032	323	0.21	18.011	NA	NA	Dialkyl ethers
1032	331	0.16	-12.000	NA	NA	Dialkyl ethers
1032	348	0.18	-14.015	NA	NA	Dialkyl ethers
1032	349	0.16	-15.995	NA	NA	Dialkyl ethers
1032	354	0.15	-11.984	NA	NA	Dialkyl ethers
1032	355	0.26	-46.005	NA	NA	Dialkyl ethers
1032	376	0.27	-30.010	NA	NA	Dialkyl ethers
1032	377	0.14	102.032	NA	NA	Dialkyl ethers
1032	386	0.43	-46.005	NA	NA	Dialkyl ethers
1032	398	0.17	-174.052	NA	NA	Dialkyl ethers
1032	401	0.11	-14.000	NA	NA	Dialkyl ethers
1032	408	0.33	15.995	NA	NA	Dialkyl ethers
1032	419	0.26	182.034	NA	NA	Dialkyl ethers
1032	425	0.26	-186.052	NA	NA	Dialkyl ethers
1032	438	0.12	-186.052	NA	NA	Dialkyl ethers
1032	441	0.25	150.069	NA	NA	Dialkyl ethers
1032	444	0.15	-60.021	NA	NA	Dialkyl ethers
1032	449	0.28	86.037	NA	NA	Dialkyl ethers
1032	479	0.26	-45.948	NA	NA	Dialkyl ethers
1032	497	0.12	266.079	NA	NA	Dialkyl ethers
1032	521	0.27	-60.021	NA	NA	Dialkyl ethers
1032	524	0.19	104.047	NA	NA	Dialkyl ethers
1032	527	0.30	-46.005	NA	NA	Dialkyl ethers
1032	548	0.11	138.009	NA	NA	Dialkyl ethers
1032	618	0.19	-14.015	NA	NA	Dialkyl ethers
1032	621	0.19	146.058	NA	NA	Dialkyl ethers
1032	637	0.13	74.016	NA	NA	Dialkyl ethers
1032	660	0.14	150.053	NA	NA	Dialkyl ethers
1032	662	0.47	162.053	NA	NA	Dialkyl ethers
1032	666	0.20	180.064	NA	NA	Dialkyl ethers
1032	682	0.14	194.058	NA	NA	Dialkyl ethers
1032	690	0.18	-44.026	NA	NA	Dialkyl ethers
1032	712	0.14	-186.052	NA	NA	Dialkyl ethers
1032	714	0.25	-58.005	NA	NA	Dialkyl ethers
1032	716	0.37	150.069	NA	NA	Dialkyl ethers
1032	726	0.30	0.000	NA	NA	Dialkyl ethers
1032	728	0.17	-192.063	NA	NA	Dialkyl ethers
1032	761	0.24	-44.026	NA	NA	Dialkyl ethers
1032	800	0.25	-60.021	NA	NA	Dialkyl ethers
1032	803	0.25	150.069	NA	NA	Dialkyl ethers
1032	811	0.21	150.069	NA	NA	Dialkyl ethers
1032	812	0.21	-186.052	NA	NA	Dialkyl ethers
1032	828	0.15	-41.994	NA	NA	Dialkyl ethers
1032	831	0.11	-178.048	NA	NA	Dialkyl ethers
1032	838	0.24	150.053	NA	NA	Dialkyl ethers
1032	847	0.22	132.043	NA	NA	Dialkyl ethers
1032	851	0.18	-208.058	NA	NA	Dialkyl ethers
1032	861	0.12	-206.078	NA	NA	Dialkyl ethers
1032	871	0.11	-162.052	NA	NA	Dialkyl ethers
1032	91	0.16	172.225	NA	NA	Dialkyl ethers
1032	935	0.12	18.026	NA	NA	Dialkyl ethers
1032	981	0.27	-58.005	NA	NA	Dialkyl ethers
1032	982	0.14	-222.073	NA	NA	Dialkyl ethers
1032	999	0.15	-11.984	NA	NA	Dialkyl ethers
1036	1007	0.24	342.096	NA	NA	Dialkyl ethers
1036	1017	0.21	-11.999	NA	NA	Dialkyl ethers
1036	1032	0.26	208.058	NA	NA	Dialkyl ethers
1036	243	0.12	294.095	NA	NA	Dialkyl ethers
1036	256	0.20	370.111	NA	NA	Dialkyl ethers
1036	261	0.12	192.064	NA	NA	Dialkyl ethers
1036	274	0.19	400.122	NA	NA	Dialkyl ethers
1036	286	0.15	178.048	NA	NA	Dialkyl ethers
1036	300	0.20	-30.010	NA	NA	Dialkyl ethers
1036	315	0.16	-11.999	NA	NA	Dialkyl ethers
1036	317	0.13	132.042	NA	NA	Dialkyl ethers
1036	323	0.13	226.069	NA	NA	Dialkyl ethers
1036	348	0.28	194.043	NA	NA	Dialkyl ethers
1036	349	0.15	192.064	NA	NA	Dialkyl ethers
1036	354	0.24	196.074	NA	NA	Dialkyl ethers
1036	355	0.36	162.053	NA	NA	Dialkyl ethers
1036	377	0.33	310.090	NA	NA	Dialkyl ethers
1036	386	0.20	162.053	NA	NA	Dialkyl ethers
1036	389	0.16	-30.011	NA	NA	Dialkyl ethers
1036	398	0.18	34.006	NA	NA	Dialkyl ethers
1036	401	0.16	194.058	NA	NA	Dialkyl ethers
1036	408	0.14	224.053	NA	NA	Dialkyl ethers
1036	419	0.19	390.092	NA	NA	Dialkyl ethers
1036	425	0.17	22.006	NA	NA	Dialkyl ethers
1036	441	0.22	358.127	NA	NA	Dialkyl ethers
1036	444	0.22	148.038	NA	NA	Dialkyl ethers
1036	449	0.13	294.095	NA	NA	Dialkyl ethers
1036	479	0.27	162.111	NA	NA	Dialkyl ethers
1036	497	0.12	474.137	NA	NA	Dialkyl ethers
1036	498	0.11	-212.047	NA	NA	Dialkyl ethers
1036	521	0.17	148.038	NA	NA	Dialkyl ethers
1036	524	0.14	312.105	NA	NA	Dialkyl ethers
1036	527	0.62	162.053	NA	NA	Dialkyl ethers
1036	536	0.17	150.053	NA	NA	Dialkyl ethers
1036	548	0.20	346.067	NA	NA	Dialkyl ethers
1036	560	0.17	-30.046	NA	NA	Dialkyl ethers
1036	618	0.23	194.043	NA	NA	Dialkyl ethers
1036	621	0.13	354.116	NA	NA	Dialkyl ethers
1036	637	0.26	282.075	NA	NA	Dialkyl ethers
1036	660	0.15	358.111	NA	NA	Dialkyl ethers
1036	662	0.25	370.111	NA	NA	Dialkyl ethers
