source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1024	260	0.17	-30.026	NA	NA	Dimethoxybenzenes
1024	261	0.11	190.084	NA	NA	Dimethoxybenzenes
1024	274	0.13	398.142	NA	NA	Dimethoxybenzenes
1024	323	0.24	224.089	NA	NA	Dimethoxybenzenes
1024	332	0.17	194.079	NA	NA	Dimethoxybenzenes
1024	354	0.16	194.094	NA	NA	Dimethoxybenzenes
1024	386	0.14	160.073	NA	NA	Dimethoxybenzenes
1024	398	0.23	32.026	NA	NA	Dimethoxybenzenes
1024	419	0.20	388.112	NA	NA	Dimethoxybenzenes
1024	441	0.12	356.147	NA	NA	Dimethoxybenzenes
1024	514	0.13	282.058	NA	NA	Dimethoxybenzenes
1024	566	0.15	28.031	NA	NA	Dimethoxybenzenes
1024	621	0.14	352.136	NA	NA	Dimethoxybenzenes
1024	712	0.19	20.026	NA	NA	Dimethoxybenzenes
1024	716	0.16	356.147	NA	NA	Dimethoxybenzenes
1024	728	0.14	14.016	NA	NA	Dimethoxybenzenes
1024	768	0.14	192.078	NA	NA	Dimethoxybenzenes
1024	772	0.19	50.037	NA	NA	Dimethoxybenzenes
1024	784	0.16	120.005	NA	NA	Dimethoxybenzenes
1024	803	0.17	356.147	NA	NA	Dimethoxybenzenes
1024	811	0.23	356.147	NA	NA	Dimethoxybenzenes
1024	828	0.22	164.084	NA	NA	Dimethoxybenzenes
1024	831	0.14	28.031	NA	NA	Dimethoxybenzenes
1024	851	0.25	-1.980	NA	NA	Dimethoxybenzenes
1024	898	0.12	312.069	NA	NA	Dimethoxybenzenes
1024	906	0.16	150.016	NA	NA	Dimethoxybenzenes
1024	935	0.30	224.105	NA	NA	Dimethoxybenzenes
1024	999	0.12	194.094	NA	NA	Dimethoxybenzenes
1032	1024	0.13	-206.078	NA	NA	Dimethoxybenzenes
1032	256	0.31	162.053	NA	NA	Dimethoxybenzenes
1032	260	0.19	-236.104	NA	NA	Dimethoxybenzenes
1032	274	0.13	192.064	NA	NA	Dimethoxybenzenes
1032	323	0.21	18.011	NA	NA	Dimethoxybenzenes
1032	332	0.13	-12.000	NA	NA	Dimethoxybenzenes
