source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1019	242	0.25	230.006	NA	NA	Disaccharides
1019	250	0.13	15.944	NA	NA	Disaccharides
1019	252	0.33	21.910	NA	NA	Disaccharides
1019	283	0.11	189.954	NA	NA	Disaccharides
1019	285	0.25	33.970	NA	NA	Disaccharides
1019	289	0.36	-56.062	NA	NA	Disaccharides
1019	313	0.29	17.938	NA	NA	Disaccharides
1019	314	0.45	-76.031	NA	NA	Disaccharides
1019	319	0.28	212.032	NA	NA	Disaccharides
1019	320	0.45	-70.078	NA	NA	Disaccharides
1019	334	0.26	38.000	NA	NA	Disaccharides
1019	337	0.32	23.907	NA	NA	Disaccharides
1019	343	0.23	201.973	NA	NA	Disaccharides
1019	362	0.38	30.011	NA	NA	Disaccharides
1019	365	0.32	-60.036	NA	NA	Disaccharides
1019	380	0.37	66.032	NA	NA	Disaccharides
1019	385	0.29	-28.067	NA	NA	Disaccharides
1019	415	0.63	30.011	NA	NA	Disaccharides
1019	426	0.35	17.939	NA	NA	Disaccharides
1019	427	0.51	32.027	NA	NA	Disaccharides
1019	430	0.32	-42.098	NA	NA	Disaccharides
1019	435	0.35	17.938	NA	NA	Disaccharides
1019	436	0.16	86.944	NA	NA	Disaccharides
1019	446	0.43	-70.078	NA	NA	Disaccharides
1019	448	0.28	-42.046	NA	NA	Disaccharides
1019	460	0.41	-78.047	NA	NA	Disaccharides
1019	462	0.50	-92.062	NA	NA	Disaccharides
1019	465	0.43	-116.083	NA	NA	Disaccharides
1019	469	0.63	46.006	NA	NA	Disaccharides
1019	472	0.29	35.949	NA	NA	Disaccharides
1019	479	0.40	32.027	NA	NA	Disaccharides
1019	49	0.41	-176.120	NA	NA	Disaccharides
1019	505	0.31	-66.083	NA	NA	Disaccharides
1019	506	0.24	-12.072	NA	NA	Disaccharides
1019	533	0.64	46.006	NA	NA	Disaccharides
1019	573	0.42	31.939	NA	NA	Disaccharides
1019	577	0.29	77.960	NA	NA	Disaccharides
1019	583	0.31	-46.020	NA	NA	Disaccharides
1019	588	0.37	-38.088	NA	NA	Disaccharides
1019	592	0.22	-100.088	NA	NA	Disaccharides
1019	604	0.35	35.949	NA	NA	Disaccharides
1019	608	0.37	-8.101	NA	NA	Disaccharides
1019	640	0.55	-116.083	NA	NA	Disaccharides
1019	642	0.33	-28.103	NA	NA	Disaccharides
1019	653	0.49	-56.062	NA	NA	Disaccharides
1019	654	0.27	17.975	NA	NA	Disaccharides
1019	658	0.44	-54.083	NA	NA	Disaccharides
1019	663	0.36	-30.046	NA	NA	Disaccharides
1019	670	0.50	-84.093	NA	NA	Disaccharides
1019	684	0.32	-160.125	NA	NA	Disaccharides
1019	705	0.41	39.980	NA	NA	Disaccharides
1019	715	0.19	61.964	NA	NA	Disaccharides
1019	721	0.36	-26.051	NA	NA	Disaccharides
1019	725	0.39	-134.109	NA	NA	Disaccharides
1019	756	0.50	-138.067	NA	NA	Disaccharides
1019	765	0.28	183.963	NA	NA	Disaccharides
1019	777	0.28	-40.068	NA	NA	Disaccharides
1019	790	0.21	-22.020	NA	NA	Disaccharides
1019	806	0.66	-102.068	NA	NA	Disaccharides
1019	818	0.28	33.970	NA	NA	Disaccharides
1019	84	0.39	-130.114	NA	NA	Disaccharides
1019	842	0.47	-72.093	NA	NA	Disaccharides
1019	863	0.22	-86.109	NA	NA	Disaccharides
1019	904	0.49	48.022	NA	NA	Disaccharides
1019	908	0.33	35.949	NA	NA	Disaccharides
1019	953	0.35	30.011	NA	NA	Disaccharides
1019	969	0.29	-58.078	NA	NA	Disaccharides
1019	974	0.18	-44.099	NA	NA	Disaccharides
1019	984	0.28	1.943	NA	NA	Disaccharides
1019	989	0.15	101.957	NA	NA	Disaccharides
1063	1019	0.47	136.052	NA	NA	Disaccharides
1063	242	0.33	366.058	NA	NA	Disaccharides
1063	252	0.33	157.962	NA	NA	Disaccharides
1063	285	0.26	170.021	NA	NA	Disaccharides
1063	289	0.36	79.990	NA	NA	Disaccharides
1063	313	0.35	153.990	NA	NA	Disaccharides
1063	314	0.41	60.021	NA	NA	Disaccharides
1063	319	0.27	348.083	NA	NA	Disaccharides
1063	320	0.39	65.974	NA	NA	Disaccharides
1063	334	0.25	174.052	NA	NA	Disaccharides
1063	337	0.32	159.958	NA	NA	Disaccharides
1063	343	0.22	338.025	NA	NA	Disaccharides
1063	362	0.27	166.063	NA	NA	Disaccharides
1063	365	0.32	76.016	NA	NA	Disaccharides
1063	380	0.30	202.084	NA	NA	Disaccharides
1063	385	0.29	107.985	NA	NA	Disaccharides
1063	415	0.50	166.063	NA	NA	Disaccharides
1063	426	0.42	153.990	NA	NA	Disaccharides
1063	427	0.44	168.079	NA	NA	Disaccharides
1063	430	0.19	93.954	NA	NA	Disaccharides
1063	435	0.35	153.990	NA	NA	Disaccharides
1063	436	0.20	222.996	NA	NA	Disaccharides
1063	446	0.47	65.974	NA	NA	Disaccharides
1063	448	0.26	94.005	NA	NA	Disaccharides
1063	460	0.37	58.005	NA	NA	Disaccharides
1063	462	0.43	43.990	NA	NA	Disaccharides
1063	465	0.53	19.969	NA	NA	Disaccharides
1063	469	0.33	182.057	NA	NA	Disaccharides
1063	472	0.33	172.001	NA	NA	Disaccharides
1063	479	0.37	168.078	NA	NA	Disaccharides
1063	49	0.34	-40.068	NA	NA	Disaccharides
1063	505	0.30	69.969	NA	NA	Disaccharides
1063	506	0.23	123.980	NA	NA	Disaccharides
1063	533	0.28	182.058	NA	NA	Disaccharides
1063	573	0.33	167.991	NA	NA	Disaccharides
1063	577	0.30	214.011	NA	NA	Disaccharides
1063	583	0.37	90.032	NA	NA	Disaccharides
1063	588	0.35	97.964	NA	NA	Disaccharides
