source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1006	314	0.23	236.162	NA	NA	Fatty acid esters
1006	316	0.19	148.053	NA	NA	Fatty acid esters
1006	501	0.13	212.178	NA	NA	Fatty acid esters
1006	628	0.20	386.122	NA	NA	Fatty acid esters
1006	655	0.21	248.176	NA	NA	Fatty acid esters
1006	681	0.13	300.137	NA	NA	Fatty acid esters
1006	724	0.13	282.220	NA	NA	Fatty acid esters
1006	765	0.13	496.156	NA	NA	Fatty acid esters
1006	837	0.19	112.125	NA	NA	Fatty acid esters
1006	877	0.12	282.220	NA	NA	Fatty acid esters
1006	905	0.13	278.261	NA	NA	Fatty acid esters
1006	919	0.14	174.126	NA	NA	Fatty acid esters
1006	933	0.14	52.104	NA	NA	Fatty acid esters
1006	939	0.15	148.053	NA	NA	Fatty acid esters
1006	986	0.14	314.115	NA	NA	Fatty acid esters
1010	1006	0.11	-132.058	NA	NA	Fatty acid esters
1010	240	0.29	15.995	NA	NA	Fatty acid esters
1010	257	0.29	15.995	NA	NA	Fatty acid esters
1010	283	0.12	370.089	NA	NA	Fatty acid esters
1010	293	0.25	178.026	NA	NA	Fatty acid esters
1010	298	0.27	178.026	NA	NA	Fatty acid esters
1010	314	0.15	104.104	NA	NA	Fatty acid esters
1010	316	0.28	15.995	NA	NA	Fatty acid esters
1010	36	0.13	376.381	NA	NA	Fatty acid esters
1010	416	0.32	178.026	NA	NA	Fatty acid esters
1010	437	0.14	-75.959	NA	NA	Fatty acid esters
1010	509	0.18	392.071	NA	NA	Fatty acid esters
1010	55	0.13	221.068	NA	NA	Fatty acid esters
1010	591	0.14	-89.974	NA	NA	Fatty acid esters
1010	598	0.24	200.008	NA	NA	Fatty acid esters
1010	650	0.21	-130.027	NA	NA	Fatty acid esters
1010	655	0.11	116.118	NA	NA	Fatty acid esters
1010	681	0.19	168.079	NA	NA	Fatty acid esters
1010	694	0.17	194.058	NA	NA	Fatty acid esters
1010	765	0.12	364.098	NA	NA	Fatty acid esters
1010	846	0.32	15.995	NA	NA	Fatty acid esters
1010	882	0.12	362.121	NA	NA	Fatty acid esters
1010	919	0.11	42.068	NA	NA	Fatty acid esters
1010	939	0.19	15.995	NA	NA	Fatty acid esters
1010	986	0.37	182.057	NA	NA	Fatty acid esters
1010	989	0.16	282.092	NA	NA	Fatty acid esters
1015	1010	0.31	-13.979	NA	NA	Fatty acid esters
1015	240	0.63	2.016	NA	NA	Fatty acid esters
1015	257	0.53	2.016	NA	NA	Fatty acid esters
1015	283	0.14	356.110	NA	NA	Fatty acid esters
1015	293	0.42	164.047	NA	NA	Fatty acid esters
1015	298	0.32	164.047	NA	NA	Fatty acid esters
1015	316	0.41	2.016	NA	NA	Fatty acid esters
1015	416	0.42	164.047	NA	NA	Fatty acid esters
1015	509	0.43	378.092	NA	NA	Fatty acid esters
1015	591	0.27	-103.954	NA	NA	Fatty acid esters
1015	598	0.42	186.029	NA	NA	Fatty acid esters
1015	650	0.26	-144.006	NA	NA	Fatty acid esters
1015	681	0.12	154.100	NA	NA	Fatty acid esters
1015	694	0.15	180.079	NA	NA	Fatty acid esters
1015	846	0.44	2.016	NA	NA	Fatty acid esters
1015	919	0.12	28.089	NA	NA	Fatty acid esters
1015	939	0.31	2.016	NA	NA	Fatty acid esters
1015	986	0.38	168.078	NA	NA	Fatty acid esters
1018	1006	0.16	-210.199	NA	NA	Fatty acid esters
1018	191	0.32	-154.099	NA	NA	Fatty acid esters
1018	202	0.12	-87.021	NA	NA	Fatty acid esters
1018	203	0.19	15.995	NA	NA	Fatty acid esters
1018	293	0.11	99.885	NA	NA	Fatty acid esters
1018	298	0.12	99.885	NA	NA	Fatty acid esters
1018	314	0.12	25.963	NA	NA	Fatty acid esters
1018	390	0.46	0.000	NA	NA	Fatty acid esters
1018	437	0.30	-154.099	NA	NA	Fatty acid esters
1018	501	0.43	1.979	NA	NA	Fatty acid esters
1018	572	0.30	-12.000	NA	NA	Fatty acid esters
1018	591	0.11	-168.115	NA	NA	Fatty acid esters
1018	606	0.29	186.089	NA	NA	Fatty acid esters
1018	627	0.29	-29.974	NA	NA	Fatty acid esters
1018	650	0.12	-208.168	NA	NA	Fatty acid esters
1018	655	0.19	37.977	NA	NA	Fatty acid esters
1018	681	0.14	89.938	NA	NA	Fatty acid esters
1018	694	0.11	115.917	NA	NA	Fatty acid esters
1018	724	0.29	72.021	NA	NA	Fatty acid esters
1018	731	0.26	278.100	NA	NA	Fatty acid esters
1018	734	0.19	-27.995	NA	NA	Fatty acid esters
1018	736	0.26	-14.016	NA	NA	Fatty acid esters
1018	837	0.25	-98.073	NA	NA	Fatty acid esters
1018	846	0.11	-62.146	NA	NA	Fatty acid esters
1018	877	0.21	72.021	NA	NA	Fatty acid esters
1018	905	0.20	68.062	NA	NA	Fatty acid esters
1018	933	0.17	-158.094	NA	NA	Fatty acid esters
1018	939	0.16	-62.146	NA	NA	Fatty acid esters
1046	1006	0.16	-174.126	NA	NA	Fatty acid esters
1046	1010	0.16	-42.068	NA	NA	Fatty acid esters
1046	1015	0.15	-28.089	NA	NA	Fatty acid esters
1046	1018	0.11	36.073	NA	NA	Fatty acid esters
1046	240	0.14	-26.073	NA	NA	Fatty acid esters
1046	283	0.11	328.021	NA	NA	Fatty acid esters
1046	293	0.13	135.958	NA	NA	Fatty acid esters
1046	298	0.16	135.958	NA	NA	Fatty acid esters
1046	314	0.30	62.036	NA	NA	Fatty acid esters
1046	316	0.22	-26.073	NA	NA	Fatty acid esters
1046	322	0.11	202.026	NA	NA	Fatty acid esters
1046	390	0.12	36.073	NA	NA	Fatty acid esters
1046	416	0.20	135.958	NA	NA	Fatty acid esters
1046	501	0.11	38.052	NA	NA	Fatty acid esters
1046	572	0.11	24.073	NA	NA	Fatty acid esters
1046	598	0.21	157.940	NA	NA	Fatty acid esters
1046	655	0.14	74.050	NA	NA	Fatty acid esters
1046	681	0.15	126.011	NA	NA	Fatty acid esters
1046	694	0.11	151.990	NA	NA	Fatty acid esters
1046	724	0.12	108.094	NA	NA	Fatty acid esters
1046	736	0.11	22.057	NA	NA	Fatty acid esters
1046	765	0.11	322.030	NA	NA	Fatty acid esters
1046	837	0.12	-62.001	NA	NA	Fatty acid esters
1046	846	0.19	-26.073	NA	NA	Fatty acid esters
1046	877	0.12	108.094	NA	NA	Fatty acid esters
1046	882	0.16	320.053	NA	NA	Fatty acid esters
1046	919	0.57	0.000	NA	NA	Fatty acid esters
1046	933	0.11	-122.021	NA	NA	Fatty acid esters
1046	939	0.14	-26.073	NA	NA	Fatty acid esters
1046	986	0.17	139.990	NA	NA	Fatty acid esters
1046	989	0.19	240.024	NA	NA	Fatty acid esters
1057	1006	0.14	-174.126	NA	NA	Fatty acid esters
1057	1010	0.18	-42.068	NA	NA	Fatty acid esters
1057	1018	0.12	36.073	NA	NA	Fatty acid esters
1057	1046	0.55	0.000	NA	NA	Fatty acid esters
1057	293	0.12	135.958	NA	NA	Fatty acid esters
1057	298	0.15	135.958	NA	NA	Fatty acid esters
1057	314	0.18	62.036	NA	NA	Fatty acid esters
1057	316	0.17	-26.073	NA	NA	Fatty acid esters
1057	322	0.20	202.026	NA	NA	Fatty acid esters
1057	36	0.18	334.313	NA	NA	Fatty acid esters
1057	390	0.11	36.073	NA	NA	Fatty acid esters
1057	416	0.16	135.958	NA	NA	Fatty acid esters
1057	501	0.11	38.052	NA	NA	Fatty acid esters
1057	572	0.11	24.073	NA	NA	Fatty acid esters
1057	591	0.11	-132.042	NA	NA	Fatty acid esters
1057	598	0.17	157.940	NA	NA	Fatty acid esters
1057	655	0.12	74.050	NA	NA	Fatty acid esters
1057	681	0.15	126.011	NA	NA	Fatty acid esters
1057	694	0.11	151.990	NA	NA	Fatty acid esters
1057	724	0.12	108.094	NA	NA	Fatty acid esters
1057	736	0.13	22.057	NA	NA	Fatty acid esters
1057	765	0.14	322.030	NA	NA	Fatty acid esters
1057	846	0.20	-26.073	NA	NA	Fatty acid esters
1057	882	0.19	320.053	NA	NA	Fatty acid esters
1057	905	0.12	104.135	NA	NA	Fatty acid esters
1057	919	0.51	0.000	NA	NA	Fatty acid esters
1057	939	0.13	-26.073	NA	NA	Fatty acid esters
1057	986	0.22	139.990	NA	NA	Fatty acid esters
1057	989	0.18	240.024	NA	NA	Fatty acid esters
1058	1010	0.21	-178.047	NA	NA	Fatty acid esters
1058	1015	0.41	-164.068	NA	NA	Fatty acid esters
1058	1046	0.20	-135.979	NA	NA	Fatty acid esters
1058	1057	0.20	-135.979	NA	NA	Fatty acid esters
1058	240	0.45	-162.053	NA	NA	Fatty acid esters
1058	257	0.25	-162.052	NA	NA	Fatty acid esters
1058	283	0.12	192.042	NA	NA	Fatty acid esters
1058	293	0.34	-0.021	NA	NA	Fatty acid esters
1058	298	0.28	-0.021	NA	NA	Fatty acid esters
1058	314	0.22	-73.943	NA	NA	Fatty acid esters
1058	316	0.34	-162.052	NA	NA	Fatty acid esters
1058	322	0.12	66.047	NA	NA	Fatty acid esters
1058	416	0.47	-0.021	NA	NA	Fatty acid esters
1058	509	0.26	214.024	NA	NA	Fatty acid esters
1058	591	0.16	-268.022	NA	NA	Fatty acid esters
1058	598	0.43	21.961	NA	NA	Fatty acid esters
1058	650	0.14	-308.074	NA	NA	Fatty acid esters
1058	681	0.17	-9.969	NA	NA	Fatty acid esters
1058	694	0.20	16.010	NA	NA	Fatty acid esters
1058	765	0.12	186.051	NA	NA	Fatty acid esters
1058	846	0.37	-162.052	NA	NA	Fatty acid esters
1058	882	0.24	184.074	NA	NA	Fatty acid esters
1058	919	0.19	-135.979	NA	NA	Fatty acid esters
1058	939	0.25	-162.053	NA	NA	Fatty acid esters
1058	986	0.26	4.010	NA	NA	Fatty acid esters
1058	989	0.14	104.045	NA	NA	Fatty acid esters
1068	1006	0.12	-162.068	NA	NA	Fatty acid esters
1068	1010	0.38	-30.010	NA	NA	Fatty acid esters
1068	1015	0.23	-16.031	NA	NA	Fatty acid esters
1068	1018	0.13	48.130	NA	NA	Fatty acid esters
1068	1046	0.19	12.058	NA	NA	Fatty acid esters
1068	1057	0.15	12.057	NA	NA	Fatty acid esters
1068	1058	0.22	148.037	NA	NA	Fatty acid esters
1068	240	0.26	-14.016	NA	NA	Fatty acid esters
1068	257	0.21	-14.015	NA	NA	Fatty acid esters
1068	283	0.12	340.079	NA	NA	Fatty acid esters
1068	293	0.20	148.016	NA	NA	Fatty acid esters
1068	298	0.30	148.016	NA	NA	Fatty acid esters
1068	314	0.21	74.094	NA	NA	Fatty acid esters
1068	316	0.22	-14.015	NA	NA	Fatty acid esters
1068	36	0.18	346.370	NA	NA	Fatty acid esters
1068	416	0.23	148.016	NA	NA	Fatty acid esters
1068	437	0.11	-105.969	NA	NA	Fatty acid esters
1068	509	0.14	362.061	NA	NA	Fatty acid esters
1068	55	0.14	191.058	NA	NA	Fatty acid esters
1068	598	0.19	169.998	NA	NA	Fatty acid esters
1068	628	0.11	224.053	NA	NA	Fatty acid esters
1068	650	0.13	-160.037	NA	NA	Fatty acid esters
1068	655	0.13	86.107	NA	NA	Fatty acid esters
1068	681	0.20	138.068	NA	NA	Fatty acid esters
1068	694	0.13	164.047	NA	NA	Fatty acid esters
1068	736	0.11	34.115	NA	NA	Fatty acid esters
1068	765	0.13	334.088	NA	NA	Fatty acid esters
1068	846	0.26	-14.015	NA	NA	Fatty acid esters
1068	877	0.11	120.151	NA	NA	Fatty acid esters
1068	882	0.12	332.110	NA	NA	Fatty acid esters
1068	919	0.16	12.058	NA	NA	Fatty acid esters
1068	939	0.24	-14.016	NA	NA	Fatty acid esters
1068	986	0.33	152.047	NA	NA	Fatty acid esters
1068	989	0.26	252.082	NA	NA	Fatty acid esters
1069	1010	0.23	-200.008	NA	NA	Fatty acid esters
1069	1015	0.36	-186.029	NA	NA	Fatty acid esters
1069	1058	0.23	-21.961	NA	NA	Fatty acid esters
1069	1068	0.17	-169.998	NA	NA	Fatty acid esters
1069	240	0.33	-184.014	NA	NA	Fatty acid esters
1069	257	0.33	-184.013	NA	NA	Fatty acid esters
1069	283	0.11	170.081	NA	NA	Fatty acid esters
1069	293	0.23	-21.982	NA	NA	Fatty acid esters
1069	298	0.21	-21.982	NA	NA	Fatty acid esters
1069	316	0.28	-184.013	NA	NA	Fatty acid esters
1069	416	0.34	-21.982	NA	NA	Fatty acid esters
1069	509	0.29	192.063	NA	NA	Fatty acid esters
1069	55	0.14	21.060	NA	NA	Fatty acid esters
1069	591	0.13	-289.983	NA	NA	Fatty acid esters
1069	598	0.30	-0.000	NA	NA	Fatty acid esters
1069	650	0.11	-330.035	NA	NA	Fatty acid esters
1069	694	0.14	-5.951	NA	NA	Fatty acid esters
1069	846	0.30	-184.013	NA	NA	Fatty acid esters
1069	919	0.12	-157.940	NA	NA	Fatty acid esters
1069	939	0.15	-184.014	NA	NA	Fatty acid esters
1069	986	0.28	-17.951	NA	NA	Fatty acid esters
1074	1010	0.24	-178.047	NA	NA	Fatty acid esters
1074	1015	0.41	-164.068	NA	NA	Fatty acid esters
1074	1046	0.12	-135.979	NA	NA	Fatty acid esters
1074	1057	0.13	-135.979	NA	NA	Fatty acid esters
1074	1058	0.61	0.000	NA	NA	Fatty acid esters
1074	1068	0.19	-148.037	NA	NA	Fatty acid esters
1074	1069	0.29	21.961	NA	NA	Fatty acid esters
1074	240	0.46	-162.053	NA	NA	Fatty acid esters
1074	257	0.25	-162.052	NA	NA	Fatty acid esters
1074	283	0.12	192.042	NA	NA	Fatty acid esters
1074	293	0.34	-0.021	NA	NA	Fatty acid esters
1074	298	0.18	-0.021	NA	NA	Fatty acid esters
1074	314	0.18	-73.943	NA	NA	Fatty acid esters
1074	316	0.30	-162.052	NA	NA	Fatty acid esters
1074	416	0.42	-0.021	NA	NA	Fatty acid esters
1074	509	0.26	214.024	NA	NA	Fatty acid esters
