source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1004	104	0.18	69.058	NA	NA	Fatty acids and conjugates
1004	107	0.17	164.121	NA	NA	Fatty acids and conjugates
1004	121	0.11	156.152	NA	NA	Fatty acids and conjugates
1004	140	0.13	111.106	NA	NA	Fatty acids and conjugates
1004	141	0.25	112.090	NA	NA	Fatty acids and conjugates
1004	145	0.21	128.121	NA	NA	Fatty acids and conjugates
1004	168	0.20	170.131	NA	NA	Fatty acids and conjugates
1004	172	0.16	27.011	NA	NA	Fatty acids and conjugates
1004	184	0.70	-0.000	NA	NA	Fatty acids and conjugates
1004	193	0.15	27.011	NA	NA	Fatty acids and conjugates
1004	209	0.14	28.032	NA	NA	Fatty acids and conjugates
1004	213	0.15	28.031	NA	NA	Fatty acids and conjugates
1004	215	0.25	178.100	NA	NA	Fatty acids and conjugates
1004	221	0.15	38.016	NA	NA	Fatty acids and conjugates
1004	231	0.14	52.031	NA	NA	Fatty acids and conjugates
1004	236	0.18	35.949	NA	NA	Fatty acids and conjugates
1004	248	0.15	9.984	NA	NA	Fatty acids and conjugates
1004	251	0.17	152.121	NA	NA	Fatty acids and conjugates
1004	258	0.16	152.121	NA	NA	Fatty acids and conjugates
1004	263	0.12	84.022	NA	NA	Fatty acids and conjugates
1004	272	0.17	-24.073	NA	NA	Fatty acids and conjugates
1004	287	0.15	-14.016	NA	NA	Fatty acids and conjugates
1004	307	0.13	12.000	NA	NA	Fatty acids and conjugates
1004	309	0.19	-44.099	NA	NA	Fatty acids and conjugates
1004	318	0.15	82.006	NA	NA	Fatty acids and conjugates
1004	324	0.13	168.116	NA	NA	Fatty acids and conjugates
1004	325	0.19	168.116	NA	NA	Fatty acids and conjugates
1004	328	0.14	138.141	NA	NA	Fatty acids and conjugates
1004	336	0.11	136.126	NA	NA	Fatty acids and conjugates
1004	342	0.19	184.111	NA	NA	Fatty acids and conjugates
1004	356	0.14	154.136	NA	NA	Fatty acids and conjugates
1004	361	0.15	5.938	NA	NA	Fatty acids and conjugates
1004	364	0.16	66.011	NA	NA	Fatty acids and conjugates
1004	369	0.14	184.111	NA	NA	Fatty acids and conjugates
1004	370	0.25	84.022	NA	NA	Fatty acids and conjugates
1004	378	0.19	58.006	NA	NA	Fatty acids and conjugates
1004	394	0.17	-26.088	NA	NA	Fatty acids and conjugates
1004	405	0.15	152.121	NA	NA	Fatty acids and conjugates
1004	412	0.21	182.095	NA	NA	Fatty acids and conjugates
1004	430	0.14	316.028	NA	NA	Fatty acids and conjugates
1004	433	0.14	134.110	NA	NA	Fatty acids and conjugates
1004	437	0.14	102.032	NA	NA	Fatty acids and conjugates
1004	442	0.15	-44.099	NA	NA	Fatty acids and conjugates
1004	471	0.19	-28.068	NA	NA	Fatty acids and conjugates
1004	510	0.11	156.152	NA	NA	Fatty acids and conjugates
