source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1007	256	0.17	28.015	NA	NA	Furanoid lignans
1007	261	0.14	-150.032	NA	NA	Furanoid lignans
1007	274	0.27	58.026	NA	NA	Furanoid lignans
1007	286	0.11	-164.048	NA	NA	Furanoid lignans
1007	294	0.13	-356.111	NA	NA	Furanoid lignans
1007	300	0.11	-372.106	NA	NA	Furanoid lignans
1007	317	0.15	-210.053	NA	NA	Furanoid lignans
1007	323	0.25	-116.027	NA	NA	Furanoid lignans
1007	331	0.16	-146.037	NA	NA	Furanoid lignans
1007	348	0.18	-148.052	NA	NA	Furanoid lignans
1007	349	0.20	-150.032	NA	NA	Furanoid lignans
1007	354	0.23	-146.022	NA	NA	Furanoid lignans
1007	355	0.11	-180.042	NA	NA	Furanoid lignans
1007	376	0.19	-164.048	NA	NA	Furanoid lignans
1007	377	0.19	-32.006	NA	NA	Furanoid lignans
1007	386	0.17	-180.042	NA	NA	Furanoid lignans
1007	401	0.16	-148.037	NA	NA	Furanoid lignans
1007	419	0.39	47.997	NA	NA	Furanoid lignans
1007	441	0.17	16.031	NA	NA	Furanoid lignans
1007	444	0.16	-194.058	NA	NA	Furanoid lignans
1007	497	0.30	132.042	NA	NA	Furanoid lignans
1007	521	0.17	-194.058	NA	NA	Furanoid lignans
1007	524	0.11	-29.990	NA	NA	Furanoid lignans
1007	527	0.38	-180.042	NA	NA	Furanoid lignans
1007	536	0.14	-192.042	NA	NA	Furanoid lignans
1007	560	0.11	-372.142	NA	NA	Furanoid lignans
1007	618	0.20	-148.052	NA	NA	Furanoid lignans
1007	621	0.19	12.021	NA	NA	Furanoid lignans
1007	637	0.33	-60.021	NA	NA	Furanoid lignans
1007	660	0.12	16.016	NA	NA	Furanoid lignans
1007	662	0.15	28.016	NA	NA	Furanoid lignans
1007	666	0.13	46.026	NA	NA	Furanoid lignans
1007	690	0.26	-178.063	NA	NA	Furanoid lignans
1007	714	0.15	-192.043	NA	NA	Furanoid lignans
1007	716	0.18	16.031	NA	NA	Furanoid lignans
1007	726	0.23	-134.037	NA	NA	Furanoid lignans
1007	728	0.27	-326.100	NA	NA	Furanoid lignans
1007	761	0.18	-178.063	NA	NA	Furanoid lignans
1007	768	0.14	-148.037	NA	NA	Furanoid lignans
1007	800	0.13	-194.058	NA	NA	Furanoid lignans
1007	811	0.33	16.031	NA	NA	Furanoid lignans
1007	828	0.19	-176.032	NA	NA	Furanoid lignans
1007	831	0.19	-312.085	NA	NA	Furanoid lignans
1007	847	0.16	-1.995	NA	NA	Furanoid lignans
1007	851	0.21	-342.095	NA	NA	Furanoid lignans
1007	861	0.16	-340.116	NA	NA	Furanoid lignans
1007	871	0.11	-296.089	NA	NA	Furanoid lignans
1007	935	0.17	-116.011	NA	NA	Furanoid lignans
1007	981	0.11	-192.042	NA	NA	Furanoid lignans
1007	982	0.11	-356.110	NA	NA	Furanoid lignans
1007	999	0.12	-146.022	NA	NA	Furanoid lignans
1024	1007	0.19	340.116	NA	NA	Furanoid lignans
1024	243	0.12	292.115	NA	NA	Furanoid lignans
1024	261	0.11	190.084	NA	NA	Furanoid lignans
1024	274	0.13	398.142	NA	NA	Furanoid lignans
1024	300	0.13	-31.990	NA	NA	Furanoid lignans
1024	315	0.11	-13.979	NA	NA	Furanoid lignans
1024	317	0.17	130.062	NA	NA	Furanoid lignans
1024	323	0.24	224.089	NA	NA	Furanoid lignans
1024	331	0.15	194.079	NA	NA	Furanoid lignans
1024	348	0.17	192.063	NA	NA	Furanoid lignans
1024	354	0.16	194.094	NA	NA	Furanoid lignans
1024	376	0.13	176.068	NA	NA	Furanoid lignans
1024	377	0.24	308.110	NA	NA	Furanoid lignans
1024	386	0.14	160.073	NA	NA	Furanoid lignans
1024	389	0.18	-31.991	NA	NA	Furanoid lignans
1024	401	0.15	192.078	NA	NA	Furanoid lignans
1024	404	0.12	406.108	NA	NA	Furanoid lignans
1024	419	0.20	388.112	NA	NA	Furanoid lignans
1024	441	0.12	356.147	NA	NA	Furanoid lignans
1024	444	0.22	146.058	NA	NA	Furanoid lignans
1024	449	0.11	292.115	NA	NA	Furanoid lignans
1024	497	0.13	472.157	NA	NA	Furanoid lignans
1024	521	0.15	146.058	NA	NA	Furanoid lignans
1024	524	0.11	310.125	NA	NA	Furanoid lignans
1024	527	0.18	160.073	NA	NA	Furanoid lignans
1024	536	0.12	148.073	NA	NA	Furanoid lignans
1024	560	0.14	-32.026	NA	NA	Furanoid lignans
1024	566	0.15	28.031	NA	NA	Furanoid lignans
1024	618	0.15	192.063	NA	NA	Furanoid lignans
1024	621	0.14	352.136	NA	NA	Furanoid lignans
1024	637	0.19	280.095	NA	NA	Furanoid lignans
1024	660	0.13	356.131	NA	NA	Furanoid lignans
1024	690	0.33	162.053	NA	NA	Furanoid lignans
1024	707	0.12	130.062	NA	NA	Furanoid lignans
1024	714	0.14	148.073	NA	NA	Furanoid lignans
1024	716	0.16	356.147	NA	NA	Furanoid lignans
