source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1022	185	0.11	-78.010	NA	NA	Heteroaromatic compounds
1022	268	0.28	-15.995	NA	NA	Heteroaromatic compounds
1022	353	0.17	-27.995	NA	NA	Heteroaromatic compounds
1022	540	0.21	-42.010	NA	NA	Heteroaromatic compounds
1129	326	0.11	-21.003	NA	NA	Heteroaromatic compounds
1129	332	0.13	-19.982	NA	NA	Heteroaromatic compounds
1129	894	0.15	12.000	NA	NA	Heteroaromatic compounds
1136	418	0.12	-104.946	NA	NA	Heteroaromatic compounds
1136	786	0.13	-393.039	NA	NA	Heteroaromatic compounds
1136	883	0.24	-290.998	NA	NA	Heteroaromatic compounds
1150	1003	0.12	-211.138	NA	NA	Heteroaromatic compounds
1150	418	0.13	1.943	NA	NA	Heteroaromatic compounds
1150	52	0.11	-225.154	NA	NA	Heteroaromatic compounds
1150	786	0.12	-286.151	NA	NA	Heteroaromatic compounds
1150	795	0.15	182.021	NA	NA	Heteroaromatic compounds
1210	3	0.11	23.156	NA	NA	Heteroaromatic compounds
1210	522	0.15	57.047	NA	NA	Heteroaromatic compounds
1210	54	0.13	-98.058	NA	NA	Heteroaromatic compounds
1210	600	0.12	-155.058	NA	NA	Heteroaromatic compounds
1210	686	0.11	-407.143	NA	NA	Heteroaromatic compounds
1210	742	0.11	-59.045	NA	NA	Heteroaromatic compounds
1210	815	0.11	-407.142	NA	NA	Heteroaromatic compounds
1210	894	0.11	2.992	NA	NA	Heteroaromatic compounds
1210	91	0.17	155.235	NA	NA	Heteroaromatic compounds
1225	1022	0.12	-291.095	NA	NA	Heteroaromatic compounds
1225	3	0.11	-8.849	NA	NA	Heteroaromatic compounds
1225	332	0.13	-60.995	NA	NA	Heteroaromatic compounds
1225	409	0.11	-233.111	NA	NA	Heteroaromatic compounds
1225	540	0.11	-333.106	NA	NA	Heteroaromatic compounds
1225	67	0.18	-174.089	NA	NA	Heteroaromatic compounds
1225	742	0.15	-91.050	NA	NA	Heteroaromatic compounds
1225	894	0.19	-29.014	NA	NA	Heteroaromatic compounds
1225	91	0.13	123.229	NA	NA	Heteroaromatic compounds
1225	947	0.11	-213.030	NA	NA	Heteroaromatic compounds
1230	1225	0.17	-105.029	NA	NA	Heteroaromatic compounds
1230	28	0.14	-308.071	NA	NA	Heteroaromatic compounds
1230	409	0.13	-338.140	NA	NA	Heteroaromatic compounds
1230	418	0.12	-299.102	NA	NA	Heteroaromatic compounds
1230	67	0.12	-279.118	NA	NA	Heteroaromatic compounds
1230	747	0.12	-291.040	NA	NA	Heteroaromatic compounds
1230	894	0.18	-134.043	NA	NA	Heteroaromatic compounds
1242	1230	0.12	266.100	NA	NA	Heteroaromatic compounds
1242	268	0.12	-146.019	NA	NA	Heteroaromatic compounds
1242	3	0.11	152.222	NA	NA	Heteroaromatic compounds
1242	38	0.13	2.054	NA	NA	Heteroaromatic compounds
1242	382	0.28	-64.008	NA	NA	Heteroaromatic compounds
1242	409	0.41	-72.040	NA	NA	Heteroaromatic compounds
1242	522	0.12	186.113	NA	NA	Heteroaromatic compounds
1242	54	0.16	31.008	NA	NA	Heteroaromatic compounds
