source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1002	184	0.20	-204.028	NA	NA	Hydroxy acids and derivatives
1002	209	0.13	-175.996	NA	NA	Hydroxy acids and derivatives
1002	236	0.31	-168.079	NA	NA	Hydroxy acids and derivatives
1002	237	0.17	-172.110	NA	NA	Hydroxy acids and derivatives
1002	246	0.15	-172.074	NA	NA	Hydroxy acids and derivatives
1002	254	0.12	-162.053	NA	NA	Hydroxy acids and derivatives
1002	257	0.11	-10.042	NA	NA	Hydroxy acids and derivatives
1002	272	0.44	-228.101	NA	NA	Hydroxy acids and derivatives
1002	316	0.11	-10.042	NA	NA	Hydroxy acids and derivatives
1002	361	0.41	-198.090	NA	NA	Hydroxy acids and derivatives
1002	378	0.15	-146.022	NA	NA	Hydroxy acids and derivatives
1002	394	0.43	-230.116	NA	NA	Hydroxy acids and derivatives
1002	416	0.15	151.989	NA	NA	Hydroxy acids and derivatives
1002	471	0.29	-232.095	NA	NA	Hydroxy acids and derivatives
1002	482	0.19	-258.111	NA	NA	Hydroxy acids and derivatives
1002	537	0.21	-188.069	NA	NA	Hydroxy acids and derivatives
1002	541	0.16	11.940	NA	NA	Hydroxy acids and derivatives
1002	542	0.27	-230.080	NA	NA	Hydroxy acids and derivatives
1002	587	0.37	-200.106	NA	NA	Hydroxy acids and derivatives
1002	594	0.27	-140.084	NA	NA	Hydroxy acids and derivatives
1002	601	0.14	172.016	NA	NA	Hydroxy acids and derivatives
1002	609	0.39	-260.091	NA	NA	Hydroxy acids and derivatives
1002	675	0.23	-138.069	NA	NA	Hydroxy acids and derivatives
1002	684	0.25	-6.026	NA	NA	Hydroxy acids and derivatives
1002	724	0.11	124.125	NA	NA	Hydroxy acids and derivatives
1002	757	0.41	-216.101	NA	NA	Hydroxy acids and derivatives
1002	769	0.29	-154.064	NA	NA	Hydroxy acids and derivatives
1002	781	0.11	-190.012	NA	NA	Hydroxy acids and derivatives
1002	801	0.35	-216.101	NA	NA	Hydroxy acids and derivatives
1002	802	0.40	-154.100	NA	NA	Hydroxy acids and derivatives
1002	810	0.36	7.990	NA	NA	Hydroxy acids and derivatives
1002	867	0.16	-232.059	NA	NA	Hydroxy acids and derivatives
1002	920	0.37	-200.106	NA	NA	Hydroxy acids and derivatives
1002	939	0.12	-10.042	NA	NA	Hydroxy acids and derivatives
1002	986	0.13	156.021	NA	NA	Hydroxy acids and derivatives
1002	994	0.16	-216.064	NA	NA	Hydroxy acids and derivatives
1004	1002	0.12	204.028	NA	NA	Hydroxy acids and derivatives
1004	184	0.70	-0.000	NA	NA	Hydroxy acids and derivatives
1004	209	0.14	28.032	NA	NA	Hydroxy acids and derivatives
1004	213	0.15	28.031	NA	NA	Hydroxy acids and derivatives
1004	236	0.18	35.949	NA	NA	Hydroxy acids and derivatives
1004	246	0.11	31.953	NA	NA	Hydroxy acids and derivatives
1004	272	0.17	-24.073	NA	NA	Hydroxy acids and derivatives
1004	287	0.15	-14.016	NA	NA	Hydroxy acids and derivatives
1004	293	0.13	356.017	NA	NA	Hydroxy acids and derivatives
1004	298	0.18	356.017	NA	NA	Hydroxy acids and derivatives
1004	361	0.15	5.938	NA	NA	Hydroxy acids and derivatives
1004	378	0.19	58.006	NA	NA	Hydroxy acids and derivatives
1004	394	0.17	-26.088	NA	NA	Hydroxy acids and derivatives
1004	416	0.11	356.017	NA	NA	Hydroxy acids and derivatives
1004	471	0.19	-28.068	NA	NA	Hydroxy acids and derivatives
1004	537	0.20	15.958	NA	NA	Hydroxy acids and derivatives
1004	541	0.14	215.968	NA	NA	Hydroxy acids and derivatives
1004	542	0.17	-26.052	NA	NA	Hydroxy acids and derivatives
1004	587	0.17	3.922	NA	NA	Hydroxy acids and derivatives
1004	594	0.14	63.943	NA	NA	Hydroxy acids and derivatives
1004	601	0.12	376.044	NA	NA	Hydroxy acids and derivatives
1004	609	0.21	-56.063	NA	NA	Hydroxy acids and derivatives
1004	610	0.16	42.011	NA	NA	Hydroxy acids and derivatives
1004	684	0.14	198.002	NA	NA	Hydroxy acids and derivatives
1004	724	0.15	328.153	NA	NA	Hydroxy acids and derivatives
1004	735	0.29	15.959	NA	NA	Hydroxy acids and derivatives
1004	757	0.16	-12.073	NA	NA	Hydroxy acids and derivatives
1004	769	0.17	49.964	NA	NA	Hydroxy acids and derivatives
1004	802	0.15	49.928	NA	NA	Hydroxy acids and derivatives
1004	810	0.15	212.017	NA	NA	Hydroxy acids and derivatives
1004	846	0.15	193.986	NA	NA	Hydroxy acids and derivatives
1004	867	0.35	-28.031	NA	NA	Hydroxy acids and derivatives
1004	920	0.17	3.922	NA	NA	Hydroxy acids and derivatives
1004	986	0.14	360.048	NA	NA	Hydroxy acids and derivatives
1004	994	0.19	-12.036	NA	NA	Hydroxy acids and derivatives
1010	1002	0.12	26.037	NA	NA	Hydroxy acids and derivatives
1010	1004	0.11	-177.991	NA	NA	Hydroxy acids and derivatives
1010	209	0.12	-149.959	NA	NA	Hydroxy acids and derivatives
1010	236	0.13	-142.042	NA	NA	Hydroxy acids and derivatives
1010	237	0.11	-146.074	NA	NA	Hydroxy acids and derivatives
1010	240	0.29	15.995	NA	NA	Hydroxy acids and derivatives
1010	246	0.19	-146.037	NA	NA	Hydroxy acids and derivatives
1010	254	0.11	-136.016	NA	NA	Hydroxy acids and derivatives
1010	257	0.29	15.995	NA	NA	Hydroxy acids and derivatives
1010	272	0.17	-202.064	NA	NA	Hydroxy acids and derivatives
1010	293	0.25	178.026	NA	NA	Hydroxy acids and derivatives
1010	298	0.27	178.026	NA	NA	Hydroxy acids and derivatives
1010	316	0.28	15.995	NA	NA	Hydroxy acids and derivatives
1010	361	0.12	-172.053	NA	NA	Hydroxy acids and derivatives
1010	378	0.12	-119.985	NA	NA	Hydroxy acids and derivatives
1010	394	0.14	-204.079	NA	NA	Hydroxy acids and derivatives
1010	416	0.32	178.026	NA	NA	Hydroxy acids and derivatives
1010	471	0.17	-206.059	NA	NA	Hydroxy acids and derivatives
1010	537	0.15	-162.033	NA	NA	Hydroxy acids and derivatives
1010	541	0.19	37.977	NA	NA	Hydroxy acids and derivatives
1010	542	0.16	-204.043	NA	NA	Hydroxy acids and derivatives
1010	587	0.12	-174.069	NA	NA	Hydroxy acids and derivatives
1010	594	0.13	-114.047	NA	NA	Hydroxy acids and derivatives
1010	601	0.29	198.053	NA	NA	Hydroxy acids and derivatives
1010	684	0.13	20.011	NA	NA	Hydroxy acids and derivatives
1010	757	0.13	-190.064	NA	NA	Hydroxy acids and derivatives
1010	769	0.12	-128.027	NA	NA	Hydroxy acids and derivatives
1010	801	0.14	-190.064	NA	NA	Hydroxy acids and derivatives
1010	802	0.11	-128.063	NA	NA	Hydroxy acids and derivatives
1010	810	0.15	34.026	NA	NA	Hydroxy acids and derivatives
1010	846	0.32	15.995	NA	NA	Hydroxy acids and derivatives
1010	920	0.12	-174.069	NA	NA	Hydroxy acids and derivatives
1010	939	0.19	15.995	NA	NA	Hydroxy acids and derivatives
1010	986	0.37	182.057	NA	NA	Hydroxy acids and derivatives
1010	994	0.15	-190.027	NA	NA	Hydroxy acids and derivatives
1015	1010	0.31	-13.979	NA	NA	Hydroxy acids and derivatives
1015	240	0.63	2.016	NA	NA	Hydroxy acids and derivatives
1015	246	0.20	-160.017	NA	NA	Hydroxy acids and derivatives
1015	257	0.53	2.016	NA	NA	Hydroxy acids and derivatives
1015	293	0.42	164.047	NA	NA	Hydroxy acids and derivatives
1015	298	0.32	164.047	NA	NA	Hydroxy acids and derivatives
1015	316	0.41	2.016	NA	NA	Hydroxy acids and derivatives
1015	416	0.42	164.047	NA	NA	Hydroxy acids and derivatives
1015	541	0.37	23.998	NA	NA	Hydroxy acids and derivatives
1015	601	0.33	184.073	NA	NA	Hydroxy acids and derivatives
1015	810	0.16	20.047	NA	NA	Hydroxy acids and derivatives
1015	846	0.44	2.016	NA	NA	Hydroxy acids and derivatives
1015	939	0.31	2.016	NA	NA	Hydroxy acids and derivatives
1015	986	0.38	168.078	NA	NA	Hydroxy acids and derivatives
1045	1004	0.17	-15.995	NA	NA	Hydroxy acids and derivatives
1045	1010	0.14	161.996	NA	NA	Hydroxy acids and derivatives
1045	184	0.25	-15.995	NA	NA	Hydroxy acids and derivatives
1045	209	0.12	12.037	NA	NA	Hydroxy acids and derivatives
1045	269	0.27	0.000	NA	NA	Hydroxy acids and derivatives
1045	316	0.11	177.991	NA	NA	Hydroxy acids and derivatives
1045	378	0.17	42.011	NA	NA	Hydroxy acids and derivatives
1045	471	0.11	-44.063	NA	NA	Hydroxy acids and derivatives
1045	537	0.20	-0.036	NA	NA	Hydroxy acids and derivatives
1045	542	0.11	-42.047	NA	NA	Hydroxy acids and derivatives
1045	724	0.14	312.158	NA	NA	Hydroxy acids and derivatives
1045	735	0.18	-0.036	NA	NA	Hydroxy acids and derivatives
1045	769	0.11	33.969	NA	NA	Hydroxy acids and derivatives
1045	844	0.13	-2.016	NA	NA	Hydroxy acids and derivatives
1045	867	0.17	-44.026	NA	NA	Hydroxy acids and derivatives
1058	1002	0.14	-152.011	NA	NA	Hydroxy acids and derivatives
1058	1004	0.12	-356.038	NA	NA	Hydroxy acids and derivatives
1058	1010	0.21	-178.047	NA	NA	Hydroxy acids and derivatives
1058	1015	0.41	-164.068	NA	NA	Hydroxy acids and derivatives
1058	184	0.21	-356.038	NA	NA	Hydroxy acids and derivatives
1058	236	0.14	-320.090	NA	NA	Hydroxy acids and derivatives
1058	237	0.13	-324.121	NA	NA	Hydroxy acids and derivatives
1058	240	0.45	-162.053	NA	NA	Hydroxy acids and derivatives
1058	246	0.35	-324.085	NA	NA	Hydroxy acids and derivatives
1058	257	0.25	-162.052	NA	NA	Hydroxy acids and derivatives
1058	269	0.11	-340.043	NA	NA	Hydroxy acids and derivatives
1058	272	0.27	-380.111	NA	NA	Hydroxy acids and derivatives
1058	293	0.34	-0.021	NA	NA	Hydroxy acids and derivatives
1058	298	0.28	-0.021	NA	NA	Hydroxy acids and derivatives
1058	316	0.34	-162.052	NA	NA	Hydroxy acids and derivatives
1058	361	0.18	-350.101	NA	NA	Hydroxy acids and derivatives
1058	378	0.13	-298.033	NA	NA	Hydroxy acids and derivatives
1058	394	0.21	-382.127	NA	NA	Hydroxy acids and derivatives
1058	416	0.47	-0.021	NA	NA	Hydroxy acids and derivatives
1058	471	0.20	-384.106	NA	NA	Hydroxy acids and derivatives
1058	537	0.16	-340.080	NA	NA	Hydroxy acids and derivatives
1058	541	0.35	-140.071	NA	NA	Hydroxy acids and derivatives
1058	542	0.19	-382.090	NA	NA	Hydroxy acids and derivatives
1058	587	0.13	-352.116	NA	NA	Hydroxy acids and derivatives
1058	601	0.21	20.005	NA	NA	Hydroxy acids and derivatives
1058	609	0.16	-412.101	NA	NA	Hydroxy acids and derivatives
1058	684	0.13	-158.037	NA	NA	Hydroxy acids and derivatives
1058	757	0.17	-368.111	NA	NA	Hydroxy acids and derivatives
1058	769	0.13	-306.074	NA	NA	Hydroxy acids and derivatives
1058	801	0.15	-368.111	NA	NA	Hydroxy acids and derivatives
1058	802	0.14	-306.111	NA	NA	Hydroxy acids and derivatives
1058	810	0.11	-144.021	NA	NA	Hydroxy acids and derivatives
1058	846	0.37	-162.052	NA	NA	Hydroxy acids and derivatives
1058	920	0.15	-352.116	NA	NA	Hydroxy acids and derivatives
1058	939	0.25	-162.053	NA	NA	Hydroxy acids and derivatives
1058	986	0.26	4.010	NA	NA	Hydroxy acids and derivatives
1058	994	0.17	-368.075	NA	NA	Hydroxy acids and derivatives
1068	1002	0.15	-3.974	NA	NA	Hydroxy acids and derivatives
1068	1004	0.14	-208.001	NA	NA	Hydroxy acids and derivatives
1068	1010	0.38	-30.010	NA	NA	Hydroxy acids and derivatives
1068	1015	0.23	-16.031	NA	NA	Hydroxy acids and derivatives
1068	1058	0.22	148.037	NA	NA	Hydroxy acids and derivatives
1068	184	0.12	-208.001	NA	NA	Hydroxy acids and derivatives
1068	209	0.14	-179.970	NA	NA	Hydroxy acids and derivatives
1068	236	0.12	-172.053	NA	NA	Hydroxy acids and derivatives
1068	237	0.11	-176.084	NA	NA	Hydroxy acids and derivatives
1068	240	0.26	-14.016	NA	NA	Hydroxy acids and derivatives
1068	246	0.19	-176.048	NA	NA	Hydroxy acids and derivatives
1068	254	0.18	-166.027	NA	NA	Hydroxy acids and derivatives
1068	257	0.21	-14.015	NA	NA	Hydroxy acids and derivatives
1068	272	0.24	-232.074	NA	NA	Hydroxy acids and derivatives
1068	293	0.20	148.016	NA	NA	Hydroxy acids and derivatives
1068	298	0.30	148.016	NA	NA	Hydroxy acids and derivatives
1068	316	0.22	-14.015	NA	NA	Hydroxy acids and derivatives
1068	361	0.17	-202.064	NA	NA	Hydroxy acids and derivatives
1068	378	0.12	-149.996	NA	NA	Hydroxy acids and derivatives
1068	394	0.20	-234.090	NA	NA	Hydroxy acids and derivatives
1068	416	0.23	148.016	NA	NA	Hydroxy acids and derivatives
1068	471	0.20	-236.069	NA	NA	Hydroxy acids and derivatives
1068	537	0.17	-192.043	NA	NA	Hydroxy acids and derivatives
1068	541	0.27	7.966	NA	NA	Hydroxy acids and derivatives
1068	542	0.22	-234.053	NA	NA	Hydroxy acids and derivatives
1068	587	0.14	-204.079	NA	NA	Hydroxy acids and derivatives
1068	594	0.13	-144.058	NA	NA	Hydroxy acids and derivatives
1068	601	0.35	168.042	NA	NA	Hydroxy acids and derivatives
1068	684	0.15	-10.000	NA	NA	Hydroxy acids and derivatives
1068	735	0.13	-192.043	NA	NA	Hydroxy acids and derivatives
1068	757	0.20	-220.074	NA	NA	Hydroxy acids and derivatives
1068	769	0.12	-158.037	NA	NA	Hydroxy acids and derivatives
1068	801	0.15	-220.074	NA	NA	Hydroxy acids and derivatives
1068	802	0.13	-158.074	NA	NA	Hydroxy acids and derivatives
1068	810	0.17	4.016	NA	NA	Hydroxy acids and derivatives
1068	846	0.26	-14.015	NA	NA	Hydroxy acids and derivatives
1068	867	0.15	-236.033	NA	NA	Hydroxy acids and derivatives
1068	920	0.15	-204.079	NA	NA	Hydroxy acids and derivatives
1068	939	0.24	-14.016	NA	NA	Hydroxy acids and derivatives
1068	986	0.33	152.047	NA	NA	Hydroxy acids and derivatives
1068	994	0.17	-220.038	NA	NA	Hydroxy acids and derivatives
1100	1002	0.28	68.063	NA	NA	Hydroxy acids and derivatives
1100	1004	0.12	-135.965	NA	NA	Hydroxy acids and derivatives
1100	1058	0.11	220.073	NA	NA	Hydroxy acids and derivatives
1100	1068	0.13	72.036	NA	NA	Hydroxy acids and derivatives
1100	184	0.14	-135.965	NA	NA	Hydroxy acids and derivatives
1100	209	0.12	-107.934	NA	NA	Hydroxy acids and derivatives
1100	236	0.30	-100.017	NA	NA	Hydroxy acids and derivatives
1100	237	0.24	-104.048	NA	NA	Hydroxy acids and derivatives
1100	246	0.16	-104.012	NA	NA	Hydroxy acids and derivatives
1100	272	0.28	-160.038	NA	NA	Hydroxy acids and derivatives
1100	287	0.11	-149.981	NA	NA	Hydroxy acids and derivatives
1100	298	0.12	220.052	NA	NA	Hydroxy acids and derivatives
1100	361	0.31	-130.027	NA	NA	Hydroxy acids and derivatives
1100	378	0.12	-77.959	NA	NA	Hydroxy acids and derivatives
1100	394	0.30	-162.054	NA	NA	Hydroxy acids and derivatives
1100	471	0.30	-164.033	NA	NA	Hydroxy acids and derivatives
1100	482	0.26	-190.049	NA	NA	Hydroxy acids and derivatives
1100	537	0.18	-120.007	NA	NA	Hydroxy acids and derivatives
1100	541	0.12	80.002	NA	NA	Hydroxy acids and derivatives
1100	542	0.27	-162.017	NA	NA	Hydroxy acids and derivatives
1100	587	0.48	-132.043	NA	NA	Hydroxy acids and derivatives
1100	594	0.32	-72.022	NA	NA	Hydroxy acids and derivatives
1100	609	0.23	-192.028	NA	NA	Hydroxy acids and derivatives
1100	675	0.24	-70.006	NA	NA	Hydroxy acids and derivatives
1100	684	0.29	62.036	NA	NA	Hydroxy acids and derivatives
1100	757	0.25	-148.038	NA	NA	Hydroxy acids and derivatives
1100	769	0.35	-86.001	NA	NA	Hydroxy acids and derivatives
1100	801	0.30	-148.038	NA	NA	Hydroxy acids and derivatives
1100	802	0.38	-86.037	NA	NA	Hydroxy acids and derivatives
1100	810	0.44	76.052	NA	NA	Hydroxy acids and derivatives
