source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1004	104	0.18	69.058	NA	NA	Hydroxy fatty acids
1004	121	0.11	156.152	NA	NA	Hydroxy fatty acids
1004	145	0.21	128.121	NA	NA	Hydroxy fatty acids
1004	168	0.20	170.131	NA	NA	Hydroxy fatty acids
1004	184	0.70	-0.000	NA	NA	Hydroxy fatty acids
1004	209	0.14	28.032	NA	NA	Hydroxy fatty acids
1004	213	0.15	28.031	NA	NA	Hydroxy fatty acids
1004	215	0.25	178.100	NA	NA	Hydroxy fatty acids
1004	236	0.18	35.949	NA	NA	Hydroxy fatty acids
1004	251	0.17	152.121	NA	NA	Hydroxy fatty acids
1004	287	0.15	-14.016	NA	NA	Hydroxy fatty acids
1004	307	0.13	12.000	NA	NA	Hydroxy fatty acids
1004	324	0.13	168.116	NA	NA	Hydroxy fatty acids
1004	325	0.19	168.116	NA	NA	Hydroxy fatty acids
1004	328	0.14	138.141	NA	NA	Hydroxy fatty acids
1004	336	0.11	136.126	NA	NA	Hydroxy fatty acids
1004	342	0.19	184.111	NA	NA	Hydroxy fatty acids
1004	356	0.14	154.136	NA	NA	Hydroxy fatty acids
1004	361	0.15	5.938	NA	NA	Hydroxy fatty acids
1004	369	0.14	184.111	NA	NA	Hydroxy fatty acids
1004	378	0.19	58.006	NA	NA	Hydroxy fatty acids
1004	405	0.15	152.121	NA	NA	Hydroxy fatty acids
1004	412	0.21	182.095	NA	NA	Hydroxy fatty acids
1004	430	0.14	316.028	NA	NA	Hydroxy fatty acids
1004	437	0.14	102.032	NA	NA	Hydroxy fatty acids
1004	510	0.11	156.152	NA	NA	Hydroxy fatty acids
1004	537	0.20	15.958	NA	NA	Hydroxy fatty acids
1004	570	0.21	168.116	NA	NA	Hydroxy fatty acids
1004	572	0.23	244.132	NA	NA	Hydroxy fatty acids
1004	594	0.14	63.943	NA	NA	Hydroxy fatty acids
1004	6	0.11	140.157	NA	NA	Hydroxy fatty acids
1004	610	0.16	42.011	NA	NA	Hydroxy fatty acids
1004	620	0.15	40.031	NA	NA	Hydroxy fatty acids
1004	627	0.12	226.158	NA	NA	Hydroxy fatty acids
1004	684	0.14	198.002	NA	NA	Hydroxy fatty acids
1004	735	0.29	15.959	NA	NA	Hydroxy fatty acids
1004	736	0.23	242.116	NA	NA	Hydroxy fatty acids
1004	751	0.22	194.131	NA	NA	Hydroxy fatty acids
1004	769	0.17	49.964	NA	NA	Hydroxy fatty acids
1004	802	0.15	49.928	NA	NA	Hydroxy fatty acids
1004	810	0.15	212.017	NA	NA	Hydroxy fatty acids
1004	84	0.14	228.012	NA	NA	Hydroxy fatty acids
1004	867	0.35	-28.031	NA	NA	Hydroxy fatty acids
1004	964	0.17	186.126	NA	NA	Hydroxy fatty acids
1004	994	0.19	-12.036	NA	NA	Hydroxy fatty acids
1045	1004	0.17	-15.995	NA	NA	Hydroxy fatty acids
1045	145	0.15	112.126	NA	NA	Hydroxy fatty acids
1045	168	0.14	154.136	NA	NA	Hydroxy fatty acids
1045	184	0.25	-15.995	NA	NA	Hydroxy fatty acids
1045	209	0.12	12.037	NA	NA	Hydroxy fatty acids
1045	269	0.27	0.000	NA	NA	Hydroxy fatty acids
1045	328	0.14	122.146	NA	NA	Hydroxy fatty acids
1045	356	0.16	138.141	NA	NA	Hydroxy fatty acids
1045	378	0.17	42.011	NA	NA	Hydroxy fatty acids
1045	405	0.16	136.126	NA	NA	Hydroxy fatty acids
1045	537	0.20	-0.036	NA	NA	Hydroxy fatty acids
1045	570	0.18	152.121	NA	NA	Hydroxy fatty acids
1045	572	0.14	228.137	NA	NA	Hydroxy fatty acids
1045	591	0.15	72.022	NA	NA	Hydroxy fatty acids
1045	735	0.18	-0.036	NA	NA	Hydroxy fatty acids
1045	736	0.17	226.121	NA	NA	Hydroxy fatty acids
1045	769	0.11	33.969	NA	NA	Hydroxy fatty acids
1045	867	0.17	-44.026	NA	NA	Hydroxy fatty acids
1045	964	0.14	170.131	NA	NA	Hydroxy fatty acids
1110	1004	0.30	-43.990	NA	NA	Hydroxy fatty acids
1110	1045	0.12	-27.995	NA	NA	Hydroxy fatty acids
1110	184	0.12	-43.990	NA	NA	Hydroxy fatty acids
