source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1019	362	0.38	30.011	NA	NA	Ketones
1019	379	0.15	-320.183	NA	NA	Ketones
1019	380	0.37	66.032	NA	NA	Ketones
1019	415	0.63	30.011	NA	NA	Ketones
1019	427	0.51	32.027	NA	NA	Ketones
1019	469	0.63	46.006	NA	NA	Ketones
1019	532	0.17	-306.168	NA	NA	Ketones
1019	533	0.64	46.006	NA	NA	Ketones
1019	538	0.11	-320.183	NA	NA	Ketones
1019	580	0.13	-292.115	NA	NA	Ketones
1019	631	0.11	-146.115	NA	NA	Ketones
1019	646	0.14	-294.095	NA	NA	Ketones
1019	789	0.13	-144.099	NA	NA	Ketones
1019	904	0.49	48.022	NA	NA	Ketones
1019	923	0.14	-218.136	NA	NA	Ketones
1019	953	0.35	30.011	NA	NA	Ketones
1081	106	0.14	-312.158	NA	NA	Ketones
1081	923	0.12	-200.178	NA	NA	Ketones
1094	1019	0.19	362.158	NA	NA	Ketones
1094	193	0.14	31.042	NA	NA	Ketones
1094	379	0.21	41.975	NA	NA	Ketones
1094	399	0.13	134.110	NA	NA	Ketones
1094	415	0.11	392.169	NA	NA	Ketones
1094	420	0.18	55.990	NA	NA	Ketones
1094	427	0.11	394.184	NA	NA	Ketones
1094	455	0.15	152.121	NA	NA	Ketones
1094	469	0.11	408.163	NA	NA	Ketones
1094	504	0.14	150.105	NA	NA	Ketones
1094	517	0.11	152.121	NA	NA	Ketones
1094	532	0.17	55.990	NA	NA	Ketones
1094	533	0.11	408.163	NA	NA	Ketones
1094	538	0.17	41.974	NA	NA	Ketones
1094	631	0.13	216.043	NA	NA	Ketones
1094	646	0.16	68.063	NA	NA	Ketones
1094	727	0.13	54.047	NA	NA	Ketones
1094	789	0.12	218.058	NA	NA	Ketones
1094	904	0.11	410.179	NA	NA	Ketones
1094	923	0.23	144.022	NA	NA	Ketones
1094	935	0.12	458.158	NA	NA	Ketones
1094	953	0.12	392.169	NA	NA	Ketones
1121	1019	0.17	152.164	NA	NA	Ketones
1121	362	0.11	182.175	NA	NA	Ketones
1121	379	0.12	-168.019	NA	NA	Ketones
1121	380	0.15	218.196	NA	NA	Ketones
1121	415	0.11	182.175	NA	NA	Ketones
1121	420	0.16	-154.003	NA	NA	Ketones
1121	427	0.11	184.191	NA	NA	Ketones
1121	469	0.17	198.170	NA	NA	Ketones
1121	532	0.12	-154.004	NA	NA	Ketones
1121	533	0.17	198.170	NA	NA	Ketones
1121	538	0.11	-168.019	NA	NA	Ketones
1121	631	0.13	6.049	NA	NA	Ketones
1121	646	0.13	-141.931	NA	NA	Ketones
1121	750	0.13	-200.046	NA	NA	Ketones
1121	904	0.15	200.186	NA	NA	Ketones
1121	953	0.13	182.175	NA	NA	Ketones
1151	106	0.15	-118.064	NA	NA	Ketones
1151	1094	0.13	-150.105	NA	NA	Ketones
1151	193	0.17	-119.063	NA	NA	Ketones
1151	366	0.32	2.016	NA	NA	Ketones
1151	399	0.23	-15.995	NA	NA	Ketones
1151	433	0.11	-11.964	NA	NA	Ketones
1151	455	0.22	2.016	NA	NA	Ketones
1151	504	0.56	-0.000	NA	NA	Ketones
1151	517	0.28	2.016	NA	NA	Ketones
1151	53	0.11	-70.078	NA	NA	Ketones
1151	646	0.14	-82.042	NA	NA	Ketones
1151	727	0.13	-96.058	NA	NA	Ketones
1156	1019	0.15	306.167	NA	NA	Ketones
1156	1094	0.18	-55.990	NA	NA	Ketones
1156	1121	0.18	154.003	NA	NA	Ketones
1156	379	0.34	-14.016	NA	NA	Ketones
1156	415	0.12	336.178	NA	NA	Ketones
1156	420	0.50	-0.000	NA	NA	Ketones
1156	455	0.11	96.131	NA	NA	Ketones
1156	469	0.12	352.173	NA	NA	Ketones
1156	53	0.11	24.037	NA	NA	Ketones
