source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	332	0.13	-19.982	NA	NA	Lactams
1129	78	0.11	43.029	NA	NA	Lactams
1129	894	0.15	12.000	NA	NA	Lactams
1230	34	0.12	-123.907	NA	NA	Lactams
1230	747	0.12	-291.040	NA	NA	Lactams
1230	894	0.18	-134.043	NA	NA	Lactams
1242	1230	0.12	266.100	NA	NA	Lactams
1242	382	0.28	-64.008	NA	NA	Lactams
1242	677	0.12	-240.065	NA	NA	Lactams
1242	747	0.14	-24.940	NA	NA	Lactams
1242	894	0.17	132.057	NA	NA	Lactams
1276	1242	0.13	-1.979	NA	NA	Lactams
1276	382	0.18	-65.987	NA	NA	Lactams
1276	894	0.16	130.078	NA	NA	Lactams
1284	108	0.12	-67.988	NA	NA	Lactams
1430	1230	0.12	179.060	NA	NA	Lactams
1658	795	0.17	-3.995	NA	NA	Lactams
1705	1129	0.11	-8.013	NA	NA	Lactams
1705	1230	0.13	138.029	NA	NA	Lactams
1705	1242	0.16	-128.070	NA	NA	Lactams
1705	16	0.16	112.305	NA	NA	Lactams
1705	332	0.12	-27.995	NA	NA	Lactams
1705	78	0.12	35.016	NA	NA	Lactams
1705	894	0.23	3.987	NA	NA	Lactams
1775	332	0.12	12.044	NA	NA	Lactams
1775	894	0.22	44.026	NA	NA	Lactams
1847	1775	0.12	130.042	NA	NA	Lactams
1847	747	0.11	17.071	NA	NA	Lactams
1847	894	0.15	174.068	NA	NA	Lactams
1879	1129	0.11	-48.005	NA	NA	Lactams
1879	1230	0.11	98.037	NA	NA	Lactams
1879	1242	0.16	-168.063	NA	NA	Lactams
1879	1705	0.15	-39.993	NA	NA	Lactams
1879	1775	0.12	-80.032	NA	NA	Lactams
1879	332	0.14	-67.988	NA	NA	Lactams
1879	382	0.16	-232.071	NA	NA	Lactams
1879	78	0.12	-4.977	NA	NA	Lactams
1879	894	0.24	-36.006	NA	NA	Lactams
1910	1658	0.18	166.063	NA	NA	Lactams
1978	1242	0.14	107.998	NA	NA	Lactams
1978	1705	0.17	236.068	NA	NA	Lactams
1978	1775	0.12	196.029	NA	NA	Lactams
1978	1847	0.14	65.987	NA	NA	Lactams
1978	382	0.12	43.990	NA	NA	Lactams
1978	677	0.12	-132.067	NA	NA	Lactams
1978	747	0.12	83.058	NA	NA	Lactams
1978	894	0.16	240.055	NA	NA	Lactams
2143	1003	0.11	86.018	NA	NA	Lactams
2143	108	0.14	58.054	NA	NA	Lactams
2348	1242	0.11	-124.053	NA	NA	Lactams
2348	1847	0.14	-166.064	NA	NA	Lactams
2348	382	0.11	-188.061	NA	NA	Lactams
2348	677	0.12	-364.118	NA	NA	Lactams
2348	747	0.13	-148.992	NA	NA	Lactams
2359	1430	0.16	-42.010	NA	NA	Lactams
2450	1242	0.20	16.041	NA	NA	Lactams
2450	1705	0.15	144.111	NA	NA	Lactams
2450	1775	0.14	104.072	NA	NA	Lactams
2450	1879	0.18	184.104	NA	NA	Lactams
2450	382	0.11	-47.967	NA	NA	Lactams
2450	747	0.11	-8.899	NA	NA	Lactams
2450	894	0.17	148.098	NA	NA	Lactams
2670	1430	0.12	-94.042	NA	NA	Lactams
2670	2359	0.15	-52.032	NA	NA	Lactams
2927	1242	0.15	72.081	NA	NA	Lactams
2927	1705	0.13	200.152	NA	NA	Lactams
2927	1775	0.12	160.112	NA	NA	Lactams
2927	1847	0.12	30.070	NA	NA	Lactams
2927	1978	0.13	-35.916	NA	NA	Lactams
2927	2348	0.11	196.134	NA	NA	Lactams
2927	2450	0.11	56.040	NA	NA	Lactams
2927	382	0.12	8.073	NA	NA	Lactams
2927	747	0.20	47.142	NA	NA	Lactams
2927	894	0.18	204.139	NA	NA	Lactams
29	29	1.00	0.000	NA	NA	Lactams
3048	677	0.11	-84.014	NA	NA	Lactams
3156	1230	0.13	166.068	NA	NA	Lactams
3156	1242	0.13	-100.032	NA	NA	Lactams
3156	1705	0.17	28.039	NA	NA	Lactams
3156	1775	0.11	-12.001	NA	NA	Lactams
3156	1879	0.15	68.032	NA	NA	Lactams
3156	2011	0.12	68.031	NA	NA	Lactams
3156	2450	0.16	-116.073	NA	NA	Lactams
3156	2927	0.11	-172.113	NA	NA	Lactams
3156	332	0.17	0.044	NA	NA	Lactams
3156	894	0.20	32.026	NA	NA	Lactams
3286	1230	0.12	298.089	NA	NA	Lactams
3286	1242	0.17	31.990	NA	NA	Lactams
3286	1276	0.12	33.969	NA	NA	Lactams
3286	1705	0.18	160.060	NA	NA	Lactams
3286	1753	0.17	276.011	NA	NA	Lactams
3286	1847	0.13	-10.021	NA	NA	Lactams
3286	1879	0.16	200.053	NA	NA	Lactams
3286	1978	0.12	-76.008	NA	NA	Lactams
3286	2348	0.17	156.042	NA	NA	Lactams
3286	2670	0.14	213.072	NA	NA	Lactams
3286	2927	0.24	-40.092	NA	NA	Lactams
3286	34	0.15	174.183	NA	NA	Lactams
3286	382	0.22	-32.019	NA	NA	Lactams
3286	677	0.15	-208.076	NA	NA	Lactams
3286	747	0.17	7.050	NA	NA	Lactams
3286	894	0.14	164.047	NA	NA	Lactams
332	78	0.21	63.011	NA	NA	Lactams
3353	814	0.11	-67.990	NA	NA	Lactams
3474	1242	0.18	101.014	NA	NA	Lactams
3474	1775	0.12	189.045	NA	NA	Lactams
3474	1847	0.14	59.003	NA	NA	Lactams
3474	2348	0.16	225.066	NA	NA	Lactams
3474	2450	0.11	84.972	NA	NA	Lactams
3474	2927	0.15	28.932	NA	NA	Lactams
3474	3286	0.20	69.024	NA	NA	Lactams
3474	382	0.21	37.006	NA	NA	Lactams
3474	677	0.19	-139.051	NA	NA	Lactams
3474	747	0.20	76.074	NA	NA	Lactams
3474	894	0.11	233.071	NA	NA	Lactams
3475	1242	0.14	-24.044	NA	NA	Lactams
3475	1705	0.15	104.026	NA	NA	Lactams
3475	1775	0.16	63.987	NA	NA	Lactams
3475	1847	0.20	-66.055	NA	NA	Lactams
3475	1978	0.22	-132.042	NA	NA	Lactams
3475	2348	0.13	100.008	NA	NA	Lactams
3475	2927	0.14	-96.126	NA	NA	Lactams
3475	3156	0.11	75.987	NA	NA	Lactams
3475	3286	0.13	-56.034	NA	NA	Lactams
3475	382	0.12	-88.052	NA	NA	Lactams
3475	747	0.12	-48.984	NA	NA	Lactams
3475	894	0.16	108.013	NA	NA	Lactams
382	332	0.11	164.084	NA	NA	Lactams
3925	1705	0.15	-83.022	NA	NA	Lactams
3925	1753	0.15	32.929	NA	NA	Lactams
3925	2927	0.15	-283.174	NA	NA	Lactams
3925	3286	0.18	-243.082	NA	NA	Lactams
3973	1242	0.12	-215.078	NA	NA	Lactams
3973	1879	0.12	-47.015	NA	NA	Lactams
3973	2348	0.11	-91.026	NA	NA	Lactams
3973	3286	0.14	-247.068	NA	NA	Lactams
3973	382	0.12	-279.087	NA	NA	Lactams
3973	747	0.12	-240.018	NA	NA	Lactams
3973	894	0.11	-83.021	NA	NA	Lactams
4409	1230	0.12	58.987	NA	NA	Lactams
4409	1242	0.12	-207.113	NA	NA	Lactams
4409	1705	0.11	-79.043	NA	NA	Lactams
4409	1847	0.12	-249.124	NA	NA	Lactams
4409	1879	0.19	-39.050	NA	NA	Lactams
4409	2348	0.12	-83.060	NA	NA	Lactams
4409	2450	0.21	-223.154	NA	NA	Lactams
4409	3286	0.17	-239.102	NA	NA	Lactams
4409	332	0.12	-107.037	NA	NA	Lactams
4409	3474	0.14	-308.127	NA	NA	Lactams
4409	382	0.13	-271.121	NA	NA	Lactams
4409	3973	0.18	7.966	NA	NA	Lactams
