source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1022	185	0.11	-78.010	NA	NA	Lactones
1022	379	0.11	-156.058	NA	NA	Lactones
1022	410	0.11	-160.068	NA	NA	Lactones
1022	417	0.13	-136.068	NA	NA	Lactones
1022	476	0.11	-140.063	NA	NA	Lactones
1022	540	0.21	-42.010	NA	NA	Lactones
1022	579	0.11	-140.063	NA	NA	Lactones
1022	668	0.11	-112.031	NA	NA	Lactones
1022	671	0.12	-156.058	NA	NA	Lactones
1022	798	0.11	-156.058	NA	NA	Lactones
1022	873	0.12	-170.037	NA	NA	Lactones
1062	321	0.43	-2.016	NA	NA	Lactones
1062	352	0.28	42.047	NA	NA	Lactones
1062	379	0.21	22.021	NA	NA	Lactones
1062	395	0.59	15.995	NA	NA	Lactones
1062	410	0.47	18.011	NA	NA	Lactones
1062	411	0.31	56.027	NA	NA	Lactones
1062	417	0.27	42.011	NA	NA	Lactones
1062	476	0.14	38.016	NA	NA	Lactones
1062	507	0.25	74.001	NA	NA	Lactones
1062	530	0.19	24.037	NA	NA	Lactones
1062	531	0.21	40.032	NA	NA	Lactones
1062	540	0.11	136.068	NA	NA	Lactones
1062	579	0.16	38.016	NA	NA	Lactones
1062	595	0.11	1.994	NA	NA	Lactones
1062	608	0.25	334.103	NA	NA	Lactones
1062	643	0.38	10.021	NA	NA	Lactones
1062	668	0.16	66.047	NA	NA	Lactones
1062	671	0.13	22.021	NA	NA	Lactones
1062	679	0.26	52.032	NA	NA	Lactones
1062	798	0.15	22.021	NA	NA	Lactones
1062	799	0.47	-2.016	NA	NA	Lactones
1062	827	0.24	8.041	NA	NA	Lactones
1062	857	0.15	120.058	NA	NA	Lactones
1062	873	0.18	8.041	NA	NA	Lactones
1062	89	0.13	42.063	NA	NA	Lactones
1062	891	0.14	24.036	NA	NA	Lactones
1076	1022	0.11	152.063	NA	NA	Lactones
1076	1062	0.27	-26.016	NA	NA	Lactones
1076	321	0.25	-28.031	NA	NA	Lactones
1076	352	0.42	16.031	NA	NA	Lactones
1076	379	0.42	-3.995	NA	NA	Lactones
1076	395	0.24	-10.021	NA	NA	Lactones
1076	410	0.21	-8.005	NA	NA	Lactones
1076	411	0.55	30.011	NA	NA	Lactones
1076	417	0.46	15.995	NA	NA	Lactones
1076	476	0.38	12.000	NA	NA	Lactones
1076	507	0.22	47.985	NA	NA	Lactones
1076	530	0.30	-1.979	NA	NA	Lactones
1076	531	0.42	14.016	NA	NA	Lactones
1076	540	0.11	110.053	NA	NA	Lactones
1076	564	0.15	132.095	NA	NA	Lactones
1076	579	0.32	12.000	NA	NA	Lactones
1076	608	0.12	308.087	NA	NA	Lactones
1076	643	0.59	-15.995	NA	NA	Lactones
1076	65	0.13	4.047	NA	NA	Lactones
1076	668	0.27	40.032	NA	NA	Lactones
1076	671	0.23	-3.995	NA	NA	Lactones
1076	679	0.44	26.016	NA	NA	Lactones
1076	798	0.30	-3.995	NA	NA	Lactones
1076	799	0.26	-28.031	NA	NA	Lactones
1076	827	0.42	-17.974	NA	NA	Lactones
1076	857	0.16	94.042	NA	NA	Lactones
1076	873	0.32	-17.974	NA	NA	Lactones
1076	89	0.17	16.047	NA	NA	Lactones
1076	891	0.23	-1.979	NA	NA	Lactones
1093	1022	0.11	-11.933	NA	NA	Lactones
1093	1062	0.27	-190.012	NA	NA	Lactones
1093	1076	0.18	-163.996	NA	NA	Lactones
1093	321	0.18	-192.028	NA	NA	Lactones
1093	352	0.14	-147.965	NA	NA	Lactones
1093	379	0.17	-167.991	NA	NA	Lactones
1093	395	0.30	-174.017	NA	NA	Lactones
1093	410	0.21	-172.001	NA	NA	Lactones
1093	411	0.23	-133.985	NA	NA	Lactones
1093	417	0.20	-148.001	NA	NA	Lactones
1093	476	0.15	-151.996	NA	NA	Lactones
1093	507	0.40	-116.011	NA	NA	Lactones
1093	530	0.19	-165.976	NA	NA	Lactones
1093	531	0.20	-149.980	NA	NA	Lactones
1093	579	0.16	-151.996	NA	NA	Lactones
1093	608	0.16	144.091	NA	NA	Lactones
1093	643	0.18	-179.991	NA	NA	Lactones
1093	668	0.14	-123.965	NA	NA	Lactones
1093	671	0.15	-167.991	NA	NA	Lactones
1093	679	0.15	-137.980	NA	NA	Lactones
1093	798	0.14	-167.991	NA	NA	Lactones
1093	799	0.19	-192.028	NA	NA	Lactones
1093	827	0.26	-181.971	NA	NA	Lactones
1093	873	0.24	-181.971	NA	NA	Lactones
1093	891	0.15	-165.976	NA	NA	Lactones
1140	1022	0.12	170.074	NA	NA	Lactones
1140	1062	0.22	-8.005	NA	NA	Lactones
1140	1076	0.37	18.011	NA	NA	Lactones
1140	1093	0.16	182.007	NA	NA	Lactones
1140	321	0.22	-10.021	NA	NA	Lactones
1140	352	0.29	34.042	NA	NA	Lactones
1140	379	0.35	14.016	NA	NA	Lactones
1140	395	0.17	7.990	NA	NA	Lactones
1140	410	0.17	10.005	NA	NA	Lactones
1140	411	0.31	48.021	NA	NA	Lactones
1140	417	0.35	34.006	NA	NA	Lactones
1140	476	0.27	30.011	NA	NA	Lactones
1140	507	0.28	65.996	NA	NA	Lactones
1140	530	0.21	16.031	NA	NA	Lactones
1140	531	0.31	32.026	NA	NA	Lactones
1140	564	0.21	150.105	NA	NA	Lactones
1140	579	0.25	30.011	NA	NA	Lactones
1140	595	0.11	-6.011	NA	NA	Lactones
1140	643	0.46	2.016	NA	NA	Lactones
1140	65	0.11	22.057	NA	NA	Lactones
1140	668	0.25	58.042	NA	NA	Lactones
1140	671	0.23	14.016	NA	NA	Lactones
1140	679	0.47	44.027	NA	NA	Lactones
1140	798	0.19	14.016	NA	NA	Lactones
1140	799	0.34	-10.021	NA	NA	Lactones
1140	827	0.43	0.036	NA	NA	Lactones
1140	857	0.19	112.053	NA	NA	Lactones
1140	873	0.28	0.036	NA	NA	Lactones
1140	89	0.13	34.057	NA	NA	Lactones
1140	891	0.24	16.031	NA	NA	Lactones
1156	1062	0.13	-36.037	NA	NA	Lactones
1156	1076	0.27	-10.021	NA	NA	Lactones
1156	1093	0.22	153.975	NA	NA	Lactones
1156	1140	0.28	-28.031	NA	NA	Lactones
1156	321	0.14	-38.052	NA	NA	Lactones
1156	352	0.26	6.010	NA	NA	Lactones
1156	379	0.34	-14.016	NA	NA	Lactones
1156	395	0.17	-20.042	NA	NA	Lactones
1156	410	0.13	-18.026	NA	NA	Lactones
1156	411	0.25	19.990	NA	NA	Lactones
1156	417	0.25	5.974	NA	NA	Lactones
1156	476	0.37	1.979	NA	NA	Lactones
1156	507	0.14	37.964	NA	NA	Lactones
1156	530	0.34	-12.000	NA	NA	Lactones
1156	531	0.42	3.995	NA	NA	Lactones
1156	540	0.12	100.032	NA	NA	Lactones
1156	564	0.16	122.074	NA	NA	Lactones
1156	579	0.43	1.979	NA	NA	Lactones
1156	643	0.25	-26.016	NA	NA	Lactones
1156	65	0.13	-5.974	NA	NA	Lactones
1156	668	0.33	30.011	NA	NA	Lactones
1156	671	0.24	-14.016	NA	NA	Lactones
1156	679	0.40	15.995	NA	NA	Lactones
1156	686	0.12	-6.011	NA	NA	Lactones
1156	798	0.26	-14.016	NA	NA	Lactones
1156	799	0.18	-38.052	NA	NA	Lactones
1156	815	0.14	-6.011	NA	NA	Lactones
1156	827	0.49	-27.995	NA	NA	Lactones
1156	873	0.39	-27.995	NA	NA	Lactones
1156	89	0.13	6.026	NA	NA	Lactones
1156	891	0.25	-12.000	NA	NA	Lactones
1193	1022	0.12	184.053	NA	NA	Lactones
1193	1062	0.24	5.974	NA	NA	Lactones
1193	1076	0.47	31.990	NA	NA	Lactones
1193	1093	0.17	195.986	NA	NA	Lactones
1193	1140	0.34	13.979	NA	NA	Lactones
1193	1156	0.38	42.011	NA	NA	Lactones
1193	321	0.33	3.959	NA	NA	Lactones
1193	352	0.39	48.021	NA	NA	Lactones
1193	379	0.40	27.995	NA	NA	Lactones
1193	395	0.25	21.969	NA	NA	Lactones
1193	410	0.25	23.985	NA	NA	Lactones
1193	411	0.46	62.001	NA	NA	Lactones
1193	417	0.35	47.985	NA	NA	Lactones
1193	476	0.50	43.990	NA	NA	Lactones
1193	507	0.19	79.975	NA	NA	Lactones
1193	530	0.34	30.011	NA	NA	Lactones
1193	531	0.57	46.006	NA	NA	Lactones
1193	540	0.12	142.043	NA	NA	Lactones
1193	564	0.20	164.085	NA	NA	Lactones
1193	579	0.52	43.990	NA	NA	Lactones
1193	595	0.18	7.969	NA	NA	Lactones
1193	608	0.11	340.077	NA	NA	Lactones
1193	643	0.50	15.995	NA	NA	Lactones
1193	65	0.15	36.037	NA	NA	Lactones
1193	668	0.34	72.022	NA	NA	Lactones
1193	671	0.24	27.995	NA	NA	Lactones
1193	679	0.44	58.006	NA	NA	Lactones
1193	798	0.36	27.995	NA	NA	Lactones
1193	799	0.30	3.959	NA	NA	Lactones
1193	827	0.35	14.016	NA	NA	Lactones
1193	857	0.17	126.032	NA	NA	Lactones
1193	873	0.32	14.016	NA	NA	Lactones
1193	89	0.17	48.037	NA	NA	Lactones
1193	891	0.26	30.011	NA	NA	Lactones
1206	1062	0.40	-62.037	NA	NA	Lactones
1206	1076	0.17	-36.021	NA	NA	Lactones
1206	1093	0.22	127.975	NA	NA	Lactones
1206	1140	0.13	-54.032	NA	NA	Lactones
1206	1193	0.17	-68.011	NA	NA	Lactones
1206	321	0.30	-64.053	NA	NA	Lactones
1206	352	0.19	-19.990	NA	NA	Lactones
1206	379	0.14	-40.016	NA	NA	Lactones
1206	395	0.39	-46.042	NA	NA	Lactones
1206	410	0.38	-44.026	NA	NA	Lactones
1206	411	0.21	-6.010	NA	NA	Lactones
1206	417	0.18	-20.026	NA	NA	Lactones
1206	507	0.28	11.964	NA	NA	Lactones
1206	530	0.11	-38.000	NA	NA	Lactones
