source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1007	255	0.12	16.016	NA	NA	Lignan glycosides
1007	256	0.17	28.015	NA	NA	Lignan glycosides
1007	261	0.14	-150.032	NA	NA	Lignan glycosides
1007	274	0.27	58.026	NA	NA	Lignan glycosides
1007	286	0.11	-164.048	NA	NA	Lignan glycosides
1007	302	0.18	-146.037	NA	NA	Lignan glycosides
1007	317	0.15	-210.053	NA	NA	Lignan glycosides
1007	323	0.25	-116.027	NA	NA	Lignan glycosides
1007	331	0.16	-146.037	NA	NA	Lignan glycosides
1007	341	0.14	-146.037	NA	NA	Lignan glycosides
1007	348	0.18	-148.052	NA	NA	Lignan glycosides
1007	349	0.20	-150.032	NA	NA	Lignan glycosides
1007	355	0.11	-180.042	NA	NA	Lignan glycosides
1007	376	0.19	-164.048	NA	NA	Lignan glycosides
1007	377	0.19	-32.006	NA	NA	Lignan glycosides
1007	386	0.17	-180.042	NA	NA	Lignan glycosides
1007	419	0.39	47.997	NA	NA	Lignan glycosides
1007	441	0.17	16.031	NA	NA	Lignan glycosides
1007	444	0.16	-194.058	NA	NA	Lignan glycosides
1007	497	0.30	132.042	NA	NA	Lignan glycosides
1007	521	0.17	-194.058	NA	NA	Lignan glycosides
1007	524	0.11	-29.990	NA	NA	Lignan glycosides
1007	527	0.38	-180.042	NA	NA	Lignan glycosides
1007	536	0.14	-192.042	NA	NA	Lignan glycosides
1007	618	0.20	-148.052	NA	NA	Lignan glycosides
1007	621	0.19	12.021	NA	NA	Lignan glycosides
1007	637	0.33	-60.021	NA	NA	Lignan glycosides
1007	660	0.12	16.016	NA	NA	Lignan glycosides
1007	662	0.15	28.016	NA	NA	Lignan glycosides
1007	666	0.13	46.026	NA	NA	Lignan glycosides
1007	690	0.26	-178.063	NA	NA	Lignan glycosides
1007	706	0.15	-222.090	NA	NA	Lignan glycosides
1007	714	0.15	-192.043	NA	NA	Lignan glycosides
1007	716	0.18	16.031	NA	NA	Lignan glycosides
1007	726	0.23	-134.037	NA	NA	Lignan glycosides
1007	761	0.18	-178.063	NA	NA	Lignan glycosides
1007	800	0.13	-194.058	NA	NA	Lignan glycosides
1007	811	0.33	16.031	NA	NA	Lignan glycosides
1007	847	0.16	-1.995	NA	NA	Lignan glycosides
1007	862	0.20	14.001	NA	NA	Lignan glycosides
1007	917	0.21	-144.021	NA	NA	Lignan glycosides
1007	981	0.11	-192.042	NA	NA	Lignan glycosides
