source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1000	244	0.11	86.036	NA	NA	Lignans, neolignans and related compounds
1000	256	0.24	324.105	NA	NA	Lignans, neolignans and related compounds
1000	294	0.18	-60.021	NA	NA	Lignans, neolignans and related compounds
1000	323	0.12	180.063	NA	NA	Lignans, neolignans and related compounds
1000	341	0.12	150.053	NA	NA	Lignans, neolignans and related compounds
1000	348	0.25	148.037	NA	NA	Lignans, neolignans and related compounds
1000	349	0.11	146.058	NA	NA	Lignans, neolignans and related compounds
1000	360	0.26	104.011	NA	NA	Lignans, neolignans and related compounds
1000	376	0.14	132.042	NA	NA	Lignans, neolignans and related compounds
1000	377	0.24	264.084	NA	NA	Lignans, neolignans and related compounds
1000	386	0.12	116.047	NA	NA	Lignans, neolignans and related compounds
1000	398	0.13	-12.000	NA	NA	Lignans, neolignans and related compounds
1000	419	0.14	344.086	NA	NA	Lignans, neolignans and related compounds
1000	444	0.29	102.032	NA	NA	Lignans, neolignans and related compounds
1000	521	0.26	102.032	NA	NA	Lignans, neolignans and related compounds
1000	527	0.14	116.047	NA	NA	Lignans, neolignans and related compounds
1000	599	0.12	272.017	NA	NA	Lignans, neolignans and related compounds
1000	618	0.18	148.037	NA	NA	Lignans, neolignans and related compounds
1000	629	0.14	104.047	NA	NA	Lignans, neolignans and related compounds
1000	637	0.14	236.069	NA	NA	Lignans, neolignans and related compounds
1000	680	0.11	300.069	NA	NA	Lignans, neolignans and related compounds
1000	690	0.12	118.026	NA	NA	Lignans, neolignans and related compounds
1000	706	0.18	74.000	NA	NA	Lignans, neolignans and related compounds
1000	714	0.14	104.047	NA	NA	Lignans, neolignans and related compounds
1000	716	0.15	312.121	NA	NA	Lignans, neolignans and related compounds
1000	726	0.35	162.053	NA	NA	Lignans, neolignans and related compounds
1000	728	0.17	-30.010	NA	NA	Lignans, neolignans and related compounds
1000	761	0.22	118.026	NA	NA	Lignans, neolignans and related compounds
1000	800	0.27	102.032	NA	NA	Lignans, neolignans and related compounds
1000	803	0.15	312.121	NA	NA	Lignans, neolignans and related compounds
1000	811	0.25	312.121	NA	NA	Lignans, neolignans and related compounds
1000	828	0.12	120.058	NA	NA	Lignans, neolignans and related compounds
1000	838	0.11	312.105	NA	NA	Lignans, neolignans and related compounds
1000	847	0.11	294.095	NA	NA	Lignans, neolignans and related compounds
1000	861	0.12	-44.026	NA	NA	Lignans, neolignans and related compounds
1000	862	0.14	310.090	NA	NA	Lignans, neolignans and related compounds
1000	871	0.22	0.000	NA	NA	Lignans, neolignans and related compounds
1000	914	0.20	86.000	NA	NA	Lignans, neolignans and related compounds
1000	917	0.13	152.069	NA	NA	Lignans, neolignans and related compounds
1000	967	0.11	238.032	NA	NA	Lignans, neolignans and related compounds
1000	981	0.11	104.047	NA	NA	Lignans, neolignans and related compounds
1000	982	0.31	-60.021	NA	NA	Lignans, neolignans and related compounds
1007	1000	0.11	-296.090	NA	NA	Lignans, neolignans and related compounds
1007	255	0.12	16.016	NA	NA	Lignans, neolignans and related compounds
1007	256	0.17	28.015	NA	NA	Lignans, neolignans and related compounds
1007	261	0.14	-150.032	NA	NA	Lignans, neolignans and related compounds
1007	274	0.27	58.026	NA	NA	Lignans, neolignans and related compounds
1007	286	0.11	-164.048	NA	NA	Lignans, neolignans and related compounds
1007	294	0.13	-356.111	NA	NA	Lignans, neolignans and related compounds
1007	300	0.11	-372.106	NA	NA	Lignans, neolignans and related compounds
1007	302	0.18	-146.037	NA	NA	Lignans, neolignans and related compounds
1007	317	0.15	-210.053	NA	NA	Lignans, neolignans and related compounds
1007	323	0.25	-116.027	NA	NA	Lignans, neolignans and related compounds
1007	331	0.16	-146.037	NA	NA	Lignans, neolignans and related compounds
1007	341	0.14	-146.037	NA	NA	Lignans, neolignans and related compounds
1007	348	0.18	-148.052	NA	NA	Lignans, neolignans and related compounds
1007	349	0.20	-150.032	NA	NA	Lignans, neolignans and related compounds
1007	354	0.23	-146.022	NA	NA	Lignans, neolignans and related compounds
1007	355	0.11	-180.042	NA	NA	Lignans, neolignans and related compounds
1007	376	0.19	-164.048	NA	NA	Lignans, neolignans and related compounds
1007	377	0.19	-32.006	NA	NA	Lignans, neolignans and related compounds
1007	386	0.17	-180.042	NA	NA	Lignans, neolignans and related compounds
1007	398	0.14	-308.090	NA	NA	Lignans, neolignans and related compounds
1007	401	0.16	-148.037	NA	NA	Lignans, neolignans and related compounds
1007	419	0.39	47.997	NA	NA	Lignans, neolignans and related compounds
1007	441	0.17	16.031	NA	NA	Lignans, neolignans and related compounds
1007	444	0.16	-194.058	NA	NA	Lignans, neolignans and related compounds
1007	497	0.30	132.042	NA	NA	Lignans, neolignans and related compounds
1007	521	0.17	-194.058	NA	NA	Lignans, neolignans and related compounds
1007	524	0.11	-29.990	NA	NA	Lignans, neolignans and related compounds
1007	527	0.38	-180.042	NA	NA	Lignans, neolignans and related compounds
1007	536	0.14	-192.042	NA	NA	Lignans, neolignans and related compounds
1007	560	0.11	-372.142	NA	NA	Lignans, neolignans and related compounds
1007	618	0.20	-148.052	NA	NA	Lignans, neolignans and related compounds
1007	621	0.19	12.021	NA	NA	Lignans, neolignans and related compounds
1007	637	0.33	-60.021	NA	NA	Lignans, neolignans and related compounds
1007	660	0.12	16.016	NA	NA	Lignans, neolignans and related compounds
1007	662	0.15	28.016	NA	NA	Lignans, neolignans and related compounds
1007	666	0.13	46.026	NA	NA	Lignans, neolignans and related compounds
1007	680	0.32	3.979	NA	NA	Lignans, neolignans and related compounds
1007	690	0.26	-178.063	NA	NA	Lignans, neolignans and related compounds
1007	706	0.15	-222.090	NA	NA	Lignans, neolignans and related compounds
1007	714	0.15	-192.043	NA	NA	Lignans, neolignans and related compounds
1007	716	0.18	16.031	NA	NA	Lignans, neolignans and related compounds
1007	726	0.23	-134.037	NA	NA	Lignans, neolignans and related compounds
1007	728	0.27	-326.100	NA	NA	Lignans, neolignans and related compounds
1007	761	0.18	-178.063	NA	NA	Lignans, neolignans and related compounds
1007	768	0.14	-148.037	NA	NA	Lignans, neolignans and related compounds
1007	800	0.13	-194.058	NA	NA	Lignans, neolignans and related compounds
1007	811	0.33	16.031	NA	NA	Lignans, neolignans and related compounds
1007	828	0.19	-176.032	NA	NA	Lignans, neolignans and related compounds
1007	831	0.19	-312.085	NA	NA	Lignans, neolignans and related compounds
1007	838	0.16	16.016	NA	NA	Lignans, neolignans and related compounds
1007	847	0.16	-1.995	NA	NA	Lignans, neolignans and related compounds
1007	851	0.21	-342.095	NA	NA	Lignans, neolignans and related compounds
1007	861	0.16	-340.116	NA	NA	Lignans, neolignans and related compounds
1007	862	0.20	14.001	NA	NA	Lignans, neolignans and related compounds
1007	871	0.11	-296.089	NA	NA	Lignans, neolignans and related compounds
1007	917	0.21	-144.021	NA	NA	Lignans, neolignans and related compounds
1007	935	0.17	-116.011	NA	NA	Lignans, neolignans and related compounds
1007	967	0.19	-58.057	NA	NA	Lignans, neolignans and related compounds
1007	981	0.11	-192.042	NA	NA	Lignans, neolignans and related compounds
1007	982	0.11	-356.110	NA	NA	Lignans, neolignans and related compounds
1007	999	0.12	-146.022	NA	NA	Lignans, neolignans and related compounds
1017	244	0.11	144.041	NA	NA	Lignans, neolignans and related compounds
1017	255	0.16	370.111	NA	NA	Lignans, neolignans and related compounds
1017	286	0.11	190.047	NA	NA	Lignans, neolignans and related compounds
1017	294	0.13	-2.016	NA	NA	Lignans, neolignans and related compounds
1017	300	0.12	-18.011	NA	NA	Lignans, neolignans and related compounds
1017	302	0.25	208.058	NA	NA	Lignans, neolignans and related compounds
1017	315	0.25	-0.000	NA	NA	Lignans, neolignans and related compounds
1017	317	0.11	144.041	NA	NA	Lignans, neolignans and related compounds
1017	323	0.11	238.068	NA	NA	Lignans, neolignans and related compounds
1017	331	0.21	208.058	NA	NA	Lignans, neolignans and related compounds
1017	341	0.19	208.058	NA	NA	Lignans, neolignans and related compounds
1017	348	0.12	206.042	NA	NA	Lignans, neolignans and related compounds
1017	360	0.14	162.016	NA	NA	Lignans, neolignans and related compounds
1017	376	0.13	190.047	NA	NA	Lignans, neolignans and related compounds
1017	377	0.12	322.089	NA	NA	Lignans, neolignans and related compounds
1017	389	0.11	-18.012	NA	NA	Lignans, neolignans and related compounds
1017	398	0.21	46.005	NA	NA	Lignans, neolignans and related compounds
1017	444	0.14	160.037	NA	NA	Lignans, neolignans and related compounds
1017	449	0.11	306.094	NA	NA	Lignans, neolignans and related compounds
1017	484	0.14	-2.016	NA	NA	Lignans, neolignans and related compounds
1017	521	0.16	160.037	NA	NA	Lignans, neolignans and related compounds
1017	524	0.17	324.105	NA	NA	Lignans, neolignans and related compounds
1017	527	0.11	174.053	NA	NA	Lignans, neolignans and related compounds
1017	536	0.25	162.052	NA	NA	Lignans, neolignans and related compounds
1017	560	0.12	-18.047	NA	NA	Lignans, neolignans and related compounds
1017	629	0.23	162.052	NA	NA	Lignans, neolignans and related compounds
1017	637	0.13	294.074	NA	NA	Lignans, neolignans and related compounds
1017	660	0.20	370.111	NA	NA	Lignans, neolignans and related compounds
1017	680	0.15	358.074	NA	NA	Lignans, neolignans and related compounds
1017	690	0.13	176.032	NA	NA	Lignans, neolignans and related compounds
1017	706	0.20	132.005	NA	NA	Lignans, neolignans and related compounds
1017	707	0.11	144.042	NA	NA	Lignans, neolignans and related compounds
1017	714	0.14	162.052	NA	NA	Lignans, neolignans and related compounds
1017	716	0.12	370.126	NA	NA	Lignans, neolignans and related compounds
1017	726	0.13	220.058	NA	NA	Lignans, neolignans and related compounds
1017	752	0.26	-0.000	NA	NA	Lignans, neolignans and related compounds
1017	761	0.22	176.032	NA	NA	Lignans, neolignans and related compounds
1017	772	0.12	64.016	NA	NA	Lignans, neolignans and related compounds
1017	800	0.23	160.037	NA	NA	Lignans, neolignans and related compounds
1017	807	0.12	-48.021	NA	NA	Lignans, neolignans and related compounds
1017	811	0.14	370.126	NA	NA	Lignans, neolignans and related compounds
1017	828	0.14	178.063	NA	NA	Lignans, neolignans and related compounds
1017	838	0.14	370.111	NA	NA	Lignans, neolignans and related compounds
1017	847	0.14	352.100	NA	NA	Lignans, neolignans and related compounds
1017	851	0.16	12.000	NA	NA	Lignans, neolignans and related compounds
1017	861	0.24	13.979	NA	NA	Lignans, neolignans and related compounds
1017	862	0.16	368.095	NA	NA	Lignans, neolignans and related compounds
1017	914	0.14	144.006	NA	NA	Lignans, neolignans and related compounds
1017	917	0.11	210.074	NA	NA	Lignans, neolignans and related compounds
1017	935	0.11	238.084	NA	NA	Lignans, neolignans and related compounds
1017	981	0.11	162.052	NA	NA	Lignans, neolignans and related compounds
1017	982	0.14	-2.016	NA	NA	Lignans, neolignans and related compounds
1017	999	0.15	208.073	NA	NA	Lignans, neolignans and related compounds
1024	1000	0.11	44.026	NA	NA	Lignans, neolignans and related compounds
1024	1007	0.19	340.116	NA	NA	Lignans, neolignans and related compounds
1024	1017	0.13	-13.979	NA	NA	Lignans, neolignans and related compounds
1024	243	0.12	292.115	NA	NA	Lignans, neolignans and related compounds
1024	244	0.11	130.062	NA	NA	Lignans, neolignans and related compounds
1024	255	0.13	356.132	NA	NA	Lignans, neolignans and related compounds
1024	261	0.11	190.084	NA	NA	Lignans, neolignans and related compounds
1024	274	0.13	398.142	NA	NA	Lignans, neolignans and related compounds
1024	300	0.13	-31.990	NA	NA	Lignans, neolignans and related compounds
1024	302	0.21	194.079	NA	NA	Lignans, neolignans and related compounds
1024	315	0.11	-13.979	NA	NA	Lignans, neolignans and related compounds
1024	317	0.17	130.062	NA	NA	Lignans, neolignans and related compounds
1024	323	0.24	224.089	NA	NA	Lignans, neolignans and related compounds
1024	331	0.15	194.079	NA	NA	Lignans, neolignans and related compounds
1024	341	0.13	194.079	NA	NA	Lignans, neolignans and related compounds
1024	348	0.17	192.063	NA	NA	Lignans, neolignans and related compounds
1024	354	0.16	194.094	NA	NA	Lignans, neolignans and related compounds
1024	360	0.11	148.037	NA	NA	Lignans, neolignans and related compounds
1024	376	0.13	176.068	NA	NA	Lignans, neolignans and related compounds
1024	377	0.24	308.110	NA	NA	Lignans, neolignans and related compounds
1024	386	0.14	160.073	NA	NA	Lignans, neolignans and related compounds
1024	389	0.18	-31.991	NA	NA	Lignans, neolignans and related compounds
1024	398	0.23	32.026	NA	NA	Lignans, neolignans and related compounds
1024	401	0.15	192.078	NA	NA	Lignans, neolignans and related compounds
1024	404	0.12	406.108	NA	NA	Lignans, neolignans and related compounds
1024	419	0.20	388.112	NA	NA	Lignans, neolignans and related compounds
1024	441	0.12	356.147	NA	NA	Lignans, neolignans and related compounds
1024	444	0.22	146.058	NA	NA	Lignans, neolignans and related compounds
1024	449	0.11	292.115	NA	NA	Lignans, neolignans and related compounds
1024	484	0.19	-15.995	NA	NA	Lignans, neolignans and related compounds
1024	497	0.13	472.157	NA	NA	Lignans, neolignans and related compounds
1024	521	0.15	146.058	NA	NA	Lignans, neolignans and related compounds
1024	524	0.11	310.125	NA	NA	Lignans, neolignans and related compounds
1024	527	0.18	160.073	NA	NA	Lignans, neolignans and related compounds
1024	536	0.12	148.073	NA	NA	Lignans, neolignans and related compounds
1024	560	0.14	-32.026	NA	NA	Lignans, neolignans and related compounds
1024	566	0.15	28.031	NA	NA	Lignans, neolignans and related compounds
1024	618	0.15	192.063	NA	NA	Lignans, neolignans and related compounds
1024	621	0.14	352.136	NA	NA	Lignans, neolignans and related compounds
1024	637	0.19	280.095	NA	NA	Lignans, neolignans and related compounds
