source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
107	98	0.18	-112.089	NA	NA	Lineolic acids and derivatives
1151	107	0.19	18.047	NA	NA	Lineolic acids and derivatives
1151	174	0.13	26.073	NA	NA	Lineolic acids and derivatives
1151	231	0.12	-94.042	NA	NA	Lineolic acids and derivatives
1151	251	0.12	6.047	NA	NA	Lineolic acids and derivatives
1151	324	0.18	22.042	NA	NA	Lineolic acids and derivatives
1151	325	0.20	22.042	NA	NA	Lineolic acids and derivatives
1151	329	0.14	-11.963	NA	NA	Lineolic acids and derivatives
1151	364	0.14	-80.063	NA	NA	Lineolic acids and derivatives
1151	366	0.32	2.016	NA	NA	Lineolic acids and derivatives
1151	405	0.14	6.047	NA	NA	Lineolic acids and derivatives
1151	412	0.23	36.021	NA	NA	Lineolic acids and derivatives
1151	432	0.29	2.016	NA	NA	Lineolic acids and derivatives
1151	433	0.11	-11.964	NA	NA	Lineolic acids and derivatives
1151	455	0.22	2.016	NA	NA	Lineolic acids and derivatives
1151	488	0.19	-80.063	NA	NA	Lineolic acids and derivatives
1151	504	0.56	-0.000	NA	NA	Lineolic acids and derivatives
1151	516	0.12	4.031	NA	NA	Lineolic acids and derivatives
1151	517	0.28	2.016	NA	NA	Lineolic acids and derivatives
1151	570	0.13	22.042	NA	NA	Lineolic acids and derivatives
1151	645	0.16	-13.979	NA	NA	Lineolic acids and derivatives
1151	646	0.14	-82.042	NA	NA	Lineolic acids and derivatives
1151	727	0.13	-96.058	NA	NA	Lineolic acids and derivatives
1151	900	0.12	-29.974	NA	NA	Lineolic acids and derivatives
1151	966	0.17	2.014	NA	NA	Lineolic acids and derivatives
1151	98	0.18	-94.042	NA	NA	Lineolic acids and derivatives
1151	988	0.22	-80.063	NA	NA	Lineolic acids and derivatives
1179	107	0.22	114.105	NA	NA	Lineolic acids and derivatives
1179	1151	0.13	96.058	NA	NA	Lineolic acids and derivatives
1179	229	0.11	86.110	NA	NA	Lineolic acids and derivatives
1179	231	0.21	2.016	NA	NA	Lineolic acids and derivatives
1179	251	0.11	102.105	NA	NA	Lineolic acids and derivatives
1179	324	0.18	118.100	NA	NA	Lineolic acids and derivatives
1179	325	0.12	118.100	NA	NA	Lineolic acids and derivatives
1179	364	0.17	15.995	NA	NA	Lineolic acids and derivatives
1179	405	0.12	102.105	NA	NA	Lineolic acids and derivatives
1179	412	0.18	132.079	NA	NA	Lineolic acids and derivatives
1179	432	0.11	98.074	NA	NA	Lineolic acids and derivatives
1179	433	0.17	84.094	NA	NA	Lineolic acids and derivatives
1179	455	0.22	98.074	NA	NA	Lineolic acids and derivatives
1179	488	0.16	15.995	NA	NA	Lineolic acids and derivatives
1179	504	0.13	96.058	NA	NA	Lineolic acids and derivatives
1179	516	0.23	100.089	NA	NA	Lineolic acids and derivatives
1179	517	0.14	98.074	NA	NA	Lineolic acids and derivatives
1179	570	0.12	118.100	NA	NA	Lineolic acids and derivatives
1179	580	0.16	15.995	NA	NA	Lineolic acids and derivatives
1179	645	0.13	82.079	NA	NA	Lineolic acids and derivatives
1179	646	0.23	14.016	NA	NA	Lineolic acids and derivatives
1179	727	0.39	0.000	NA	NA	Lineolic acids and derivatives
1179	966	0.36	98.072	NA	NA	Lineolic acids and derivatives
1179	98	0.35	2.016	NA	NA	Lineolic acids and derivatives
1179	988	0.23	15.995	NA	NA	Lineolic acids and derivatives
1443	107	0.28	-1.979	NA	NA	Lineolic acids and derivatives
1443	1151	0.11	-20.026	NA	NA	Lineolic acids and derivatives
1443	1179	0.30	-116.084	NA	NA	Lineolic acids and derivatives
1443	174	0.11	6.047	NA	NA	Lineolic acids and derivatives
1443	229	0.16	-29.974	NA	NA	Lineolic acids and derivatives
1443	231	0.13	-114.068	NA	NA	Lineolic acids and derivatives
1443	251	0.15	-13.979	NA	NA	Lineolic acids and derivatives
1443	258	0.13	-13.979	NA	NA	Lineolic acids and derivatives
1443	324	0.19	2.016	NA	NA	Lineolic acids and derivatives
1443	325	0.16	2.016	NA	NA	Lineolic acids and derivatives
1443	328	0.12	-27.959	NA	NA	Lineolic acids and derivatives
1443	364	0.19	-100.089	NA	NA	Lineolic acids and derivatives
1443	366	0.12	-18.010	NA	NA	Lineolic acids and derivatives
1443	405	0.14	-13.979	NA	NA	Lineolic acids and derivatives
1443	412	0.16	15.995	NA	NA	Lineolic acids and derivatives
