source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
107	8	0.14	-81.047	NA	NA	Long-chain fatty acids
1096	107	0.14	56.063	NA	NA	Long-chain fatty acids
1096	122	0.16	-9.984	NA	NA	Long-chain fatty acids
1096	141	0.15	4.031	NA	NA	Long-chain fatty acids
1096	168	0.11	62.073	NA	NA	Long-chain fatty acids
1096	215	0.17	70.042	NA	NA	Long-chain fatty acids
1096	226	0.37	0.036	NA	NA	Long-chain fatty acids
1096	258	0.11	44.063	NA	NA	Long-chain fatty acids
1096	324	0.24	60.058	NA	NA	Long-chain fatty acids
1096	39	0.13	48.094	NA	NA	Long-chain fatty acids
1096	405	0.13	44.063	NA	NA	Long-chain fatty acids
1096	433	0.12	26.052	NA	NA	Long-chain fatty acids
1096	455	0.13	40.031	NA	NA	Long-chain fatty acids
1096	516	0.13	42.047	NA	NA	Long-chain fatty acids
1096	517	0.11	40.031	NA	NA	Long-chain fatty acids
1096	627	0.11	118.099	NA	NA	Long-chain fatty acids
1096	645	0.14	24.037	NA	NA	Long-chain fatty acids
1096	734	0.11	120.079	NA	NA	Long-chain fatty acids
1096	751	0.12	86.073	NA	NA	Long-chain fatty acids
1096	8	0.11	-24.984	NA	NA	Long-chain fatty acids
1096	964	0.11	78.068	NA	NA	Long-chain fatty acids
1096	966	0.12	40.029	NA	NA	Long-chain fatty acids
1151	107	0.19	18.047	NA	NA	Long-chain fatty acids
1151	1096	0.13	-38.016	NA	NA	Long-chain fatty acids
1151	168	0.11	24.057	NA	NA	Long-chain fatty acids
1151	174	0.13	26.073	NA	NA	Long-chain fatty acids
1151	226	0.12	-37.979	NA	NA	Long-chain fatty acids
1151	251	0.12	6.047	NA	NA	Long-chain fatty acids
1151	324	0.18	22.042	NA	NA	Long-chain fatty acids
1151	325	0.20	22.042	NA	NA	Long-chain fatty acids
1151	329	0.14	-11.963	NA	NA	Long-chain fatty acids
1151	342	0.15	38.037	NA	NA	Long-chain fatty acids
1151	356	0.14	8.063	NA	NA	Long-chain fatty acids
1151	366	0.32	2.016	NA	NA	Long-chain fatty acids
1151	369	0.15	38.037	NA	NA	Long-chain fatty acids
1151	405	0.14	6.047	NA	NA	Long-chain fatty acids
1151	412	0.23	36.021	NA	NA	Long-chain fatty acids
1151	432	0.29	2.016	NA	NA	Long-chain fatty acids
1151	433	0.11	-11.964	NA	NA	Long-chain fatty acids
1151	455	0.22	2.016	NA	NA	Long-chain fatty acids
1151	516	0.12	4.031	NA	NA	Long-chain fatty acids
1151	517	0.28	2.016	NA	NA	Long-chain fatty acids
1151	570	0.13	22.042	NA	NA	Long-chain fatty acids
1151	645	0.16	-13.979	NA	NA	Long-chain fatty acids
1151	734	0.11	82.063	NA	NA	Long-chain fatty acids
1151	751	0.14	48.057	NA	NA	Long-chain fatty acids
1151	8	0.14	-63.000	NA	NA	Long-chain fatty acids
1151	852	0.14	6.011	NA	NA	Long-chain fatty acids
1151	900	0.12	-29.974	NA	NA	Long-chain fatty acids
1151	966	0.17	2.014	NA	NA	Long-chain fatty acids
121	39	0.55	0.000	NA	NA	Long-chain fatty acids
121	6	0.20	-15.995	NA	NA	Long-chain fatty acids
124	121	0.27	18.011	NA	NA	Long-chain fatty acids
124	39	0.13	18.011	NA	NA	Long-chain fatty acids
124	6	0.21	2.016	NA	NA	Long-chain fatty acids
1320	107	0.14	36.000	NA	NA	Long-chain fatty acids
1320	1151	0.11	17.953	NA	NA	Long-chain fatty acids
1320	121	0.21	28.031	NA	NA	Long-chain fatty acids
1320	145	0.27	0.000	NA	NA	Long-chain fatty acids
1320	154	0.17	-15.995	NA	NA	Long-chain fatty acids
1320	168	0.17	42.011	NA	NA	Long-chain fatty acids
1320	169	0.13	-44.026	NA	NA	Long-chain fatty acids
1320	181	0.18	-2.016	NA	NA	Long-chain fatty acids
1320	201	0.17	-15.995	NA	NA	Long-chain fatty acids
1320	207	0.15	-18.010	NA	NA	Long-chain fatty acids
1320	215	0.14	49.979	NA	NA	Long-chain fatty acids
1320	229	0.17	8.005	NA	NA	Long-chain fatty acids
1320	251	0.13	24.000	NA	NA	Long-chain fatty acids
1320	258	0.12	24.000	NA	NA	Long-chain fatty acids
1320	324	0.14	39.995	NA	NA	Long-chain fatty acids
1320	325	0.18	39.995	NA	NA	Long-chain fatty acids
1320	328	0.14	10.021	NA	NA	Long-chain fatty acids
1320	329	0.12	5.990	NA	NA	Long-chain fatty acids
1320	342	0.11	55.990	NA	NA	Long-chain fatty acids
1320	356	0.25	26.016	NA	NA	Long-chain fatty acids
1320	366	0.15	19.969	NA	NA	Long-chain fatty acids
1320	405	0.25	24.000	NA	NA	Long-chain fatty acids
1320	412	0.12	53.974	NA	NA	Long-chain fatty acids
1320	433	0.11	5.990	NA	NA	Long-chain fatty acids
1320	455	0.12	19.969	NA	NA	Long-chain fatty acids
1320	510	0.26	28.031	NA	NA	Long-chain fatty acids
1320	516	0.16	21.984	NA	NA	Long-chain fatty acids
1320	570	0.24	39.995	NA	NA	Long-chain fatty acids
1320	627	0.12	98.037	NA	NA	Long-chain fatty acids
1320	645	0.17	3.974	NA	NA	Long-chain fatty acids
1320	734	0.12	100.016	NA	NA	Long-chain fatty acids
1320	751	0.12	66.011	NA	NA	Long-chain fatty acids
1320	852	0.11	23.964	NA	NA	Long-chain fatty acids
1320	964	0.11	58.005	NA	NA	Long-chain fatty acids
1320	966	0.13	19.967	NA	NA	Long-chain fatty acids
1378	124	0.12	54.083	NA	NA	Long-chain fatty acids
1378	140	0.29	27.048	NA	NA	Long-chain fatty acids
1378	156	0.14	0.036	NA	NA	Long-chain fatty acids
1378	169	0.47	0.036	NA	NA	Long-chain fatty acids
1378	627	0.11	142.099	NA	NA	Long-chain fatty acids
1378	8	0.31	-0.984	NA	NA	Long-chain fatty acids
1394	1320	0.12	15.995	NA	NA	Long-chain fatty acids
1394	154	0.66	-0.000	NA	NA	Long-chain fatty acids
1394	201	0.63	0.000	NA	NA	Long-chain fatty acids
1394	207	0.14	-2.016	NA	NA	Long-chain fatty acids
1394	336	0.19	24.000	NA	NA	Long-chain fatty acids
1394	510	0.15	44.026	NA	NA	Long-chain fatty acids
140	8	0.11	-28.032	NA	NA	Long-chain fatty acids
141	140	0.29	-0.984	NA	NA	Long-chain fatty acids
1443	107	0.28	-1.979	NA	NA	Long-chain fatty acids
1443	1096	0.14	-58.042	NA	NA	Long-chain fatty acids
1443	1151	0.11	-20.026	NA	NA	Long-chain fatty acids
1443	121	0.13	-9.948	NA	NA	Long-chain fatty acids
1443	1320	0.21	-37.979	NA	NA	Long-chain fatty acids
1443	1394	0.13	-53.974	NA	NA	Long-chain fatty acids
1443	141	0.15	-54.010	NA	NA	Long-chain fatty acids
1443	168	0.19	4.031	NA	NA	Long-chain fatty acids
1443	169	0.15	-82.006	NA	NA	Long-chain fatty acids
1443	174	0.11	6.047	NA	NA	Long-chain fatty acids
1443	197	0.20	18.011	NA	NA	Long-chain fatty acids
1443	215	0.15	12.000	NA	NA	Long-chain fatty acids
1443	226	0.12	-58.005	NA	NA	Long-chain fatty acids
1443	229	0.16	-29.974	NA	NA	Long-chain fatty acids
1443	251	0.15	-13.979	NA	NA	Long-chain fatty acids
1443	258	0.13	-13.979	NA	NA	Long-chain fatty acids
1443	324	0.19	2.016	NA	NA	Long-chain fatty acids
1443	325	0.16	2.016	NA	NA	Long-chain fatty acids
1443	328	0.12	-27.959	NA	NA	Long-chain fatty acids
1443	342	0.19	18.011	NA	NA	Long-chain fatty acids
1443	356	0.13	-11.964	NA	NA	Long-chain fatty acids
1443	366	0.12	-18.010	NA	NA	Long-chain fatty acids
1443	369	0.18	18.011	NA	NA	Long-chain fatty acids
1443	405	0.14	-13.979	NA	NA	Long-chain fatty acids
1443	412	0.16	15.995	NA	NA	Long-chain fatty acids
1443	432	0.15	-18.011	NA	NA	Long-chain fatty acids
1443	455	0.21	-18.010	NA	NA	Long-chain fatty acids
1443	510	0.14	-9.948	NA	NA	Long-chain fatty acids
1443	516	0.27	-15.995	NA	NA	Long-chain fatty acids
1443	517	0.14	-18.010	NA	NA	Long-chain fatty acids
1443	570	0.22	2.016	NA	NA	Long-chain fatty acids
1443	627	0.21	60.058	NA	NA	Long-chain fatty acids
1443	645	0.16	-34.005	NA	NA	Long-chain fatty acids
1443	751	0.16	28.031	NA	NA	Long-chain fatty acids
1443	8	0.11	-83.026	NA	NA	Long-chain fatty acids
1443	964	0.19	20.026	NA	NA	Long-chain fatty acids
1443	966	0.29	-18.012	NA	NA	Long-chain fatty acids
145	121	0.14	28.031	NA	NA	Long-chain fatty acids
145	39	0.17	28.031	NA	NA	Long-chain fatty acids
1466	107	0.20	16.031	NA	NA	Long-chain fatty acids
1466	1096	0.26	-40.031	NA	NA	Long-chain fatty acids
1466	1151	0.15	-2.016	NA	NA	Long-chain fatty acids
1466	121	0.19	8.063	NA	NA	Long-chain fatty acids
1466	122	0.17	-50.016	NA	NA	Long-chain fatty acids
1466	1320	0.20	-19.969	NA	NA	Long-chain fatty acids
1466	141	0.11	-36.000	NA	NA	Long-chain fatty acids
1466	1443	0.36	18.011	NA	NA	Long-chain fatty acids
1466	156	0.11	-63.995	NA	NA	Long-chain fatty acids
1466	168	0.16	22.042	NA	NA	Long-chain fatty acids
1466	169	0.14	-63.995	NA	NA	Long-chain fatty acids
1466	174	0.11	24.058	NA	NA	Long-chain fatty acids
1466	215	0.15	30.011	NA	NA	Long-chain fatty acids
1466	226	0.13	-39.995	NA	NA	Long-chain fatty acids
1466	229	0.16	-11.964	NA	NA	Long-chain fatty acids
1466	251	0.18	4.031	NA	NA	Long-chain fatty acids
1466	258	0.16	4.031	NA	NA	Long-chain fatty acids
1466	324	0.14	20.026	NA	NA	Long-chain fatty acids
1466	325	0.16	20.026	NA	NA	Long-chain fatty acids
1466	328	0.12	-9.948	NA	NA	Long-chain fatty acids
1466	329	0.15	-13.979	NA	NA	Long-chain fatty acids
1466	342	0.14	36.021	NA	NA	Long-chain fatty acids
1466	356	0.21	6.047	NA	NA	Long-chain fatty acids
1466	366	0.21	0.000	NA	NA	Long-chain fatty acids
1466	369	0.12	36.021	NA	NA	Long-chain fatty acids
1466	405	0.21	4.032	NA	NA	Long-chain fatty acids
1466	412	0.14	34.005	NA	NA	Long-chain fatty acids
1466	432	0.22	0.000	NA	NA	Long-chain fatty acids
1466	433	0.18	-13.979	NA	NA	Long-chain fatty acids
1466	455	0.33	0.000	NA	NA	Long-chain fatty acids
1466	510	0.12	8.063	NA	NA	Long-chain fatty acids
1466	516	0.42	2.016	NA	NA	Long-chain fatty acids
1466	517	0.23	0.000	NA	NA	Long-chain fatty acids
1466	570	0.22	20.026	NA	NA	Long-chain fatty acids
1466	627	0.13	78.068	NA	NA	Long-chain fatty acids
1466	645	0.29	-15.995	NA	NA	Long-chain fatty acids
1466	734	0.12	80.047	NA	NA	Long-chain fatty acids
1466	751	0.15	46.042	NA	NA	Long-chain fatty acids
1466	8	0.12	-65.015	NA	NA	Long-chain fatty acids
1466	852	0.17	3.995	NA	NA	Long-chain fatty acids
1466	964	0.13	38.037	NA	NA	Long-chain fatty acids
1466	966	0.56	-0.002	NA	NA	Long-chain fatty acids
154	121	0.20	44.026	NA	NA	Long-chain fatty acids
154	145	0.14	15.995	NA	NA	Long-chain fatty acids
154	39	0.11	44.026	NA	NA	Long-chain fatty acids
154	6	0.23	28.031	NA	NA	Long-chain fatty acids
156	122	0.11	13.979	NA	NA	Long-chain fatty acids
156	140	0.33	27.011	NA	NA	Long-chain fatty acids
156	141	0.17	27.995	NA	NA	Long-chain fatty acids
156	145	0.27	44.026	NA	NA	Long-chain fatty acids
156	8	0.14	-1.020	NA	NA	Long-chain fatty acids
1582	121	0.34	20.026	NA	NA	Long-chain fatty acids
1582	124	0.37	2.016	NA	NA	Long-chain fatty acids
1582	1320	0.15	-8.005	NA	NA	Long-chain fatty acids
1582	1443	0.16	29.974	NA	NA	Long-chain fatty acids
1582	1466	0.16	11.964	NA	NA	Long-chain fatty acids
1582	168	0.15	34.005	NA	NA	Long-chain fatty acids
1582	169	0.18	-52.031	NA	NA	Long-chain fatty acids
1582	215	0.17	41.974	NA	NA	Long-chain fatty acids
1582	229	0.62	-0.000	NA	NA	Long-chain fatty acids
1582	325	0.16	31.990	NA	NA	Long-chain fatty acids
1582	328	0.32	2.016	NA	NA	Long-chain fatty acids
1582	336	0.44	0.000	NA	NA	Long-chain fatty acids
1582	356	0.24	18.011	NA	NA	Long-chain fatty acids
1582	405	0.22	15.995	NA	NA	Long-chain fatty acids
1582	433	0.14	-2.015	NA	NA	Long-chain fatty acids
1582	510	0.23	20.026	NA	NA	Long-chain fatty acids
1582	6	0.15	4.031	NA	NA	Long-chain fatty acids
1582	645	0.19	-4.031	NA	NA	Long-chain fatty acids
1582	751	0.16	58.006	NA	NA	Long-chain fatty acids
1604	107	0.20	-34.005	NA	NA	Long-chain fatty acids
1604	1096	0.19	-90.068	NA	NA	Long-chain fatty acids
1604	1151	0.13	-52.052	NA	NA	Long-chain fatty acids
1604	122	0.13	-100.052	NA	NA	Long-chain fatty acids
1604	1320	0.11	-70.005	NA	NA	Long-chain fatty acids
1604	140	0.14	-87.021	NA	NA	Long-chain fatty acids
1604	141	0.17	-86.037	NA	NA	Long-chain fatty acids
1604	1443	0.15	-32.026	NA	NA	Long-chain fatty acids
1604	1466	0.15	-50.037	NA	NA	Long-chain fatty acids
