source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1023	110	0.17	2.016	NA	NA	Medium-chain fatty acids
1023	131	0.21	-56.026	NA	NA	Medium-chain fatty acids
1023	161	0.11	-54.047	NA	NA	Medium-chain fatty acids
1023	184	0.28	-68.027	NA	NA	Medium-chain fatty acids
1023	209	0.11	-39.995	NA	NA	Medium-chain fatty acids
1023	213	0.11	-39.995	NA	NA	Medium-chain fatty acids
1023	221	0.13	-30.011	NA	NA	Medium-chain fatty acids
1023	231	0.14	-15.995	NA	NA	Medium-chain fatty acids
1023	236	0.11	-32.078	NA	NA	Medium-chain fatty acids
1023	263	0.24	15.995	NA	NA	Medium-chain fatty acids
1023	307	0.13	-56.026	NA	NA	Medium-chain fatty acids
1023	318	0.22	13.980	NA	NA	Medium-chain fatty acids
1023	361	0.15	-62.089	NA	NA	Medium-chain fatty acids
1023	370	0.36	15.995	NA	NA	Medium-chain fatty acids
1023	378	0.18	-10.021	NA	NA	Medium-chain fatty acids
1023	40	0.11	-40.032	NA	NA	Medium-chain fatty acids
1023	406	0.19	-56.026	NA	NA	Medium-chain fatty acids
1023	488	0.22	-2.016	NA	NA	Medium-chain fatty acids
1023	56	0.22	-27.995	NA	NA	Medium-chain fatty acids
1023	605	0.16	-30.011	NA	NA	Medium-chain fatty acids
1023	610	0.20	-26.016	NA	NA	Medium-chain fatty acids
1023	620	0.24	-27.995	NA	NA	Medium-chain fatty acids
1023	636	0.11	-14.016	NA	NA	Medium-chain fatty acids
1023	646	0.15	-3.995	NA	NA	Medium-chain fatty acids
1023	68	0.18	-12.000	NA	NA	Medium-chain fatty acids
1023	683	0.11	3.995	NA	NA	Medium-chain fatty acids
1023	71	0.18	-26.016	NA	NA	Medium-chain fatty acids
1023	720	0.11	-58.006	NA	NA	Medium-chain fatty acids
1023	769	0.11	-18.062	NA	NA	Medium-chain fatty acids
1023	778	0.40	0.000	NA	NA	Medium-chain fatty acids
1023	781	0.36	-54.011	NA	NA	Medium-chain fatty acids
1023	839	0.11	-39.995	NA	NA	Medium-chain fatty acids
1023	934	0.16	-58.006	NA	NA	Medium-chain fatty acids
1023	98	0.27	-15.995	NA	NA	Medium-chain fatty acids
1073	1023	0.11	14.016	NA	NA	Medium-chain fatty acids
1073	110	0.12	16.031	NA	NA	Medium-chain fatty acids
1073	209	0.18	-25.979	NA	NA	Medium-chain fatty acids
1073	221	0.31	-15.995	NA	NA	Medium-chain fatty acids
1073	231	0.17	-1.979	NA	NA	Medium-chain fatty acids
1073	318	0.28	27.995	NA	NA	Medium-chain fatty acids
1073	370	0.14	30.011	NA	NA	Medium-chain fatty acids
1073	488	0.11	12.000	NA	NA	Medium-chain fatty acids
1073	526	0.65	0.000	NA	NA	Medium-chain fatty acids
