source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1071	273	0.23	-208.073	NA	NA	Methoxybenzoic acids and derivatives
1071	461	0.35	2.016	NA	NA	Methoxybenzoic acids and derivatives
1071	468	0.17	146.022	NA	NA	Methoxybenzoic acids and derivatives
1071	493	0.27	118.027	NA	NA	Methoxybenzoic acids and derivatives
1071	514	0.28	148.037	NA	NA	Methoxybenzoic acids and derivatives
1071	515	0.19	-356.111	NA	NA	Methoxybenzoic acids and derivatives
1071	529	0.23	-356.111	NA	NA	Methoxybenzoic acids and derivatives
1071	539	0.29	2.016	NA	NA	Methoxybenzoic acids and derivatives
1071	554	0.32	-44.026	NA	NA	Methoxybenzoic acids and derivatives
1071	611	0.15	-14.016	NA	NA	Methoxybenzoic acids and derivatives
1071	680	0.23	210.074	NA	NA	Methoxybenzoic acids and derivatives
1071	739	0.22	-164.047	NA	NA	Methoxybenzoic acids and derivatives
1071	784	0.27	-14.016	NA	NA	Methoxybenzoic acids and derivatives
1071	791	0.30	-98.075	NA	NA	Methoxybenzoic acids and derivatives
1071	856	0.30	32.026	NA	NA	Methoxybenzoic acids and derivatives
1071	858	0.19	-160.037	NA	NA	Methoxybenzoic acids and derivatives
1071	880	0.25	-160.037	NA	NA	Methoxybenzoic acids and derivatives
1071	890	0.27	62.036	NA	NA	Methoxybenzoic acids and derivatives
1071	898	0.12	178.048	NA	NA	Methoxybenzoic acids and derivatives
1071	906	0.24	15.995	NA	NA	Methoxybenzoic acids and derivatives
1071	952	0.24	15.995	NA	NA	Methoxybenzoic acids and derivatives
1071	963	0.20	-132.042	NA	NA	Methoxybenzoic acids and derivatives
1071	967	0.22	148.037	NA	NA	Methoxybenzoic acids and derivatives
1071	968	0.16	-104.011	NA	NA	Methoxybenzoic acids and derivatives
1097	1071	0.28	-206.079	NA	NA	Methoxybenzoic acids and derivatives
1097	454	0.11	-532.179	NA	NA	Methoxybenzoic acids and derivatives
1097	461	0.45	-204.063	NA	NA	Methoxybenzoic acids and derivatives
1097	468	0.31	-60.057	NA	NA	Methoxybenzoic acids and derivatives
1097	493	0.22	-88.053	NA	NA	Methoxybenzoic acids and derivatives
1097	514	0.24	-58.042	NA	NA	Methoxybenzoic acids and derivatives
1097	515	0.12	-562.190	NA	NA	Methoxybenzoic acids and derivatives
1097	529	0.15	-562.190	NA	NA	Methoxybenzoic acids and derivatives
1097	539	0.24	-204.064	NA	NA	Methoxybenzoic acids and derivatives
1097	554	0.38	-250.105	NA	NA	Methoxybenzoic acids and derivatives
1097	611	0.27	-220.095	NA	NA	Methoxybenzoic acids and derivatives
1097	680	0.23	3.995	NA	NA	Methoxybenzoic acids and derivatives
1097	739	0.23	-370.126	NA	NA	Methoxybenzoic acids and derivatives
1097	784	0.25	-220.095	NA	NA	Methoxybenzoic acids and derivatives
1097	791	0.15	-304.154	NA	NA	Methoxybenzoic acids and derivatives
1097	856	0.28	-174.053	NA	NA	Methoxybenzoic acids and derivatives
1097	858	0.14	-366.116	NA	NA	Methoxybenzoic acids and derivatives
1097	880	0.13	-366.116	NA	NA	Methoxybenzoic acids and derivatives
1097	890	0.18	-144.043	NA	NA	Methoxybenzoic acids and derivatives
1097	898	0.19	-28.031	NA	NA	Methoxybenzoic acids and derivatives
1097	906	0.21	-190.084	NA	NA	Methoxybenzoic acids and derivatives
1097	952	0.13	-190.084	NA	NA	Methoxybenzoic acids and derivatives
1097	963	0.20	-338.121	NA	NA	Methoxybenzoic acids and derivatives
1097	967	0.18	-58.042	NA	NA	Methoxybenzoic acids and derivatives
1114	1071	0.23	-32.026	NA	NA	Methoxybenzoic acids and derivatives
1114	1097	0.20	174.053	NA	NA	Methoxybenzoic acids and derivatives
1114	273	0.21	-240.099	NA	NA	Methoxybenzoic acids and derivatives
1114	454	0.14	-358.126	NA	NA	Methoxybenzoic acids and derivatives
1114	461	0.21	-30.011	NA	NA	Methoxybenzoic acids and derivatives
1114	468	0.19	113.995	NA	NA	Methoxybenzoic acids and derivatives
1114	493	0.15	86.000	NA	NA	Methoxybenzoic acids and derivatives
1114	514	0.32	116.011	NA	NA	Methoxybenzoic acids and derivatives
1114	515	0.14	-388.137	NA	NA	Methoxybenzoic acids and derivatives
1114	529	0.15	-388.137	NA	NA	Methoxybenzoic acids and derivatives
1114	539	0.37	-30.011	NA	NA	Methoxybenzoic acids and derivatives
1114	554	0.21	-76.052	NA	NA	Methoxybenzoic acids and derivatives
1114	559	0.23	-128.086	NA	NA	Methoxybenzoic acids and derivatives
1114	611	0.17	-46.042	NA	NA	Methoxybenzoic acids and derivatives
1114	680	0.19	178.048	NA	NA	Methoxybenzoic acids and derivatives
1114	739	0.24	-196.073	NA	NA	Methoxybenzoic acids and derivatives
1114	784	0.27	-46.042	NA	NA	Methoxybenzoic acids and derivatives
1114	791	0.12	-130.101	NA	NA	Methoxybenzoic acids and derivatives
1114	856	0.26	-0.000	NA	NA	Methoxybenzoic acids and derivatives
1114	858	0.23	-192.063	NA	NA	Methoxybenzoic acids and derivatives
1114	880	0.19	-192.063	NA	NA	Methoxybenzoic acids and derivatives
1114	890	0.30	30.010	NA	NA	Methoxybenzoic acids and derivatives
1114	898	0.24	146.022	NA	NA	Methoxybenzoic acids and derivatives
1114	906	0.27	-16.031	NA	NA	Methoxybenzoic acids and derivatives
1114	952	0.21	-16.031	NA	NA	Methoxybenzoic acids and derivatives
1114	963	0.30	-164.068	NA	NA	Methoxybenzoic acids and derivatives
1114	967	0.28	116.011	NA	NA	Methoxybenzoic acids and derivatives
1114	968	0.16	-136.037	NA	NA	Methoxybenzoic acids and derivatives
1176	1071	0.27	-0.000	NA	NA	Methoxybenzoic acids and derivatives
1176	1097	0.18	206.079	NA	NA	Methoxybenzoic acids and derivatives
1176	1114	0.31	32.026	NA	NA	Methoxybenzoic acids and derivatives
1176	273	0.17	-208.073	NA	NA	Methoxybenzoic acids and derivatives
1176	454	0.11	-326.100	NA	NA	Methoxybenzoic acids and derivatives
1176	461	0.19	2.015	NA	NA	Methoxybenzoic acids and derivatives
1176	468	0.22	146.021	NA	NA	Methoxybenzoic acids and derivatives
1176	493	0.12	118.026	NA	NA	Methoxybenzoic acids and derivatives
1176	514	0.28	148.037	NA	NA	Methoxybenzoic acids and derivatives
1176	515	0.17	-356.111	NA	NA	Methoxybenzoic acids and derivatives
1176	529	0.13	-356.111	NA	NA	Methoxybenzoic acids and derivatives
1176	539	0.29	2.015	NA	NA	Methoxybenzoic acids and derivatives
1176	554	0.18	-44.026	NA	NA	Methoxybenzoic acids and derivatives
1176	611	0.38	-14.016	NA	NA	Methoxybenzoic acids and derivatives
1176	680	0.16	210.074	NA	NA	Methoxybenzoic acids and derivatives
1176	739	0.21	-164.047	NA	NA	Methoxybenzoic acids and derivatives
1176	784	0.19	-14.016	NA	NA	Methoxybenzoic acids and derivatives
1176	791	0.21	-98.075	NA	NA	Methoxybenzoic acids and derivatives
1176	856	0.23	32.026	NA	NA	Methoxybenzoic acids and derivatives
1176	858	0.16	-160.037	NA	NA	Methoxybenzoic acids and derivatives
1176	890	0.30	62.036	NA	NA	Methoxybenzoic acids and derivatives
1176	898	0.17	178.048	NA	NA	Methoxybenzoic acids and derivatives
1176	906	0.24	15.995	NA	NA	Methoxybenzoic acids and derivatives
1176	952	0.23	15.995	NA	NA	Methoxybenzoic acids and derivatives
1176	963	0.12	-132.042	NA	NA	Methoxybenzoic acids and derivatives
1176	967	0.19	148.037	NA	NA	Methoxybenzoic acids and derivatives
1176	968	0.16	-104.011	NA	NA	Methoxybenzoic acids and derivatives
1242	1071	0.18	40.018	NA	NA	Methoxybenzoic acids and derivatives
1242	1114	0.19	72.044	NA	NA	Methoxybenzoic acids and derivatives
1242	1176	0.22	40.018	NA	NA	Methoxybenzoic acids and derivatives
1242	273	0.16	-168.055	NA	NA	Methoxybenzoic acids and derivatives
1242	461	0.18	42.034	NA	NA	Methoxybenzoic acids and derivatives
1242	493	0.11	158.045	NA	NA	Methoxybenzoic acids and derivatives
1242	514	0.18	188.055	NA	NA	Methoxybenzoic acids and derivatives
1242	539	0.13	42.033	NA	NA	Methoxybenzoic acids and derivatives
1242	611	0.18	26.002	NA	NA	Methoxybenzoic acids and derivatives
1242	680	0.27	250.092	NA	NA	Methoxybenzoic acids and derivatives
1242	739	0.12	-124.029	NA	NA	Methoxybenzoic acids and derivatives
1242	784	0.13	26.002	NA	NA	Methoxybenzoic acids and derivatives
1242	791	0.15	-58.057	NA	NA	Methoxybenzoic acids and derivatives
1242	856	0.19	72.044	NA	NA	Methoxybenzoic acids and derivatives
1242	858	0.19	-120.019	NA	NA	Methoxybenzoic acids and derivatives
