source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1000	244	0.11	86.036	NA	NA	Methoxyphenols
1000	294	0.18	-60.021	NA	NA	Methoxyphenols
1000	323	0.12	180.063	NA	NA	Methoxyphenols
1000	341	0.12	150.053	NA	NA	Methoxyphenols
1000	348	0.25	148.037	NA	NA	Methoxyphenols
1000	349	0.11	146.058	NA	NA	Methoxyphenols
1000	398	0.13	-12.000	NA	NA	Methoxyphenols
1000	408	0.19	178.047	NA	NA	Methoxyphenols
1000	419	0.14	344.086	NA	NA	Methoxyphenols
1000	429	0.12	-240.100	NA	NA	Methoxyphenols
1000	454	0.13	-236.105	NA	NA	Methoxyphenols
1000	461	0.11	92.011	NA	NA	Methoxyphenols
1000	468	0.15	236.017	NA	NA	Methoxyphenols
1000	478	0.21	48.021	NA	NA	Methoxyphenols
1000	535	0.11	-256.095	NA	NA	Methoxyphenols
1000	539	0.11	92.011	NA	NA	Methoxyphenols
1000	618	0.18	148.037	NA	NA	Methoxyphenols
1000	637	0.14	236.069	NA	NA	Methoxyphenols
1000	680	0.11	300.069	NA	NA	Methoxyphenols
1000	690	0.12	118.026	NA	NA	Methoxyphenols
1000	706	0.18	74.000	NA	NA	Methoxyphenols
1000	714	0.14	104.047	NA	NA	Methoxyphenols
1000	716	0.15	312.121	NA	NA	Methoxyphenols
1000	719	0.12	-282.111	NA	NA	Methoxyphenols
1000	728	0.17	-30.010	NA	NA	Methoxyphenols
1000	761	0.22	118.026	NA	NA	Methoxyphenols
1000	803	0.15	312.121	NA	NA	Methoxyphenols
1000	811	0.25	312.121	NA	NA	Methoxyphenols
1000	828	0.12	120.058	NA	NA	Methoxyphenols
1000	835	0.12	122.021	NA	NA	Methoxyphenols
1000	840	0.18	-42.047	NA	NA	Methoxyphenols
1000	858	0.30	-70.042	NA	NA	Methoxyphenols
1000	861	0.12	-44.026	NA	NA	Methoxyphenols
1000	871	0.22	0.000	NA	NA	Methoxyphenols
1000	880	0.26	-70.042	NA	NA	Methoxyphenols
1000	952	0.16	105.990	NA	NA	Methoxyphenols
1000	963	0.14	-42.047	NA	NA	Methoxyphenols
1000	967	0.11	238.032	NA	NA	Methoxyphenols
1000	981	0.11	104.047	NA	NA	Methoxyphenols
1000	982	0.31	-60.021	NA	NA	Methoxyphenols
1007	1000	0.11	-296.090	NA	NA	Methoxyphenols
1007	260	0.16	-370.141	NA	NA	Methoxyphenols
1007	273	0.13	-414.167	NA	NA	Methoxyphenols
1007	286	0.11	-164.048	NA	NA	Methoxyphenols
