source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	326	0.11	-21.003	NA	NA	Nucleosides, nucleotides, and analogues
1129	332	0.13	-19.982	NA	NA	Nucleosides, nucleotides, and analogues
1129	894	0.15	12.000	NA	NA	Nucleosides, nucleotides, and analogues
1136	418	0.12	-104.946	NA	NA	Nucleosides, nucleotides, and analogues
1136	883	0.24	-290.998	NA	NA	Nucleosides, nucleotides, and analogues
1210	54	0.13	-98.058	NA	NA	Nucleosides, nucleotides, and analogues
1210	600	0.12	-155.058	NA	NA	Nucleosides, nucleotides, and analogues
1210	742	0.11	-59.045	NA	NA	Nucleosides, nucleotides, and analogues
1210	894	0.11	2.992	NA	NA	Nucleosides, nucleotides, and analogues
1276	382	0.18	-65.987	NA	NA	Nucleosides, nucleotides, and analogues
1276	409	0.15	-74.019	NA	NA	Nucleosides, nucleotides, and analogues
1276	54	0.11	29.029	NA	NA	Nucleosides, nucleotides, and analogues
1276	894	0.16	130.078	NA	NA	Nucleosides, nucleotides, and analogues
1432	1136	0.12	90.930	NA	NA	Nucleosides, nucleotides, and analogues
1432	418	0.20	-14.016	NA	NA	Nucleosides, nucleotides, and analogues
1432	883	0.18	-200.068	NA	NA	Nucleosides, nucleotides, and analogues
1471	1276	0.12	-118.048	NA	NA	Nucleosides, nucleotides, and analogues
1471	326	0.11	-20.972	NA	NA	Nucleosides, nucleotides, and analogues
1471	382	0.21	-184.035	NA	NA	Nucleosides, nucleotides, and analogues
1471	409	0.40	-192.067	NA	NA	Nucleosides, nucleotides, and analogues
1471	54	0.12	-89.019	NA	NA	Nucleosides, nucleotides, and analogues
1471	600	0.12	-146.019	NA	NA	Nucleosides, nucleotides, and analogues
1471	677	0.13	-360.092	NA	NA	Nucleosides, nucleotides, and analogues
1471	894	0.14	12.031	NA	NA	Nucleosides, nucleotides, and analogues
1624	1276	0.13	110.021	NA	NA	Nucleosides, nucleotides, and analogues
1624	1471	0.18	228.069	NA	NA	Nucleosides, nucleotides, and analogues
1624	326	0.17	207.097	NA	NA	Nucleosides, nucleotides, and analogues
1624	382	0.19	44.034	NA	NA	Nucleosides, nucleotides, and analogues
1624	409	0.23	36.002	NA	NA	Nucleosides, nucleotides, and analogues
1624	54	0.12	139.050	NA	NA	Nucleosides, nucleotides, and analogues
1624	600	0.12	82.050	NA	NA	Nucleosides, nucleotides, and analogues
1624	742	0.13	178.063	NA	NA	Nucleosides, nucleotides, and analogues
1624	894	0.16	240.100	NA	NA	Nucleosides, nucleotides, and analogues
1747	1210	0.11	140.047	NA	NA	Nucleosides, nucleotides, and analogues
1747	382	0.12	-53.027	NA	NA	Nucleosides, nucleotides, and analogues
1747	54	0.13	41.989	NA	NA	Nucleosides, nucleotides, and analogues
1747	600	0.13	-15.011	NA	NA	Nucleosides, nucleotides, and analogues
1757	1210	0.12	162.068	NA	NA	Nucleosides, nucleotides, and analogues
1757	1276	0.11	34.981	NA	NA	Nucleosides, nucleotides, and analogues
1757	1471	0.22	153.029	NA	NA	Nucleosides, nucleotides, and analogues
1757	1624	0.14	-75.040	NA	NA	Nucleosides, nucleotides, and analogues
1757	1747	0.11	22.021	NA	NA	Nucleosides, nucleotides, and analogues
1757	326	0.18	132.057	NA	NA	Nucleosides, nucleotides, and analogues
1757	332	0.12	133.078	NA	NA	Nucleosides, nucleotides, and analogues
1757	382	0.20	-31.006	NA	NA	Nucleosides, nucleotides, and analogues
1757	409	0.25	-39.038	NA	NA	Nucleosides, nucleotides, and analogues
1757	54	0.14	64.010	NA	NA	Nucleosides, nucleotides, and analogues
1757	600	0.12	7.010	NA	NA	Nucleosides, nucleotides, and analogues
1757	677	0.15	-207.063	NA	NA	Nucleosides, nucleotides, and analogues
1757	742	0.14	103.023	NA	NA	Nucleosides, nucleotides, and analogues
1775	1210	0.12	41.034	NA	NA	Nucleosides, nucleotides, and analogues
1775	1757	0.25	-121.033	NA	NA	Nucleosides, nucleotides, and analogues
1775	332	0.12	12.044	NA	NA	Nucleosides, nucleotides, and analogues
1775	409	0.15	-160.071	NA	NA	Nucleosides, nucleotides, and analogues
1775	742	0.18	-18.010	NA	NA	Nucleosides, nucleotides, and analogues
1775	894	0.22	44.026	NA	NA	Nucleosides, nucleotides, and analogues
1847	1210	0.11	171.076	NA	NA	Nucleosides, nucleotides, and analogues
1847	1757	0.19	9.009	NA	NA	Nucleosides, nucleotides, and analogues
1847	1775	0.12	130.042	NA	NA	Nucleosides, nucleotides, and analogues
1847	894	0.15	174.068	NA	NA	Nucleosides, nucleotides, and analogues
1884	1624	0.17	-147.077	NA	NA	Nucleosides, nucleotides, and analogues
1884	1775	0.17	48.997	NA	NA	Nucleosides, nucleotides, and analogues
1884	1847	0.12	-81.045	NA	NA	Nucleosides, nucleotides, and analogues
