source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	234	0.23	-388.153	NA	NA	Organic phosphoric acids and derivatives
1129	326	0.11	-21.003	NA	NA	Organic phosphoric acids and derivatives
1129	558	0.12	-230.007	NA	NA	Organic phosphoric acids and derivatives
1129	779	0.11	-164.099	NA	NA	Organic phosphoric acids and derivatives
1129	894	0.15	12.000	NA	NA	Organic phosphoric acids and derivatives
1136	1043	0.14	-144.025	NA	NA	Organic phosphoric acids and derivatives
1136	418	0.12	-104.946	NA	NA	Organic phosphoric acids and derivatives
1170	234	0.22	-160.162	NA	NA	Organic phosphoric acids and derivatives
1170	558	0.13	-2.016	NA	NA	Organic phosphoric acids and derivatives
1210	36	0.11	101.281	NA	NA	Organic phosphoric acids and derivatives
1210	54	0.13	-98.058	NA	NA	Organic phosphoric acids and derivatives
1210	600	0.12	-155.058	NA	NA	Organic phosphoric acids and derivatives
1210	742	0.11	-59.045	NA	NA	Organic phosphoric acids and derivatives
1210	779	0.15	-173.107	NA	NA	Organic phosphoric acids and derivatives
1210	894	0.11	2.992	NA	NA	Organic phosphoric acids and derivatives
1271	1129	0.19	326.152	NA	NA	Organic phosphoric acids and derivatives
1271	1136	0.12	278.038	NA	NA	Organic phosphoric acids and derivatives
1271	1170	0.19	98.161	NA	NA	Organic phosphoric acids and derivatives
1271	234	0.31	-62.000	NA	NA	Organic phosphoric acids and derivatives
1271	38	0.18	208.149	NA	NA	Organic phosphoric acids and derivatives
1271	54	0.19	237.102	NA	NA	Organic phosphoric acids and derivatives
1271	558	0.24	96.145	NA	NA	Organic phosphoric acids and derivatives
1271	652	0.20	357.166	NA	NA	Organic phosphoric acids and derivatives
1271	765	0.13	424.158	NA	NA	Organic phosphoric acids and derivatives
1271	770	0.30	-1.979	NA	NA	Organic phosphoric acids and derivatives
1271	894	0.20	338.152	NA	NA	Organic phosphoric acids and derivatives
1276	1271	0.20	-208.073	NA	NA	Organic phosphoric acids and derivatives
1276	234	0.22	-270.074	NA	NA	Organic phosphoric acids and derivatives
1276	38	0.14	0.076	NA	NA	Organic phosphoric acids and derivatives
1276	472	0.14	68.071	NA	NA	Organic phosphoric acids and derivatives
1276	54	0.11	29.029	NA	NA	Organic phosphoric acids and derivatives
1276	558	0.13	-111.928	NA	NA	Organic phosphoric acids and derivatives
1276	770	0.17	-210.052	NA	NA	Organic phosphoric acids and derivatives
1276	894	0.16	130.078	NA	NA	Organic phosphoric acids and derivatives
1413	1170	0.14	34.094	NA	NA	Organic phosphoric acids and derivatives
1413	1271	0.21	-64.067	NA	NA	Organic phosphoric acids and derivatives
1413	1276	0.15	144.006	NA	NA	Organic phosphoric acids and derivatives
1413	234	0.26	-126.068	NA	NA	Organic phosphoric acids and derivatives
1413	36	0.14	372.373	NA	NA	Organic phosphoric acids and derivatives
1413	38	0.25	144.081	NA	NA	Organic phosphoric acids and derivatives
1413	472	0.17	212.077	NA	NA	Organic phosphoric acids and derivatives
