source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1038	38	0.11	21.041	NA	NA	Organonitrogen compounds
104	8	0.19	14.016	NA	NA	Organonitrogen compounds
1052	296	0.17	-6.050	NA	NA	Organonitrogen compounds
1052	319	0.21	-46.006	NA	NA	Organonitrogen compounds
1052	485	0.20	-14.015	NA	NA	Organonitrogen compounds
1052	687	0.12	-363.120	NA	NA	Organonitrogen compounds
1052	754	0.11	-275.089	NA	NA	Organonitrogen compounds
1052	931	0.16	-14.015	NA	NA	Organonitrogen compounds
1052	975	0.14	-14.015	NA	NA	Organonitrogen compounds
1060	1052	0.12	409.125	NA	NA	Organonitrogen compounds
1060	146	0.11	286.199	NA	NA	Organonitrogen compounds
1060	264	0.14	154.041	NA	NA	Organonitrogen compounds
1060	295	0.13	69.969	NA	NA	Organonitrogen compounds
1060	296	0.21	403.075	NA	NA	Organonitrogen compounds
1060	319	0.21	363.119	NA	NA	Organonitrogen compounds
1060	38	0.18	119.041	NA	NA	Organonitrogen compounds
1060	409	0.16	44.946	NA	NA	Organonitrogen compounds
1060	485	0.18	395.110	NA	NA	Organonitrogen compounds
1060	562	0.13	120.057	NA	NA	Organonitrogen compounds
1060	677	0.18	-123.078	NA	NA	Organonitrogen compounds
1060	687	0.20	46.006	NA	NA	Organonitrogen compounds
1060	746	0.16	106.041	NA	NA	Organonitrogen compounds
1060	747	0.16	92.047	NA	NA	Organonitrogen compounds
1060	77	0.17	303.206	NA	NA	Organonitrogen compounds
1060	931	0.16	395.110	NA	NA	Organonitrogen compounds
1060	947	0.15	65.028	NA	NA	Organonitrogen compounds
1060	975	0.18	395.110	NA	NA	Organonitrogen compounds
1092	1038	0.19	51.994	NA	NA	Organonitrogen compounds
1092	1060	0.11	-46.006	NA	NA	Organonitrogen compounds
1092	146	0.15	240.193	NA	NA	Organonitrogen compounds
1092	264	0.12	108.036	NA	NA	Organonitrogen compounds
1092	295	0.11	23.963	NA	NA	Organonitrogen compounds
1092	296	0.13	357.070	NA	NA	Organonitrogen compounds
1092	3	0.14	223.203	NA	NA	Organonitrogen compounds
1092	319	0.16	317.114	NA	NA	Organonitrogen compounds
1092	326	0.16	170.036	NA	NA	Organonitrogen compounds
1092	34	0.12	213.174	NA	NA	Organonitrogen compounds
1092	38	0.11	73.036	NA	NA	Organonitrogen compounds
1092	382	0.15	6.973	NA	NA	Organonitrogen compounds
1092	409	0.14	-1.059	NA	NA	Organonitrogen compounds
1092	436	0.11	192.026	NA	NA	Organonitrogen compounds
1092	54	0.11	101.989	NA	NA	Organonitrogen compounds
1092	55	0.11	146.015	NA	NA	Organonitrogen compounds
1092	562	0.14	74.052	NA	NA	Organonitrogen compounds
1092	600	0.11	44.989	NA	NA	Organonitrogen compounds
1092	67	0.12	57.963	NA	NA	Organonitrogen compounds
1092	677	0.13	-169.084	NA	NA	Organonitrogen compounds
1092	687	0.14	-0.000	NA	NA	Organonitrogen compounds
