source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1357	596	0.61	162.053	NA	NA	Organosulfur compounds
1399	740	0.15	-26.037	NA	NA	Organosulfur compounds
1442	596	0.14	310.143	NA	NA	Organosulfur compounds
1442	740	0.12	16.010	NA	NA	Organosulfur compounds
1757	1225	0.14	194.073	NA	NA	Organosulfur compounds
1757	1358	0.16	95.075	NA	NA	Organosulfur compounds
1757	1747	0.11	22.021	NA	NA	Organosulfur compounds
1757	596	0.11	28.998	NA	NA	Organosulfur compounds
2348	1757	0.16	-157.055	NA	NA	Organosulfur compounds
2359	1905	0.11	-206.079	NA	NA	Organosulfur compounds
2403	1357	0.12	-104.011	NA	NA	Organosulfur compounds
2403	1757	0.21	29.044	NA	NA	Organosulfur compounds
2403	2348	0.20	186.099	NA	NA	Organosulfur compounds
2403	596	0.14	58.042	NA	NA	Organosulfur compounds
2403	740	0.13	-236.091	NA	NA	Organosulfur compounds
2636	1357	0.14	-68.047	NA	NA	Organosulfur compounds
2636	1442	0.12	-216.137	NA	NA	Organosulfur compounds
2636	1757	0.17	65.008	NA	NA	Organosulfur compounds
2636	2403	0.13	35.964	NA	NA	Organosulfur compounds
2636	596	0.13	94.006	NA	NA	Organosulfur compounds
2670	2359	0.15	-52.032	NA	NA	Organosulfur compounds
2686	1225	0.14	131.055	NA	NA	Organosulfur compounds
2686	1357	0.23	-196.073	NA	NA	Organosulfur compounds
2686	1747	0.16	-40.997	NA	NA	Organosulfur compounds
2686	1757	0.14	-63.018	NA	NA	Organosulfur compounds
2686	596	0.18	-34.020	NA	NA	Organosulfur compounds
2836	1225	0.12	149.080	NA	NA	Organosulfur compounds
2836	1357	0.21	-178.048	NA	NA	Organosulfur compounds
2836	1358	0.11	50.083	NA	NA	Organosulfur compounds
2836	1442	0.14	-326.137	NA	NA	Organosulfur compounds
2836	1757	0.18	-44.993	NA	NA	Organosulfur compounds
2836	2348	0.13	112.062	NA	NA	Organosulfur compounds
2836	2403	0.20	-74.037	NA	NA	Organosulfur compounds
2836	2636	0.19	-110.000	NA	NA	Organosulfur compounds
2836	2686	0.20	18.026	NA	NA	Organosulfur compounds
2836	596	0.21	-15.995	NA	NA	Organosulfur compounds
2848	1358	0.16	93.096	NA	NA	Organosulfur compounds
