source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1000	240	0.15	-80.063	NA	NA	Phenylpropanoids and polyketides
1000	257	0.14	-80.062	NA	NA	Phenylpropanoids and polyketides
1000	283	0.11	274.032	NA	NA	Phenylpropanoids and polyketides
1000	293	0.13	81.969	NA	NA	Phenylpropanoids and polyketides
1000	298	0.11	81.969	NA	NA	Phenylpropanoids and polyketides
1000	416	0.19	81.969	NA	NA	Phenylpropanoids and polyketides
1000	478	0.21	48.021	NA	NA	Phenylpropanoids and polyketides
1000	509	0.18	296.014	NA	NA	Phenylpropanoids and polyketides
1000	598	0.16	103.951	NA	NA	Phenylpropanoids and polyketides
1000	625	0.12	-256.095	NA	NA	Phenylpropanoids and polyketides
1000	693	0.11	-240.100	NA	NA	Phenylpropanoids and polyketides
1000	706	0.18	74.000	NA	NA	Phenylpropanoids and polyketides
1000	835	0.12	122.021	NA	NA	Phenylpropanoids and polyketides
1000	846	0.13	-80.062	NA	NA	Phenylpropanoids and polyketides
1000	858	0.30	-70.042	NA	NA	Phenylpropanoids and polyketides
1000	930	0.20	-12.075	NA	NA	Phenylpropanoids and polyketides
1000	939	0.16	-80.063	NA	NA	Phenylpropanoids and polyketides
1000	967	0.11	238.032	NA	NA	Phenylpropanoids and polyketides
1010	240	0.29	15.995	NA	NA	Phenylpropanoids and polyketides
1010	249	0.18	-158.059	NA	NA	Phenylpropanoids and polyketides
1010	257	0.29	15.995	NA	NA	Phenylpropanoids and polyketides
1010	283	0.12	370.089	NA	NA	Phenylpropanoids and polyketides
1010	293	0.25	178.026	NA	NA	Phenylpropanoids and polyketides
1010	298	0.27	178.026	NA	NA	Phenylpropanoids and polyketides
1010	316	0.28	15.995	NA	NA	Phenylpropanoids and polyketides
1010	416	0.32	178.026	NA	NA	Phenylpropanoids and polyketides
1010	509	0.18	392.071	NA	NA	Phenylpropanoids and polyketides
1010	514	0.14	334.089	NA	NA	Phenylpropanoids and polyketides
1010	569	0.11	-175.061	NA	NA	Phenylpropanoids and polyketides
1010	598	0.24	200.008	NA	NA	Phenylpropanoids and polyketides
1010	650	0.21	-130.027	NA	NA	Phenylpropanoids and polyketides
1010	657	0.14	-190.049	NA	NA	Phenylpropanoids and polyketides
1010	686	0.12	-132.043	NA	NA	Phenylpropanoids and polyketides
1010	693	0.23	-144.043	NA	NA	Phenylpropanoids and polyketides
1010	706	0.19	170.057	NA	NA	Phenylpropanoids and polyketides
1010	815	0.12	-132.043	NA	NA	Phenylpropanoids and polyketides
1010	846	0.32	15.995	NA	NA	Phenylpropanoids and polyketides
1010	882	0.12	362.121	NA	NA	Phenylpropanoids and polyketides
1010	89	0.11	-120.006	NA	NA	Phenylpropanoids and polyketides
1010	923	0.12	-38.000	NA	NA	Phenylpropanoids and polyketides
1010	930	0.28	83.982	NA	NA	Phenylpropanoids and polyketides
1010	936	0.11	-102.032	NA	NA	Phenylpropanoids and polyketides
1010	939	0.19	15.995	NA	NA	Phenylpropanoids and polyketides
1015	1000	0.16	82.078	NA	NA	Phenylpropanoids and polyketides
1015	1010	0.31	-13.979	NA	NA	Phenylpropanoids and polyketides
1015	240	0.63	2.016	NA	NA	Phenylpropanoids and polyketides
1015	249	0.51	-172.038	NA	NA	Phenylpropanoids and polyketides
1015	257	0.53	2.016	NA	NA	Phenylpropanoids and polyketides
