source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	234	0.23	-388.153	NA	NA	Phosphate esters
1129	326	0.11	-21.003	NA	NA	Phosphate esters
1129	558	0.12	-230.007	NA	NA	Phosphate esters
1129	779	0.11	-164.099	NA	NA	Phosphate esters
1129	894	0.15	12.000	NA	NA	Phosphate esters
1136	1043	0.14	-144.025	NA	NA	Phosphate esters
1136	418	0.12	-104.946	NA	NA	Phosphate esters
1170	234	0.22	-160.162	NA	NA	Phosphate esters
1170	558	0.13	-2.016	NA	NA	Phosphate esters
1271	1129	0.19	326.152	NA	NA	Phosphate esters
1271	1136	0.12	278.038	NA	NA	Phosphate esters
1271	1170	0.19	98.161	NA	NA	Phosphate esters
1271	234	0.31	-62.000	NA	NA	Phosphate esters
1271	38	0.18	208.149	NA	NA	Phosphate esters
1271	54	0.19	237.102	NA	NA	Phosphate esters
1271	558	0.24	96.145	NA	NA	Phosphate esters
1271	652	0.20	357.166	NA	NA	Phosphate esters
1271	765	0.13	424.158	NA	NA	Phosphate esters
1271	770	0.30	-1.979	NA	NA	Phosphate esters
1271	894	0.20	338.152	NA	NA	Phosphate esters
1276	1271	0.20	-208.073	NA	NA	Phosphate esters
1276	234	0.22	-270.074	NA	NA	Phosphate esters
1276	38	0.14	0.076	NA	NA	Phosphate esters
1276	54	0.11	29.029	NA	NA	Phosphate esters
1276	558	0.13	-111.928	NA	NA	Phosphate esters
1276	770	0.17	-210.052	NA	NA	Phosphate esters
1276	894	0.16	130.078	NA	NA	Phosphate esters
1413	1170	0.14	34.094	NA	NA	Phosphate esters
1413	1271	0.21	-64.067	NA	NA	Phosphate esters
1413	1276	0.15	144.006	NA	NA	Phosphate esters
1413	234	0.26	-126.068	NA	NA	Phosphate esters
1413	36	0.14	372.373	NA	NA	Phosphate esters
1413	38	0.25	144.081	NA	NA	Phosphate esters
1413	54	0.21	173.035	NA	NA	Phosphate esters
1413	558	0.14	32.078	NA	NA	Phosphate esters
1413	765	0.16	360.091	NA	NA	Phosphate esters
1413	770	0.24	-66.046	NA	NA	Phosphate esters
1413	779	0.20	97.985	NA	NA	Phosphate esters
1413	894	0.17	274.084	NA	NA	Phosphate esters
1432	1043	0.11	-53.095	NA	NA	Phosphate esters
1432	1136	0.12	90.930	NA	NA	Phosphate esters
1432	418	0.20	-14.016	NA	NA	Phosphate esters
1433	1413	0.13	-374.108	NA	NA	Phosphate esters
1433	326	0.12	-133.027	NA	NA	Phosphate esters
1433	36	0.19	-1.735	NA	NA	Phosphate esters
1433	54	0.12	-201.074	NA	NA	Phosphate esters
1433	55	0.13	-157.048	NA	NA	Phosphate esters
1433	765	0.12	-14.017	NA	NA	Phosphate esters
1433	770	0.15	-440.155	NA	NA	Phosphate esters
1433	779	0.15	-276.123	NA	NA	Phosphate esters
1433	894	0.26	-100.024	NA	NA	Phosphate esters
1526	1170	0.16	-15.995	NA	NA	Phosphate esters
1526	1271	0.18	-114.156	NA	NA	Phosphate esters
1526	1413	0.18	-50.089	NA	NA	Phosphate esters
1526	234	0.21	-176.157	NA	NA	Phosphate esters
1526	558	0.12	-18.011	NA	NA	Phosphate esters
1544	1413	0.18	-0.002	NA	NA	Phosphate esters
1544	1526	0.25	50.086	NA	NA	Phosphate esters
1544	770	0.11	-66.049	NA	NA	Phosphate esters
1690	1170	0.12	50.088	NA	NA	Phosphate esters
1690	1271	0.19	-48.073	NA	NA	Phosphate esters
1690	1413	0.24	15.995	NA	NA	Phosphate esters
1690	1433	0.14	390.103	NA	NA	Phosphate esters
1690	1526	0.19	66.083	NA	NA	Phosphate esters
1690	1544	0.17	15.997	NA	NA	Phosphate esters
1690	234	0.22	-110.073	NA	NA	Phosphate esters
1690	38	0.17	160.076	NA	NA	Phosphate esters
1690	558	0.13	48.073	NA	NA	Phosphate esters
1690	770	0.16	-50.052	NA	NA	Phosphate esters
1690	779	0.11	113.980	NA	NA	Phosphate esters
1690	894	0.15	290.079	NA	NA	Phosphate esters
1731	1271	0.18	-128.172	NA	NA	Phosphate esters
1731	1413	0.17	-64.104	NA	NA	Phosphate esters
1731	1433	0.14	310.004	NA	NA	Phosphate esters
1731	1526	0.11	-14.016	NA	NA	Phosphate esters
1731	1690	0.18	-80.099	NA	NA	Phosphate esters
1731	234	0.21	-190.172	NA	NA	Phosphate esters
1731	38	0.13	79.977	NA	NA	Phosphate esters
1731	558	0.12	-32.026	NA	NA	Phosphate esters
1731	770	0.13	-130.151	NA	NA	Phosphate esters
1731	894	0.25	209.980	NA	NA	Phosphate esters
1847	1271	0.18	-164.084	NA	NA	Phosphate esters
1847	1413	0.15	-100.016	NA	NA	Phosphate esters
1847	234	0.23	-226.084	NA	NA	Phosphate esters
1847	38	0.12	44.065	NA	NA	Phosphate esters
