source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1008	239	0.15	-2.016	NA	NA	Prenol lipids
1008	241	0.17	-44.026	NA	NA	Prenol lipids
1008	264	0.11	85.032	NA	NA	Prenol lipids
1008	277	0.11	-32.062	NA	NA	Prenol lipids
1008	279	0.19	-64.052	NA	NA	Prenol lipids
1008	280	0.27	146.036	NA	NA	Prenol lipids
1008	292	0.11	-46.041	NA	NA	Prenol lipids
1008	310	0.14	-12.090	NA	NA	Prenol lipids
1008	311	0.14	-46.041	NA	NA	Prenol lipids
1008	338	0.13	5.950	NA	NA	Prenol lipids
1008	347	0.11	-48.021	NA	NA	Prenol lipids
1008	348	0.15	146.037	NA	NA	Prenol lipids
1008	360	0.12	102.010	NA	NA	Prenol lipids
1008	408	0.23	176.047	NA	NA	Prenol lipids
1008	426	0.11	100.016	NA	NA	Prenol lipids
1008	435	0.14	100.016	NA	NA	Prenol lipids
1008	456	0.15	-90.032	NA	NA	Prenol lipids
1008	458	0.15	-210.074	NA	NA	Prenol lipids
1008	461	0.30	90.010	NA	NA	Prenol lipids
1008	485	0.18	326.100	NA	NA	Prenol lipids
1008	494	0.15	-62.037	NA	NA	Prenol lipids
1008	495	0.19	-48.021	NA	NA	Prenol lipids
1008	496	0.16	-60.021	NA	NA	Prenol lipids
1008	506	0.14	70.006	NA	NA	Prenol lipids
1008	512	0.12	-30.010	NA	NA	Prenol lipids
1008	522	0.11	234.089	NA	NA	Prenol lipids
1008	548	0.16	298.061	NA	NA	Prenol lipids
1008	552	0.26	120.021	NA	NA	Prenol lipids
1008	561	0.14	-48.021	NA	NA	Prenol lipids
1008	574	0.15	-18.046	NA	NA	Prenol lipids
1008	577	0.17	160.037	NA	NA	Prenol lipids
1008	592	0.13	-18.010	NA	NA	Prenol lipids
1008	597	0.19	-2.015	NA	NA	Prenol lipids
1008	614	0.19	70.006	NA	NA	Prenol lipids
1008	626	0.17	-76.052	NA	NA	Prenol lipids
1008	632	0.22	-32.026	NA	NA	Prenol lipids
1008	659	0.13	-44.026	NA	NA	Prenol lipids
1008	673	0.15	-62.072	NA	NA	Prenol lipids
1008	691	0.18	164.047	NA	NA	Prenol lipids
1008	695	0.12	-4.031	NA	NA	Prenol lipids
1008	710	0.31	13.980	NA	NA	Prenol lipids
1008	715	0.21	144.042	NA	NA	Prenol lipids
1008	744	0.12	-58.005	NA	NA	Prenol lipids
1008	749	0.22	266.043	NA	NA	Prenol lipids
1008	754	0.11	65.027	NA	NA	Prenol lipids
1008	761	0.31	116.026	NA	NA	Prenol lipids
1008	804	0.13	-74.036	NA	NA	Prenol lipids
1008	809	0.19	120.021	NA	NA	Prenol lipids
1008	821	0.27	51.995	NA	NA	Prenol lipids
1008	835	0.22	120.021	NA	NA	Prenol lipids
1008	838	0.15	310.105	NA	NA	Prenol lipids
1008	855	0.14	-30.010	NA	NA	Prenol lipids
1008	862	0.22	308.090	NA	NA	Prenol lipids
1008	865	0.22	-48.057	NA	NA	Prenol lipids
1008	876	0.19	100.052	NA	NA	Prenol lipids
1008	890	0.18	150.031	NA	NA	Prenol lipids
1008	893	0.17	118.027	NA	NA	Prenol lipids
1008	904	0.14	130.099	NA	NA	Prenol lipids
1008	917	0.21	150.068	NA	NA	Prenol lipids
1008	952	0.16	103.990	NA	NA	Prenol lipids
1008	958	0.25	99.995	NA	NA	Prenol lipids
1008	962	0.17	-32.026	NA	NA	Prenol lipids
1008	977	0.15	60.000	NA	NA	Prenol lipids
1008	989	0.12	184.035	NA	NA	Prenol lipids
1008	991	0.22	-30.010	NA	NA	Prenol lipids
1014	383	0.32	-0.000	NA	NA	Prenol lipids
1014	392	0.11	-92.187	NA	NA	Prenol lipids
1014	458	0.12	-262.266	NA	NA	Prenol lipids
1014	495	0.14	-100.213	NA	NA	Prenol lipids
1014	525	0.11	-262.266	NA	NA	Prenol lipids
1014	720	0.15	-318.220	NA	NA	Prenol lipids
1014	869	0.11	-15.995	NA	NA	Prenol lipids
