source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1092	146	0.15	240.193	NA	NA	Primary amines
1092	3	0.14	223.203	NA	NA	Primary amines
1092	326	0.16	170.036	NA	NA	Primary amines
1092	34	0.12	213.174	NA	NA	Primary amines
1092	38	0.11	73.036	NA	NA	Primary amines
1092	409	0.14	-1.059	NA	NA	Primary amines
1092	54	0.11	101.989	NA	NA	Primary amines
1092	55	0.11	146.015	NA	NA	Primary amines
1092	600	0.11	44.989	NA	NA	Primary amines
1092	67	0.12	57.963	NA	NA	Primary amines
1092	742	0.16	141.002	NA	NA	Primary amines
1092	747	0.11	46.041	NA	NA	Primary amines
1092	947	0.14	19.022	NA	NA	Primary amines
1129	146	0.11	49.154	NA	NA	Primary amines
1129	326	0.11	-21.003	NA	NA	Primary amines
1136	418	0.12	-104.946	NA	NA	Primary amines
1136	883	0.24	-290.998	NA	NA	Primary amines
1210	3	0.11	23.156	NA	NA	Primary amines
1210	54	0.13	-98.058	NA	NA	Primary amines
1210	600	0.12	-155.058	NA	NA	Primary amines
1210	742	0.11	-59.045	NA	NA	Primary amines
1286	172	0.12	-78.993	NA	NA	Primary amines
1286	193	0.12	-78.993	NA	NA	Primary amines
1286	34	0.11	360.215	NA	NA	Primary amines
1358	1092	0.14	-133.054	NA	NA	Primary amines
1358	1210	0.15	66.992	NA	NA	Primary amines
1358	146	0.11	107.139	NA	NA	Primary amines
1358	409	0.13	-134.114	NA	NA	Primary amines
1358	600	0.14	-88.065	NA	NA	Primary amines
1358	747	0.15	-87.013	NA	NA	Primary amines
1432	1136	0.12	90.930	NA	NA	Primary amines
1432	1286	0.11	-199.035	NA	NA	Primary amines
1432	34	0.11	161.180	NA	NA	Primary amines
1432	418	0.20	-14.016	NA	NA	Primary amines
1432	883	0.18	-200.068	NA	NA	Primary amines
146	28	0.15	-211.184	NA	NA	Primary amines
146	3	0.23	-16.990	NA	NA	Primary amines
146	34	0.15	-27.019	NA	NA	Primary amines
146	38	0.14	-167.157	NA	NA	Primary amines
146	55	0.11	-94.178	NA	NA	Primary amines
146	67	0.21	-182.230	NA	NA	Primary amines
1471	1092	0.11	-191.008	NA	NA	Primary amines
1471	146	0.13	49.185	NA	NA	Primary amines
1471	326	0.11	-20.972	NA	NA	Primary amines
1471	38	0.11	-117.972	NA	NA	Primary amines
1471	409	0.40	-192.067	NA	NA	Primary amines
1471	54	0.12	-89.019	NA	NA	Primary amines
1471	600	0.12	-146.019	NA	NA	Primary amines
1471	67	0.13	-133.045	NA	NA	Primary amines
1471	747	0.15	-144.967	NA	NA	Primary amines
1471	947	0.19	-171.986	NA	NA	Primary amines
1586	1092	0.16	133.107	NA	NA	Primary amines
1586	146	0.19	373.300	NA	NA	Primary amines
1586	326	0.11	303.143	NA	NA	Primary amines
1586	34	0.13	346.281	NA	NA	Primary amines
1586	38	0.12	206.143	NA	NA	Primary amines
1586	409	0.11	132.048	NA	NA	Primary amines
1586	742	0.16	274.109	NA	NA	Primary amines
1586	747	0.20	179.148	NA	NA	Primary amines
1586	947	0.14	152.129	NA	NA	Primary amines
1624	1092	0.12	37.061	NA	NA	Primary amines
1624	1358	0.13	170.115	NA	NA	Primary amines
1624	146	0.13	277.254	NA	NA	Primary amines
1624	1471	0.18	228.069	NA	NA	Primary amines
1624	1586	0.12	-96.046	NA	NA	Primary amines
1624	3	0.12	260.264	NA	NA	Primary amines
1624	326	0.17	207.097	NA	NA	Primary amines
1624	409	0.23	36.002	NA	NA	Primary amines
1624	54	0.12	139.050	NA	NA	Primary amines
1624	600	0.12	82.050	NA	NA	Primary amines
1624	67	0.16	95.024	NA	NA	Primary amines
