source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1100	608	0.32	214.060	NA	NA	Pyrans
1100	93	0.34	82.018	NA	NA	Pyrans
1138	1100	0.46	0.000	NA	NA	Pyrans
1138	608	0.23	214.061	NA	NA	Pyrans
1138	93	0.32	82.019	NA	NA	Pyrans
1143	268	0.16	-58.097	NA	NA	Pyrans
1143	540	0.13	-84.113	NA	NA	Pyrans
1330	65	0.14	-122.001	NA	NA	Pyrans
1480	1100	0.30	-116.039	NA	NA	Pyrans
1480	1138	0.41	-116.039	NA	NA	Pyrans
1480	608	0.19	98.022	NA	NA	Pyrans
1480	93	0.27	-34.020	NA	NA	Pyrans
1530	65	0.11	-59.985	NA	NA	Pyrans
1530	686	0.17	-60.022	NA	NA	Pyrans
1530	815	0.19	-60.022	NA	NA	Pyrans
1744	1530	0.22	32.027	NA	NA	Pyrans
1744	595	0.16	-56.027	NA	NA	Pyrans
1744	686	0.21	-27.995	NA	NA	Pyrans
1744	815	0.21	-27.995	NA	NA	Pyrans
1744	89	0.14	-15.958	NA	NA	Pyrans
1760	1480	0.13	190.061	NA	NA	Pyrans
1760	1530	0.11	44.027	NA	NA	Pyrans
1760	1744	0.22	12.000	NA	NA	Pyrans
1760	268	0.11	116.063	NA	NA	Pyrans
1760	595	0.15	-44.026	NA	NA	Pyrans
1760	65	0.17	-15.959	NA	NA	Pyrans
1760	686	0.32	-15.995	NA	NA	Pyrans
1760	815	0.32	-15.995	NA	NA	Pyrans
1956	1143	0.17	124.107	NA	NA	Pyrans
1956	268	0.16	66.010	NA	NA	Pyrans
1956	540	0.13	39.995	NA	NA	Pyrans
1956	608	0.13	238.030	NA	NA	Pyrans
1956	89	0.11	-54.011	NA	NA	Pyrans
1995	786	0.20	1.008	NA	NA	Pyrans
2071	1143	0.23	4.032	NA	NA	Pyrans
2071	1330	0.13	-64.086	NA	NA	Pyrans
2071	1956	0.17	-120.076	NA	NA	Pyrans
2071	268	0.18	-54.066	NA	NA	Pyrans
2231	595	0.11	-30.011	NA	NA	Pyrans
2231	786	0.19	-44.998	NA	NA	Pyrans
2432	1480	0.14	206.056	NA	NA	Pyrans
2432	1530	0.14	60.022	NA	NA	Pyrans
2432	1760	0.21	15.995	NA	NA	Pyrans
2432	65	0.19	0.037	NA	NA	Pyrans
2432	686	0.62	0.000	NA	NA	Pyrans
2432	815	0.61	0.000	NA	NA	Pyrans
2468	1143	0.27	-0.001	NA	NA	Pyrans
2468	1330	0.13	-68.119	NA	NA	Pyrans
2468	1956	0.31	-124.109	NA	NA	Pyrans
2468	2071	0.16	-4.033	NA	NA	Pyrans
2468	268	0.12	-58.098	NA	NA	Pyrans
2468	857	0.15	-100.124	NA	NA	Pyrans
2468	89	0.11	-178.120	NA	NA	Pyrans
2483	1100	0.14	104.033	NA	NA	Pyrans
2483	1138	0.12	104.033	NA	NA	Pyrans
2483	1480	0.15	220.071	NA	NA	Pyrans
2483	1744	0.13	42.011	NA	NA	Pyrans
2483	1760	0.11	30.011	NA	NA	Pyrans
2483	1956	0.11	80.063	NA	NA	Pyrans
2483	2432	0.22	14.016	NA	NA	Pyrans
2483	595	0.21	-14.016	NA	NA	Pyrans
2483	608	0.12	318.093	NA	NA	Pyrans
2483	857	0.12	104.048	NA	NA	Pyrans
2483	93	0.11	186.051	NA	NA	Pyrans
2495	1100	0.16	-134.086	NA	NA	Pyrans
2495	1138	0.16	-134.086	NA	NA	Pyrans
2495	1480	0.17	-18.047	NA	NA	Pyrans
2495	608	0.17	79.975	NA	NA	Pyrans
2495	93	0.19	-52.067	NA	NA	Pyrans
2674	1143	0.33	2.016	NA	NA	Pyrans
2674	1956	0.14	-122.092	NA	NA	Pyrans
2674	2071	0.24	-2.016	NA	NA	Pyrans
2674	2468	0.22	2.017	NA	NA	Pyrans
2674	268	0.14	-56.081	NA	NA	Pyrans
2674	857	0.13	-98.107	NA	NA	Pyrans
268	89	0.11	-120.021	NA	NA	Pyrans
2700	1100	0.17	133.036	NA	NA	Pyrans
2700	1138	0.15	133.035	NA	NA	Pyrans
2700	1143	0.12	233.174	NA	NA	Pyrans
2700	1480	0.15	249.074	NA	NA	Pyrans
2700	1760	0.11	59.014	NA	NA	Pyrans
2700	1956	0.16	109.066	NA	NA	Pyrans
2700	2071	0.11	229.142	NA	NA	Pyrans
2700	2468	0.12	233.175	NA	NA	Pyrans
2700	2495	0.11	267.122	NA	NA	Pyrans
2700	540	0.13	149.061	NA	NA	Pyrans
2700	608	0.15	347.096	NA	NA	Pyrans
2700	857	0.13	133.051	NA	NA	Pyrans
2700	93	0.15	215.054	NA	NA	Pyrans
2782	1143	0.15	4.031	NA	NA	Pyrans
2782	1530	0.11	-126.102	NA	NA	Pyrans
2782	1760	0.11	-170.129	NA	NA	Pyrans
2782	1956	0.12	-120.076	NA	NA	Pyrans
2782	2071	0.46	-0.000	NA	NA	Pyrans
2782	2468	0.12	4.033	NA	NA	Pyrans
2782	2674	0.17	2.016	NA	NA	Pyrans
2782	268	0.19	-54.066	NA	NA	Pyrans
2782	857	0.12	-96.091	NA	NA	Pyrans
2809	1100	0.11	-15.989	NA	NA	Pyrans
2809	1143	0.14	84.149	NA	NA	Pyrans
2809	1480	0.12	100.050	NA	NA	Pyrans
2809	1760	0.13	-90.011	NA	NA	Pyrans
2809	1956	0.24	-39.958	NA	NA	Pyrans
2809	2071	0.15	80.118	NA	NA	Pyrans
2809	2468	0.20	84.150	NA	NA	Pyrans
2809	2483	0.14	-120.022	NA	NA	Pyrans
2809	2495	0.16	118.097	NA	NA	Pyrans
2809	2674	0.15	82.134	NA	NA	Pyrans
2809	268	0.20	26.052	NA	NA	Pyrans
2809	2700	0.19	-149.025	NA	NA	Pyrans
2809	2782	0.11	80.118	NA	NA	Pyrans
2809	540	0.17	0.036	NA	NA	Pyrans
2809	608	0.14	198.071	NA	NA	Pyrans
2809	686	0.18	-106.006	NA	NA	Pyrans
2809	815	0.18	-106.006	NA	NA	Pyrans
2809	857	0.14	-15.974	NA	NA	Pyrans
2809	93	0.13	66.029	NA	NA	Pyrans
2849	1330	0.12	120.022	NA	NA	Pyrans
2849	1530	0.20	58.006	NA	NA	Pyrans
2849	1744	0.13	25.980	NA	NA	Pyrans
2849	1760	0.20	13.979	NA	NA	Pyrans
2849	1956	0.14	64.032	NA	NA	Pyrans
2849	2432	0.23	-2.016	NA	NA	Pyrans
2849	2483	0.19	-16.031	NA	NA	Pyrans
2849	2782	0.11	184.108	NA	NA	Pyrans
2849	2809	0.16	103.990	NA	NA	Pyrans
2849	595	0.14	-30.047	NA	NA	Pyrans
2849	65	0.23	-1.979	NA	NA	Pyrans
2849	686	0.38	-2.016	NA	NA	Pyrans
2849	815	0.38	-2.016	NA	NA	Pyrans
2849	89	0.13	10.021	NA	NA	Pyrans
2864	1143	0.22	94.134	NA	NA	Pyrans
2864	1956	0.24	-29.974	NA	NA	Pyrans
2864	2071	0.16	90.102	NA	NA	Pyrans
2864	2468	0.27	94.135	NA	NA	Pyrans
2864	2674	0.20	92.118	NA	NA	Pyrans
2864	268	0.26	36.037	NA	NA	Pyrans
2864	2700	0.13	-139.040	NA	NA	Pyrans
2864	2782	0.15	90.102	NA	NA	Pyrans
2864	2809	0.22	9.985	NA	NA	Pyrans
2864	540	0.20	10.021	NA	NA	Pyrans
2864	857	0.21	-5.989	NA	NA	Pyrans
2864	89	0.11	-83.985	NA	NA	Pyrans
2909	1143	0.20	98.129	NA	NA	Pyrans
2909	1956	0.12	-25.979	NA	NA	Pyrans
2909	2071	0.11	94.097	NA	NA	Pyrans
2909	2468	0.17	98.130	NA	NA	Pyrans
2909	2483	0.14	-106.042	NA	NA	Pyrans
2909	2674	0.16	96.113	NA	NA	Pyrans
2909	268	0.13	40.032	NA	NA	Pyrans
2909	2809	0.14	13.979	NA	NA	Pyrans
2909	2864	0.22	3.995	NA	NA	Pyrans
2909	540	0.19	14.016	NA	NA	Pyrans
2938	1530	0.17	-33.982	NA	NA	Pyrans
2938	1760	0.19	-78.008	NA	NA	Pyrans
2938	1956	0.12	-27.956	NA	NA	Pyrans
2938	2495	0.11	130.099	NA	NA	Pyrans
2938	2782	0.12	92.120	NA	NA	Pyrans
2938	2809	0.15	12.003	NA	NA	Pyrans
2938	2849	0.15	-91.988	NA	NA	Pyrans
2961	1138	0.11	-126.155	NA	NA	Pyrans
2961	1143	0.21	-26.017	NA	NA	Pyrans
2961	1956	0.25	-150.124	NA	NA	Pyrans
2961	2071	0.15	-30.048	NA	NA	Pyrans
2961	2468	0.25	-26.016	NA	NA	Pyrans
2961	2483	0.13	-230.188	NA	NA	Pyrans
2961	2495	0.14	7.931	NA	NA	Pyrans
2961	2674	0.17	-28.032	NA	NA	Pyrans
2961	2700	0.13	-259.191	NA	NA	Pyrans
2961	2782	0.16	-30.048	NA	NA	Pyrans
2961	2809	0.16	-110.166	NA	NA	Pyrans
2961	2849	0.11	-214.156	NA	NA	Pyrans
2961	2864	0.22	-120.150	NA	NA	Pyrans
2961	2909	0.18	-124.145	NA	NA	Pyrans
2961	608	0.12	87.906	NA	NA	Pyrans
2961	89	0.11	-204.135	NA	NA	Pyrans
2961	93	0.14	-44.137	NA	NA	Pyrans
2988	1143	0.11	-136.091	NA	NA	Pyrans
2988	1956	0.13	-260.198	NA	NA	Pyrans
2988	2071	0.17	-140.122	NA	NA	Pyrans
2988	2468	0.12	-136.090	NA	NA	Pyrans
2988	2483	0.14	-340.262	NA	NA	Pyrans
2988	2674	0.21	-138.106	NA	NA	Pyrans
2988	268	0.17	-194.188	NA	NA	Pyrans
2988	2782	0.16	-140.122	NA	NA	Pyrans
2988	2809	0.13	-220.240	NA	NA	Pyrans
2988	2864	0.21	-230.224	NA	NA	Pyrans
2988	2909	0.15	-234.219	NA	NA	Pyrans
2988	2961	0.22	-110.074	NA	NA	Pyrans
2988	65	0.11	-326.209	NA	NA	Pyrans
2988	89	0.12	-314.209	NA	NA	Pyrans
3003	1995	0.63	-0.000	NA	NA	Pyrans
