source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	326	0.11	-21.003	NA	NA	Pyrimidines and pyrimidine derivatives
1129	332	0.13	-19.982	NA	NA	Pyrimidines and pyrimidine derivatives
1129	894	0.15	12.000	NA	NA	Pyrimidines and pyrimidine derivatives
1136	418	0.12	-104.946	NA	NA	Pyrimidines and pyrimidine derivatives
1136	883	0.24	-290.998	NA	NA	Pyrimidines and pyrimidine derivatives
1150	1003	0.12	-211.138	NA	NA	Pyrimidines and pyrimidine derivatives
1150	418	0.13	1.943	NA	NA	Pyrimidines and pyrimidine derivatives
1210	3	0.11	23.156	NA	NA	Pyrimidines and pyrimidine derivatives
1210	54	0.13	-98.058	NA	NA	Pyrimidines and pyrimidine derivatives
1210	600	0.12	-155.058	NA	NA	Pyrimidines and pyrimidine derivatives
1210	742	0.11	-59.045	NA	NA	Pyrimidines and pyrimidine derivatives
1210	894	0.11	2.992	NA	NA	Pyrimidines and pyrimidine derivatives
1230	28	0.14	-308.071	NA	NA	Pyrimidines and pyrimidine derivatives
1230	409	0.13	-338.140	NA	NA	Pyrimidines and pyrimidine derivatives
1230	418	0.12	-299.102	NA	NA	Pyrimidines and pyrimidine derivatives
1230	67	0.12	-279.118	NA	NA	Pyrimidines and pyrimidine derivatives
1230	747	0.12	-291.040	NA	NA	Pyrimidines and pyrimidine derivatives
1230	894	0.18	-134.043	NA	NA	Pyrimidines and pyrimidine derivatives
1242	1230	0.12	266.100	NA	NA	Pyrimidines and pyrimidine derivatives
1242	3	0.11	152.222	NA	NA	Pyrimidines and pyrimidine derivatives
1242	38	0.13	2.054	NA	NA	Pyrimidines and pyrimidine derivatives
1242	382	0.28	-64.008	NA	NA	Pyrimidines and pyrimidine derivatives
1242	409	0.41	-72.040	NA	NA	Pyrimidines and pyrimidine derivatives
1242	54	0.16	31.008	NA	NA	Pyrimidines and pyrimidine derivatives
1242	600	0.21	-25.992	NA	NA	Pyrimidines and pyrimidine derivatives
1242	67	0.17	-13.019	NA	NA	Pyrimidines and pyrimidine derivatives
1242	677	0.12	-240.065	NA	NA	Pyrimidines and pyrimidine derivatives
1242	742	0.11	70.021	NA	NA	Pyrimidines and pyrimidine derivatives
1242	747	0.14	-24.940	NA	NA	Pyrimidines and pyrimidine derivatives
1242	894	0.17	132.057	NA	NA	Pyrimidines and pyrimidine derivatives
