source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	332	0.13	-19.982	NA	NA	Pyrimidones
1129	894	0.15	12.000	NA	NA	Pyrimidones
1210	54	0.13	-98.058	NA	NA	Pyrimidones
1210	600	0.12	-155.058	NA	NA	Pyrimidones
1210	742	0.11	-59.045	NA	NA	Pyrimidones
1210	894	0.11	2.992	NA	NA	Pyrimidones
1242	38	0.13	2.054	NA	NA	Pyrimidones
1242	382	0.28	-64.008	NA	NA	Pyrimidones
1242	54	0.16	31.008	NA	NA	Pyrimidones
1242	600	0.21	-25.992	NA	NA	Pyrimidones
1242	677	0.12	-240.065	NA	NA	Pyrimidones
1242	742	0.11	70.021	NA	NA	Pyrimidones
1242	894	0.17	132.057	NA	NA	Pyrimidones
1276	1242	0.13	-1.979	NA	NA	Pyrimidones
1276	38	0.14	0.076	NA	NA	Pyrimidones
1276	382	0.18	-65.987	NA	NA	Pyrimidones
1276	54	0.11	29.029	NA	NA	Pyrimidones
1276	894	0.16	130.078	NA	NA	Pyrimidones
1430	883	0.14	-306.095	NA	NA	Pyrimidones
1432	1430	0.19	106.027	NA	NA	Pyrimidones
1432	883	0.18	-200.068	NA	NA	Pyrimidones
1679	1430	0.12	3.923	NA	NA	Pyrimidones
1679	1432	0.21	-102.104	NA	NA	Pyrimidones
1679	883	0.19	-302.172	NA	NA	Pyrimidones
1679	894	0.12	48.940	NA	NA	Pyrimidones
1757	1210	0.12	162.068	NA	NA	Pyrimidones
1757	1242	0.15	33.002	NA	NA	Pyrimidones
1757	1276	0.11	34.981	NA	NA	Pyrimidones
1757	332	0.12	133.078	NA	NA	Pyrimidones
1757	38	0.19	35.057	NA	NA	Pyrimidones
1757	382	0.20	-31.006	NA	NA	Pyrimidones
1757	54	0.14	64.010	NA	NA	Pyrimidones
1757	600	0.12	7.010	NA	NA	Pyrimidones
1757	677	0.15	-207.063	NA	NA	Pyrimidones
1757	742	0.14	103.023	NA	NA	Pyrimidones
1775	1210	0.12	41.034	NA	NA	Pyrimidones
1775	1757	0.25	-121.033	NA	NA	Pyrimidones
1775	332	0.12	12.044	NA	NA	Pyrimidones
1775	742	0.18	-18.010	NA	NA	Pyrimidones
1775	894	0.22	44.026	NA	NA	Pyrimidones
1796	1210	0.11	205.073	NA	NA	Pyrimidones
1796	1242	0.15	76.008	NA	NA	Pyrimidones
1796	1757	0.17	43.006	NA	NA	Pyrimidones
1796	1775	0.12	164.039	NA	NA	Pyrimidones
1796	38	0.12	78.062	NA	NA	Pyrimidones
1796	382	0.19	12.000	NA	NA	Pyrimidones
1796	54	0.13	107.016	NA	NA	Pyrimidones
1796	600	0.13	50.015	NA	NA	Pyrimidones
1796	677	0.17	-164.057	NA	NA	Pyrimidones
1796	894	0.17	208.065	NA	NA	Pyrimidones
1847	1210	0.11	171.076	NA	NA	Pyrimidones
1847	1757	0.19	9.009	NA	NA	Pyrimidones
1847	1775	0.12	130.042	NA	NA	Pyrimidones
1847	1796	0.39	-33.997	NA	NA	Pyrimidones
1847	38	0.12	44.065	NA	NA	Pyrimidones
1847	894	0.15	174.068	NA	NA	Pyrimidones
1878	1210	0.15	281.158	NA	NA	Pyrimidones
1878	1242	0.15	152.092	NA	NA	Pyrimidones
1878	1757	0.17	119.090	NA	NA	Pyrimidones
1878	1775	0.11	240.123	NA	NA	Pyrimidones
1878	1796	0.19	76.085	NA	NA	Pyrimidones
1878	1847	0.13	110.081	NA	NA	Pyrimidones
1878	382	0.12	88.084	NA	NA	Pyrimidones
1878	677	0.18	-87.973	NA	NA	Pyrimidones
1878	742	0.11	222.113	NA	NA	Pyrimidones
1878	894	0.19	284.150	NA	NA	Pyrimidones
1942	1210	0.22	186.086	NA	NA	Pyrimidones
1942	1242	0.18	57.021	NA	NA	Pyrimidones
1942	1430	0.11	144.061	NA	NA	Pyrimidones
1942	1679	0.13	140.138	NA	NA	Pyrimidones
1942	1757	0.12	24.018	NA	NA	Pyrimidones
1942	1775	0.15	145.052	NA	NA	Pyrimidones
1942	1796	0.13	-18.987	NA	NA	Pyrimidones
1942	1847	0.13	15.010	NA	NA	Pyrimidones
1942	1878	0.13	-95.072	NA	NA	Pyrimidones
1942	38	0.16	59.075	NA	NA	Pyrimidones
1942	382	0.13	-6.988	NA	NA	Pyrimidones
1942	54	0.19	88.028	NA	NA	Pyrimidones
1942	600	0.22	31.028	NA	NA	Pyrimidones
1942	677	0.14	-183.045	NA	NA	Pyrimidones
1942	894	0.14	189.078	NA	NA	Pyrimidones
2137	1757	0.11	145.070	NA	NA	Pyrimidones
2143	1590	0.15	44.001	NA	NA	Pyrimidones
2143	1679	0.12	415.219	NA	NA	Pyrimidones
2143	883	0.11	113.047	NA	NA	Pyrimidones
2348	1242	0.11	-124.053	NA	NA	Pyrimidones
2348	1757	0.16	-157.055	NA	NA	Pyrimidones
2348	1796	0.13	-200.061	NA	NA	Pyrimidones
2348	1847	0.14	-166.064	NA	NA	Pyrimidones
2348	382	0.11	-188.061	NA	NA	Pyrimidones
2348	54	0.12	-93.045	NA	NA	Pyrimidones
2348	677	0.12	-364.118	NA	NA	Pyrimidones
2450	1210	0.14	145.107	NA	NA	Pyrimidones
2450	1242	0.20	16.041	NA	NA	Pyrimidones
2450	1757	0.20	-16.961	NA	NA	Pyrimidones
2450	1775	0.14	104.072	NA	NA	Pyrimidones
2450	1878	0.24	-136.051	NA	NA	Pyrimidones
2450	382	0.11	-47.967	NA	NA	Pyrimidones
2450	894	0.17	148.098	NA	NA	Pyrimidones
2543	1129	0.12	-83.045	NA	NA	Pyrimidones
2543	1210	0.11	-74.037	NA	NA	Pyrimidones
2543	1242	0.19	-203.103	NA	NA	Pyrimidones
2543	1757	0.18	-236.105	NA	NA	Pyrimidones
