source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1050	236	0.40	-100.053	NA	NA	Sugar acids and derivatives
1050	272	0.42	-160.075	NA	NA	Sugar acids and derivatives
1050	280	0.15	286.083	NA	NA	Sugar acids and derivatives
1050	319	0.33	434.156	NA	NA	Sugar acids and derivatives
1050	322	0.17	286.084	NA	NA	Sugar acids and derivatives
1050	361	0.33	-130.064	NA	NA	Sugar acids and derivatives
1050	367	0.29	91.989	NA	NA	Sugar acids and derivatives
1050	555	0.18	101.972	NA	NA	Sugar acids and derivatives
1050	587	0.37	-132.079	NA	NA	Sugar acids and derivatives
1050	594	0.31	-72.058	NA	NA	Sugar acids and derivatives
1050	672	0.40	1.979	NA	NA	Sugar acids and derivatives
1050	684	0.34	62.000	NA	NA	Sugar acids and derivatives
1050	739	0.23	63.995	NA	NA	Sugar acids and derivatives
1050	757	0.35	-148.074	NA	NA	Sugar acids and derivatives
1050	802	0.33	-86.074	NA	NA	Sugar acids and derivatives
1050	810	0.34	76.016	NA	NA	Sugar acids and derivatives
1050	823	0.30	-28.032	NA	NA	Sugar acids and derivatives
1050	838	0.28	450.152	NA	NA	Sugar acids and derivatives
1050	862	0.11	448.137	NA	NA	Sugar acids and derivatives
1050	903	0.26	31.989	NA	NA	Sugar acids and derivatives
1050	916	0.25	60.021	NA	NA	Sugar acids and derivatives
1050	920	0.37	-132.079	NA	NA	Sugar acids and derivatives
1100	1050	0.20	0.036	NA	NA	Sugar acids and derivatives
1100	236	0.30	-100.017	NA	NA	Sugar acids and derivatives
1100	272	0.28	-160.038	NA	NA	Sugar acids and derivatives
1100	319	0.18	434.193	NA	NA	Sugar acids and derivatives
1100	322	0.13	286.120	NA	NA	Sugar acids and derivatives
1100	361	0.31	-130.027	NA	NA	Sugar acids and derivatives
1100	367	0.27	92.026	NA	NA	Sugar acids and derivatives
1100	482	0.26	-190.049	NA	NA	Sugar acids and derivatives
1100	555	0.22	102.008	NA	NA	Sugar acids and derivatives
1100	587	0.48	-132.043	NA	NA	Sugar acids and derivatives
1100	594	0.32	-72.022	NA	NA	Sugar acids and derivatives
1100	672	0.31	2.015	NA	NA	Sugar acids and derivatives
1100	684	0.29	62.036	NA	NA	Sugar acids and derivatives
1100	739	0.23	64.031	NA	NA	Sugar acids and derivatives
1100	757	0.25	-148.038	NA	NA	Sugar acids and derivatives
1100	802	0.38	-86.037	NA	NA	Sugar acids and derivatives
1100	810	0.44	76.052	NA	NA	Sugar acids and derivatives
1100	823	0.38	-27.995	NA	NA	Sugar acids and derivatives
1100	838	0.16	450.188	NA	NA	Sugar acids and derivatives
1100	903	0.44	32.026	NA	NA	Sugar acids and derivatives
1100	916	0.44	60.057	NA	NA	Sugar acids and derivatives
1100	920	0.35	-132.043	NA	NA	Sugar acids and derivatives
1106	1050	0.27	-55.951	NA	NA	Sugar acids and derivatives
1106	1100	0.34	-55.988	NA	NA	Sugar acids and derivatives
1106	236	0.47	-156.004	NA	NA	Sugar acids and derivatives
1106	272	0.32	-216.026	NA	NA	Sugar acids and derivatives
1106	319	0.17	378.205	NA	NA	Sugar acids and derivatives
1106	361	0.42	-186.015	NA	NA	Sugar acids and derivatives
1106	367	0.29	36.038	NA	NA	Sugar acids and derivatives
1106	482	0.26	-246.036	NA	NA	Sugar acids and derivatives
1106	555	0.20	46.020	NA	NA	Sugar acids and derivatives
1106	587	0.49	-188.031	NA	NA	Sugar acids and derivatives
1106	594	0.29	-128.009	NA	NA	Sugar acids and derivatives
1106	672	0.37	-53.972	NA	NA	Sugar acids and derivatives
1106	684	0.35	6.049	NA	NA	Sugar acids and derivatives
1106	739	0.15	8.044	NA	NA	Sugar acids and derivatives
1106	757	0.29	-204.026	NA	NA	Sugar acids and derivatives
1106	802	0.38	-142.025	NA	NA	Sugar acids and derivatives
1106	810	0.55	20.065	NA	NA	Sugar acids and derivatives
1106	823	0.38	-83.983	NA	NA	Sugar acids and derivatives
1106	838	0.16	394.201	NA	NA	Sugar acids and derivatives
1106	903	0.36	-23.962	NA	NA	Sugar acids and derivatives
1106	916	0.48	4.070	NA	NA	Sugar acids and derivatives
1106	920	0.43	-188.031	NA	NA	Sugar acids and derivatives
1138	1050	0.33	0.037	NA	NA	Sugar acids and derivatives
1138	1100	0.46	0.000	NA	NA	Sugar acids and derivatives
1138	1106	0.56	55.988	NA	NA	Sugar acids and derivatives
1138	236	0.46	-100.016	NA	NA	Sugar acids and derivatives
1138	272	0.32	-160.038	NA	NA	Sugar acids and derivatives
1138	319	0.16	434.193	NA	NA	Sugar acids and derivatives
1138	322	0.13	286.120	NA	NA	Sugar acids and derivatives
1138	361	0.39	-130.027	NA	NA	Sugar acids and derivatives
1138	367	0.30	92.026	NA	NA	Sugar acids and derivatives
1138	482	0.26	-190.049	NA	NA	Sugar acids and derivatives
1138	555	0.18	102.008	NA	NA	Sugar acids and derivatives
1138	587	0.59	-132.043	NA	NA	Sugar acids and derivatives
1138	594	0.33	-72.021	NA	NA	Sugar acids and derivatives
1138	672	0.40	2.016	NA	NA	Sugar acids and derivatives
1138	684	0.40	62.037	NA	NA	Sugar acids and derivatives
1138	739	0.20	64.032	NA	NA	Sugar acids and derivatives
1138	757	0.31	-148.038	NA	NA	Sugar acids and derivatives
1138	802	0.38	-86.037	NA	NA	Sugar acids and derivatives
1138	810	0.55	76.052	NA	NA	Sugar acids and derivatives
1138	823	0.56	-27.995	NA	NA	Sugar acids and derivatives
1138	838	0.16	450.189	NA	NA	Sugar acids and derivatives
1138	903	0.46	32.026	NA	NA	Sugar acids and derivatives
1138	916	0.50	60.057	NA	NA	Sugar acids and derivatives
1138	920	0.48	-132.043	NA	NA	Sugar acids and derivatives
1215	1050	0.21	-59.984	NA	NA	Sugar acids and derivatives
1215	1100	0.40	-60.021	NA	NA	Sugar acids and derivatives
1215	1106	0.39	-4.033	NA	NA	Sugar acids and derivatives
1215	1138	0.39	-60.021	NA	NA	Sugar acids and derivatives
1215	236	0.33	-160.037	NA	NA	Sugar acids and derivatives
1215	272	0.26	-220.059	NA	NA	Sugar acids and derivatives
1215	319	0.16	374.172	NA	NA	Sugar acids and derivatives
1215	322	0.12	226.099	NA	NA	Sugar acids and derivatives
1215	361	0.34	-190.048	NA	NA	Sugar acids and derivatives
1215	367	0.27	32.005	NA	NA	Sugar acids and derivatives
1215	482	0.26	-250.070	NA	NA	Sugar acids and derivatives
1215	555	0.20	41.987	NA	NA	Sugar acids and derivatives
1215	587	0.47	-192.064	NA	NA	Sugar acids and derivatives
1215	594	0.25	-132.042	NA	NA	Sugar acids and derivatives
1215	672	0.51	-58.005	NA	NA	Sugar acids and derivatives
1215	684	0.39	2.016	NA	NA	Sugar acids and derivatives
1215	739	0.17	4.011	NA	NA	Sugar acids and derivatives
1215	757	0.32	-208.059	NA	NA	Sugar acids and derivatives
1215	802	0.39	-146.058	NA	NA	Sugar acids and derivatives
1215	810	0.49	16.031	NA	NA	Sugar acids and derivatives
1215	823	0.38	-88.016	NA	NA	Sugar acids and derivatives
1215	838	0.16	390.168	NA	NA	Sugar acids and derivatives
1215	903	0.39	-27.995	NA	NA	Sugar acids and derivatives
1215	916	0.69	0.036	NA	NA	Sugar acids and derivatives
1215	920	0.37	-192.064	NA	NA	Sugar acids and derivatives
1255	272	0.17	-534.138	NA	NA	Sugar acids and derivatives
