source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1006	237	0.32	-14.016	NA	NA	Tertiary alcohols
1006	246	0.17	-13.980	NA	NA	Tertiary alcohols
1006	316	0.19	148.053	NA	NA	Tertiary alcohols
1006	320	0.23	242.116	NA	NA	Tertiary alcohols
1006	352	0.22	12.036	NA	NA	Tertiary alcohols
1006	362	0.13	342.204	NA	NA	Tertiary alcohols
1006	380	0.17	378.226	NA	NA	Tertiary alcohols
1006	392	0.18	190.121	NA	NA	Tertiary alcohols
1006	415	0.29	342.204	NA	NA	Tertiary alcohols
1006	417	0.27	12.000	NA	NA	Tertiary alcohols
1006	423	0.19	190.121	NA	NA	Tertiary alcohols
1006	427	0.22	344.220	NA	NA	Tertiary alcohols
1006	431	0.11	150.084	NA	NA	Tertiary alcohols
1006	446	0.37	242.116	NA	NA	Tertiary alcohols
1006	469	0.16	358.199	NA	NA	Tertiary alcohols
1006	496	0.20	170.095	NA	NA	Tertiary alcohols
1006	499	0.15	156.079	NA	NA	Tertiary alcohols
1006	506	0.13	300.121	NA	NA	Tertiary alcohols
1006	533	0.16	358.199	NA	NA	Tertiary alcohols
1006	537	0.28	-29.975	NA	NA	Tertiary alcohols
1006	541	0.14	170.035	NA	NA	Tertiary alcohols
1006	588	0.21	274.106	NA	NA	Tertiary alcohols
1006	589	0.17	158.095	NA	NA	Tertiary alcohols
1006	601	0.12	330.111	NA	NA	Tertiary alcohols
1006	608	0.21	304.093	NA	NA	Tertiary alcohols
1006	628	0.20	386.122	NA	NA	Tertiary alcohols
1006	631	0.14	166.079	NA	NA	Tertiary alcohols
1006	653	0.24	256.131	NA	NA	Tertiary alcohols
1006	655	0.21	248.176	NA	NA	Tertiary alcohols
1006	696	0.17	210.199	NA	NA	Tertiary alcohols
1006	714	0.17	332.162	NA	NA	Tertiary alcohols
1006	744	0.17	172.110	NA	NA	Tertiary alcohols
1006	766	0.14	142.100	NA	NA	Tertiary alcohols
1006	789	0.13	168.094	NA	NA	Tertiary alcohols
1006	804	0.12	156.079	NA	NA	Tertiary alcohols
1006	806	0.32	210.125	NA	NA	Tertiary alcohols
1006	818	0.18	346.163	NA	NA	Tertiary alcohols
1006	904	0.22	360.215	NA	NA	Tertiary alcohols
1006	914	0.12	314.116	NA	NA	Tertiary alcohols
1006	939	0.15	148.053	NA	NA	Tertiary alcohols
1006	953	0.14	342.205	NA	NA	Tertiary alcohols
1006	958	0.16	330.110	NA	NA	Tertiary alcohols
1006	974	0.13	268.094	NA	NA	Tertiary alcohols
1006	981	0.15	332.162	NA	NA	Tertiary alcohols
1006	984	0.11	314.137	NA	NA	Tertiary alcohols
1006	986	0.14	314.115	NA	NA	Tertiary alcohols
1006	991	0.15	200.105	NA	NA	Tertiary alcohols
1010	1006	0.11	-132.058	NA	NA	Tertiary alcohols
1010	237	0.11	-146.074	NA	NA	Tertiary alcohols
1010	240	0.29	15.995	NA	NA	Tertiary alcohols
1010	246	0.19	-146.037	NA	NA	Tertiary alcohols
1010	254	0.11	-136.016	NA	NA	Tertiary alcohols
1010	257	0.29	15.995	NA	NA	Tertiary alcohols
1010	283	0.12	370.089	NA	NA	Tertiary alcohols
1010	293	0.25	178.026	NA	NA	Tertiary alcohols
1010	298	0.27	178.026	NA	NA	Tertiary alcohols
1010	316	0.28	15.995	NA	NA	Tertiary alcohols
1010	320	0.16	110.058	NA	NA	Tertiary alcohols
1010	352	0.19	-120.022	NA	NA	Tertiary alcohols
1010	362	0.13	210.146	NA	NA	Tertiary alcohols
1010	392	0.15	58.063	NA	NA	Tertiary alcohols
1010	415	0.17	210.146	NA	NA	Tertiary alcohols
1010	416	0.32	178.026	NA	NA	Tertiary alcohols
1010	417	0.24	-120.058	NA	NA	Tertiary alcohols
1010	423	0.15	58.063	NA	NA	Tertiary alcohols
1010	427	0.15	212.162	NA	NA	Tertiary alcohols
1010	431	0.12	18.026	NA	NA	Tertiary alcohols
1010	446	0.11	110.058	NA	NA	Tertiary alcohols
1010	469	0.13	226.141	NA	NA	Tertiary alcohols
1010	496	0.12	38.037	NA	NA	Tertiary alcohols
1010	499	0.15	24.021	NA	NA	Tertiary alcohols
1010	506	0.12	168.063	NA	NA	Tertiary alcohols
1010	509	0.18	392.071	NA	NA	Tertiary alcohols
1010	533	0.13	226.141	NA	NA	Tertiary alcohols
1010	536	0.11	200.104	NA	NA	Tertiary alcohols
1010	537	0.15	-162.033	NA	NA	Tertiary alcohols
1010	541	0.19	37.977	NA	NA	Tertiary alcohols
1010	589	0.18	26.037	NA	NA	Tertiary alcohols
