source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1032	238	0.11	132.042	NA	NA	Tetrahydrofurans
1032	243	0.20	86.036	NA	NA	Tetrahydrofurans
1032	274	0.13	192.064	NA	NA	Tetrahydrofurans
1032	300	0.13	-238.068	NA	NA	Tetrahydrofurans
1032	317	0.26	-76.016	NA	NA	Tetrahydrofurans
1032	321	0.21	-422.194	NA	NA	Tetrahydrofurans
1032	349	0.16	-15.995	NA	NA	Tetrahydrofurans
1032	354	0.15	-11.984	NA	NA	Tetrahydrofurans
1032	355	0.26	-46.005	NA	NA	Tetrahydrofurans
1032	377	0.14	102.032	NA	NA	Tetrahydrofurans
1032	386	0.43	-46.005	NA	NA	Tetrahydrofurans
1032	395	0.11	-404.183	NA	NA	Tetrahydrofurans
1032	401	0.11	-14.000	NA	NA	Tetrahydrofurans
1032	444	0.15	-60.021	NA	NA	Tetrahydrofurans
1032	527	0.30	-46.005	NA	NA	Tetrahydrofurans
1032	54	0.13	-81.067	NA	NA	Tetrahydrofurans
1032	611	0.14	-86.073	NA	NA	Tetrahydrofurans
1032	621	0.19	146.058	NA	NA	Tetrahydrofurans
1032	676	0.19	-92.041	NA	NA	Tetrahydrofurans
1032	690	0.18	-44.026	NA	NA	Tetrahydrofurans
1032	800	0.25	-60.021	NA	NA	Tetrahydrofurans
1032	828	0.15	-41.994	NA	NA	Tetrahydrofurans
1032	831	0.11	-178.048	NA	NA	Tetrahydrofurans
1032	847	0.22	132.043	NA	NA	Tetrahydrofurans
1032	851	0.18	-208.058	NA	NA	Tetrahydrofurans
1032	974	0.17	-122.073	NA	NA	Tetrahydrofurans
1032	982	0.14	-222.073	NA	NA	Tetrahydrofurans
1032	984	0.33	-76.031	NA	NA	Tetrahydrofurans
1032	999	0.15	-11.984	NA	NA	Tetrahydrofurans
1036	1032	0.26	208.058	NA	NA	Tetrahydrofurans
1036	243	0.12	294.095	NA	NA	Tetrahydrofurans
1036	261	0.12	192.064	NA	NA	Tetrahydrofurans
1036	274	0.19	400.122	NA	NA	Tetrahydrofurans
1036	300	0.20	-30.010	NA	NA	Tetrahydrofurans
1036	317	0.13	132.042	NA	NA	Tetrahydrofurans
1036	321	0.15	-214.136	NA	NA	Tetrahydrofurans
1036	326	0.13	195.038	NA	NA	Tetrahydrofurans
1036	349	0.15	192.064	NA	NA	Tetrahydrofurans
1036	354	0.24	196.074	NA	NA	Tetrahydrofurans
1036	355	0.36	162.053	NA	NA	Tetrahydrofurans
1036	377	0.33	310.090	NA	NA	Tetrahydrofurans
1036	386	0.20	162.053	NA	NA	Tetrahydrofurans
1036	389	0.16	-30.011	NA	NA	Tetrahydrofurans
1036	395	0.11	-196.125	NA	NA	Tetrahydrofurans
1036	401	0.16	194.058	NA	NA	Tetrahydrofurans
1036	444	0.22	148.038	NA	NA	Tetrahydrofurans
1036	527	0.62	162.053	NA	NA	Tetrahydrofurans
1036	560	0.17	-30.046	NA	NA	Tetrahydrofurans
1036	621	0.13	354.116	NA	NA	Tetrahydrofurans
1036	690	0.27	164.032	NA	NA	Tetrahydrofurans
1036	768	0.17	194.058	NA	NA	Tetrahydrofurans
1036	800	0.12	148.038	NA	NA	Tetrahydrofurans
1036	828	0.23	166.064	NA	NA	Tetrahydrofurans
1036	831	0.34	30.011	NA	NA	Tetrahydrofurans
1036	847	0.16	340.101	NA	NA	Tetrahydrofurans
1036	851	0.32	0.000	NA	NA	Tetrahydrofurans
1036	982	0.26	-14.015	NA	NA	Tetrahydrofurans
1036	999	0.17	196.074	NA	NA	Tetrahydrofurans
1083	1032	0.36	-134.058	NA	NA	Tetrahydrofurans
1083	243	0.26	-48.022	NA	NA	Tetrahydrofurans
1083	274	0.13	58.005	NA	NA	Tetrahydrofurans
1083	300	0.11	-372.127	NA	NA	Tetrahydrofurans
1083	317	0.32	-210.074	NA	NA	Tetrahydrofurans
1083	321	0.24	-556.252	NA	NA	Tetrahydrofurans
1083	326	0.11	-147.079	NA	NA	Tetrahydrofurans
1083	349	0.18	-150.053	NA	NA	Tetrahydrofurans
1083	354	0.20	-146.043	NA	NA	Tetrahydrofurans
1083	355	0.29	-180.063	NA	NA	Tetrahydrofurans
1083	377	0.12	-32.027	NA	NA	Tetrahydrofurans
1083	386	0.28	-180.063	NA	NA	Tetrahydrofurans
1083	395	0.13	-538.241	NA	NA	Tetrahydrofurans
1083	401	0.11	-148.058	NA	NA	Tetrahydrofurans
1083	444	0.13	-194.079	NA	NA	Tetrahydrofurans
1083	527	0.14	-180.063	NA	NA	Tetrahydrofurans
1083	611	0.23	-220.131	NA	NA	Tetrahydrofurans
1083	621	0.23	12.000	NA	NA	Tetrahydrofurans
1083	676	0.30	-226.099	NA	NA	Tetrahydrofurans
1083	690	0.14	-178.084	NA	NA	Tetrahydrofurans
1083	768	0.11	-148.058	NA	NA	Tetrahydrofurans
1083	800	0.22	-194.079	NA	NA	Tetrahydrofurans
1083	828	0.15	-176.053	NA	NA	Tetrahydrofurans
