source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1006	237	0.32	-14.016	NA	NA	Tricarboxylic acids and derivatives
1006	321	0.32	-32.026	NA	NA	Tricarboxylic acids and derivatives
1006	501	0.13	212.178	NA	NA	Tricarboxylic acids and derivatives
1006	724	0.13	282.220	NA	NA	Tricarboxylic acids and derivatives
1069	283	0.11	170.081	NA	NA	Tricarboxylic acids and derivatives
1069	293	0.23	-21.982	NA	NA	Tricarboxylic acids and derivatives
1069	298	0.21	-21.982	NA	NA	Tricarboxylic acids and derivatives
1069	416	0.34	-21.982	NA	NA	Tricarboxylic acids and derivatives
1069	598	0.30	-0.000	NA	NA	Tricarboxylic acids and derivatives
1103	203	0.30	-156.078	NA	NA	Tricarboxylic acids and derivatives
1103	293	0.12	-72.187	NA	NA	Tricarboxylic acids and derivatives
1103	501	0.33	-170.094	NA	NA	Tricarboxylic acids and derivatives
1103	606	0.30	14.016	NA	NA	Tricarboxylic acids and derivatives
1103	724	0.25	-100.052	NA	NA	Tricarboxylic acids and derivatives
1234	1103	0.22	142.062	NA	NA	Tricarboxylic acids and derivatives
1234	203	0.29	-14.016	NA	NA	Tricarboxylic acids and derivatives
1234	501	0.35	-28.031	NA	NA	Tricarboxylic acids and derivatives
1234	606	0.37	156.078	NA	NA	Tricarboxylic acids and derivatives
1234	724	0.27	42.010	NA	NA	Tricarboxylic acids and derivatives
1323	1006	0.19	-306.126	NA	NA	Tricarboxylic acids and derivatives
1323	237	0.11	-320.141	NA	NA	Tricarboxylic acids and derivatives
1323	293	0.34	3.958	NA	NA	Tricarboxylic acids and derivatives
1323	298	0.23	3.958	NA	NA	Tricarboxylic acids and derivatives
1323	321	0.13	-338.152	NA	NA	Tricarboxylic acids and derivatives
1323	322	0.11	70.026	NA	NA	Tricarboxylic acids and derivatives
1323	416	0.22	3.958	NA	NA	Tricarboxylic acids and derivatives
1323	501	0.13	-93.948	NA	NA	Tricarboxylic acids and derivatives
1323	598	0.23	25.941	NA	NA	Tricarboxylic acids and derivatives
1323	724	0.12	-23.906	NA	NA	Tricarboxylic acids and derivatives
1477	1006	0.35	15.995	NA	NA	Tricarboxylic acids and derivatives
1477	1323	0.12	322.121	NA	NA	Tricarboxylic acids and derivatives
1477	237	0.26	1.979	NA	NA	Tricarboxylic acids and derivatives
1477	298	0.12	326.079	NA	NA	Tricarboxylic acids and derivatives
1477	321	0.36	-16.031	NA	NA	Tricarboxylic acids and derivatives
1477	501	0.14	228.173	NA	NA	Tricarboxylic acids and derivatives
1477	598	0.14	348.061	NA	NA	Tricarboxylic acids and derivatives
1477	724	0.15	298.215	NA	NA	Tricarboxylic acids and derivatives
1495	1006	0.57	-0.000	NA	NA	Tricarboxylic acids and derivatives
1495	1323	0.17	306.126	NA	NA	Tricarboxylic acids and derivatives
1495	1477	0.35	-15.995	NA	NA	Tricarboxylic acids and derivatives
1495	237	0.24	-14.016	NA	NA	Tricarboxylic acids and derivatives
1495	298	0.14	310.084	NA	NA	Tricarboxylic acids and derivatives
1495	321	0.29	-32.026	NA	NA	Tricarboxylic acids and derivatives
1495	322	0.14	376.152	NA	NA	Tricarboxylic acids and derivatives
1495	416	0.12	310.084	NA	NA	Tricarboxylic acids and derivatives
1495	598	0.14	332.066	NA	NA	Tricarboxylic acids and derivatives
1495	724	0.13	282.220	NA	NA	Tricarboxylic acids and derivatives
1736	1069	0.24	0.000	NA	NA	Tricarboxylic acids and derivatives
1736	1323	0.20	-25.941	NA	NA	Tricarboxylic acids and derivatives
1736	283	0.11	170.081	NA	NA	Tricarboxylic acids and derivatives
1736	293	0.26	-21.982	NA	NA	Tricarboxylic acids and derivatives
1736	298	0.33	-21.982	NA	NA	Tricarboxylic acids and derivatives
1736	322	0.12	44.086	NA	NA	Tricarboxylic acids and derivatives
1736	416	0.48	-21.982	NA	NA	Tricarboxylic acids and derivatives
1736	598	0.39	-0.000	NA	NA	Tricarboxylic acids and derivatives
1739	1006	0.17	-234.160	NA	NA	Tricarboxylic acids and derivatives
1739	1103	0.15	148.112	NA	NA	Tricarboxylic acids and derivatives
1739	1234	0.11	6.049	NA	NA	Tricarboxylic acids and derivatives
1739	1323	0.14	71.966	NA	NA	Tricarboxylic acids and derivatives
1739	1477	0.21	-250.155	NA	NA	Tricarboxylic acids and derivatives
1739	1495	0.29	-234.160	NA	NA	Tricarboxylic acids and derivatives
1739	237	0.13	-248.176	NA	NA	Tricarboxylic acids and derivatives
1739	298	0.14	75.924	NA	NA	Tricarboxylic acids and derivatives
1739	321	0.14	-266.186	NA	NA	Tricarboxylic acids and derivatives
1739	501	0.19	-21.982	NA	NA	Tricarboxylic acids and derivatives
1739	606	0.13	162.128	NA	NA	Tricarboxylic acids and derivatives
1739	724	0.14	48.060	NA	NA	Tricarboxylic acids and derivatives
1870	1006	0.15	-224.215	NA	NA	Tricarboxylic acids and derivatives
1870	1103	0.17	158.057	NA	NA	Tricarboxylic acids and derivatives
1870	1234	0.36	15.995	NA	NA	Tricarboxylic acids and derivatives
1870	1477	0.16	-240.210	NA	NA	Tricarboxylic acids and derivatives
1870	1495	0.17	-224.215	NA	NA	Tricarboxylic acids and derivatives
1870	1739	0.17	9.945	NA	NA	Tricarboxylic acids and derivatives
1870	203	0.28	1.979	NA	NA	Tricarboxylic acids and derivatives
1870	298	0.11	85.869	NA	NA	Tricarboxylic acids and derivatives
1870	501	0.34	-12.037	NA	NA	Tricarboxylic acids and derivatives
1870	606	0.30	172.073	NA	NA	Tricarboxylic acids and derivatives
1870	724	0.24	58.005	NA	NA	Tricarboxylic acids and derivatives
1871	1103	0.13	56.026	NA	NA	Tricarboxylic acids and derivatives
1871	1477	0.14	-342.240	NA	NA	Tricarboxylic acids and derivatives
1871	1495	0.11	-326.246	NA	NA	Tricarboxylic acids and derivatives
1871	1739	0.13	-92.086	NA	NA	Tricarboxylic acids and derivatives
1871	1870	0.14	-102.031	NA	NA	Tricarboxylic acids and derivatives
1871	203	0.14	-100.052	NA	NA	Tricarboxylic acids and derivatives
1871	501	0.13	-114.067	NA	NA	Tricarboxylic acids and derivatives
1871	606	0.17	70.042	NA	NA	Tricarboxylic acids and derivatives
1871	724	0.15	-44.026	NA	NA	Tricarboxylic acids and derivatives
1874	1006	0.11	-238.230	NA	NA	Tricarboxylic acids and derivatives
1874	1103	0.18	144.042	NA	NA	Tricarboxylic acids and derivatives
1874	1234	0.37	1.979	NA	NA	Tricarboxylic acids and derivatives
1874	1477	0.12	-254.225	NA	NA	Tricarboxylic acids and derivatives
1874	1739	0.12	-4.070	NA	NA	Tricarboxylic acids and derivatives
1874	1870	0.40	-14.015	NA	NA	Tricarboxylic acids and derivatives
1874	203	0.36	-12.037	NA	NA	Tricarboxylic acids and derivatives
1874	501	0.27	-26.052	NA	NA	Tricarboxylic acids and derivatives
1874	606	0.28	158.058	NA	NA	Tricarboxylic acids and derivatives
1874	724	0.26	43.990	NA	NA	Tricarboxylic acids and derivatives
2182	1006	0.11	-224.215	NA	NA	Tricarboxylic acids and derivatives
2182	1103	0.23	158.057	NA	NA	Tricarboxylic acids and derivatives
2182	1234	0.39	15.995	NA	NA	Tricarboxylic acids and derivatives
2182	1477	0.11	-240.209	NA	NA	Tricarboxylic acids and derivatives
2182	1870	0.54	0.000	NA	NA	Tricarboxylic acids and derivatives
2182	1874	0.36	14.015	NA	NA	Tricarboxylic acids and derivatives
2182	203	0.34	1.979	NA	NA	Tricarboxylic acids and derivatives
2182	321	0.11	-256.241	NA	NA	Tricarboxylic acids and derivatives
2182	501	0.27	-12.036	NA	NA	Tricarboxylic acids and derivatives
2182	606	0.30	172.073	NA	NA	Tricarboxylic acids and derivatives
2182	724	0.22	58.005	NA	NA	Tricarboxylic acids and derivatives
2236	1103	0.18	17.974	NA	NA	Tricarboxylic acids and derivatives
2236	1234	0.33	-124.088	NA	NA	Tricarboxylic acids and derivatives
2236	1870	0.31	-140.083	NA	NA	Tricarboxylic acids and derivatives
2236	1874	0.29	-126.067	NA	NA	Tricarboxylic acids and derivatives
2236	203	0.39	-138.104	NA	NA	Tricarboxylic acids and derivatives
2236	2182	0.32	-140.083	NA	NA	Tricarboxylic acids and derivatives
2236	501	0.30	-152.119	NA	NA	Tricarboxylic acids and derivatives
2236	606	0.40	31.990	NA	NA	Tricarboxylic acids and derivatives
2236	724	0.23	-82.078	NA	NA	Tricarboxylic acids and derivatives
2237	1006	0.15	-306.126	NA	NA	Tricarboxylic acids and derivatives
2237	1323	0.46	-0.000	NA	NA	Tricarboxylic acids and derivatives
2237	1477	0.14	-322.121	NA	NA	Tricarboxylic acids and derivatives
2237	1495	0.20	-306.126	NA	NA	Tricarboxylic acids and derivatives
2237	1736	0.17	25.940	NA	NA	Tricarboxylic acids and derivatives
2237	1739	0.17	-71.966	NA	NA	Tricarboxylic acids and derivatives
2237	237	0.15	-320.142	NA	NA	Tricarboxylic acids and derivatives
2237	293	0.25	3.958	NA	NA	Tricarboxylic acids and derivatives
2237	298	0.19	3.958	NA	NA	Tricarboxylic acids and derivatives
2237	321	0.15	-338.152	NA	NA	Tricarboxylic acids and derivatives
2237	416	0.28	3.958	NA	NA	Tricarboxylic acids and derivatives
2237	501	0.11	-93.948	NA	NA	Tricarboxylic acids and derivatives
2237	598	0.24	25.940	NA	NA	Tricarboxylic acids and derivatives
2307	1006	0.13	-268.219	NA	NA	Tricarboxylic acids and derivatives
2307	1234	0.20	-28.010	NA	NA	Tricarboxylic acids and derivatives
2307	1477	0.16	-284.214	NA	NA	Tricarboxylic acids and derivatives
2307	1495	0.14	-268.219	NA	NA	Tricarboxylic acids and derivatives
2307	1870	0.19	-44.004	NA	NA	Tricarboxylic acids and derivatives
2307	1871	0.18	58.026	NA	NA	Tricarboxylic acids and derivatives
2307	1874	0.17	-29.989	NA	NA	Tricarboxylic acids and derivatives
2307	203	0.14	-42.026	NA	NA	Tricarboxylic acids and derivatives
2307	2182	0.22	-44.005	NA	NA	Tricarboxylic acids and derivatives
2307	2236	0.19	96.078	NA	NA	Tricarboxylic acids and derivatives
2307	237	0.16	-282.235	NA	NA	Tricarboxylic acids and derivatives
2307	321	0.11	-300.245	NA	NA	Tricarboxylic acids and derivatives
2307	501	0.18	-56.041	NA	NA	Tricarboxylic acids and derivatives
2307	606	0.22	128.068	NA	NA	Tricarboxylic acids and derivatives
2307	724	0.11	14.001	NA	NA	Tricarboxylic acids and derivatives
2430	1477	0.13	-120.022	NA	NA	Tricarboxylic acids and derivatives
2430	1495	0.16	-104.027	NA	NA	Tricarboxylic acids and derivatives
2430	1736	0.11	228.040	NA	NA	Tricarboxylic acids and derivatives
2521	1006	0.13	-184.220	NA	NA	Tricarboxylic acids and derivatives
2521	1103	0.17	198.052	NA	NA	Tricarboxylic acids and derivatives
2521	1234	0.18	55.990	NA	NA	Tricarboxylic acids and derivatives
2521	1323	0.20	121.906	NA	NA	Tricarboxylic acids and derivatives
2521	1477	0.11	-200.214	NA	NA	Tricarboxylic acids and derivatives
2521	1495	0.12	-184.220	NA	NA	Tricarboxylic acids and derivatives
2521	1736	0.13	147.847	NA	NA	Tricarboxylic acids and derivatives
2521	1739	0.13	49.940	NA	NA	Tricarboxylic acids and derivatives
2521	1870	0.15	39.995	NA	NA	Tricarboxylic acids and derivatives
2521	1874	0.18	54.010	NA	NA	Tricarboxylic acids and derivatives
2521	203	0.13	41.974	NA	NA	Tricarboxylic acids and derivatives
2521	2182	0.13	39.995	NA	NA	Tricarboxylic acids and derivatives
2521	2236	0.18	180.078	NA	NA	Tricarboxylic acids and derivatives
2521	2237	0.29	121.906	NA	NA	Tricarboxylic acids and derivatives
2521	237	0.13	-198.235	NA	NA	Tricarboxylic acids and derivatives
2521	293	0.23	125.865	NA	NA	Tricarboxylic acids and derivatives
2521	298	0.15	125.865	NA	NA	Tricarboxylic acids and derivatives
2521	321	0.13	-216.246	NA	NA	Tricarboxylic acids and derivatives
2521	416	0.19	125.865	NA	NA	Tricarboxylic acids and derivatives
2521	501	0.18	27.959	NA	NA	Tricarboxylic acids and derivatives
2521	598	0.15	147.847	NA	NA	Tricarboxylic acids and derivatives
2521	606	0.22	212.068	NA	NA	Tricarboxylic acids and derivatives
2521	724	0.21	98.000	NA	NA	Tricarboxylic acids and derivatives
2677	1006	0.23	-152.048	NA	NA	Tricarboxylic acids and derivatives
2677	1323	0.24	154.078	NA	NA	Tricarboxylic acids and derivatives
2677	1477	0.23	-168.043	NA	NA	Tricarboxylic acids and derivatives
2677	1495	0.18	-152.048	NA	NA	Tricarboxylic acids and derivatives
2677	1736	0.13	180.018	NA	NA	Tricarboxylic acids and derivatives
2677	1739	0.11	82.112	NA	NA	Tricarboxylic acids and derivatives
2677	2237	0.19	154.078	NA	NA	Tricarboxylic acids and derivatives
2677	237	0.12	-166.064	NA	NA	Tricarboxylic acids and derivatives
2677	2521	0.15	32.171	NA	NA	Tricarboxylic acids and derivatives
2677	293	0.14	158.036	NA	NA	Tricarboxylic acids and derivatives
2677	298	0.20	158.036	NA	NA	Tricarboxylic acids and derivatives
2677	321	0.26	-184.075	NA	NA	Tricarboxylic acids and derivatives
2677	322	0.12	224.104	NA	NA	Tricarboxylic acids and derivatives
2677	416	0.16	158.036	NA	NA	Tricarboxylic acids and derivatives
2677	501	0.12	60.130	NA	NA	Tricarboxylic acids and derivatives
2677	598	0.19	180.018	NA	NA	Tricarboxylic acids and derivatives
2677	724	0.12	130.172	NA	NA	Tricarboxylic acids and derivatives
2701	1006	0.16	-294.089	NA	NA	Tricarboxylic acids and derivatives
2701	1069	0.17	37.977	NA	NA	Tricarboxylic acids and derivatives
2701	1323	0.27	12.036	NA	NA	Tricarboxylic acids and derivatives
2701	1477	0.12	-310.084	NA	NA	Tricarboxylic acids and derivatives
2701	1495	0.19	-294.089	NA	NA	Tricarboxylic acids and derivatives
2701	1736	0.20	37.977	NA	NA	Tricarboxylic acids and derivatives
2701	1739	0.14	-59.930	NA	NA	Tricarboxylic acids and derivatives
2701	1870	0.16	-69.875	NA	NA	Tricarboxylic acids and derivatives
2701	2237	0.19	12.036	NA	NA	Tricarboxylic acids and derivatives
2701	2521	0.16	-109.870	NA	NA	Tricarboxylic acids and derivatives
2701	2677	0.20	-142.041	NA	NA	Tricarboxylic acids and derivatives
2701	283	0.11	208.057	NA	NA	Tricarboxylic acids and derivatives
2701	293	0.40	15.995	NA	NA	Tricarboxylic acids and derivatives
2701	298	0.30	15.995	NA	NA	Tricarboxylic acids and derivatives
2701	321	0.19	-326.116	NA	NA	Tricarboxylic acids and derivatives
2701	416	0.37	15.995	NA	NA	Tricarboxylic acids and derivatives
2701	501	0.13	-81.911	NA	NA	Tricarboxylic acids and derivatives
2701	598	0.24	37.977	NA	NA	Tricarboxylic acids and derivatives
2701	724	0.12	-11.870	NA	NA	Tricarboxylic acids and derivatives
2808	1006	0.13	-296.214	NA	NA	Tricarboxylic acids and derivatives
2808	1234	0.11	-56.005	NA	NA	Tricarboxylic acids and derivatives
2808	1871	0.11	30.031	NA	NA	Tricarboxylic acids and derivatives
2808	2307	0.12	-27.995	NA	NA	Tricarboxylic acids and derivatives
2808	2521	0.15	-111.995	NA	NA	Tricarboxylic acids and derivatives
2808	321	0.11	-328.241	NA	NA	Tricarboxylic acids and derivatives
2808	501	0.15	-84.036	NA	NA	Tricarboxylic acids and derivatives
2808	606	0.14	100.073	NA	NA	Tricarboxylic acids and derivatives
2830	1069	0.11	-194.103	NA	NA	Tricarboxylic acids and derivatives
2830	1477	0.12	-542.164	NA	NA	Tricarboxylic acids and derivatives
2830	1495	0.16	-526.169	NA	NA	Tricarboxylic acids and derivatives
2830	1736	0.12	-194.103	NA	NA	Tricarboxylic acids and derivatives
2830	2237	0.11	-220.043	NA	NA	Tricarboxylic acids and derivatives
2830	2430	0.11	-422.142	NA	NA	Tricarboxylic acids and derivatives
2830	2701	0.13	-232.080	NA	NA	Tricarboxylic acids and derivatives
2830	283	0.11	-24.022	NA	NA	Tricarboxylic acids and derivatives
2830	293	0.16	-216.085	NA	NA	Tricarboxylic acids and derivatives
2830	298	0.19	-216.085	NA	NA	Tricarboxylic acids and derivatives
2830	322	0.12	-150.017	NA	NA	Tricarboxylic acids and derivatives
2830	416	0.26	-216.085	NA	NA	Tricarboxylic acids and derivatives
2830	598	0.18	-194.103	NA	NA	Tricarboxylic acids and derivatives
2885	1006	0.25	-108.022	NA	NA	Tricarboxylic acids and derivatives
2885	1323	0.13	198.104	NA	NA	Tricarboxylic acids and derivatives
2885	1477	0.27	-124.017	NA	NA	Tricarboxylic acids and derivatives
2885	1495	0.22	-108.022	NA	NA	Tricarboxylic acids and derivatives
2885	1736	0.15	224.044	NA	NA	Tricarboxylic acids and derivatives
2885	1739	0.11	126.138	NA	NA	Tricarboxylic acids and derivatives
2885	1870	0.14	116.193	NA	NA	Tricarboxylic acids and derivatives
2885	2182	0.11	116.193	NA	NA	Tricarboxylic acids and derivatives
2885	2237	0.18	198.104	NA	NA	Tricarboxylic acids and derivatives
2885	2307	0.11	160.197	NA	NA	Tricarboxylic acids and derivatives
2885	237	0.20	-122.037	NA	NA	Tricarboxylic acids and derivatives
2885	2430	0.14	-3.995	NA	NA	Tricarboxylic acids and derivatives
2885	2521	0.12	76.198	NA	NA	Tricarboxylic acids and derivatives
2885	2677	0.21	44.026	NA	NA	Tricarboxylic acids and derivatives
2885	2701	0.13	186.068	NA	NA	Tricarboxylic acids and derivatives
2885	2830	0.16	418.147	NA	NA	Tricarboxylic acids and derivatives
2885	293	0.12	202.062	NA	NA	Tricarboxylic acids and derivatives
2885	298	0.12	202.062	NA	NA	Tricarboxylic acids and derivatives
2885	321	0.24	-140.048	NA	NA	Tricarboxylic acids and derivatives
2885	322	0.12	268.130	NA	NA	Tricarboxylic acids and derivatives
2885	416	0.20	202.062	NA	NA	Tricarboxylic acids and derivatives
2885	598	0.14	224.044	NA	NA	Tricarboxylic acids and derivatives
293	283	0.12	192.063	NA	NA	Tricarboxylic acids and derivatives
298	283	0.12	192.063	NA	NA	Tricarboxylic acids and derivatives
298	293	0.48	-0.000	NA	NA	Tricarboxylic acids and derivatives
3031	1477	0.11	-356.256	NA	NA	Tricarboxylic acids and derivatives
3031	1870	0.12	-116.046	NA	NA	Tricarboxylic acids and derivatives
3031	1871	0.47	-14.015	NA	NA	Tricarboxylic acids and derivatives
3031	203	0.15	-114.068	NA	NA	Tricarboxylic acids and derivatives
3031	2182	0.11	-116.046	NA	NA	Tricarboxylic acids and derivatives
3031	501	0.12	-128.083	NA	NA	Tricarboxylic acids and derivatives
3046	1323	0.25	94.080	NA	NA	Tricarboxylic acids and derivatives
3046	1477	0.15	-228.040	NA	NA	Tricarboxylic acids and derivatives
3046	1495	0.16	-212.045	NA	NA	Tricarboxylic acids and derivatives
3046	1736	0.24	120.021	NA	NA	Tricarboxylic acids and derivatives
3046	1739	0.13	22.115	NA	NA	Tricarboxylic acids and derivatives
3046	2237	0.19	94.080	NA	NA	Tricarboxylic acids and derivatives
3046	237	0.13	-226.061	NA	NA	Tricarboxylic acids and derivatives
3046	2430	0.13	-108.019	NA	NA	Tricarboxylic acids and derivatives
3046	2521	0.15	-27.826	NA	NA	Tricarboxylic acids and derivatives
3046	2677	0.29	-59.997	NA	NA	Tricarboxylic acids and derivatives
3046	2701	0.22	82.044	NA	NA	Tricarboxylic acids and derivatives
3046	2830	0.14	314.124	NA	NA	Tricarboxylic acids and derivatives
3046	2885	0.26	-104.024	NA	NA	Tricarboxylic acids and derivatives
3046	293	0.13	98.039	NA	NA	Tricarboxylic acids and derivatives
3046	298	0.13	98.039	NA	NA	Tricarboxylic acids and derivatives
3046	321	0.21	-244.072	NA	NA	Tricarboxylic acids and derivatives
3046	322	0.12	164.107	NA	NA	Tricarboxylic acids and derivatives
3046	416	0.17	98.039	NA	NA	Tricarboxylic acids and derivatives
3046	598	0.17	120.021	NA	NA	Tricarboxylic acids and derivatives
3106	1006	0.13	-220.183	NA	NA	Tricarboxylic acids and derivatives
3106	1103	0.15	162.089	NA	NA	Tricarboxylic acids and derivatives
3106	1234	0.17	20.027	NA	NA	Tricarboxylic acids and derivatives
3106	1323	0.13	85.943	NA	NA	Tricarboxylic acids and derivatives
3106	1477	0.17	-236.178	NA	NA	Tricarboxylic acids and derivatives
3106	1495	0.19	-220.183	NA	NA	Tricarboxylic acids and derivatives
3106	1739	0.24	13.977	NA	NA	Tricarboxylic acids and derivatives
3106	1870	0.27	4.032	NA	NA	Tricarboxylic acids and derivatives
3106	1871	0.13	106.063	NA	NA	Tricarboxylic acids and derivatives
3106	1874	0.17	18.047	NA	NA	Tricarboxylic acids and derivatives
3106	203	0.11	6.011	NA	NA	Tricarboxylic acids and derivatives
3106	2182	0.21	4.032	NA	NA	Tricarboxylic acids and derivatives
3106	2236	0.13	144.115	NA	NA	Tricarboxylic acids and derivatives
3106	2237	0.13	85.943	NA	NA	Tricarboxylic acids and derivatives
3106	2307	0.18	48.037	NA	NA	Tricarboxylic acids and derivatives
3106	237	0.15	-234.198	NA	NA	Tricarboxylic acids and derivatives
3106	293	0.13	89.902	NA	NA	Tricarboxylic acids and derivatives
3106	298	0.11	89.902	NA	NA	Tricarboxylic acids and derivatives
3106	321	0.11	-252.209	NA	NA	Tricarboxylic acids and derivatives
3106	501	0.19	-8.005	NA	NA	Tricarboxylic acids and derivatives
3106	606	0.16	176.105	NA	NA	Tricarboxylic acids and derivatives
3106	724	0.17	62.037	NA	NA	Tricarboxylic acids and derivatives
3140	1006	0.18	-290.225	NA	NA	Tricarboxylic acids and derivatives
3140	1103	0.24	92.047	NA	NA	Tricarboxylic acids and derivatives
3140	1323	0.14	15.901	NA	NA	Tricarboxylic acids and derivatives
3140	1477	0.26	-306.220	NA	NA	Tricarboxylic acids and derivatives
3140	1495	0.33	-290.225	NA	NA	Tricarboxylic acids and derivatives
3140	1739	0.27	-56.065	NA	NA	Tricarboxylic acids and derivatives
3140	1870	0.18	-66.010	NA	NA	Tricarboxylic acids and derivatives
3140	1871	0.29	36.021	NA	NA	Tricarboxylic acids and derivatives
3140	1874	0.11	-51.995	NA	NA	Tricarboxylic acids and derivatives
3140	203	0.11	-64.031	NA	NA	Tricarboxylic acids and derivatives
3140	2182	0.13	-66.010	NA	NA	Tricarboxylic acids and derivatives
3140	2236	0.18	74.072	NA	NA	Tricarboxylic acids and derivatives
3140	2237	0.12	15.901	NA	NA	Tricarboxylic acids and derivatives
3140	237	0.16	-304.241	NA	NA	Tricarboxylic acids and derivatives
3140	2430	0.14	-186.198	NA	NA	Tricarboxylic acids and derivatives
3140	2521	0.16	-106.005	NA	NA	Tricarboxylic acids and derivatives
3140	2677	0.11	-138.177	NA	NA	Tricarboxylic acids and derivatives
3140	2701	0.13	3.865	NA	NA	Tricarboxylic acids and derivatives
3140	2885	0.13	-182.203	NA	NA	Tricarboxylic acids and derivatives
3140	298	0.13	19.859	NA	NA	Tricarboxylic acids and derivatives
3140	3031	0.16	50.036	NA	NA	Tricarboxylic acids and derivatives
3140	3046	0.16	-78.179	NA	NA	Tricarboxylic acids and derivatives
3140	3106	0.22	-70.042	NA	NA	Tricarboxylic acids and derivatives
3140	321	0.15	-322.251	NA	NA	Tricarboxylic acids and derivatives
3140	501	0.25	-78.047	NA	NA	Tricarboxylic acids and derivatives
3140	606	0.27	106.063	NA	NA	Tricarboxylic acids and derivatives
3140	724	0.20	-8.005	NA	NA	Tricarboxylic acids and derivatives
321	237	0.35	18.011	NA	NA	Tricarboxylic acids and derivatives
3654	1103	0.12	-4.083	NA	NA	Tricarboxylic acids and derivatives
3654	1234	0.14	-146.146	NA	NA	Tricarboxylic acids and derivatives
3654	1477	0.13	-402.350	NA	NA	Tricarboxylic acids and derivatives
3654	1739	0.16	-152.195	NA	NA	Tricarboxylic acids and derivatives
3654	1871	0.22	-60.109	NA	NA	Tricarboxylic acids and derivatives
3654	2307	0.20	-118.136	NA	NA	Tricarboxylic acids and derivatives
3654	237	0.12	-400.371	NA	NA	Tricarboxylic acids and derivatives
3654	3031	0.12	-46.094	NA	NA	Tricarboxylic acids and derivatives
3654	3106	0.20	-166.172	NA	NA	Tricarboxylic acids and derivatives
3654	3140	0.18	-96.130	NA	NA	Tricarboxylic acids and derivatives
3654	724	0.13	-104.135	NA	NA	Tricarboxylic acids and derivatives
3707	1006	0.13	-26.052	NA	NA	Tricarboxylic acids and derivatives
3707	1103	0.16	356.219	NA	NA	Tricarboxylic acids and derivatives
3707	1234	0.15	214.157	NA	NA	Tricarboxylic acids and derivatives
3707	1477	0.14	-42.047	NA	NA	Tricarboxylic acids and derivatives
3707	1870	0.18	198.163	NA	NA	Tricarboxylic acids and derivatives
3707	1871	0.21	300.193	NA	NA	Tricarboxylic acids and derivatives
3707	1874	0.21	212.178	NA	NA	Tricarboxylic acids and derivatives
3707	203	0.34	200.141	NA	NA	Tricarboxylic acids and derivatives
3707	2182	0.25	198.162	NA	NA	Tricarboxylic acids and derivatives
3707	2236	0.15	338.245	NA	NA	Tricarboxylic acids and derivatives
3707	2307	0.17	242.167	NA	NA	Tricarboxylic acids and derivatives
3707	2808	0.11	270.162	NA	NA	Tricarboxylic acids and derivatives
3707	2885	0.11	81.970	NA	NA	Tricarboxylic acids and derivatives
