source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1023	107	0.23	96.094	NA	NA	Unsaturated fatty acids
1023	127	0.13	0.037	NA	NA	Unsaturated fatty acids
1023	168	0.19	102.105	NA	NA	Unsaturated fatty acids
1023	215	0.15	110.073	NA	NA	Unsaturated fatty acids
1023	221	0.13	-30.011	NA	NA	Unsaturated fatty acids
1023	229	0.22	68.099	NA	NA	Unsaturated fatty acids
1023	231	0.14	-15.995	NA	NA	Unsaturated fatty acids
1023	251	0.17	84.094	NA	NA	Unsaturated fatty acids
1023	309	0.15	-112.126	NA	NA	Unsaturated fatty acids
1023	318	0.22	13.980	NA	NA	Unsaturated fatty acids
1023	324	0.27	100.089	NA	NA	Unsaturated fatty acids
1023	325	0.17	100.089	NA	NA	Unsaturated fatty acids
1023	329	0.11	66.084	NA	NA	Unsaturated fatty acids
1023	336	0.12	68.099	NA	NA	Unsaturated fatty acids
1023	342	0.15	116.084	NA	NA	Unsaturated fatty acids
1023	356	0.20	86.110	NA	NA	Unsaturated fatty acids
1023	364	0.20	-2.016	NA	NA	Unsaturated fatty acids
1023	369	0.18	116.084	NA	NA	Unsaturated fatty acids
1023	405	0.22	84.094	NA	NA	Unsaturated fatty acids
1023	412	0.18	114.068	NA	NA	Unsaturated fatty acids
1023	432	0.11	80.063	NA	NA	Unsaturated fatty acids
1023	442	0.11	-112.126	NA	NA	Unsaturated fatty acids
1023	455	0.18	80.063	NA	NA	Unsaturated fatty acids
1023	488	0.22	-2.016	NA	NA	Unsaturated fatty acids
1023	504	0.16	78.047	NA	NA	Unsaturated fatty acids
1023	510	0.21	88.126	NA	NA	Unsaturated fatty acids
1023	516	0.25	82.079	NA	NA	Unsaturated fatty acids
1023	56	0.22	-27.995	NA	NA	Unsaturated fatty acids
1023	570	0.22	100.089	NA	NA	Unsaturated fatty acids
1023	605	0.16	-30.011	NA	NA	Unsaturated fatty acids
1023	620	0.24	-27.995	NA	NA	Unsaturated fatty acids
1023	636	0.11	-14.016	NA	NA	Unsaturated fatty acids
1023	645	0.18	64.068	NA	NA	Unsaturated fatty acids
1023	646	0.15	-3.995	NA	NA	Unsaturated fatty acids
1023	751	0.16	126.105	NA	NA	Unsaturated fatty acids
1023	778	0.40	0.000	NA	NA	Unsaturated fatty acids
1023	8	0.20	15.048	NA	NA	Unsaturated fatty acids
1023	852	0.14	84.058	NA	NA	Unsaturated fatty acids
1023	934	0.16	-58.006	NA	NA	Unsaturated fatty acids
1023	964	0.22	118.100	NA	NA	Unsaturated fatty acids
1023	966	0.26	80.061	NA	NA	Unsaturated fatty acids
1023	98	0.27	-15.995	NA	NA	Unsaturated fatty acids
1056	1023	0.13	98.110	NA	NA	Unsaturated fatty acids
1056	168	0.15	200.215	NA	NA	Unsaturated fatty acids
1056	215	0.13	208.183	NA	NA	Unsaturated fatty acids
1056	221	0.11	68.099	NA	NA	Unsaturated fatty acids
1056	251	0.15	182.204	NA	NA	Unsaturated fatty acids
1056	309	0.21	-14.016	NA	NA	Unsaturated fatty acids
1056	318	0.22	112.089	NA	NA	Unsaturated fatty acids
1056	325	0.13	198.199	NA	NA	Unsaturated fatty acids
1056	364	0.29	96.094	NA	NA	Unsaturated fatty acids
1056	442	0.23	-14.016	NA	NA	Unsaturated fatty acids
1056	488	0.15	96.094	NA	NA	Unsaturated fatty acids
1056	605	0.13	68.099	NA	NA	Unsaturated fatty acids
1056	620	0.11	70.115	NA	NA	Unsaturated fatty acids
1056	646	0.12	94.115	NA	NA	Unsaturated fatty acids
1056	700	0.12	68.099	NA	NA	Unsaturated fatty acids
1056	751	0.16	224.215	NA	NA	Unsaturated fatty acids
1056	778	0.17	98.110	NA	NA	Unsaturated fatty acids
1056	8	0.21	113.158	NA	NA	Unsaturated fatty acids
1073	1023	0.11	14.016	NA	NA	Unsaturated fatty acids
1073	107	0.20	110.110	NA	NA	Unsaturated fatty acids
1073	127	0.15	14.052	NA	NA	Unsaturated fatty acids
1073	168	0.19	116.120	NA	NA	Unsaturated fatty acids
1073	173	0.17	26.016	NA	NA	Unsaturated fatty acids
1073	221	0.31	-15.995	NA	NA	Unsaturated fatty acids
1073	229	0.21	82.115	NA	NA	Unsaturated fatty acids
1073	231	0.17	-1.979	NA	NA	Unsaturated fatty acids
1073	251	0.16	98.110	NA	NA	Unsaturated fatty acids
1073	258	0.11	98.110	NA	NA	Unsaturated fatty acids
1073	318	0.28	27.995	NA	NA	Unsaturated fatty acids
1073	324	0.33	114.105	NA	NA	Unsaturated fatty acids
1073	325	0.14	114.105	NA	NA	Unsaturated fatty acids
1073	329	0.15	80.100	NA	NA	Unsaturated fatty acids
1073	336	0.15	82.115	NA	NA	Unsaturated fatty acids
1073	342	0.11	130.100	NA	NA	Unsaturated fatty acids
1073	356	0.16	100.126	NA	NA	Unsaturated fatty acids
1073	366	0.16	94.079	NA	NA	Unsaturated fatty acids
1073	369	0.14	130.100	NA	NA	Unsaturated fatty acids
1073	405	0.21	98.110	NA	NA	Unsaturated fatty acids
1073	412	0.18	128.084	NA	NA	Unsaturated fatty acids
1073	432	0.17	94.079	NA	NA	Unsaturated fatty acids
1073	433	0.16	80.099	NA	NA	Unsaturated fatty acids
1073	442	0.13	-98.110	NA	NA	Unsaturated fatty acids
1073	455	0.24	94.079	NA	NA	Unsaturated fatty acids
1073	488	0.11	12.000	NA	NA	Unsaturated fatty acids
1073	504	0.14	92.063	NA	NA	Unsaturated fatty acids
1073	510	0.13	102.141	NA	NA	Unsaturated fatty acids
1073	516	0.22	96.094	NA	NA	Unsaturated fatty acids
1073	517	0.17	94.079	NA	NA	Unsaturated fatty acids
1073	526	0.65	0.000	NA	NA	Unsaturated fatty acids
1073	56	0.12	-13.979	NA	NA	Unsaturated fatty acids
1073	570	0.28	114.105	NA	NA	Unsaturated fatty acids
1073	605	0.24	-15.995	NA	NA	Unsaturated fatty acids
1073	620	0.14	-13.979	NA	NA	Unsaturated fatty acids
1073	636	0.48	0.000	NA	NA	Unsaturated fatty acids
1073	645	0.12	78.084	NA	NA	Unsaturated fatty acids
1073	646	0.14	10.021	NA	NA	Unsaturated fatty acids
1073	751	0.14	140.120	NA	NA	Unsaturated fatty acids
1073	778	0.12	14.016	NA	NA	Unsaturated fatty acids
1073	8	0.13	29.063	NA	NA	Unsaturated fatty acids
1073	852	0.24	98.074	NA	NA	Unsaturated fatty acids
1073	934	0.12	-43.990	NA	NA	Unsaturated fatty acids
1073	964	0.19	132.115	NA	NA	Unsaturated fatty acids
1073	966	0.14	94.077	NA	NA	Unsaturated fatty acids
107	56	0.12	-124.089	NA	NA	Unsaturated fatty acids
107	8	0.14	-81.047	NA	NA	Unsaturated fatty acids
107	98	0.18	-112.089	NA	NA	Unsaturated fatty acids
1096	1023	0.15	-40.032	NA	NA	Unsaturated fatty acids
1096	107	0.14	56.063	NA	NA	Unsaturated fatty acids
1096	1073	0.19	-54.047	NA	NA	Unsaturated fatty acids
1096	168	0.11	62.073	NA	NA	Unsaturated fatty acids
1096	215	0.17	70.042	NA	NA	Unsaturated fatty acids
1096	221	0.11	-70.042	NA	NA	Unsaturated fatty acids
1096	226	0.37	0.036	NA	NA	Unsaturated fatty acids
1096	231	0.19	-56.027	NA	NA	Unsaturated fatty acids
1096	248	0.30	-98.074	NA	NA	Unsaturated fatty acids
1096	258	0.11	44.063	NA	NA	Unsaturated fatty acids
1096	309	0.12	-152.157	NA	NA	Unsaturated fatty acids
1096	318	0.17	-26.052	NA	NA	Unsaturated fatty acids
1096	324	0.24	60.058	NA	NA	Unsaturated fatty acids
1096	405	0.13	44.063	NA	NA	Unsaturated fatty acids
1096	433	0.12	26.052	NA	NA	Unsaturated fatty acids
1096	455	0.13	40.031	NA	NA	Unsaturated fatty acids
1096	504	0.11	38.016	NA	NA	Unsaturated fatty acids
1096	516	0.13	42.047	NA	NA	Unsaturated fatty acids
1096	517	0.11	40.031	NA	NA	Unsaturated fatty acids
1096	605	0.13	-70.042	NA	NA	Unsaturated fatty acids
1096	620	0.11	-68.027	NA	NA	Unsaturated fatty acids
1096	636	0.21	-54.047	NA	NA	Unsaturated fatty acids
1096	645	0.14	24.037	NA	NA	Unsaturated fatty acids
1096	646	0.11	-44.026	NA	NA	Unsaturated fatty acids
1096	700	0.11	-70.042	NA	NA	Unsaturated fatty acids
1096	751	0.12	86.073	NA	NA	Unsaturated fatty acids
1096	778	0.11	-40.031	NA	NA	Unsaturated fatty acids
1096	8	0.11	-24.984	NA	NA	Unsaturated fatty acids
1096	934	0.30	-98.037	NA	NA	Unsaturated fatty acids
1096	964	0.11	78.068	NA	NA	Unsaturated fatty acids
1096	966	0.12	40.029	NA	NA	Unsaturated fatty acids
1099	1023	0.24	-56.027	NA	NA	Unsaturated fatty acids
1099	1056	0.18	-154.137	NA	NA	Unsaturated fatty acids
1099	107	0.26	40.068	NA	NA	Unsaturated fatty acids
1099	1073	0.12	-70.042	NA	NA	Unsaturated fatty acids
1099	1096	0.13	-15.995	NA	NA	Unsaturated fatty acids
1099	127	0.17	-55.990	NA	NA	Unsaturated fatty acids
